"Sélectif Régional - St Barthélémy sur Ploufragan - 2012-11-11","Course 1","2012-11-11","Régional","151"
"Leo Le Druillennec","K1H","108.31","121.9","150.5",""
"Melaine Pichard","K1H","108.43","162.67","151.75",""
"Alexis Pernelle","K1H","109.64","111.43","164.34",""
"Romain Guyomard","K1H","109.69","113.53","164.86",""
"Lionel Tinevez","K1H","111.16","111.59","180.15",""
"Gwenael Marquer","K1H","111.74","155.71","186.18",""
"Simon Le Friec","K1H","112.01","68.35","188.99",""
"Manuel Savels","K1H","112.39","176.41","192.94",""
"Emeric Bertrand","K1H","112.42","-","193.26",""
"Nicolas Mignon","K1H","112.47","193.2","193.78",""
"Paul-antoine Henry","K1H","112.69","-","196.06",""
"Stephane Gallerne","K1H","112.81","171.34","197.31",""
"Clement Le Moal","K1H","112.92","149.1","198.46",""
"Vincent Gourmel","K1H","113.1","-","200.33",""
"Valentin Le Moignic","K1H","113.22","178.9","201.58",""
"Stann Savels","K1H","113.28","72.82","202.2",""
"Regis Cabel","K1H","113.77","199.06","207.3",""
"Benoit Ricard","K1H","113.87","249.98","208.34",""
"Maxime Lignereux","K1H","114.04","162.05","210.11",""
"Morgan Le Friec","K1H","114.63","187.83","216.24",""
"Stephane Debliquy","K1H","116","179.16","230.5",""
"Alain Droniou","K1H","116.19","-","232.47",""
"Xavier Le Gallic","K1H","116.91","195.71","239.96",""
"Vincent Dubois","K1H","117.41","123.65","245.16",""
"Hugo Guilleray","K1H","118.8","183.37","259.62",""
"Melaine Colin","K1H","119.36","254.41","265.45",""
"Thibault De La Buharaye","K1H","119.93","-","271.38",""
"Paul Gestin","K1H","120.04","190.91","272.52",""
"Florian Joly","K1H","120.58","503.82","278.14",""
"Ronan Nedelec","K1H","121.85","-","291.35",""
"Julien Rocaboy","K1H","122.22","-","295.2",""
"Xavier Mainguy","K1H","123.83","-","311.94",""
"David Julou","K1H","124.79","-","321.93",""
"Francois Xavier Robinet","K1H","124.96","272.95","323.7",""
"Nathan Chaumier","K1H","125.14","252.2","325.57",""
"Jerome Saliou","K1H","126.44","384.45","339.09",""
"Nathan Flageul","K1H","126.97","377.18","344.61",""
"Vincent Pelgrin","K1H","127.33","338.9","348.35",""
"Jules Grolleau","K1H","128.66","257.12","362.19",""
"Aymeric Poirier","K1H","131.79","387.97","394.74",""
"Jules Chaumet","K1H","131.81","279.47","394.95",""
"Pierre Deseuste","K1H","132.07","-","397.66",""
"Yoann Le Guyader","K1H","133.05","122.18","407.85",""
"Pierre Geraud","K1H","133.97","-","417.42",""
"Jean Christophe Olivo","K1H","135.18","435.04","430.01",""
"Jordan Tinevez","K1H","135.82","402.93","436.66",""
"Florentin Guguen","K1H","136.78","-","446.65",""
"Pierreyves Hellard","K1H","144.01","455.17","521.86",""
"Valentin Clero","K1H","147.23","-","555.35",""
"Alain Le Moel","K1H","148.03","518.31","563.67",""
"Luc Le Diouron","K1H","151.54","-","600.18",""
"Nicolas Carduner","K1H","160.8","-","696.51",""
"Maxime Vucic","K1H","193.89","-","1040.71",""
"Sami Rocher","K1H","224.69","90.86","1361.1",""
"Corentin Arrou","K1H","236.25","-","1481.34",""
"Gwenael Hudo","K1H","Nt","-","-",""
"Louis Guilbaud","K1H","Nt","-","-",""
"Leo Vatant","K1H","Nt","-","-",""
"Yannick Faguet","K1H","Nt","-","-",""
"Anthony Cadoret","K1H","Nt","-","-",""
"Francois Madec","K1H","Nt","-","-",""
"Mathurin Madore","K1H","Nt","-","-",""
"Theo Quenouillere","K1H","Nt","-","-",""
