"Sélectif Championnat National 2 Slalom - Base De La Minoterie - Finale - 2016-03-26","Finale","2016-03-26","Nationale 2","235"
"Nicolas Bernardy","K1H","91.26","191.3","194.12","Finale A"
"Gregoire Guerin","K1H","91.84","163.28","200.98","Finale A"
"Theo Celjo","K1H","91.96","173.66","202.4","Finale A"
"Nicolas Caussanel","K1H","92.48","145.86","208.55","Finale A"
"Theo Desvignes","K1H","92.95","175.76","214.11","Finale A"
"Theo Foucher","K1H","93.08","210","215.65","Finale A"
"Andy Pajani","K1H","93.18","133.45","216.84","Finale A"
"Anthony Thuillier","K1H","93.28","184.2","218.02","Finale A"
"Alan Mahe","K1H","93.54","197.92","221.1","Finale A"
"Cedric Jegouzo","K1H","93.69","157.05","222.87","Finale A"
"Nicolas Rouleaud","K1H","93.83","191.9","224.53","Finale A"
"Robin Vandenbossche","K1H","94.25","210.79","229.5","Finale A"
"Eric Lamour","K1H","94.35","162.2","230.68","Finale A"
"Anthony Drouhin","K1H","94.38","205.64","231.04","Finale A"
"Louis Masson","K1H","94.59","168.16","233.52","Finale A"
"David Mingasson","K1H","94.6","201.36","233.64","Finale A"
"Hippolyte Cail","K1H","94.61","193.05","233.76","Finale A"
"Fabien Tournadre","K1H","94.63","176.28","233.99","Finale A"
"Jonathan Chapatte","K1H","94.72","144.92","235.06","Finale A"
"Matheo Lebaindre","K1H","95.06","198.22","239.08","Finale A"
"Yanis Rainaud","K1H","95.27","234.05","241.57","Finale A"
"Hugo Crepeau","K1H","95.28","189.9","241.68","Finale A"
"Davy Egraz","K1H","96.07","186.27","251.03","Finale A"
"Leo Fournier","K1H","96.43","170.5","255.29","Finale A"
"Yani Ferhaoui","K1H","96.87","196.58","260.5","Finale A"
"Fabien Le Nechet","K1H","97.09","168.49","263.1","Finale A"
"Simon Hene","K1H","97.17","223.27","264.05","Finale A"
"Jonathan Delagnes","K1H","97.26","132.61","265.11","Finale A"
"Youn Aubry","K1H","97.72","236.44","270.56","Finale A"
"Louis Midy","K1H","98.03","189.31","274.23","Finale A"
"Silvere Desongins","K1H","98.65","203.48","281.56","Finale A"
"Aaron Penning","K1H","98.69","256.61","282.04","Finale A"
"Paul Gestin","K1H","99.09","264.38","286.77","Finale A"
"Luc Hellard","K1H","99.43","178.72","290.79","Finale A"
"Raphael Lassechere","K1H","99.67","243.01","293.63","Finale A"
"Romain Guyomard","K1H","99.77","195.16","294.82","Finale A"
"Jeanmichel Regnier","K1H","102.19","241.09","323.45","Finale A"
"Luca Dos Santos","K1H","102.42","198.27","326.17","Finale A"
"Pierre Audouin","K1H","103.25","216.12","335.99","Finale A"
"Samuel Bonella","K1H","103.39","252.14","337.65","Finale A"
"Nathan Boudaillez","K1H","103.52","256.5","339.19","Finale A"
"Anatole Delassus","K1H","104.11","230.49","346.17","Finale A"
"Francois Gillot","K1H","105.16","266.91","358.59","Finale A"
"Vincent Delahaye","K1H","106.38","226.68","373.03","Finale A"
"Hugo Simon","K1H","111.8","222.59","437.17","Finale A"
"Damien Launay","K1H","138.88","132.29","757.6","Finale A"
"Bryan Seiler","K1H","140.67","182","778.79","Finale A"
"Xavier Jourdain","K1H","143.63","164.77","813.81","Finale A"
"Olivier Cail","K1H","149.87","232.25","887.65","Finale A"
"Clement Cierocki","K1H","158.66","206.29","991.66","Finale A"
"Lea Grison","C1D","140.85","267.91","508.14","Finale B"
"Elena Hugues","C1D","147.19","375.39","570.65","Finale B"
"Chloe Crachet","C1D","149.74","373.05","595.79","Finale B"
"Tifenn Primet","C1D","151.63","356.09","614.43","Finale B"
"Emilie Delahaye","C1D","Abs","-","-","Finale B"
"Laurene Roisin","C1D","Abs","-","-","Finale B"
"Jules Chaumet","C1H","100.54","203.73","252.27","Finale B"
"Melenn Aubry","C1H","103.47","233.02","285.29","Finale B"
"Johan Pucheou","C1H","103.89","214.52","290.03","Finale B"
"Julian Othenin-girard","C1H","105.24","165.23","305.25","Finale B"
"Benoit Chantry","C1H","106.39","211.06","318.2","Finale B"
"Ronan Gouzien","C1H","107.36","281.14","329.14","Finale B"
"Merwan Fliou","C1H","107.55","309.74","331.28","Finale B"
"Marcantoine Hacquart","C1H","108.46","260.87","341.53","Finale B"
"Charles Bre","C1H","109.05","274.84","348.18","Finale B"
"Addwyn Martinez","C1H","109.47","302.13","352.91","Finale B"
"Michael Philibert","C1H","110.35","275.63","362.83","Finale B"
"Nicolas Bernardy","C1H","111.02","281.38","370.38","Finale B"
"Faysal Ali Zazou","C1H","111.1","246.02","371.29","Finale B"
"Luc Hellard","C1H","111.76","257.39","378.72","Finale B"
"Matthieu Le Gall","C1H","112.37","277.75","385.59","Finale B"
"Martin Rohaut","C1H","112.44","303.92","386.39","Finale B"
"Eludes Houillon","C1H","113.42","296.14","397.43","Finale B"
"Quentin Desouche","C1H","113.88","262.88","402.61","Finale B"
"Christopher Lucas","C1H","117.05","289.82","438.33","Finale B"
"Alexandre Lismonde","C1H","118.63","327.72","456.14","Finale B"
"Stephane Abadie","C1H","119.52","278.87","466.18","Finale B"
"Timothee Olla","C1H","120.63","238.95","478.68","Finale B"
"Jules Bernardet","C1H","299.51","273.19","2494.58","Finale B"
"Eloi Seemann-Charles Bre","C2H","116.13","329.73","368.48","Finale B"
"Xavier Jourdain-Francois Durand","C2H","121.29","307.45","423.99","Finale B"
"Hugo Regnier-Arthur Mizzi","C2H","131.72","367.7","536.18","Finale B"
"Viviana Daille","K1D","109.71","165.32","268.08","Finale B"
"Zoe Huet","K1D","114.01","243.24","313.12","Finale B"
"Morgane Quemerais","K1D","114.32","248.73","316.36","Finale B"
"Charline Berger Martin","K1D","118.56","286.37","360.76","Finale B"
"Marine Izac","K1D","118.89","265.22","364.21","Finale B"
"Camille Andrieux","K1D","118.99","258.71","365.26","Finale B"
"Alexane Galmiche","K1D","119.89","252.57","374.68","Finale B"
"Marie Gaspard","K1D","120.62","274.55","382.33","Finale B"
"Lucie Cecile","K1D","121.2","286.12","388.41","Finale B"
"Oriane Guichet","K1D","122.42","297.67","401.18","Finale B"
"Marion Grangeon","K1D","122.57","256.62","402.75","Finale B"
"Emilie Lhomme","K1D","124.72","206.25","425.27","Finale B"
"Alice Lachaudru","K1D","125.53","238.94","433.74","Finale B"
"Meryl Steinmann","K1D","129.68","282.78","477.2","Finale B"
"Eva Dauvergne","K1D","129.71","324.08","477.52","Finale B"
"Raphaelle Hovine","K1D","131.04","286.68","491.45","Finale B"
"Celia Grandadam","K1D","133.84","323.31","520.76","Finale B"
"Zoe Bruchon","K1D","135.16","317.6","534.59","Finale B"
"Athenais Reby","K1D","140.85","313.13","594.17","Finale B"
"Maud Sourbes","K1D","141.02","327.57","595.95","Finale B"
"Noa Bouchardon","K1D","143.06","289.45","617.32","Finale B"
"Alicia Gallot","K1D","144.37","289.15","631.03","Finale B"
"Sylviane Quemerais","K1D","147.91","319.08","668.11","Finale B"
"Lucie Robin","K1D","155.85","327.11","751.24","Finale B"
"Mathilde Nouaille-degorce","K1D","182.58","295.62","1031.15","Finale B"
"Violaine Truche","K1D","405.11","269.96","3361.42","Finale B"
"Alina Rassel","K1D","Abd","-","-","Finale B"
"Remi Vinet","K1H","90.17","170.22","186.22","Finale B"
"Herve Busson","K1H","92.41","206.4","212.72","Finale B"
"Nicolas Feuillard","K1H","92.61","147.69","215.09","Finale B"
"Charles Edouard Dherment","K1H","93.82","202.08","229.41","Finale B"
"Nicolas Mevel","K1H","94.16","191.99","233.43","Finale B"
"Pierre-louis Saussereau","K1H","94.16","204.31","233.43","Finale B"
"Tom Deconchy","K1H","95.24","208.88","246.21","Finale B"
"Lucas Galmiche","K1H","95.55","191.77","249.88","Finale B"
"Pierre Grapotte","K1H","95.83","235.15","253.19","Finale B"
"Mathieu Monier","K1H","95.99","207.68","255.09","Finale B"
"Isaac Dufrene","K1H","96.06","184.79","255.91","Finale B"
"Robin Pottelette","K1H","96.45","225.51","260.53","Finale B"
"Theo Lecomte","K1H","96.49","200.78","261","Finale B"
"Johann Loiseau","K1H","96.8","176.22","264.67","Finale B"
"Florient Tagnon","K1H","96.9","230.86","265.85","Finale B"
"Maxime Foucault","K1H","96.96","158.64","266.56","Finale B"
"Thibault Dufour","K1H","96.99","204.95","266.92","Finale B"
"Aubry Bertin","K1H","96.99","179.22","266.92","Finale B"
"Yohan Marck","K1H","97.34","249.3","271.06","Finale B"
"Simon Despres","K1H","97.36","254.11","271.3","Finale B"
"Adrien Maire","K1H","98.13","157.96","280.41","Finale B"
"Guillaume De Fierville","K1H","98.38","283.63","283.37","Finale B"
"Olivier Cain","K1H","98.94","209.96","289.99","Finale B"
"Quentin Le Duc","K1H","99.56","230.96","297.33","Finale B"
"Romain Bertrand","K1H","99.6","215.19","297.8","Finale B"
"Hugo Regnier","K1H","99.68","243.67","298.75","Finale B"
"Kawan Thomas","K1H","99.89","261.74","301.24","Finale B"
"Clement Le Collinet","K1H","100.22","215.17","305.14","Finale B"
"Jacques Precigout","K1H","100.26","258.71","305.61","Finale B"
"Otello Willmann Rosso","K1H","100.42","231.23","307.51","Finale B"
"Vincent Reiter","K1H","100.47","253.1","308.1","Finale B"
"Brieuc Cadic","K1H","100.51","245.22","308.57","Finale B"
"Julien Pajaud","K1H","100.66","237.54","310.35","Finale B"
"Hugo Mouffle","K1H","101.11","252.64","315.67","Finale B"
"Matthieu Le Gall","K1H","101.2","176.38","316.74","Finale B"
"Malo Le Paih","K1H","101.28","271.02","317.68","Finale B"
"Alexandre Lismonde","K1H","101.32","226.73","318.16","Finale B"
"Arthur Favennec","K1H","102.51","244.21","332.24","Finale B"
"Nathan Flageul","K1H","102.59","224.94","333.18","Finale B"
"Martin Belliot","K1H","103.18","267.82","340.17","Finale B"
"Philippe Daumont","K1H","103.87","244.88","348.33","Finale B"
"Denis Guilmard","K1H","104.54","229.43","356.26","Finale B"
"Yann Zaepffel","K1H","104.84","258.9","359.81","Finale B"
"Adrien Verite","K1H","105.98","242.16","373.3","Finale B"
"Jonas Godevin","K1H","106.79","259.13","382.88","Finale B"
"Lilian Querry","K1H","106.98","259.18","385.13","Finale B"
"Timothee Le Mort","K1H","107.21","260.57","387.85","Finale B"
"Edouard Lecomte","K1H","109.64","217.19","416.61","Finale B"
"Ludovic Ngo","K1H","111.22","237.39","435.3","Finale B"
"Philippe Niquet","K1H","111.74","281.87","441.46","Finale B"
"Arthur Huet","K1H","112.5","259.59","450.45","Finale B"
"Erwan Rouch","K1H","112.51","208.45","450.57","Finale B"
"Adrien Picco","K1H","114.65","202.13","475.89","Finale B"
"Quentin Clerc","K1H","119.12","262.96","528.78","Finale B"
"Nicolas Mangeolle","K1H","153.78","224","938.92","Finale B"
"Mikael Maupin","K1H","Abs","-","-","Finale B"
