"Sélectif Régional de Slalom - 77200 Torcy - Qualification - 2019-12-08","Qualification","2019-12-08","Régional","186"
"Pierre-louis Mingasson","C1HM","146.16","739.08","605.16",""
"Clement Brault","C1HM","148.65","751.07","631.9",""
"Enzo Marchand","C1HM","149.67","831.23","642.86",""
"Kavishan Kulatunga","C1HM","153.57","1004.01","684.75",""
"Hugo Hernoux","C1HM","156.65","-","717.83",""
"Timothee Borde","C1HM","176.86","-","934.91",""
"Kyllian Leroux Senac","C1HM","194.35","1108.04","1122.77",""
"Qeis Khalfaoui","C1HM","209.76","1048.27","1288.29",""
"Teo Vidoni","C1HM","Abs","-","-",""
"Aaron Parcellier","C1HM","Abs","-","-",""
"Romain Moret","C1HM","Abs","-","-",""
"Pol Oulhen-Hector Combes","C2H","121.59","-","281.88",""
"Beranger Doulle-Gilles Gaud","C2H","158.54","-","660.73",""
"Loick Manoury-Antoine Huger","C2H","166.51","1212.95","742.45",""
"Ganny Dinally-Xavier Perreau","C2H","212.91","-","1218.19",""
"Loic Dufour-Joris Bonine","C2HM","231.92","-","1413.08",""
"Romain Moret-Teo Vidoni","C2HM","Abs","-","-",""
"Axel Linssen-Paul Le Galliard","C2HM","Abs","-","-",""
"Mathurin Madore-Romane Prigent","C2M","130.53","399.53","262.02",""
"Vincent Renaudie-Laura Demuru","C2M","246.91","-","1355.81",""
"Teo Tester-Camille Brugvin","C2MM","199.76","1147.59","912.68",""
"Romane Prigent","K1D","112.75","76","160.56",""
"Loan Battistuzzi","K1D","116.81","636.25","201.09",""
"Ophelie Delaplace","K1D","123.36","-","266.46",""
"Nelia Barbosa","K1D","125.58","395.11","288.62",""
"Clara Delahaye","K1D","126.12","312.83","294.01",""
"Julie Dupas","K1D","127.83","360.18","311.07",""
"Souhayla Khattabi","K1D","128.28","435.65","315.56",""
"Lisa Manach","K1D","130.97","495.2","342.41",""
"Laura Demuru","K1D","146.77","638.32","500.11",""
"Sophie Roye","K1D","150.67","664.43","539.03",""
"Coralie Delmotte","K1D","152.15","805.79","553.8",""
"Noemie Tchoua","K1D","156.85","656.4","600.71",""
"Anais Tchoua","K1D","162.16","-","653.7",""
"Amelie Gonzalez","K1D","166.14","792.86","693.44",""
"Maelle Bedoin","K1D","166.99","924.42","701.92",""
"Stephanie Perreau","K1D","167","919.19","702.02",""
"Christine Darchez","K1D","176.17","803.83","793.54",""
"Romane Bedoin","K1D","186.72","1312.64","898.83",""
"Isabelle Rousseau","K1D","200.04","1007.67","1031.78",""
"Yuna Pernet","K1D","Abs","-","-",""
"Camille Brugvin","K1DM","135.62","611.54","388.82",""
"Jade Dendele","K1DM","137.36","642.89","406.19",""
"Jade Cascarino","K1DM","148.34","630.55","515.77",""
"Solene Cantet","K1DM","166.22","669.15","694.23",""
"Coline Regnier","K1DM","181.22","455.74","843.94",""
"Thomas Durand","K1H","91.08","34.57","62.46",""
"Mathurin Madore","K1H","92.26","10.39","75.77",""
"Pol Oulhen","K1H","95.51","35.71","112.42",""
"Vincent Delahaye","K1H","98.09","49.52","141.52",""
"Jonas Turmeau","K1H","100.97","151.01","174",""
"Nathan Huguenin","K1H","103.04","326.91","197.34",""
"Melvin Queudeville","K1H","103.98","267.89","207.95",""
"Yohan Marck","K1H","106.36","356.11","234.79",""
"Hector Combes","K1H","107.78","238.38","250.8",""
"Matheo Dupont","K1H","108.87","301.39","263.1",""
"Antoine Huger","K1H","108.93","460.02","263.77",""
"Thibaut Evrard","K1H","110.14","305.01","277.42",""
"Benoit Chantry","K1H","110.14","173.38","277.42",""
"Florian Perenchio","K1H","112.84","493.8","307.87",""
"Florent Bernard","K1H","117.14","402.79","356.37",""
"Erwan Laloux","K1H","118.86","548.92","375.76",""
"Louis Marvillet","K1H","119.03","574.51","377.68",""
"Paul Cascarino","K1H","121.25","419.69","402.72",""
"Beranger Doulle","K1H","123.19","481.65","424.6",""
"Theo Siguret","K1H","124.66","534.05","441.18",""
"Philippe Piat","K1H","124.85","502.79","443.32",""
"Leo Tellier","K1H","125.38","679.1","449.3",""
"Robin Le Mazurier","K1H","127.65","559.06","474.9",""
"Dimitri Tostain","K1H","128.1","819.49","479.97",""
"Jerome Payen","K1H","128.28","1503.83","482",""
"Maxime Kerbrat","K1H","128.3","506.04","482.23",""
"Gerard Lafargue","K1H","129.13","589.07","491.59",""
"Elias Bouddour","K1H","129.14","1162.83","491.7",""
"Mathis Piepho","K1H","129.96","347.14","500.95",""
"Philippe Valeri","K1H","130.54","590.88","507.49",""
"Valentin Fleury","K1H","131.03","-","513.02",""
"Sebastien Tester","K1H","131.51","815.65","518.43",""
"Alain Brucher","K1H","131.88","764.47","522.61",""
"Mathieu Benkaroun","K1H","132.26","743.37","526.89",""
"Maixent De Poucques","K1H","132.37","664.68","528.13",""
"Florent Saleur","K1H","133.05","654.79","535.8",""
"Garvan Boulben","K1H","133.82","685.96","544.49",""
"Michel Joly","K1H","134.55","716.94","552.72",""
"Ludovic Roye","K1H","136.44","-","574.03",""
"Esteban Saussereau","K1H","140.6","1131.77","620.95",""
"Francois Vuillermot","K1H","141.02","829.72","625.69",""
"Axel Tempier","K1H","141.64","826.7","632.68",""
"Ganny Dinally","K1H","143.48","-","653.43",""
"Joseph Simonpietri","K1H","143.88","1055.7","657.94",""
"Fabien Lemaitre","K1H","147.97","868.74","704.07",""
"Erik Vallauri","K1H","148.09","1072.84","705.42",""
"Patrick Charlaigre","K1H","148.33","656.72","708.13",""
"Victor Cauet","K1H","148.79","1002.93","713.32",""
"Theo Griffit","K1H","149.78","873.68","724.48",""
"Marc-olivier Dufour","K1H","152.99","908.08","760.69",""
"Lucas Franetich","K1H","153.95","757.35","771.51",""
"Loick Manoury","K1H","159.57","433.65","834.9",""
"Denis Marrocos","K1H","159.63","892.42","835.57",""
"Jorge Govea Martinez","K1H","188.21","1228.45","1157.9",""
"Amaury Brucher","K1H","209.32","247.3","1395.99",""
"Ibrahim Ben-belgacem","K1H","228.64","757.77","1613.88",""
"Darius Muntean","K1H","Abs","-","-",""
"Anthony Bes","K1H","Abs","-","-",""
"Djimy Kar","K1H","Abs","-","-",""
"Yves Souchal","K1H","Abs","-","-",""
"Amir Bouazza","K1H","Abs","-","-",""
"Hugo Chianale","K1H","Abs","-","-",""
"Thibaud Lacour","K1H","Abs","-","-",""
"Laurent Bes","K1H","Abs","-","-",""
"Basile Drapier","K1H","Abs","-","-",""
"Arnaud Brogniart","K1H","Abs","-","-",""
"Vincent Renaudie","K1H","Abs","-","-",""
"Axel Girard","K1H","Abs","-","-",""
"Leni Perreau","K1HM","104.79","377.86","217.08",""
"Axel Colin","K1HM","106.6","319.21","237.49",""
"Pierric Clipet","K1HM","118.1","464.83","367.19",""
"Pierre-louis Mingasson","K1HM","121.43","563.72","404.75",""
"Clement Brault","K1HM","124.13","715.86","435.2",""
"Thomas Gaud","K1HM","125.11","606.07","446.25",""
"Loic Dufour","K1HM","126","576.08","456.29",""
"Hugo Hernoux","K1HM","126.81","664.54","465.43",""
"Teo Tester","K1HM","133.29","789.98","538.51",""
"Kavishan Kulatunga","K1HM","135.68","870.16","565.46",""
"Joris Bonine","K1HM","136.51","1074.53","574.82",""
"Nouredine Zerouga","K1HM","136.77","901.11","577.76",""
"Timothee Borde","K1HM","141.5","1375.33","631.1",""
"Kyllian Leroux Senac","K1HM","142.78","833.51","645.54",""
"Antonin Costa","K1HM","144.87","844.03","669.11",""
"Enzo Marchand","K1HM","146.22","811.73","684.33",""
"Qeis Khalfaoui","K1HM","147.01","686.7","693.24",""
"Baptiste Paris","K1HM","147.7","1371.27","701.03",""
"Maximilien Rousson","K1HM","148.59","-","711.06",""
"Marc Sanchez","K1HM","152.13","1108.13","750.99",""
"Victor Berland Laporte","K1HM","155.83","1086.61","792.72",""
"Gabriel Jourd'heuil","K1HM","163.38","-","877.87",""
"Souleymane Ndoye","K1HM","185.01","1040.83","1121.81",""
"Leandre Richard","K1HM","194.93","1050.24","1233.69",""
"Aaron Parcellier","K1HM","Abs","-","-",""
"Ziad Ben Bella","K1HM","Abs","-","-",""
"Teo Vidoni","K1HM","Abs","-","-",""
"Romain Moret","K1HM","Abs","-","-",""
"Axel Linssen","K1HM","Abs","-","-",""
