"Sélectif Championnat National 2 Slalom - Cergy Pontoise - Finale - 2015-05-24","Finale","2015-05-24","Nationale 2","163"
"Thomas Durand","K1H","111.24","217.49","262.97","Finale A"
"Remi Vinet","K1H","112.3","189.37","274.17","Finale A"
"Maxime Foucault","K1H","113.16","166.99","283.26","Finale A"
"Luc Hellard","K1H","113.55","149.53","287.38","Finale A"
"Luca Dos Santos","K1H","114.81","192.9","300.69","Finale A"
"Charles Edouard Dherment","K1H","117.14","163.72","325.31","Finale A"
"Theo Lecomte","K1H","117.46","210","328.7","Finale A"
"Matthieu Chauvel","K1H","119.48","164.11","350.04","Finale A"
"Pol Euzenes","K1H","150.37","128.2","676.45","Finale A"
"Corentin Douady","K1H","161.62","200.88","795.32","Finale A"
"Maxime Texier","K1H","313.86","180.54","2404","Finale A"
"Alexandre Cierocki","C1H","115.61","182.6","255.98","Finale B"
"Gaetan Hamelin","C1H","117.07","185.39","270.66","Finale B"
"Xavier Jourdain","C1H","121.45","257.45","314.75","Finale B"
"Faysal Ali Zazou","C1H","122.27","226.55","323","Finale B"
"Alexandre Lismonde","C1H","123.81","259.02","338.49","Finale B"
"Lorrie Delattre","C1H","123.97","339.04","340.11","Finale B"
"Ronan Gouzien","C1H","124.94","257.4","349.86","Finale B"
"Nicolas Gestin","C1H","125.21","216.28","352.59","Finale B"
"Paul Tallet Pinet","C1H","128.15","244.82","382.18","Finale B"
"Quentin Desouche","C1H","133.71","237.06","438.13","Finale B"
"Theo Lefetey","C1H","135.49","262.38","456.04","Finale B"
"Mathurin Madore","C1H","135.99","248.7","461.07","Finale B"
"Guillaume Doutreix","C1H","137.2","287.57","473.25","Finale B"
"Abdelkrim Ali Zazou","C1H","142.44","316.78","525.98","Finale B"
"Luc Hellard","C1H","170.48","246.73","808.16","Finale B"
"Frederic Boob","C1H","290.86","289.25","2019.62","Finale B"
"Lisa Mouffle","K1D","132.46","171.87","331.17","Finale B"
"Alixe Degremont","K1D","133.04","284.21","336.6","Finale B"
"Camille Andrieux","K1D","137.09","-","374.47","Finale B"
"Rozenn Le Page","K1D","138.78","254.02","390.27","Finale B"
"Emilie Chamouleau","K1D","139.89","233.55","400.65","Finale B"
"Emma Lars","K1D","140.11","313.94","402.71","Finale B"
"Marion Gallois","K1D","141.5","300.69","415.7","Finale B"
"Lucie Cecile","K1D","141.52","286.64","415.89","Finale B"
"Chloe Gatuingt","K1D","142.51","342.38","425.15","Finale B"
"Hind Jamili","K1D","142.68","219.27","426.74","Finale B"
"Marianne Bercon","K1D","142.7","286.64","426.93","Finale B"
"Adele Charlaigre","K1D","143.55","309.4","434.87","Finale B"
"Chloe Crachet","K1D","147.05","308.76","467.61","Finale B"
"Eva Dauvergne","K1D","155.23","289.78","544.1","Finale B"
"Noa Bouchardon","K1D","155.31","291.17","544.84","Finale B"
"Lea Feuillard","K1D","170.77","333.74","689.41","Finale B"
"Tiphaine Drouin","K1D","196.27","285.53","927.86","Finale B"
"Stephanie Bender","K1D","218.22","354.34","1133.12","Finale B"
"Laura Nicolas","K1D","316.62","329.94","2053.27","Finale B"
"Sylviane Quemerais","K1D","Des","-","-","Finale B"
"Marie-amelie Jullien","K1D","Des","-","-","Finale B"
"Louis-maxime Main","K1H","103.71","162.81","188.4","Finale B"
"Matheo Lebaindre","K1H","105.25","201.94","204.68","Finale B"
"Olivier Cain","K1H","106.51","195.64","217.99","Finale B"
"Nicolas Bernardy","K1H","106.53","203.45","218.2","Finale B"
"Romain Guyomard","K1H","109.04","160.92","244.72","Finale B"
"Theo Quenouillere","K1H","109.24","176.66","246.84","Finale B"
"Nicolas Rouleaud","K1H","110.31","164.61","258.14","Finale B"
"Philippe Daumont","K1H","110.74","251.15","262.69","Finale B"
"Johann Loiseau","K1H","111.12","179.4","266.7","Finale B"
"Mathieu Delorme","K1H","111.8","252.21","273.89","Finale B"
"Quentin Chauvin","K1H","112.58","199.31","282.13","Finale B"
"Tom Barthelemy","K1H","112.88","258.86","285.3","Finale B"
"Adrien Verite","K1H","113.07","212.02","287.31","Finale B"
"Nicolas Mevel","K1H","113.42","227.74","291.01","Finale B"
"Simon Despres","K1H","113.42","205.19","291.01","Finale B"
"Hugo Crepeau","K1H","113.51","222.2","291.96","Finale B"
"Louis Midy","K1H","113.9","203.9","296.08","Finale B"
"Antoine Lebastard","K1H","113.94","-","296.5","Finale B"
"Adrien Picco","K1H","114.04","182.72","297.56","Finale B"
"Alexis Pernelle","K1H","114.34","228.27","300.73","Finale B"
"Pascal Ferry","K1H","114.62","215.59","303.69","Finale B"
"Jules Guilbaud","K1H","114.74","214.68","304.95","Finale B"
"Jacques Precigout","K1H","115.32","229.91","311.08","Finale B"
"Bertrand Avril","K1H","115.39","249.03","311.82","Finale B"
"Arthur Huet","K1H","116.21","270.76","320.49","Finale B"
"Paul Gestin","K1H","117.48","217.7","333.91","Finale B"
"Julien Dosse","K1H","118.68","279.14","346.59","Finale B"
"Stephane Broute","K1H","119.51","240.4","355.36","Finale B"
"Etienne Carpentier","K1H","121.97","241.04","381.35","Finale B"
"Nathan Boudaillez","K1H","123.56","249.31","398.15","Finale B"
"Julien Fougeron","K1H","124.04","277.92","403.22","Finale B"
"Francois Durand","K1H","126.91","268.49","433.55","Finale B"
"Nathan Aubert","K1H","133.31","273.85","501.18","Finale B"
"Arnaud Gallois","K1H","174.34","229.28","934.73","Finale B"
"Guillaume Doutreix","K1H","182.27","276.39","1018.53","Finale B"
"Isaac Dufrene","K1H","274.59","234.58","1994.05","Finale B"
"Mikael Maupin","K1H","Abs","-","-","Finale B"
