"Sélectif National 3 Slalom Nord-Est - Pont Audemer - Finale - 2018-04-15","Finale","2018-04-15","Nationale 3","228"
"Teo Durand","C1H","137.93","644.46","797.04","Finale B"
"Titouan Aussant","C1H","138.3","777.13","801.77","Finale B"
"Jeansebastien Simonklein","C1H","138.46","702.63","803.82","Finale B"
"Sebastien Masseline","C1H","139.45","724.25","816.49","Finale B"
"Florian Jumetz","C1H","141.11","734.6","837.7","Finale B"
"Loan Guyomarch","C1H","143.54","851.2","868.78","Finale B"
"Nicolas Candieu","C1H","144.92","819.16","886.43","Finale B"
"Paul Lecomte","C1H","145.05","769.27","888.09","Finale B"
"Erwan Masson","C1H","146.52","887.22","906.89","Finale B"
"Nicolas Villaume","C1H","147.52","816.6","919.67","Finale B"
"Esteban Olivier","C1H","151.04","845.16","964.69","Finale B"
"Donatien Lamoureux","C1H","151.49","850.56","970.44","Finale B"
"Mathis Pomares","C1H","155.05","897.25","1015.97","Finale B"
"Dante Bourlet De La Vallee-Yvan Leblond","C2H","129.84","868.65","618.12","Finale B"
"Romain Bezies-Ianis Fleury","C2H","141.32","723.34","758.25","Finale B"
"Jess Masson-Jeansebastien Simonklein","C2H","152.58","699.25","895.69","Finale B"
"Thibaut Evrard-LoÏc Pottier","C2H","162.52","935.69","1017.02","Finale B"
"Esteban Olivier-Justin Collemiche","C2H","169.86","1157.32","1106.61","Finale B"
"Teo Durand-Loan Guyomarch","C2H","184.08","946.71","1280.18","Finale B"
"Matteo Figueiredo Alves-Samy Serrakh","C2H","207.93","779.42","1571.3","Finale B"
"Hugo Tellier-Florian Jumetz","C2H","Dsq","-","-","Finale B"
"Chloe Gatuingt-Leo Degraeve","C2M","148.72","664.44","697.29","Finale B"
"Simon Dubosc-Clemence Douche","C2M","150.2","857.2","713.86","Finale B"
"Fabien Bonvalet-Alexia Evrard","C2M","151.14","697.98","724.38","Finale B"
"Theo Moalic-Eloise Riviere","C2M","162.64","941.97","853.05","Finale B"
"Delphine Brunet-Samuel Bonvalet","C2M","164.46","810.73","873.42","Finale B"
"Lison Gautrelet-Dimitri Houlier","C2M","165.08","779.64","880.36","Finale B"
"Melanie Brunet-Nicolas Villaume","C2M","192.27","892.02","1184.58","Finale B"
"Elise Vegnaduzzo","K1D","128.21","471.31","556.67","Finale B"
"Elza Horlock","K1D","129.9","548.1","576.76","Finale B"
"Souhayla Khattabi","K1D","130.49","613.61","583.77","Finale B"
"Charlotte Chauvey","K1D","131.08","577.87","590.78","Finale B"
"Lisa Manach","K1D","134.35","671.01","629.64","Finale B"
"Anouk Hadad","K1D","136.27","619.64","652.45","Finale B"
"Eloise Riviere","K1D","139.9","554.68","695.58","Finale B"
"Catherine Boulan","K1D","144.02","613.37","744.53","Finale B"
"Maeva Firon","K1D","149.27","803.82","806.91","Finale B"
"Solene Douche","K1D","158.21","904.58","913.15","Finale B"
"Angele Sottolefevre","K1D","246.93","1253.16","1967.33","Finale B"
"Melanie Brunet","K1D","251.65","734.65","2023.41","Finale B"
"Delphine Brunet","K1D","711.68","1322.8","7489.58","Finale B"
"Wissal Mouinet","K1D","Dsq","-","-","Finale B"
"Dante Bourlet De La Vallee","K1H","109.71","506.28","506.32","Finale B"
"Hugo Baillet","K1H","109.78","495.38","507.26","Finale B"
"Charles Moalic","K1H","111.27","529.59","527.27","Finale B"
"Yoann Turowsky","K1H","111.8","494.74","534.39","Finale B"
"Benjamin Soroka","K1H","112.33","531.32","541.5","Finale B"
"Vincent Amisse","K1H","112.68","520.16","546.2","Finale B"
"Louis Vanbersel","K1H","112.77","486.23","547.41","Finale B"
"Rayan Serrakh","K1H","115.58","752.42","585.14","Finale B"
"Titouan Aussant","K1H","115.96","513.91","590.24","Finale B"
"Damien Jacques","K1H","116.15","563.4","592.79","Finale B"
"Maxence Galy","K1H","116.71","592.6","600.31","Finale B"
"Gabriel Benoit","K1H","117.46","573.61","610.38","Finale B"
"Gerard Lafargue","K1H","118.21","511.15","620.45","Finale B"
"Teddy Poulard","K1H","118.55","513.48","625.02","Finale B"
"Hugo Tellier","K1H","118.94","569.94","630.25","Finale B"
"Clery Girard","K1H","119.7","561.97","640.46","Finale B"
"Jeansebastien Simonklein","K1H","119.84","516.13","642.34","Finale B"
"Philippe Valeri","K1H","120.46","555.75","650.66","Finale B"
"Louis Marescot","K1H","121.39","634.61","663.15","Finale B"
"Paul Pesant","K1H","121.4","586.45","663.28","Finale B"
"Esteban Olivier","K1H","121.84","677.27","669.19","Finale B"
"Samuel Bonvalet","K1H","123.27","638.35","688.39","Finale B"
"Nicolas Villaume","K1H","123.46","649.67","690.94","Finale B"
"Louis Marvillet","K1H","123.78","867.93","695.24","Finale B"
"Gaetan Laperle","K1H","123.99","615.65","698.06","Finale B"
"Loan Guyomarch","K1H","124.24","668.58","701.42","Finale B"
"Yann Castryck- -genereux","K1H","124.28","631.12","701.95","Finale B"
"Mathis Andrieu","K1H","124.49","718.01","704.77","Finale B"
"Tom Armand","K1H","125.03","615.6","712.02","Finale B"
"Justin Collemiche","K1H","125.66","714.69","720.48","Finale B"
"Mathis Pomares","K1H","126.11","813.22","726.53","Finale B"
"Jason Leroy","K1H","127.96","1040.03","751.36","Finale B"
"Vincent Dorchat","K1H","129.43","755.61","771.1","Finale B"
"Thibaut Jumetz","K1H","129.69","711.04","774.59","Finale B"
"Lucas Ferloni","K1H","130.4","771.76","784.13","Finale B"
"Leo Tellier","K1H","131.62","819.69","800.51","Finale B"
"Pierre Yves Tempier","K1H","131.81","761.4","803.06","Finale B"
"Sebastien Masseline","K1H","132.74","662.39","815.55","Finale B"
"Jean Chevassus-clement","K1H","133.91","718.96","831.25","Finale B"
"Noe Vannier","K1H","134.02","570.93","832.73","Finale B"
"Geoffroy Lauth","K1H","134.4","821.36","837.83","Finale B"
"Eric Bernard","K1H","136.5","742.12","866.03","Finale B"
"Erwan Masson","K1H","138.92","749.39","898.52","Finale B"
"Mathias Felix","K1H","140.58","702.49","920.81","Finale B"
"Alain Brucher","K1H","142.34","867.24","944.44","Finale B"
"Thomas Leblond","K1H","143.65","826.06","962.03","Finale B"
"David Leroy","K1H","149.52","796.06","1040.85","Finale B"
"Alexandre Mauger","K1H","151.4","757.39","1066.09","Finale B"
"Thomas Gossieaux","K1H","165.76","578.12","1258.9","Finale B"
"Paul Lecomte","K1H","172.68","760.01","1351.82","Finale B"
"Quentin Mannier","K1H","Abs","-","-","Finale B"
