"SELECTIF REGIONAL SLALOM COURSE 2 - Veigne - 2007-11-25","Course 1","2007-11-25","Régional","120"
"Nicolas Rebours","K1H","183.40","138","107",""
"Goulwen Chapelier","K1H","183.74","214","110",""
"Benjamin Thouvignon","K1H","184.41","109","113",""
"Fabien Tournadre","K1H","185.85","121","122",""
"Boris Sacre","K1H","187.07","159","129",""
"Herve Busson","K1H","188.42","105","137",""
"Florian Ordonneau","K1H","188.98","130","140",""
"Richard Davy","K1H","192.98","161","165",""
"Simon Philibert","K1H","196.33","186","184",""
"Vincent Froger","K1H","200.45","232","209",""
"Vincent Lemonnier","K1H","200.89","277","211",""
"Emmanuel Moreau","K1H","202.14","215","219",""
"Alexandre Thomasseau","K1H","203.42","304","227",""
"Yoann Rebours","K1H","204.23","175","232",""
"Guillaume Arnaud","K1H","204.60","227","234",""
"Remy Linard","K1H","205.21","248","237",""
"Marc Laborde","K1H","208.21","157","255",""
"Alexandre Plouzeau","K1H","210.27","278","268",""
"Timothee Venot","K1H","211.28","275","274",""
"Jacques Despierres","K1H","211.42","249","275",""
"Jerome Talbot","K1H","214.10","-","291",""
"Simon Vaillant","K1H","215.54","270","299",""
"Simon Deboysson","K1H","216.22","302","303",""
"Arthur Feraud","K1H","219.13","336","321",""
"Bastien Pailler","K1H","219.41","302","323",""
"Keuterick Yohan","K1H","226.99","356","367",""
"Mathieu Eyrolle","K1H","227.36","400","370",""
"Flavien Odile","K1H","229.23","307","381",""
"Roy Pascal","K1H","230.05","-","386",""
"Thomas Drouart","K1H","230.19","368","387",""
"Baptiste Grosjean","K1H","232.51","-","401",""
"Anthony Themines","K1H","235.95","371","422",""
"Guillaume Tagand","K1H","238.35","-","436",""
"Morgan Forget","K1H","240.77","429","450",""
"Jerome Boudin","K1H","242.58","-","461",""
"Antoine Beaudoin","K1H","242.75","476","462",""
"Romaric Baron","K1H","246.08","359","482",""
"Stephane Machet","K1H","251.46","465","514",""
"Joffrey Lemeux","K1H","251.87","203","516",""
"Jan Baudet","K1H","252.90","539","522",""
"Etienne Legeay","K1H","265.57","250","598",""
"Guillaume Scire","K1H","268.52","-","616",""
"Emmanuel Despont","K1H","271.65","558","635",""
"Alexandre Avril","K1H","271.66","518","635",""
"Guilhem Becvort","K1H","279.41","387","681",""
"Romain Faurie","K1H","280.88","441","690",""
"Anthime Larousse","K1H","283.45","884","705",""
"Yoann Turowsky","K1H","283.78","319","707",""
"Valentin Blondel","K1H","287.67","689","730",""
"Nicolas Petipez","K1H","293.18","704","763",""
"Florent Regrettier","K1H","315.38","-","897",""
"Foulier Odilon","K1H","323.95","696","948",""
"Aurelien Cosson","K1H","352.30","-","1117",""
"Paul Bornier","K1H","354.79","603","1132",""
"Sylvain Georges","K1H","370.91","770","1228",""
"Simon Drouart","K1H","383.42","-","1303",""
"Ludovic Couture","K1H","396.89","-","1384",""
"Marquais Alexis","K1H","399.00","762","1396",""
"David Couture","K1H","414.50","607","1489",""
"Nicolas Leconte","K1H","416.77","646","1502",""
"Valentin Millet Naas","K1H","425.84","757","1556",""
"Alexandre Plumejeau","K1H","431.98","-","1593",""
"Guillaume Verhaeghe","K1H","504.31","1229","2026",""
"Julian Picard","K1H","512.32","715","2074",""
"Gerard Cartier","K1H","541.92","890","2251",""
"Vincent Nicolosi","K1H","549.41","-","2295",""
"Flavien Portier","K1H","558.86","-","2353",""
"Paul Trecul","K1H","571.82","-","2430",""
"Quentin Nerborac","K1H","630.73","-","2782",""
"Duterme Geofrey","K1H","638.33","2380","2828",""
"Jordy Pichot","K1H","647.17","-","2880",""
"Cyril Blanc","K1H","658.83","1188","2950",""
