"Sélectif régional - Angoulême - 2010-10-03","Course 1","2010-10-03","Régional","166"
"Marie Gaspard","K1D","116.89","42.33","142.26",""
"Sarah Lyphout","K1D","120.07","118.67","176.31",""
"Frederique Merle","K1D","124.94","175.33","228.44",""
"Laurence Pessoni","K1D","126.36","188.33","243.64",""
"Amelie Perier","K1D","126.46","345","244.72",""
"Manon Sacre","K1D","132.68","298.33","311.3",""
"Manon Prioux","K1D","133.02","270.67","314.94",""
"Morgane Alain","K1D","133.43","343","319.33",""
"Mathilde Pelletan","K1D","135.02","369","336.35",""
"Ella Bregazzi","K1D","141.42","-","404.86",""
"Marine Dumartin","K1D","142.79","410.67","419.53",""
"Aenor Wahl","K1D","148.44","-","480.02",""
"Marie Charlotte Doreau","K1D","150.4","538.67","500.99",""
"Maud Greco","K1D","155.24","-","552.82",""
"Oceane Drouet","K1D","157.25","543.67","574.33",""
"Justine Lorin","K1D","157.45","-","576.47",""
"Sophie Wadlow","K1D","158.61","-","588.89",""
"Ivana Lebegue","K1D","160.37","808","607.73",""
"Alison Drouet","K1D","161.87","606.33","623.79",""
"Barbara Lassechere","K1D","166.44","-","672.71",""
"Aurelie Pantier","K1D","176","778.67","775.05",""
"Angelique Chasseriault","K1D","186.23","-","884.56",""
"Laura Granet","K1D","208.19","-","1119.66",""
"Ludovic Di Nisi","K1H","99.54","17.67","95.06",""
"Louis-maxime Main","K1H","102.06","71.33","125.54",""
"Yoann Gottardo","K1H","102.19","133.33","127.11",""
"Nicolas Labat","K1H","102.42","23.67","129.9",""
"Antoine Roux","K1H","103.95","151.67","148.4",""
"Gurgen Brun","K1H","104.32","146.54","152.88",""
"Fabien Cambon","K1H","104.64","180","156.75",""
"James Duvernoy","K1H","104.98","148","160.86",""
"Damien Launay","K1H","105.05","165.33","161.71",""
"Christophe Marechal","K1H","106.07","28.67","174.05",""
"Felix Merzeau","K1H","106.59","123","180.34",""
"Thibaud Delaunay","K1H","106.6","173.67","180.46",""
"Alexandre Di Nisi","K1H","107.05","136.33","185.9",""
"Nicolas Baudoin","K1H","107.41","156.67","190.26",""
"Vincent Menager","K1H","107.89","-","196.07",""
"Matthieu Chauvel","K1H","108.11","233.67","198.73",""
"Olivier Nonnet","K1H","108.43","231.67","202.6",""
"Quentin Lyphout","K1H","108.9","133.67","208.28",""
"Philippe Niquet","K1H","109.63","234.33","217.11",""
"Alexandre Dherbilly","K1H","109.98","254.33","221.35",""
"Thomas Marino","K1H","110.58","246.67","228.61",""
"Guillaume Chainier","K1H","111.86","203.33","244.09",""
"Damien Mareau","K1H","112.2","-","248.2",""
"Marc Robert","K1H","112.21","193","248.32",""
"Pierre Portais","K1H","112.35","196","250.02",""
"Jeremy Rouet","K1H","112.83","351","255.82",""
"Matthias Besse","K1H","113.48","231","263.69",""
"Valentin Cesbron","K1H","113.57","312.33","264.78",""
"Etienne Chauvin","K1H","113.69","214.67","266.23",""
"Kevin Sponem","K1H","114.49","286.33","275.91",""
"Antoine Giudicelli","K1H","115.28","-","285.46",""
"Maxime Texier","K1H","115.33","-","286.07",""
"Romain Gaillard","K1H","115.65","295.67","289.94",""
"Gaetan Hamelin","K1H","116.16","307","296.11",""
"Clement Praille","K1H","116.83","237.67","304.21",""
"Hugo Le Goff","K1H","117.27","266","309.53",""
"Remi Parayre","K1H","117.27","233.67","309.53",""
"Christian Boob","K1H","117.52","303.67","312.56",""
"Antoine Delcourt","K1H","117.8","295","315.95",""
"Simon Richar","K1H","117.87","320.67","316.79",""
"Damien Souville","K1H","118.09","-","319.45",""
"Mathis Besse","K1H","118.36","328.67","322.72",""
"Benoit Sergent","K1H","118.52","349","324.66",""
"Luc Jauvin","K1H","118.81","-","328.16",""
"Francois Giudicelli","K1H","119.19","-","332.76",""
"Arthur Huet","K1H","119.27","-","333.73",""
"Thibaut Mechling","K1H","121.69","348.67","363",""
"Kilian Blot","K1H","121.9","-","365.54",""
"Emilien Bastian","K1H","121.92","-","365.79",""
"Gauthier Vanden  Abeele","K1H","122.08","434.89","367.72",""
"Jean-daniel Bost","K1H","122.14","320","368.45",""
"Xavier Flatreau","K1H","122.79","359.67","376.31",""
"Lucas Marchais","K1H","124.27","-","394.21",""
"Thomas Megard","K1H","124.38","568","395.54",""
"David Vacher","K1H","124.56","444","397.72",""
"Maxime Perrin","K1H","124.89","-","401.71",""
"Romain Trotin","K1H","125.82","-","412.96",""
"Valentin Gorce - Joyeux","K1H","127.12","-","428.69",""
"Kevin Baroy","K1H","127.44","-","432.56",""
"Charlie Baron","K1H","127.54","339.67","433.77",""
"Jules Nicot","K1H","127.89","-","438",""
"Jeremy Lepoutre","K1H","128.03","455.67","439.7",""
"Etienne Baudry","K1H","128.73","-","448.17",""
"Loup Charles","K1H","129.16","395","453.37",""
"Daniel Bregazzi","K1H","130.94","490.67","474.9",""
"Jean-noel Biteau","K1H","130.96","424.67","475.14",""
"Koldo Dequae","K1H","131","-","475.63",""
"Matthias Etourneau","K1H","131.92","531.64","486.76",""
"Thomas Dieusaert","K1H","135.4","-","528.85",""
"Jean Luc Pessoni","K1H","137.24","601.67","551.11",""
"Pierre Bellion","K1H","137.63","-","555.83",""
"Vincent Zago","K1H","139.02","551.67","572.64",""
"Tom Le Goff","K1H","139.36","-","576.76",""
"Clement Lavergne","K1H","139.75","-","581.47",""
"Paul Sauvage","K1H","141.35","-","600.83",""
"Julien Anglade","K1H","141.42","631.67","601.68",""
"Marc Chion","K1H","141.6","-","603.85",""
"Jonathan Bourdier","K1H","142.87","625.67","619.22",""
"Maurice Pubert","K1H","148.87","679.33","691.8",""
"Axel Delage","K1H","149.11","-","694.7",""
"Gregory Pelletant","K1H","154.72","-","762.57",""
"Patrick Desouche","K1H","170.29","-","950.92",""
"Pierre Ferrand","K1H","185.59","-","1136",""
"Nicolas Da Silva","K1H","196.49","-","1267.86",""
"Pierre Chevalier","K1H","236.32","-","1749.68",""
"Abdelkrim Ali Zazou","K1H","Nt","-","-",""
"Enguerran Sers","K1H","Nt","-","-",""
"Pierre Cogny","K1H","Nt","-","-",""
"Mathieu Charliac","K1H","Nt","-","-",""
"Valentin Lesseau","K1H","Nt","-","-",""
"Caryck Bouladjat","K1H","Nt","-","-",""
