"Sélectif Régional de slalom - Isle De La Serre (sault Brénaz) - Course n°1 | Finale - 2015-10-24","Course n°1 | Finale","2015-10-24","Régional","179"
"Yves Prigent-Phenicia Dupras","C2M","117.79","-","336.51","Course n°1 | Finale A"
"Emilie Fer","K1D","89.65","15.19","83.64","Course n°1 | Finale A"
"Caroline Bourry","K1D","92.93","124.99","122.63","Course n°1 | Finale A"
"Anneline Triomphe","K1D","93.64","131.78","131.07","Course n°1 | Finale A"
"Nelly Tornare","K1D","99.34","223.05","198.84","Course n°1 | Finale A"
"Marine Schmitt","K1D","100.67","151.14","214.66","Course n°1 | Finale A"
"Angele Hug","K1D","101.15","238.2","220.36","Course n°1 | Finale A"
"Viviana Daille","K1D","101.38","172.18","223.1","Course n°1 | Finale A"
"Jihane Samlal","K1D","102.59","179.8","237.48","Course n°1 | Finale A"
"Emilie Lhomme","K1D","103.33","197.5","246.28","Course n°1 | Finale A"
"Carine Chapuis","K1D","106.23","295.84","280.76","Course n°1 | Finale A"
"Meryl Steinmann","K1D","106.87","302.55","288.37","Course n°1 | Finale A"
"Marie-amelie Jullien","K1D","108.18","270.15","303.95","Course n°1 | Finale A"
"Phenicia Dupras","K1D","108.61","360.41","309.06","Course n°1 | Finale A"
"Fanny Mino-vercellio","K1D","112.8","285.24","358.88","Course n°1 | Finale A"
"Raphaelle Hovine","K1D","115.53","278.17","391.34","Course n°1 | Finale A"
"Coline Bertin","K1D","115.74","352.24","393.83","Course n°1 | Finale A"
"Louise Bichet","K1D","116.71","248.58","405.36","Course n°1 | Finale A"
"Louane Chenal","K1DM","115.3","386.04","388.59","Course n°1 | Finale A"
"Marie Juquelier","K1DM","122","440.79","468.26","Course n°1 | Finale A"
"Solen Friconneau","K1DM","143.08","-","-","Course n°1 | Finale A"
"Yves Prigent","K1H","81.26","28.44","109.48","Course n°1 | Finale A"
"Benjamin Travostino","K1H","81.47","53.68","112.3","Course n°1 | Finale A"
"Kevin Schultz","K1H","82.01","72.79","119.56","Course n°1 | Finale A"
"Titouan Dupras","K1H","85.6","126.2","167.79","Course n°1 | Finale A"
"Matthieu Le Gall","K1H","87.28","177.92","190.36","Course n°1 | Finale A"
"Louis Masson","K1H","87.54","168.16","193.85","Course n°1 | Finale A"
"Jonathan Chapatte","K1H","88.12","144.92","201.65","Course n°1 | Finale A"
"Nicolas Caussanel","K1H","88.23","145.86","203.12","Course n°1 | Finale A"
"Gregoire Guerin","K1H","88.91","163.5","212.26","Course n°1 | Finale A"
"Robin Pilard","K1H","89.77","181.21","223.81","Course n°1 | Finale A"
"Alexandre Lismonde","K1H","89.81","224.39","224.35","Course n°1 | Finale A"
"Davy Egraz","K1H","90.39","183.12","232.14","Course n°1 | Finale A"
"Maxime Bottex","K1H","90.48","89.24","233.35","Course n°1 | Finale A"
"Aubry Bertin","K1H","90.96","163.46","239.8","Course n°1 | Finale A"
"Lucas Latimier","K1H","91.04","238.83","240.88","Course n°1 | Finale A"
"Robin Pottelette","K1H","91.4","233.31","245.71","Course n°1 | Finale A"
"Mathieu Monier","K1H","91.64","202.78","248.94","Course n°1 | Finale A"
"Erwan Cadio","K1H","91.94","235.87","252.97","Course n°1 | Finale A"
"Minhyeong Song","K1H","93.53","225.01","274.33","Course n°1 | Finale A"
"Jeonghyeon Lee","K1H","93.54","300.44","274.46","Course n°1 | Finale A"
"Jules Cresp","K1H","93.55","271.2","274.6","Course n°1 | Finale A"
"Charles Fernandes De Oliveira","K1H","93.82","267.87","278.23","Course n°1 | Finale A"
"Sylvain Curinier","K1H","93.93","-","279.7","Course n°1 | Finale A"
"Valentin Vibert","K1H","94.01","263.21","280.78","Course n°1 | Finale A"
"Pascal Ferry","K1H","95.15","239.13","296.09","Course n°1 | Finale A"
"Jean Philippe Roche","K1H","96","285.27","307.51","Course n°1 | Finale A"
"Nicolas Detheve","K1H","96.13","310.98","309.26","Course n°1 | Finale A"
"Pierre Grapotte","K1H","96.24","240.96","310.74","Course n°1 | Finale A"
"Samuel Bonella","K1H","96.27","257.35","311.14","Course n°1 | Finale A"
"Guilhem Douillet","K1H","96.49","-","314.1","Course n°1 | Finale A"
"Lilian Querry","K1H","96.86","261.33","319.07","Course n°1 | Finale A"
"Sebastien Routhier","K1H","97.13","321.36","322.7","Course n°1 | Finale A"
"Emeric Vibert","K1H","97.86","281.48","332.5","Course n°1 | Finale A"
"Thomas Denais","K1H","97.99","304.36","334.25","Course n°1 | Finale A"
"Alexis Caspar","K1H","101.11","324.38","376.17","Course n°1 | Finale A"
"Jules Silvin","K1H","102.86","292.27","399.68","Course n°1 | Finale A"
"Tom Benini","K1H","105.66","324.2","437.3","Course n°1 | Finale A"
"Olivier Barriere","K1H","108.55","339.59","476.12","Course n°1 | Finale A"
"Djendy Simeant","K1HM","105.18","-","-","Course n°1 | Finale A"
"Lucas Dominguez","K1HM","106.71","-","-","Course n°1 | Finale A"
"Louis Mazoyer","K1HM","109.71","-","491.71","Course n°1 | Finale A"
"Etienne Wiche","K1HM","111.27","-","-","Course n°1 | Finale A"
"Matheo Dejonghe","K1HM","134.03","-","-","Course n°1 | Finale A"
"Benjamin Guyon","K1HM","143.41","-","-","Course n°1 | Finale A"
"Henri Bergognon","K1HM","148.06","276.22","1006.94","Course n°1 | Finale A"
"Luc Primet","K1HM","148.87","-","-","Course n°1 | Finale A"
"Charles Culine","K1HM","150.37","863.07","1037.98","Course n°1 | Finale A"
"Adrien Fischer","K1HM","160.48","364.88","1173.81","Course n°1 | Finale A"
"Angelino Castagnetti","K1HM","170.95","967.44","1314.47","Course n°1 | Finale A"
"Viviana Daille","C1D","128.37","421.84","459.96","Course n°1 | Finale B"
"Aurelie Le Fee","C1D","153.79","614.79","744.56","Course n°1 | Finale B"
"Margot Blanc","C1D","Abd","-","-","Course n°1 | Finale B"
"Timothee Olla","C1H","96.28","254.39","254.68","Course n°1 | Finale B"
"David Besancon","C1H","104.46","356.74","359.34","Course n°1 | Finale B"
"Jean Baptiste Lismonde","C1H","108.95","422.56","416.8","Course n°1 | Finale B"
"Beomsoo Kim","C1H","111.04","381.91","443.53","Course n°1 | Finale B"
"Teo Bouvier","C1H","112.9","604.52","467.34","Course n°1 | Finale B"
"Raphael Olla","C1H","114.6","461.71","489.09","Course n°1 | Finale B"
"Thomas Denais","C1H","116.19","573.5","509.43","Course n°1 | Finale B"
"Jules Silvin","C1H","120.54","467.54","565.09","Course n°1 | Finale B"
"Lucas Barriere","C1H","122.09","810.3","584.92","Course n°1 | Finale B"
"Andre Gaschler","C1H","126.88","-","646.21","Course n°1 | Finale B"
"Titouan Dupras","C1H","128.72","364.74","669.75","Course n°1 | Finale B"
"Maxime Melmont","C1HM","163.1","-","1109.66","Course n°1 | Finale B"
"Angelino Castagnetti","C1HM","248.84","1113.91","2206.73","Course n°1 | Finale B"
"Paul Farrugio","C1HM","Abd","-","-","Course n°1 | Finale B"
"Lucas Latimier-Robin Pottelette","C2H","115.99","371.53","439.41","Course n°1 | Finale B"
"Erwan Degreve-Kilian Godart","C2H","135.42","634.82","676.73","Course n°1 | Finale B"
"Victorien Lombard-Yannick Grizaud","C2H","252.24","-","2103.53","Course n°1 | Finale B"
"Hind Jamili","K1D","100.61","218.25","218.94","Course n°1 | Finale B"
"Zoe Bruchon","K1D","113.38","324.06","370.77","Course n°1 | Finale B"
"Aurelie Le Fee","K1D","117.75","527.62","422.74","Course n°1 | Finale B"
"Juliette Rousset","K1D","119.64","451.69","445.2","Course n°1 | Finale B"
"Tifenn Primet","K1D","127","409.57","532.7","Course n°1 | Finale B"
"Sarah Monod","K1D","131.22","484.77","582.88","Course n°1 | Finale B"
"Orlane Gauchet","K1D","152.48","560.16","835.65","Course n°1 | Finale B"
"Elise Carbon","K1D","155.53","889.48","871.91","Course n°1 | Finale B"
"Estelle Mayer","K1D","163.79","601.43","970.12","Course n°1 | Finale B"
"Alessandra Villa","K1D","164.98","-","984.27","Course n°1 | Finale B"
"Juliette Ribault","K1D","190.18","585.46","1283.88","Course n°1 | Finale B"
"Lison Soullier","K1D","191.1","1887.23","1294.82","Course n°1 | Finale B"
"Lise Ducruet","K1D","195.34","-","1345.23","Course n°1 | Finale B"
"Marine Brenet","K1D","242.68","-","1908.08","Course n°1 | Finale B"
"Julie Roussel","K1D","282.01","-","2375.69","Course n°1 | Finale B"
"Lucie Fromentoux","K1DM","134.54","-","622.35","Course n°1 | Finale B"
"Victoire Guerin","K1DM","145.88","828.41","757.17","Course n°1 | Finale B"
"Anouk Alberti","K1DM","243.55","-","-","Course n°1 | Finale B"
"Yann Zaepffel","K1H","93.99","261.53","285.51","Course n°1 | Finale B"
"Raphael Olla","K1H","95.16","315.04","301.23","Course n°1 | Finale B"
"William Gettliffe","K1H","96.55","-","319.9","Course n°1 | Finale B"
"Sebastien Lepaulard","K1H","96.86","273.97","324.07","Course n°1 | Finale B"
"Bertrand Dubiez","K1H","97.99","353.29","339.25","Course n°1 | Finale B"
"Loic Joly","K1H","98.19","313.8","341.94","Course n°1 | Finale B"
"Benjamin Dodane","K1H","98.34","328.96","343.95","Course n°1 | Finale B"
"Pascal Hunault","K1H","99.71","358.32","362.36","Course n°1 | Finale B"
"Emmanuel Triomphe","K1H","99.86","352.7","364.37","Course n°1 | Finale B"
"Yannick Grizaud","K1H","102.56","-","400.65","Course n°1 | Finale B"
"Antoni Zaki","K1H","103.14","430.73","408.44","Course n°1 | Finale B"
"Maxime Pilard","K1H","103.26","462.08","410.05","Course n°1 | Finale B"
"Lucas Barriere","K1H","103.38","374.35","411.66","Course n°1 | Finale B"
"Kilian Godart","K1H","104.94","444.24","432.62","Course n°1 | Finale B"
"Victorien Lombard","K1H","106.33","422.31","451.3","Course n°1 | Finale B"
"Arnaud Lejeune","K1H","109.44","-","493.08","Course n°1 | Finale B"
"Erwan Degreve","K1H","110.07","498.09","501.55","Course n°1 | Finale B"
"Yves Masson","K1H","113.74","589.3","550.85","Course n°1 | Finale B"
"Yanis Delacour","K1H","113.85","437.8","552.33","Course n°1 | Finale B"
"Francois Lecuit","K1H","116.26","550.53","584.71","Course n°1 | Finale B"
"Djimy Kar","K1H","117.94","373.22","607.28","Course n°1 | Finale B"
"Hugo Gondeaux","K1H","119.61","480.76","629.72","Course n°1 | Finale B"
"Kilian Hervault","K1H","119.98","752.89","634.69","Course n°1 | Finale B"
"Harry Shakeshaft","K1H","120.07","-","635.9","Course n°1 | Finale B"
"Felix Balas","K1H","120.46","-","641.14","Course n°1 | Finale B"
"Enzo Mazouat","K1H","123.35","649.29","679.96","Course n°1 | Finale B"
"Remi Vallin","K1H","124.97","-","701.73","Course n°1 | Finale B"
"Tom Mazouat","K1H","129.84","671.91","767.16","Course n°1 | Finale B"
"Jae Hyeong Bak","K1H","146.84","353.64","995.55","Course n°1 | Finale B"
"Vincent Chamois","K1H","147","700.77","997.7","Course n°1 | Finale B"
"Teo Bouvier","K1H","152.56","340.01","1072.4","Course n°1 | Finale B"
"Louis Pein","K1H","154.97","409.4","1104.78","Course n°1 | Finale B"
"Marc Jungling","K1H","157.35","780.53","1136.76","Course n°1 | Finale B"
"Loic Bouvier","K1H","160.45","498.39","1178.41","Course n°1 | Finale B"
"Andre Gaschler","K1H","216.42","-","1930.37","Course n°1 | Finale B"
"Lucas Madoz","K1H","Abd","-","-","Course n°1 | Finale B"
"Guillaume Belet","K1HM","116.72","-","-","Course n°1 | Finale B"
"Maxime Melmont","K1HM","117.99","481.55","607.95","Course n°1 | Finale B"
"Raphael Massot","K1HM","120.46","-","-","Course n°1 | Finale B"
"Yazid Koraichi","K1HM","121.24","-","-","Course n°1 | Finale B"
"Erwann Buthod","K1HM","122.25","-","-","Course n°1 | Finale B"
"Nino Chailan","K1HM","125.07","753.74","703.07","Course n°1 | Finale B"
"Valentin Renier","K1HM","130.7","-","778.71","Course n°1 | Finale B"
"Paul Farrugio","K1HM","136.13","-","851.66","Course n°1 | Finale B"
"Julien Lambert","K1HM","152.02","-","-","Course n°1 | Finale B"
"Thibault Pereira","K1HM","196.53","-","1663.14","Course n°1 | Finale B"
"Florent Vallier","K1HM","Abd","-","-","Course n°1 | Finale B"
