"SÈlectif RÈgional de Slalom - Itxassou - Finale - 2017-10-15","Finale","2017-10-15","RÈgional","204"
"Esteban Illido","K1H","101.47","351.85","355.33","Finale A"
"Nicolas Saurat","K1H","101.48","292.69","355.46","Finale A"
"Tom Bouchardon","K1H","102.06","249.68","363.11","Finale A"
"Fabien Paleau","K1H","102.08","313.78","363.38","Finale A"
"Theau Le Loch","K1H","102.11","291.71","363.77","Finale A"
"Paul Commenges","K1H","102.33","275.59","366.68","Finale A"
"Etienne Saint Picq","K1H","102.65","471.64","370.9","Finale A"
"Cedric Landreau","K1H","102.87","374.73","373.8","Finale A"
"Jonathan Suc","K1H","103.13","410.93","377.23","Finale A"
"Thibault Clerc","K1H","104.57","349.01","396.24","Finale A"
"Tomy Dandonneau","K1H","104.81","391.13","399.4","Finale A"
"Angus Cruickshank","K1H","105.09","393.55","403.1","Finale A"
"Jeremy Rouchereau","K1H","105.65","452.16","410.49","Finale A"
"Herve Clerc","K1H","105.83","348.98","412.87","Finale A"
"Paul Gobert","K1H","106.69","481.38","424.21","Finale A"
"Jean Christophe Erdois","K1H","107.53","331.89","435.3","Finale A"
"Jules Besson","K1H","108.17","465.05","443.75","Finale A"
"Eric Vidou","K1H","109.77","401.19","464.86","Finale A"
"Baptiste San Nicolas","K1H","110.45","500.27","473.83","Finale A"
"Simon Metra","K1H","111.37","478.44","485.98","Finale A"
"Mael Bernes","K1HM","99.11","380.12","324.18","Finale A"
"Loris Shayam Affre","K1HM","102.12","397.3","363.91","Finale A"
"Hugo Crespo","K1HM","103.25","547.62","378.82","Finale A"
"Fantin Delage-garez","K1HM","103.52","427.38","382.38","Finale A"
"Yon Dandonneau","K1HM","105.5","-","408.51","Finale A"
"Baptiste Delemotte","K1HM","107.18","497.78","430.68","Finale A"
"Emilien Courtiade","K1HM","107.66","448.41","437.02","Finale A"
"Thomas Terr…","K1HM","107.81","651.35","439","Finale A"
"Alex Baldoni","K1HM","107.96","498.95","440.97","Finale A"
"Marin Saint Macary","K1HM","109.12","611.87","456.28","Finale A"
"Matt Vidou","K1HM","110.67","564.54","476.74","Finale A"
"Esteban Bidegain","K1HM","111.54","598.46","488.22","Finale A"
"Guillaume Malmezac","K1HM","113.43","514.11","513.16","Finale A"
"Antton Erdois","K1HM","113.99","538.39","520.55","Finale A"
"Thibault Marque","K1HM","120.13","-","601.58","Finale A"
"Elena Hugues","C1D","108.54","249.12","214.9","Finale B"
"Charline Berger Martin","C1D","114.01","295.24","275.05","Finale B"
"Oceane Baylacq","C1D","114.33","316.91","278.57","Finale B"
"Elorri Erdois","C1D","117.78","403.75","316.51","Finale B"
"Solene Lafitte","C1D","122.6","485.66","369.53","Finale B"
"Lea Baldoni","C1D","130.28","450.87","453.99","Finale B"
"Marc Sarramea","C1H","103.24","337.04","318.81","Finale B"
"Mathias Pannetier","C1H","107.34","387.89","370.34","Finale B"
"Raoul Colin","C1H","107.61","405.74","373.74","Finale B"
"Theau Le Loch","C1H","107.82","334.79","376.38","Finale B"
"Jonathan Suc","C1H","110.38","-","408.55","Finale B"
"Yoan Micouraud","C1H","113.79","-","451.4","Finale B"
"Gauthier Beyneix","C1H","117.93","685.69","503.43","Finale B"
"Adrien Mesmoudi","C1H","120.45","502.44","535.11","Finale B"
"Theo Laudrin","C1H","120.97","-","541.65","Finale B"
"Tonin Desmet","C1H","126.55","575.28","611.78","Finale B"
"Julien Coric","C1H","129.09","770.15","643.7","Finale B"
"Paul Gobert","C1H","132.17","706.17","682.41","Finale B"
"Tristan Ruiz","C1H","Des","-","-","Finale B"
"Fantin Delage-garez","C1HM","125.5","551.72","598.58","Finale B"
"Yon Dandonneau","C1HM","128.51","-","636.4","Finale B"
"Matt Vidou","C1HM","131.67","729.5","676.13","Finale B"
"Marie-zelia Lafont","K1D","97.36","47.47","158.28","Finale B"
"Alixe Degremont","K1D","103.14","157.87","225.78","Finale B"
"Lise Denat","K1D","103.76","268.94","233.02","Finale B"
"Stephanie Kaczmarek","K1D","108.21","213.26","284.99","Finale B"
"Oceane Baylacq","K1D","109.79","295.04","303.44","Finale B"
"Elorri Erdois","K1D","109.99","278.53","305.78","Finale B"
"Solene Lafitte","K1D","113.7","408.6","349.1","Finale B"
"Agathe Benoit","K1D","123.64","-","465.19","Finale B"
"Aurore Poirot","K1D","126.81","649.57","502.21","Finale B"
"Emma Angladette","K1D","132.01","552.2","562.94","Finale B"
"Perrine Dujourd'hui","K1D","162.8","979.71","922.52","Finale B"
"Nuith Engstrand","K1D","207.49","1678.53","1444.43","Finale B"
"Lisa Mourot","K1D","Des","-","-","Finale B"
"H…l»ne Gassie","K1D","Des","-","-","Finale B"
"Youlia Estanguet","K1DM","118.25","440.34","402.24","Finale B"
"Juliette Derouineau","K1DM","119.16","517.04","412.86","Finale B"
"Chloe Bonnet","K1DM","188.22","833.6","1219.39","Finale B"
"Valentin Courtiade","K1H","92.16","226.42","237.47","Finale B"
"Gael Adisson","K1H","92.46","218.26","241.42","Finale B"
"Jeremie Palazy","K1H","92.53","211.62","242.35","Finale B"
"Luc Sarramea","K1H","97.52","226.45","308.2","Finale B"
"Elliot Perez","K1H","99.44","275.68","333.54","Finale B"
"Nathan Pavot","K1H","99.97","352.71","340.53","Finale B"
"Adrien Mesmoudi","K1H","100.24","281.52","344.1","Finale B"
"Marc Cordier","K1H","100.67","331.36","349.77","Finale B"
"Thierry Derouineau","K1H","101.74","361.22","363.89","Finale B"
"Patrick Clerc","K1H","105.24","304.34","410.08","Finale B"
"Denis Vintrou","K1H","107.75","501.53","443.2","Finale B"
"Simeon Althabegoity","K1H","108.66","1416.22","455.21","Finale B"
"Antonin Maystre","K1H","108.72","362.45","456","Finale B"
"Antonin Beyneix","K1H","109.18","610.8","462.07","Finale B"
"Stephane Perilhou","K1H","109.44","494.45","465.51","Finale B"
"Gedeon Cothias-faure","K1H","110","436.57","472.9","Finale B"
"Gr…gory Navail","K1H","110.16","-","475.01","Finale B"
"Yannis Dast","K1H","110.48","516.37","479.23","Finale B"
"Lucas Dongarra","K1H","111.29","539.82","489.92","Finale B"
"Nicolas Neveu","K1H","111.59","-","493.88","Finale B"
"Antoine Bouby","K1H","113.07","-","513.41","Finale B"
"Jean Dayraut","K1H","113.98","510.51","525.42","Finale B"
"Tristan Ruiz","K1H","115","654","538.88","Finale B"
"Renaud Clerc","K1H","115.53","555.55","545.87","Finale B"
"Franck Vanhoutteghem","K1H","116.67","695.48","560.92","Finale B"
"Romain Guichet","K1H","116.84","567.6","563.16","Finale B"
"Jean Yves Courtiade","K1H","117.03","415.38","565.67","Finale B"
"Daniel Lafitte","K1H","117.46","744.21","571.34","Finale B"
"Quentin Escudero","K1H","118.08","812.3","579.53","Finale B"
"Tonin Desmet","K1H","118.11","504.11","579.92","Finale B"
"David Acero Blondin","K1H","119.7","728.01","600.91","Finale B"
"Bruno Oteiza","K1H","120.68","621.45","613.84","Finale B"
"Luc Monpouillan","K1H","129.42","-","729.18","Finale B"
"Benoit Sempastous","K1H","130.77","-","746.99","Finale B"
"Paul Beguin","K1H","136.81","-","826.7","Finale B"
"Guillaume Malere","K1H","145.85","-","946","Finale B"
"Nicolas Peyroux","K1H","147.29","953.95","965","Finale B"
"Anthony Voisine","K1H","157.61","-","1101.19","Finale B"
"Loan Jioux","K1H","164.84","550.18","1196.61","Finale B"
"Aurelien Blois","K1H","181.63","956.19","1418.18","Finale B"
"Julien Doumecq","K1HM","110.28","780.51","476.59","Finale B"
"Remi Dolcin Tillant","K1HM","113.53","694.66","519.48","Finale B"
"Emeric Nieser","K1HM","115.77","-","549.04","Finale B"
"Baptiste Mondin","K1HM","116.03","948.8","552.47","Finale B"
"Lukas Estanguet-santamaria","K1HM","117.01","-","565.41","Finale B"
"Noa Lorand","K1HM","120.32","811.57","609.09","Finale B"
"Bruno Lamothe","K1HM","121.16","-","620.17","Finale B"
"Guillaume Pradalie","K1HM","121.37","735.7","622.94","Finale B"
"Leo Arriau","K1HM","122.79","-","641.68","Finale B"
"Leo Metro","K1HM","123.83","-","655.41","Finale B"
"K…ziah Lecomte","K1HM","125.5","-","677.45","Finale B"
"Arsene Labarthe","K1HM","135.43","945.3","808.49","Finale B"
"Amil Kourdoughli","K1HM","137.59","-","837","Finale B"
"Matheo Nassieu","K1HM","Abs","-","-","Finale B"
