"Slalom N2 de Réals - Réals - 2008-02-03","Course 1","2008-02-03","Nationale 2","118"
"Romain Chabrol","K1H","235.76","184","202",""
"Lois Desroches","K1H","237.10","217","208",""
"Sylvain Colonnier","K1H","237.29","201","209",""
"Nicolas Masson","K1H","237.56","167","210",""
"Andy Pajani","K1H","238.34","90","214",""
"Julien Daumont","K1H","238.86","120","215",""
"Thomas Monvoisin","K1H","239.88","200","220",""
"Virgile Pigache-donnet","K1H","240.76","176","224",""
"Samuel Lhegu","K1H","241.59","132","227",""
"Pascal Ferry","K1H","242.02","153","229",""
"Jeremy Moureaux","K1H","242.48","166","231",""
"Bastien Dantin","K1H","242.87","224","233",""
"Colin Molinier","K1H","243.88","191","237",""
"Stephane Labouille","K1H","244.84","124","241",""
"Antoine Devillez","K1H","252.03","205","271",""
"Yannick Besse","K1H","256.34","188","290",""
"Sylvain Herrbach","K1H","256.64","185","292",""
"Julien Tous","K1H","265.54","67","329",""
"Nicolas Burgi","K1H","267.10","170","336",""
"Vincent Reiter","K1H","268.71","95","343",""
"Bastien Salame","K1H","277.49","121","381",""
"Jeanluc Nitard","K1H","278.13","209","383",""
"Axel Mulle","K1H","279.49","141","389",""
"Florent Boulet","K1H","287.37","147","422",""
"Olivier Blanc","K1H","292.82","149","446",""
"Guillaume Bernis","K1H","296.70","224","463",""
"Benjamin Travostino","K1H","318.99","94","557",""
"Jean Philippe Winiarski","K1H","327.58","138","594",""
"Olivier Bourgey","K1H","339.50","200","645",""
"Mathieu Cataldo","K1H","375.99","229","801",""
