"SÈlectif RÈgional Slalom & Championnat RÈgional Slalom ""Grand Est"" - 67600 Selestat - Finale - 2020-10-10","Finale","2020-10-10","RÈgional","271"
"Victor Henry-Paul Gstalter","C2H","151.82","975.02","949.43","Finale B"
"Laurine Grandadam","K1D","133.21","653.71","672.86","Finale B"
"Celia Grandadam","K1D","135.33","726.53","698.63","Finale B"
"Agathe Portmann","K1D","139.7","790.3","751.75","Finale B"
"Claire Colin","K1D","141.37","654.79","772.05","Finale B"
"Aurelie Fourez","K1D","148.4","1052.45","857.52","Finale B"
"Emmy Tamburini","K1D","150.92","1014.12","888.16","Finale B"
"Lola Malais…","K1D","153.98","1339.72","925.35","Finale B"
"Carole Dolmaire","K1D","154.03","863.48","925.97","Finale B"
"Heloise Stemmelen","K1D","161.04","963.22","1011.18","Finale B"
"Candice Bonmarchand","K1D","168.33","1472.27","1099.82","Finale B"
"Leanne Lemal","K1D","178.16","1487.6","1219.32","Finale B"
"Lou Hudlett","K1D","188.17","2682.9","1341.01","Finale B"
"Javotte Graslaplante","K1D","228.81","943.71","1835.08","Finale B"
"Emma Lies","K1D","274.4","2052.85","2389.32","Finale B"
"Cathilya Talon","K1DM","161.52","820.08","1017.02","Finale B"
"Juliette Formet","K1DM","196.58","1184.6","1443.26","Finale B"
"S…l»ne Driget","K1DM","199.55","1103.07","1479.36","Finale B"
"Christophe Siffert","K1H","107.17","571.94","525.66","Finale B"
"Simon Drouart","K1H","109.53","640.13","558.08","Finale B"
"Ludovic Kessler","K1H","112.69","541.57","601.49","Finale B"
"Yann Becker","K1H","114.22","637.81","622.51","Finale B"
"Philippe Potier","K1H","114.99","740.3","633.09","Finale B"
"Jean Marc Trenchant","K1H","115.13","696.11","635.01","Finale B"
"Paul Bornier","K1H","117.69","775.12","670.18","Finale B"
"Philippe Koffel","K1H","119.95","749.52","701.22","Finale B"
"Nicolas Fritsch","K1H","120.26","787.21","705.48","Finale B"
"Maxence Raymond","K1H","120.53","654.6","709.19","Finale B"
"Arnaud Jamet","K1H","120.62","678.22","710.43","Finale B"
"Quentin Dierstein","K1H","120.79","580.17","712.76","Finale B"
"Frederic Caillet","K1H","121.28","721.64","719.5","Finale B"
"Maxime Forcadette","K1H","122.03","800.3","729.8","Finale B"
"Adrien Dierstein","K1H","122.06","769.43","730.21","Finale B"
"Mathieu Jacquelin","K1H","122.35","690.68","734.19","Finale B"
"Nolan Lequesne","K1H","122.37","613.56","734.47","Finale B"
"Alexandre L'huillier","K1H","122.77","903.3","739.96","Finale B"
"Aloys Morel","K1H","123.5","975.47","749.99","Finale B"
"Simon Bouchot","K1H","123.76","753.96","753.56","Finale B"
"Victor Hirschmann-rodriguez","K1H","124.82","884.12","768.13","Finale B"
"Emile Babel","K1H","125.36","790.72","775.54","Finale B"
"Andre Kempf","K1H","125.71","895.68","780.35","Finale B"
"Max Cantenot","K1H","125.91","1005.68","783.1","Finale B"
"Gerard Menissier","K1H","125.93","680.52","783.37","Finale B"
"Guillaume Louis","K1H","127.86","791.95","809.89","Finale B"
"Paul Gaillard","K1H","128.41","981.93","817.44","Finale B"
"Edy Gasser","K1H","130.2","759.28","842.03","Finale B"
"Alexandre Allemang","K1H","133.04","1562.43","881.05","Finale B"
"Mathieu Baudoin","K1H","137.73","1045.22","945.48","Finale B"
"Jules Fischer","K1H","138.05","1734.9","949.87","Finale B"
"Kenzo Garnier","K1H","139.62","793.31","971.44","Finale B"
"Aaron Drager","K1H","141.22","976.85","993.42","Finale B"
"Stephane Cassin","K1H","142.51","1100.6","1011.14","Finale B"
"Moritz Adler","K1H","143.2","936.63","1020.62","Finale B"
"Jacques Fouchier","K1H","143.33","944.59","1022.41","Finale B"
"Tom Accou","K1H","146.3","1061.2","1063.21","Finale B"
"S…bastien Besnard","K1H","149.64","1602.29","1109.09","Finale B"
"Arnaud Cote","K1H","152.25","1078.12","1144.95","Finale B"
"Julien Dupriez","K1H","153.58","958.55","1163.22","Finale B"
"Valentin Clement","K1H","162.09","1118.47","1280.12","Finale B"
"Anthony Menissier","K1H","182.52","698.7","1560.78","Finale B"
"Victor Scheffzek","K1H","186.18","1665.76","1611.06","Finale B"
"Fabien Vacelet","K1H","197.46","1021.36","1766.02","Finale B"
"Guilhem Becvort","K1H","206.97","1179.68","1896.66","Finale B"
"Paul Colin","K1H","210.9","1553.96","1950.65","Finale B"
"Maxence Principaud","K1HM","132.28","2332.03","870.61","Finale B"
"Simon Sossi","K1HM","132.47","913.54","873.22","Finale B"
"Jules Dolisy","K1HM","134.72","894.89","904.13","Finale B"
"Clement Breuvart","K1HM","137.38","902.84","940.67","Finale B"
"Etienne Ermel","K1HM","142.52","1183.99","1011.28","Finale B"
"Lucas Grenier","K1HM","143.6","1787.09","1026.12","Finale B"
"William Cherrier","K1HM","146.37","1137.22","1064.17","Finale B"
"Axel Marchand","K1HM","149.41","1033.92","1105.93","Finale B"
"Lucien Schmidt","K1HM","151.93","1129.51","1140.55","Finale B"
"Mathys Henry","K1HM","161.46","1479.54","1271.47","Finale B"
"Erwann Louis","K1HM","162.05","1672.68","1279.57","Finale B"
"Samson Gehenn Agbewode","K1HM","170.21","881.28","1391.67","Finale B"
"Gennaro Capitano","K1HM","173.27","1394.71","1433.71","Finale B"
"Hugo Bazin","K1HM","Abd","-","-","Finale B"
