"Championnat Régional - Bassin de St Pierre de Boeuf - 2013-09-28","Course 2","2013-09-28","Régional","314"
"Alexandre Marin","C1H","140.86","-","612.23",""
"Etienne Klatt","C1H","150.89","363.19","723.53",""
"Simon Bonnet","C1H","170.08","-","936.48",""
"Antonin Elne","C1H","175.53","-","996.95",""
"Hugo Andre","C1H","192.56","-","1185.92",""
"Alexis Mercoirol","C1H","194.6","292.24","1208.56",""
"Maxime Gaillard","C1H","196.54","-","1230.09",""
"Tomy Ly","C1H","199.44","-","1262.27",""
"Marc Delli Zuani","C1H","207.19","-","1348.28",""
"Eliot Guerry","C1H","250.82","-","1832.42",""
"Timothee Olla","C1H","288.81","-","2253.99",""
"Lucas Di Martino","C1H","433.18","497.35","3856.01",""
"Jean Philippe Roche","C1H","Nt","-","-",""
"Leo Bernard","C1H","Nt","-","-",""
"Adrien Kaiser","C1H","Nt","-","-",""
"Adrien Maire","C1H","Nt","-","-",""
"Lilian Querry","C1H","Nt","-","-",""
"Regis Romey","C1H","Nt","-","-",""
"Cedric Mace","C1H","Nt","-","-",""
"Loic Burlet","C1H","Nt","-","-",""
"Natacha Delassus-Marjorie Delassus","C2D","148.16","-","430.18",""
"Frank Adisson-Sandra Forgues","C2H","114.5","-","261.97",""
"Antoine Gaillard-Antonin Elne","C2H","122.66","122.2","348.4",""
"Axel Kournwsky-Adrien Maire","C2H","127.53","260.25","399.99",""
"Aubry Bertin-Nowan Bertin","C2H","134.43","-","473.08",""
"Pascal Ferry-Romain Martelet","C2H","134.79","-","476.88",""
"Loic Bertoia-Alexandre Marin","C2H","135.08","369.96","479.96",""
"Pablo Guillem-Adrien Reinard","C2H","138.25","600.66","513.54",""
"Jeremie Devillers-Charles Fernandes De Oliveira","C2H","209.63","-","1269.62",""
"Mathieu Lions-Cyril Audoit","C2H","228.69","-","1471.5",""
"Gregoire Guerin-Florian Jarousse","C2H","312.98","550.56","2364.33",""
"Remy Guerry-Stephane Melmont","C2H","Nt","-","-",""
"Anthony Deschamps-Valentin Vibert","C2H","Nt","-","-",""
"Jonas Le Morvan-Claire Landrin","C2M","116.64","134.5","200.87",""
"Marie Borlet-Baptiste Delaplace","C2M","121.97","-","253.5",""
"Davy Egraz-Mylene Ferry","C2M","125.51","187.24","288.45",""
"Boris Chenal-Laurine Naveau","C2M","126.3","-","296.26",""
"Emmanuel Sarazin-Laura Rocher","C2M","130.67","-","339.41",""
"Louise Bichet-Charles Vallet","C2M","233.17","-","1351.51",""
"Pioerre-calixte Gaydon-ohl-Melanie Connes-lessard","C2M","233.26","-","1352.4",""
"Simon Bonnet-Lea Wetzel","C2M","Nt","-","-",""
"Julie Neime","K1D","104.58","50.64","127.48",""
"Annaelle Meheut","K1D","104.71","73.36","128.83",""
"Mylene Ferry","K1D","106.46","68.68","146.87",""
"Nelly Tornare","K1D","106.71","61.25","149.45",""
"Lea Wetzel","K1D","108.42","57.19","167.08",""
"Julie Labarelle","K1D","109.83","57.33","181.62",""
"Candice Brondel","K1D","113.56","153.38","220.08",""
"Emeline Oudet","K1D","114.57","108.63","230.49",""
"Marine Schmitt","K1D","114.69","123.57","231.73",""
"Marie Borlet","K1D","115.29","80.56","237.92",""
"Barbara Gibert","K1D","116.04","82.32","245.65",""
"Viviana Daille","K1D","116.64","177.16","251.83",""
"Anne Sophie Le Bailly","K1D","117.73","125.69","263.07",""
"Joey Bercon","K1D","118.07","90.86","266.59",""
"Laura Rocher","K1D","118.73","115.96","273.38",""
"Clara Gache","K1D","120.63","209.73","292.98",""
"Raphaelle Hovine","K1D","120.81","121.26","294.84",""
"Sabine Kleinhenz","K1D","121.25","-","299.37",""
"Leonie Gachon","K1D","121.99","182.13","307",""
"Marion Delorme","K1D","122.61","161.11","313.39",""
"Laura Ligeon","K1D","123.78","-","325.46",""
"Natacha Delassus","K1D","125.37","-","341.85",""
"Marjorie Delassus","K1D","126.11","139.63","349.48",""
"Jenny Chevalier","K1D","127.55","200.97","364.33",""
"Fanny Mino-vercellio","K1D","128.78","-","377.02",""
"Louise Bichet","K1D","128.79","211.95","377.11",""
"Carla Cerrutti - Bozzola","K1D","129.75","244.79","387.02",""
"Marie-amelie Jullien","K1D","130.06","-","390.21",""
"Marine Tournier","K1D","132.89","259.23","419.39",""
"Elsa Cailhol","K1D","143.81","275.65","531.98",""
"Coline Bertin","K1D","145.03","-","544.57",""
"Angele Picco","K1D","147.85","399.6","573.65",""
"Stephanie Bourdin","K1D","149.92","388.82","594.99",""
"Andrea Claveyroles","K1D","159.4","-","692.74",""
"Caroline Bourry","K1D","159.71","57.47","695.93",""
"Noemie Cazin","K1D","164.52","-","745.53",""
"Marie Boyer","K1D","169.33","1190.22","795.13",""
"Charlotte Issagarre","K1D","171.02","183.05","812.55",""
"Julie Fauroux","K1D","177.13","-","875.55",""
"Melanie Connes-lessard","K1D","180.34","502.57","908.66",""
"Hind Jamili","K1D","184.04","198.55","946.8",""
"Lucie Adisson","K1D","194.79","-","1057.65",""
"Christelle Channac","K1D","195.01","452.29","1059.91",""
"Delia Forgues","K1D","196.25","260.96","1072.71",""
"Lou Lombard","K1D","202.52","-","1137.35",""
"Deborah Bouchenot","K1D","211.33","-","1228.19",""
"Manon Scotto","K1D","235.29","-","1475.25",""
"Helene Merlet","K1D","242.81","1060.43","1552.78",""
"Juliette Bonetti","K1D","243.75","467.42","1562.48",""
"Audeline Lombard","K1D","282.99","-","1967.09",""
"Lorene Scalbert","K1D","285.16","366.84","1989.47",""
"Alicia Biglia","K1D","333.78","441.3","2490.79",""
"Pauline Desmaris","K1D","343.02","-","2586.06",""
"Lo Notable","K1D","463.69","-","3830.3",""
"Annie Ughetto","K1D","Nt","-","-",""
"Mathieu Doby","K1H","91.56","10.96","115.96",""
"Nicolas Abbal","K1H","93.97","22.96","144.04",""
"Boris Chenal","K1H","95.82","40.25","165.6",""
"Kevin Schultz","K1H","95.91","28.44","166.65",""
"Enzo Seker","K1H","96.03","54.81","168.04",""
"Emile Devaux","K1H","96.13","134.87","169.22",""
"Davy Egraz","K1H","96.42","46.03","172.59",""
"Andy Pajani","K1H","96.64","41.51","175.16",""
"Titouan Dupras","K1H","97.06","83.4","180.05",""
"Martin Dougoud","K1H","97.5","25","185.18",""
"Aubry Bertin","K1H","97.58","58.68","186.11",""
"Maxime Bottex","K1H","98.74","56.62","199.62",""
"Adrien Maire","K1H","99.2","126.62","204.98",""
"Matthieu Basset","K1H","99.32","121.21","206.38",""
"Sylvain Dandel","K1H","99.36","57.26","206.85",""
"Hafiz Ali Hassan","K1H","99.76","175.02","211.51",""
"Pascal Ferry","K1H","100.6","79.04","221.29",""
"Maxime Le Morvan","K1H","100.61","91.58","221.42",""
"Valentin Vibert","K1H","100.69","87.84","222.34",""
"Gregoire Guerin","K1H","101.19","161.19","228.17",""
"Axel Kournwsky","K1H","101.57","142.66","232.6",""
"Baptiste Granger","K1H","102.29","-","240.99",""
"Julien Beltrami","K1H","102.32","142.21","241.33",""
"Thibault Gibert","K1H","102.83","85.17","247.27",""
"Vincent Garcia","K1H","102.9","123.59","248.1",""
"Tobias Olla","K1H","103","-","249.26",""
"Julien Signarbieux","K1H","103.51","160.61","255.2",""
"Julien Coudert","K1H","103.74","-","257.88",""
"Bertrand Bercon","K1H","103.98","75.78","260.68",""
"Paul Cornut-chauvinc","K1H","104.68","173.93","268.84",""
"Eric Labarelle","K1H","104.89","-","271.28",""
"Loic Bertoia","K1H","105.15","198.32","274.31",""
"Jonas Le Morvan","K1H","105.33","72.07","276.41",""
"Louis Masson","K1H","105.43","197.21","277.57",""
"Thomas Neime","K1H","105.69","-","280.6",""
"Simon Bonnet","K1H","105.76","-","281.41",""
"Vincent Gerdeaux","K1H","106.34","122.64","288.17",""
"William Gettliffe","K1H","107.05","139.93","296.45",""
"Leo Fournier","K1H","107.21","126.86","298.31",""
"Daniel Geay","K1H","107.59","213.06","302.74",""
"Lilian Querry","K1H","108.22","201.85","310.08",""
"Alexis Cordier","K1H","108.32","133.43","311.25",""
"Corentin Talancieux","K1H","108.71","152.94","315.79",""
"Elie Miquel","K1H","109.12","152.95","320.56",""
"Ronan Cordier","K1H","109.15","219.43","320.91",""
"Nowan Bertin","K1H","110.36","64.62","335.02",""
"Arthur Bernot","K1H","110.41","129.3","335.6",""
"Thomas Girard","K1H","110.92","-","341.53",""
"Thomas Denais","K1H","110.93","198.4","341.65",""
"Guillaume Jardin","K1H","111.73","172.61","350.98",""
"Francois Lisbonne","K1H","111.94","-","353.42",""
"Aurelien Noble","K1H","112.03","-","354.47",""
"Sebastien Nouvel","K1H","112.1","150.34","355.29",""
"Julien Jeanningros","K1H","112.79","189.39","363.33",""
"Quentin Duhamel","K1H","112.95","189.19","365.19",""
"Sebastien Lepaulard","K1H","113.02","162.47","366.01",""
"Tristan Ribault","K1H","113.67","242.41","373.59",""
"Antonin Elne","K1H","113.68","63.25","373.7",""
"Yannick Grizaud","K1H","114.7","213.17","385.58",""
"Sebastien Riou","K1H","115.01","220.41","389.2",""
"Florian Jarousse","K1H","115.46","230.27","394.44",""
"Alexandre Marin","K1H","115.48","216.93","394.67",""
"Kevin Guyard","K1H","115.68","363.39","396.99",""
"Philippe Lelieur","K1H","115.73","244.09","397.59",""
"Thibault Gache","K1H","115.78","-","398.17",""
"Ludovic Smal","K1H","115.89","-","399.44",""
"Florent Bernard","K1H","115.9","282.24","399.56",""
"Valentin Bigonet","K1H","116.24","108.92","403.52",""
"Pablo Guillem","K1H","116.41","269.47","405.51",""
"Sebastien Manteau","K1H","116.62","306.68","407.96",""
"Mathias Guillot","K1H","116.81","299.56","410.17",""
"Guillaume Affortit","K1H","116.98","185.12","412.14",""
"Francis Gaillard","K1H","117.52","219.34","418.44",""
"Matteo Licoine","K1H","117.89","-","422.75",""
"Loris Duchesne","K1H","118.4","-","428.7",""
"Lucas Barriere","K1H","118.88","293.07","434.29",""
"Charles Vallet","K1H","118.95","294.38","435.1",""
"Adrian Lauer","K1H","119.32","-","439.42",""
"Hugo Crepeau","K1H","119.61","-","442.79",""
"Quentin Sablayrolles","K1H","119.66","272.26","443.37",""
"Adelin Constans","K1H","119.69","-","443.72",""
"Etienne Klatt","K1H","119.84","301.93","445.47",""
"Adrien Kaiser","K1H","120.66","-","455.03",""
"Pierre Moreau","K1H","120.83","-","457",""
"Yannis Brousset","K1H","121.07","236.51","459.8",""
"Alexis Saut","K1H","121.42","438.91","463.88",""
"Cedric Mace","K1H","122.86","202.06","480.65",""
"Maxime Gaillard","K1H","123.12","-","483.69",""
"Edgar Laheurte","K1H","123.88","-","492.54",""
"Julien Mayoux","K1H","124.41","-","498.71",""
"Mathieu Lions","K1H","124.95","241.54","505.01",""
"Lucas Jolivet","K1H","125.02","-","505.83",""
"Flavien Portier","K1H","126.43","279.72","522.25",""
"Anselm Arnaud","K1H","126.46","409.95","522.6",""
"Marc Le Morvan","K1H","126.98","388.55","528.67",""
"Arnaud Deletraz","K1H","126.98","346.6","528.67",""
"Charles Fernandes De Oliveira","K1H","127.18","-","531",""
"Louis Burignat","K1H","127.27","311.07","532.04",""
"Yann Zaepffel","K1H","127.33","-","532.74",""
"Marc Cailhol","K1H","127.42","358.5","533.79",""
"Sylvain Bonnet","K1H","127.75","352.05","537.63",""
"Hugo Lelieur","K1H","128.19","321.52","542.76",""
"Mahe Dersoir","K1H","128.36","-","544.74",""
"Anthony Claveyroles","K1H","129.32","402.51","555.93",""
"Sebastien Conil","K1H","129.55","-","558.61",""
"Jeremie Devillers","K1H","129.78","-","561.28",""
"Julien Petit-maire","K1H","130.38","445.48","568.28",""
"Jean Philippe Roche","K1H","130.6","-","570.84",""
"Wolfgang Schulz","K1H","132.27","-","590.3",""
"Keryann Brest","K1H","133","311.98","598.8",""
"Pierre Louis Debuigne","K1H","135.15","456.73","623.86",""
"Morgan Hoarau","K1H","135.21","444.17","624.55",""
"Julien Guillerault","K1H","135.36","423.31","626.3",""
"Fabien Leist","K1H","138.34","354.49","661.02",""
"Thibaut Semiond","K1H","138.69","415.19","665.1",""
"Mathurin Garnier","K1H","139.17","364.75","670.7",""
"Vincent Causse","K1H","139.37","-","673.03",""
"Pacome Ricciardi","K1H","140.25","354","683.28",""
"Emilien Senneret","K1H","140.59","535.66","687.24",""
"Louis Pauliat","K1H","140.82","-","689.92",""
"Alan Bellot","K1H","141.96","549.9","703.2",""
"Yanis Delacour","K1H","142.11","566.96","704.95",""
"Pioerre-calixte Gaydon-ohl","K1H","142.26","472.56","706.7",""
"Olivier Kremer","K1H","143.18","-","717.42",""
"Jerome Burignat","K1H","143.42","603.46","720.22",""
"Tomy Ly","K1H","144.14","-","728.6",""
"Sebastien Routhier","K1H","144.21","-","729.42",""
"Alexandre Rozand","K1H","148.46","-","778.94",""
"Julien Lambert","K1H","153.17","-","833.82",""
"Jeff Caron","K1H","157.11","-","879.73",""
"Adrien Tappero","K1H","157.56","160.7","884.97",""
"Valentin Bonnot","K1H","160.38","409.99","917.82",""
"Benjamin Dodane","K1H","161.53","485.68","931.22",""
"Cyril Rabaste","K1H","163.12","-","949.75",""
"Yohann Biglia","K1H","164.67","207.4","967.81",""
"Jean-baptiste Rebeuf","K1H","169.99","-","1029.8",""
"Titouan Reymond-ghidini","K1H","171.78","552.09","1050.65",""
"Maxime Benay","K1H","176.89","425.27","1110.19",""
"Tristan Muzelle","K1H","177.68","-","1119.4",""
"Lucas Di Martino","K1H","179.61","-","1141.89",""
"Morgan Meffre","K1H","180.09","302.92","1147.48",""
"Thomas Thieblemont","K1H","180.43","284.77","1151.43",""
"Adam Wronski","K1H","185.65","679.79","1212.25",""
"Valentin Affortit","K1H","187.33","-","1231.83",""
"Remy Beule Dauzat","K1H","192.18","-","1288.34",""
"Kilian Torti","K1H","192.34","-","1290.21",""
"David Dih","K1H","195.26","-","1324.23",""
"Hugo Andre","K1H","205.56","-","1444.24",""
"Joseph Risson","K1H","207.83","-","1470.69",""
"Ayoub Roger","K1H","210.08","1673.76","1496.91",""
"Cyril Audoit","K1H","218.43","480.62","1594.2",""
"Adrien Jacquemet","K1H","229.73","-","1725.86",""
"Valentin Dancette","K1H","246.55","-","1921.84",""
"Antoine Vauthier","K1H","248.88","-","1948.98",""
"Paul Roubaud","K1H","253.95","466.73","2008.06",""
"Nicolas Castagnetti","K1H","266.41","610.44","2153.23",""
"Luc Ciappara","K1H","289.3","1144.63","2419.94",""
"Stephane Marcellot","K1H","295.08","349.38","2487.29",""
"Eliot Guerry","K1H","296.6","-","2504.99",""
"Regis Romey","K1H","403.72","-","3753.11",""
"Romain Marechal","K1H","445.08","-","4235.02",""
"Stephane Melmont","K1H","Nt","-","-",""
"Remy Guerry","K1H","Nt","-","-",""
"Maxime Brisset","K1H","Nt","-","-",""
"Luka Simeant Esprit","K1H","Nt","-","-",""
"Lucas Maurin","K1H","Nt","-","-",""
"Thomas Baudelet","K1H","Nt","-","-",""
"Luis Brisson","K1H","Nt","-","-",""
"Olivier Barriere","K1H","Nt","-","-",""
"Anthony Deschamps","K1H","Nt","-","-",""
"Anthony Oudot","K1H","Nt","-","-",""
"Jean Philippe Winiarski","K1H","Nt","-","-",""
"Leo Bernard","K1H","Nt","-","-",""
"Maxence Saint Sulpice","K1H","Nt","-","-",""
"Timothee Olla","K1H","Nt","-","-",""
"Antoine Monternier","K1H","Nt","-","-",""
"Marc Jungling","K1H","Nt","-","-",""
