"Double Sélectif Régional Slalom - 14690 Pont D Ouilly - Course n°1 | Finale - 2020-01-25","Course n°1 | Finale","2020-01-25","Régional","147"
"Emma Pouilly","K1D","121.71","575.53","486.33","Course n°1 | Finale A"
"Faustine Grandin","K1D","122.21","786.76","492.33","Course n°1 | Finale A"
"Elise Masseline","K1D","126.37","492.79","542.28","Course n°1 | Finale A"
"Estelle Brodin","K1D","126.75","650.11","546.84","Course n°1 | Finale A"
"Orlane Colmant","K1D","167.65","1396.45","1037.95","Course n°1 | Finale A"
"Zoe Dronne","K1DM","128.64","581.16","569.54","Course n°1 | Finale A"
"Lise Guyomarc'h","K1DM","132.64","1515.17","617.57","Course n°1 | Finale A"
"Sandre Meyer","K1DM","168.68","1197.74","1050.31","Course n°1 | Finale A"
"Clemence Jaroszewski","K1DM","299.43","2708.79","2620.26","Course n°1 | Finale A"
"Arthur Mizzi","K1H","81.59","142.71","131.96","Course n°1 | Finale A"
"Leni Perreau","K1H","88.48","355.59","225.44","Course n°1 | Finale A"
"Anthony Thuillier","K1H","91.03","230.26","260.04","Course n°1 | Finale A"
"Thibaud Collaert","K1H","91.62","280.31","268.04","Course n°1 | Finale A"
"Jean Messialle","K1H","92.97","314.36","286.36","Course n°1 | Finale A"
"Benjamin Thiboust","K1H","93.75","193.21","296.94","Course n°1 | Finale A"
"Fabien Bonvalet","K1H","94.26","389.7","303.86","Course n°1 | Finale A"
"Titouan Aussant","K1H","94.96","344.98","313.36","Course n°1 | Finale A"
"Estephe Decarsin","K1H","95.16","301.7","316.08","Course n°1 | Finale A"
"Emeric Bertrand","K1H","96.28","422.85","331.27","Course n°1 | Finale A"
"Jean Aussant","K1H","97.19","366.93","343.62","Course n°1 | Finale A"
"Florian Jumetz","K1H","97.92","371.78","353.52","Course n°1 | Finale A"
"Louison Decarsin","K1H","100.88","513.13","393.69","Course n°1 | Finale A"
"Hugo Tellier","K1H","101.47","424.03","401.69","Course n°1 | Finale A"
"Louis Marvillet","K1H","104.26","531.72","439.55","Course n°1 | Finale A"
"Mathieu Aussant","K1H","105.4","420.19","455.01","Course n°1 | Finale A"
"Erwan Laloux","K1H","106.24","517","466.41","Course n°1 | Finale A"
"Teddy Poulard","K1H","108.26","506.5","493.82","Course n°1 | Finale A"
"Antoine Martin","K1H","109.97","524.34","517.02","Course n°1 | Finale A"
"Sebastien Delaunay","K1H","112.94","583.33","557.32","Course n°1 | Finale A"
"Quentin Podevin","K1H","113.28","494.95","561.93","Course n°1 | Finale A"
"Ludovic Lecerf","K1H","113.46","593.47","564.37","Course n°1 | Finale A"
"Theo Moalic","K1H","114.83","436.59","582.96","Course n°1 | Finale A"
"Thibaut Jumetz","K1H","117.58","606.92","620.27","Course n°1 | Finale A"
"Benoit Guernic","K1H","147.3","411.67","1023.52","Course n°1 | Finale A"
"Nathan Morris","K1HM","119.29","725.56","643.48","Course n°1 | Finale A"
"Antonin Costa","K1HM","119.95","739.19","652.43","Course n°1 | Finale A"
"Guillaume Cahagne","K1HM","124.53","699.33","714.57","Course n°1 | Finale A"
"Quentin Dubelloy","K1HM","130.24","768.21","792.05","Course n°1 | Finale A"
"Romain Podevin","K1HM","137.59","924.81","891.77","Course n°1 | Finale A"
"Jonas Huet","K1HM","141.04","1032.36","938.59","Course n°1 | Finale A"
"Mathys Valliere","K1HM","141.16","981.06","940.21","Course n°1 | Finale A"
"Siann Delahaye","K1HM","145.3","1123.07","996.39","Course n°1 | Finale A"
"Hugo Mayaud Ingham","K1HM","210.67","1154.42","1883.34","Course n°1 | Finale A"
"Julie Dupas","C1D","130.26","536.15","502.75","Course n°1 | Finale B"
"Mylene Despres","C1D","146.35","576.13","684.68","Course n°1 | Finale B"
"Elza Horlock","C1D","150.07","715.28","726.74","Course n°1 | Finale B"
"Eloise Riviere","C1D","162.85","663.44","871.24","Course n°1 | Finale B"
"Florian Jumetz","C1H","112.41","597.69","482.5","Course n°1 | Finale B"
"Teddy Poulard","C1H","117.08","426.18","542.85","Course n°1 | Finale B"
"Mathis Pomares","C1H","119.52","1157.17","574.38","Course n°1 | Finale B"
"Geoffroy Lauth","C1H","132.74","724.47","745.2","Course n°1 | Finale B"
"Timothee Clep","C1H","133.23","648.12","751.54","Course n°1 | Finale B"
"Oscar Lapiche--dedun","C1H","144.93","1344.72","902.73","Course n°1 | Finale B"
"Lubin Brionne","C1H","145.83","1206.6","914.36","Course n°1 | Finale B"
"Nino Lechevallier","C1H","149.48","1057.66","961.52","Course n°1 | Finale B"
"Xavier Perreau","C1H","159.49","791.22","1090.87","Course n°1 | Finale B"
"Gatien Bocage","C1H","172.76","1685.61","1262.34","Course n°1 | Finale B"
"Thomas Gossieaux","C1H","418.97","1104.67","4443.9","Course n°1 | Finale B"
"Antoine Fournier","C1HM","147.53","983.16","936.33","Course n°1 | Finale B"
"Siann Delahaye","C1HM","200.6","-","1622.1","Course n°1 | Finale B"
"Baptiste Ozieblo","C1HM","311.47","1886.25","3054.77","Course n°1 | Finale B"
"Geoffroy Lauth-Delphine Brunet","C2M","145.23","823.99","672.02","Course n°1 | Finale B"
"Jean Aussant-GaËtane Colmant","C2M","150.61","861.43","732.84","Course n°1 | Finale B"
"Emeric Bertrand-Agnes Blanchemain","C2M","153.19","853.94","762.02","Course n°1 | Finale B"
"Eloise Riviere-Antoine Martin","C2M","164","1720.13","884.25","Course n°1 | Finale B"
"Elza Horlock","K1D","124.37","546.35","523.27","Course n°1 | Finale B"
"Salome Huet","K1D","130.76","540.96","600","Course n°1 | Finale B"
"Nine Meyer","K1D","135.1","755.45","652.11","Course n°1 | Finale B"
"Eloise Riviere","K1D","137.24","570.28","677.8","Course n°1 | Finale B"
"Mylene Despres","K1D","138.57","576.78","693.77","Course n°1 | Finale B"
"Daphnee Mouchelet","K1D","143.12","762.45","748.41","Course n°1 | Finale B"
"Marie Vandeville","K1D","149.48","973.7","824.77","Course n°1 | Finale B"
"GaËtane Colmant","K1D","150.27","1080.73","834.25","Course n°1 | Finale B"
"Delphine Brunet","K1D","153","890.12","867.03","Course n°1 | Finale B"
"Jade Anfrye","K1D","Des","-","-","Course n°1 | Finale B"
"Killian Flegeau","K1H","87.63","208.53","218.91","Course n°1 | Finale B"
"Timothee Clep","K1H","109.68","615.75","518.09","Course n°1 | Finale B"
"Franck Cahagne","K1H","113.38","640.51","568.29","Course n°1 | Finale B"
"Yann Castryck- -genereux","K1H","115.51","634.43","597.19","Course n°1 | Finale B"
"Thomas Gossieaux","K1H","116.02","792.81","604.11","Course n°1 | Finale B"
"Olivier Dulouard","K1H","118.21","653.98","633.82","Course n°1 | Finale B"
"Rayan Serrakh","K1H","119.17","627.5","646.85","Course n°1 | Finale B"
"Philippe Valeri","K1H","119.17","582.48","646.85","Course n°1 | Finale B"
"Thomas Brunet","K1H","122.72","779.37","695.02","Course n°1 | Finale B"
"Lubin Brionne","K1H","123.03","824.54","699.22","Course n°1 | Finale B"
"Nino Lechevallier","K1H","123.04","837.42","699.36","Course n°1 | Finale B"
"Ugo Pean","K1H","127.02","654.26","753.36","Course n°1 | Finale B"
"Nicolas Bracquart","K1H","128.32","1593.79","771","Course n°1 | Finale B"
"Ariel Kasinski","K1H","128.35","1186.17","771.4","Course n°1 | Finale B"
"Corentin Jan","K1H","128.79","792.58","777.37","Course n°1 | Finale B"
"Tom Allio","K1H","129.81","715.42","791.21","Course n°1 | Finale B"
"Gatien Bocage","K1H","130.48","754.93","800.3","Course n°1 | Finale B"
"Paul Le Boulanger","K1H","134.16","1121.98","850.24","Course n°1 | Finale B"
"Elias Schieber","K1H","136.64","1565.49","883.89","Course n°1 | Finale B"
"Oscar Lapiche--dedun","K1H","142.78","869.45","967.19","Course n°1 | Finale B"
"Gaspard Perrio","K1H","143.58","717.4","978.05","Course n°1 | Finale B"
"Guillaume Coutellier","K1H","145.53","819.21","1004.51","Course n°1 | Finale B"
"Geoffroy Lauth","K1H","158.11","1191.03","1175.19","Course n°1 | Finale B"
"Pascal Levardon","K1H","158.37","1557.25","1178.72","Course n°1 | Finale B"
"Antoine Fournier","K1HM","136.56","835.92","882.8","Course n°1 | Finale B"
"Fadil Serrakh","K1HM","146.32","1405.86","1015.23","Course n°1 | Finale B"
"Sacha Ruel Leduc","K1HM","148.68","1209.34","1047.25","Course n°1 | Finale B"
"Romain Brunet","K1HM","157.29","980.58","1164.07","Course n°1 | Finale B"
"Enzo Clupty","K1HM","165.65","1082.83","1277.5","Course n°1 | Finale B"
"Baptiste Ozieblo","K1HM","168.44","1004.88","1315.35","Course n°1 | Finale B"
"Clement Jacqueline","K1HM","196.6","2919.01","1697.43","Course n°1 | Finale B"
"Marius Francoise","K1HM","213.68","2138.72","1929.18","Course n°1 | Finale B"
"Gabriel Stefanovitch","K1HM","345.84","1111.61","3722.35","Course n°1 | Finale B"
