"SÈlectif rÈgional SLALOM & Manche 2 sur B ""Coupe rÈgionale Grand-Est""  - 67600 Selestat - Course n∞2 | Finale - 2019-09-22","Course n∞2 | Finale","2019-09-22","RÈgional","205"
"Maxime Forcadette","C1HM","170.97","446.76","1299.09","Course n∞2 | Finale A"
"Morgane Paulet-Gaelle Aumer","C2D","148.89","977.62","621.63","Course n∞2 | Finale A"
"Thomas L'huillier-Jules Andrien","C2H","109.91","461.88","416.66","Course n∞2 | Finale A"
"Otello Willmann Rosso-Pierre Marie Roussel","C2H","111.86","454.56","441.53","Course n∞2 | Finale A"
"Lucas Latimier-Jules Vonderscher","C2H","114.76","476.23","478.5","Course n∞2 | Finale A"
"Lionel Borde-Michel Bert","C2H","126.27","562.3","625.28","Course n∞2 | Finale A"
"Quentin Maillefer-Adrien Dierstein","C2HM","135.15","752.2","738.51","Course n∞2 | Finale A"
"Maxime Forcadette-Emile Babel","C2HM","146.72","937.5","886.05","Course n∞2 | Finale A"
"Nathan Drouet-Mathys Henry","C2HM","203.17","1479.8","1605.86","Course n∞2 | Finale A"
"Lucille Meunier-cheyssac-Jules Ferber","C2M","124.8","622.62","473.92","Course n∞2 | Finale A"
"Corentin Monasse-Maœa Gombert","C2M","125","428.48","476.26","Course n∞2 | Finale A"
"Lolita Seguy-Paul Bostoen","C2M","125.34","570.31","480.23","Course n∞2 | Finale A"
"Mae Bianco-Valentin Bostoen","C2M","130.11","519.88","535.98","Course n∞2 | Finale A"
"Lolita Seguy","K1D","96.78","223.63","216.47","Course n∞2 | Finale A"
"Fransiska Granzow","K1D","100.78","322.25","266.12","Course n∞2 | Finale A"
"Mae Bianco","K1D","102.74","321.22","290.45","Course n∞2 | Finale A"
"Margot Perrin","K1D","103.09","295.82","294.8","Course n∞2 | Finale A"
"Sophie Colbus","K1D","105.35","283.61","322.85","Course n∞2 | Finale A"
"Anastasia Pagel","K1D","105.89","379.54","329.55","Course n∞2 | Finale A"
"Meryl Steinmann","K1D","106.36","448.2","335.39","Course n∞2 | Finale A"
"Anne-lise Moisan-ehrwein","K1D","107.87","357.66","354.13","Course n∞2 | Finale A"
"Elena Hugues","K1D","109.3","259.61","371.88","Course n∞2 | Finale A"
"Alexane Galmiche","K1D","109.87","182.5","378.96","Course n∞2 | Finale A"
"Lucille Meunier-cheyssac","K1D","110.36","377.77","385.04","Course n∞2 | Finale A"
"Maœa Gombert","K1D","112.17","265.39","407.51","Course n∞2 | Finale A"
"Celia Grandadam","K1D","112.64","455.85","413.34","Course n∞2 | Finale A"
"Luisa Buerner","K1D","Abs","-","-","Course n∞2 | Finale A"
"Claire Colin","K1DM","120.14","473.12","506.44","Course n∞2 | Finale A"
"Justine Haton","K1DM","124.51","598.6","560.68","Course n∞2 | Finale A"
"Kassandra Wagnier","K1DM","124.76","839.83","563.78","Course n∞2 | Finale A"
"Marion Galster","K1DM","127.04","782.89","592.09","Course n∞2 | Finale A"
"Lucas Latimier","K1H","84.26","69.82","197.03","Course n∞2 | Finale A"
"Corentin Monasse","K1H","84.74","107.86","203.76","Course n∞2 | Finale A"
"Benjamin Dodane","K1H","87.01","190.92","235.6","Course n∞2 | Finale A"
"Alexis Pacholak","K1H","90.41","267.85","283.29","Course n∞2 | Finale A"
"Anthony Rouhier","K1H","90.6","275.65","285.96","Course n∞2 | Finale A"
"Nicolas Mangeolle","K1H","92.05","277.87","306.3","Course n∞2 | Finale A"
"Paul Bostoen","K1H","92.79","238.01","316.68","Course n∞2 | Finale A"
"Matthieu Koffel","K1H","93.31","280","323.97","Course n∞2 | Finale A"
"Oskar Hillion","K1H","93.53","293.99","327.06","Course n∞2 | Finale A"
"Hugo Monasse","K1H","93.65","209.02","328.74","Course n∞2 | Finale A"
"Clement Fremy","K1H","94.19","334.21","336.31","Course n∞2 | Finale A"
"Anthony Ulrich","K1H","95.03","304.56","348.1","Course n∞2 | Finale A"
"Erwan Rouch","K1H","95.62","250.66","356.37","Course n∞2 | Finale A"
"Nathan Frison","K1H","95.88","356.08","360.02","Course n∞2 | Finale A"
"Damien Burteaux","K1H","96.87","405.24","373.91","Course n∞2 | Finale A"
"Loic Trenchant","K1H","97.33","224.37","380.36","Course n∞2 | Finale A"
"Nathan Barbier","K1H","98.2","346.03","392.56","Course n∞2 | Finale A"
"Arnaud Caillet","K1H","98.93","511.06","402.8","Course n∞2 | Finale A"
"Maxime Di Lauro","K1H","98.95","340.34","403.08","Course n∞2 | Finale A"
"William Boutet","K1H","100.12","430.24","419.49","Course n∞2 | Finale A"
"Eddy Cassard","K1H","101.03","478.61","432.26","Course n∞2 | Finale A"
"Christophe Siffert","K1H","101.7","411.38","441.65","Course n∞2 | Finale A"
"Christophe Godinat","K1H","102.29","465.36","449.93","Course n∞2 | Finale A"
"Paul Frommer","K1H","102.3","366.03","450.07","Course n∞2 | Finale A"
"Florent Tamburini","K1H","102.32","418.21","450.35","Course n∞2 | Finale A"
"Matthew Vuillard","K1H","102.74","375.77","456.24","Course n∞2 | Finale A"
"Jules Ferber","K1H","102.86","531.44","457.93","Course n∞2 | Finale A"
"Valentin Bostoen","K1H","103.35","510.84","464.8","Course n∞2 | Finale A"
"Remy Perrin","K1H","105.32","500.38","492.43","Course n∞2 | Finale A"
"Evan Trenchant","K1H","106.71","560.69","511.93","Course n∞2 | Finale A"
"Arnaud Jamet","K1H","107.07","493.84","516.98","Course n∞2 | Finale A"
"Gael Ettwiller","K1H","133.22","406.15","883.77","Course n∞2 | Finale A"
"Salim Jemai","K1HM","99.78","384.22","414.72","Course n∞2 | Finale A"
"Leon Beyreuther","K1HM","107.36","1237.8","521.04","Course n∞2 | Finale A"
"Victor Frumholtz","K1HM","108.17","528.65","532.41","Course n∞2 | Finale A"
"Jan Gabin Pischek","K1HM","114.01","516.76","614.32","Course n∞2 | Finale A"
"Leo-paul Cassin","K1HM","114.46","567.06","620.63","Course n∞2 | Finale A"
"Matth…o Waltz","K1HM","116.82","620.41","653.74","Course n∞2 | Finale A"
"Nathan Drouet","K1HM","119.09","653.51","685.58","Course n∞2 | Finale A"
"Zakaria Radouani","K1HM","119.24","817.7","687.68","Course n∞2 | Finale A"
"Thibaud Korn","OUV","121.82","-","-","Course n∞2 | Finale A"
"Gregory Waltz","OUV","129.77","-","-","Course n∞2 | Finale A"
"Anne-lise Moisan-ehrwein","C1D","112.17","228.9","331.29","Course n∞2 | Finale B"
"Sophie Colbus","C1D","122.87","459.34","456.36","Course n∞2 | Finale B"
"Fransiska Granzow","C1D","123.15","617.12","459.63","Course n∞2 | Finale B"
"Celia Grandadam","C1D","123.71","830.43","466.18","Course n∞2 | Finale B"
"Mae Bianco","C1D","123.71","486.33","466.18","Course n∞2 | Finale B"
"Sarah Rothenbuhler","C1D","152.96","833.05","808.08","Course n∞2 | Finale B"
"Arnaud Caillet","C1H","108.86","531.02","474.37","Course n∞2 | Finale B"
"Erwan Rouch","C1H","108.89","515.22","474.78","Course n∞2 | Finale B"
"Paul Bostoen","C1H","110.13","521.83","491.34","Course n∞2 | Finale B"
"Alexis Pacholak","C1H","114.76","541.99","553.19","Course n∞2 | Finale B"
"Lionel Borde","C1H","114.81","480.79","553.86","Course n∞2 | Finale B"
"Paul Bornier","C1H","120.49","579.05","629.73","Course n∞2 | Finale B"
"Paul Gstalter","C1H","121.68","781.58","645.64","Course n∞2 | Finale B"
"Nathan Frison","C1H","123.76","688.37","673.42","Course n∞2 | Finale B"
"Timothee Foltz","C1H","124.26","685.3","680.1","Course n∞2 | Finale B"
"Evan Trenchant","C1H","125.53","789.79","697.06","Course n∞2 | Finale B"
"Hugo Humbrecht","C1H","126.66","975.75","712.16","Course n∞2 | Finale B"
"Florent Tamburini","C1H","127.34","640.94","721.24","Course n∞2 | Finale B"
"Victor Henry","C1H","129.41","1016.06","748.9","Course n∞2 | Finale B"
"Paul Frommer","C1H","131.4","798.51","775.48","Course n∞2 | Finale B"
"Gael Ettwiller","C1H","131.75","639.69","780.15","Course n∞2 | Finale B"
"Matthew Vuillard","C1H","134.23","764.7","813.28","Course n∞2 | Finale B"
"David Monnet","C1H","136.72","1623.86","846.55","Course n∞2 | Finale B"
"Yann Becker","C1H","139.46","691","883.15","Course n∞2 | Finale B"
"Guillaume Louis","C1H","144","1238.23","943.8","Course n∞2 | Finale B"
"Nolan Lequesne","C1H","Abs","-","-","Course n∞2 | Finale B"
"Zakaria Radouani","C1HM","122.45","828.29","655.92","Course n∞2 | Finale B"
"Victor Frumholtz","C1HM","126.95","772.4","716.04","Course n∞2 | Finale B"
"Adrien Dierstein","C1HM","131.92","865.23","782.42","Course n∞2 | Finale B"
"Clement Breuvart","C1HM","131.95","707.14","782.83","Course n∞2 | Finale B"
"Matth…o Waltz","C1HM","132.02","737.91","783.76","Course n∞2 | Finale B"
"Teo Mullerheddar","C1HM","133.86","854.99","808.34","Course n∞2 | Finale B"
"Gael Ettwiller-Matthieu Koffel","C2H","122.87","825.7","586.92","Course n∞2 | Finale B"
"Florent Tamburini-Philippe Potier","C2H","130.55","603.85","684.85","Course n∞2 | Finale B"
"Yann Becker-Benjamin Dodane","C2H","131.23","700.82","693.52","Course n∞2 | Finale B"
"Celia Grandadam-Joris Schaffner","C2M","138.11","848.17","634.5","Course n∞2 | Finale B"
"Heloise Stemmelen-Vivien Stemmelen","C2M","149.96","749.48","773.01","Course n∞2 | Finale B"
"Jessie Dallois-David Monnet","C2M","165.34","1060.83","952.78","Course n∞2 | Finale B"
"Emmy Tamburini-Thomas Danjou","C2M","182.61","1305.72","1154.65","Course n∞2 | Finale B"
"Laurine Grandadam","K1D","113.24","440.06","425.78","Course n∞2 | Finale B"
"Melyne Jost","K1D","116.05","495.42","460.67","Course n∞2 | Finale B"
"Maurine Laugel","K1D","117.52","571.23","478.92","Course n∞2 | Finale B"
"Morgane Paulet","K1D","120.6","2173.26","517.15","Course n∞2 | Finale B"
"Marlene Dumoulin","K1D","121.13","566.49","523.73","Course n∞2 | Finale B"
"Emmy Tamburini","K1D","129.14","625","623.15","Course n∞2 | Finale B"
"Jessie Dallois","K1D","129.72","601.13","630.35","Course n∞2 | Finale B"
"Carole Dolmaire","K1D","130.95","694.84","645.62","Course n∞2 | Finale B"
"Audrey Masson","K1D","131.11","845.25","647.61","Course n∞2 | Finale B"
"Sarah Rothenbuhler","K1D","135.33","643.2","699.99","Course n∞2 | Finale B"
"Alexane Laugel","K1D","136.12","1400.69","709.79","Course n∞2 | Finale B"
"Heloise Stemmelen","K1D","137.53","762.75","727.3","Course n∞2 | Finale B"
"Lola Tonuccibance","K1D","167.98","1110.22","1105.27","Course n∞2 | Finale B"
"Lola Malais…","K1DM","135.02","960.92","696.15","Course n∞2 | Finale B"
"Flavia Formica","K1DM","147.18","1105.59","847.09","Course n∞2 | Finale B"
"Candice Bonmarchand","K1DM","157.82","1003.06","979.16","Course n∞2 | Finale B"
"Lucas Galmiche","K1H","88.17","173.16","256.87","Course n∞2 | Finale B"
"Jules Andrien","K1H","91.13","295.7","298.39","Course n∞2 | Finale B"
"Victor Henry","K1H","99.5","454.85","415.8","Course n∞2 | Finale B"
"Timothee Foltz","K1H","102.83","1123.41","462.5","Course n∞2 | Finale B"
"Jules Latimier","K1H","102.97","499.32","464.47","Course n∞2 | Finale B"
"Gauthier Principaud","K1H","103.09","574.5","466.15","Course n∞2 | Finale B"
"Jorg Blees","K1H","104.89","405.1","491.4","Course n∞2 | Finale B"
"Hugo Latimier","K1H","105.03","302.05","493.36","Course n∞2 | Finale B"
"Paul Gstalter","K1H","106.62","538.23","515.67","Course n∞2 | Finale B"
"Philippe Potier","K1H","106.97","504.08","520.57","Course n∞2 | Finale B"
"Frederic Caillet","K1H","107.69","624.82","530.67","Course n∞2 | Finale B"
"Gilles Barthelemy","K1H","107.75","586.07","531.52","Course n∞2 | Finale B"
"Alexis Sevrez","K1H","108.8","519.96","546.24","Course n∞2 | Finale B"
"Maxence Raymond","K1H","109.14","697.03","551.01","Course n∞2 | Finale B"
"Cyril Bonmarchand","K1H","109.34","545.16","553.82","Course n∞2 | Finale B"
"Jean Guyot","K1H","110.52","656.51","570.37","Course n∞2 | Finale B"
"Thibaut Chariot","K1H","111.01","557.54","577.24","Course n∞2 | Finale B"
"Philippe Koffel","K1H","111.02","596.97","577.38","Course n∞2 | Finale B"
"Nolan Lequesne","K1H","113.04","728.43","605.72","Course n∞2 | Finale B"
"Edy Gasser","K1H","117.9","928.36","673.89","Course n∞2 | Finale B"
"Philipp Hector","K1H","118.12","1191.37","676.97","Course n∞2 | Finale B"
"Aloys Morel","K1H","119.7","796.81","699.13","Course n∞2 | Finale B"
"Kenzo Garnier","K1H","121.65","785.09","726.49","Course n∞2 | Finale B"
"Antoine Schroetter","K1H","124.08","808.21","760.57","Course n∞2 | Finale B"
"Guillaume Louis","K1H","124.09","1693.69","760.71","Course n∞2 | Finale B"
"Alexandre Lambert","K1H","124.11","774.9","760.99","Course n∞2 | Finale B"
"Robin Giurlando","K1H","125.01","615.93","773.61","Course n∞2 | Finale B"
"David Monnet","K1H","126.06","1135.32","788.34","Course n∞2 | Finale B"
"Thomas Danjou","K1H","131.71","816.84","867.59","Course n∞2 | Finale B"
"Stephane Cassin","K1H","142.46","959.32","1018.38","Course n∞2 | Finale B"
"Yann Becker","K1H","146.56","348.92","1075.89","Course n∞2 | Finale B"
"Diego Depays","K1HM","112.78","881.86","602.07","Course n∞2 | Finale B"
"Quentin Dierstein","K1HM","116.01","741.12","647.38","Course n∞2 | Finale B"
"Victor Scheffzek","K1HM","126.22","763.7","790.59","Course n∞2 | Finale B"
"Adrian Bubel","K1HM","128.8","804.51","826.78","Course n∞2 | Finale B"
"Noam Bennour","K1HM","137","850.04","941.79","Course n∞2 | Finale B"
"Achille Napoli","K1HM","137.86","936.94","953.86","Course n∞2 | Finale B"
"Emile Babel","K1HM","141.52","1247.28","1005.19","Course n∞2 | Finale B"
"Sacha Tonuccibance","K1HM","165.13","1715.3","1336.36","Course n∞2 | Finale B"
"Mathys Henry","K1HM","169.13","1185.13","1392.47","Course n∞2 | Finale B"
"Teo Mullerheddar","K1HM","177.81","679.57","1514.22","Course n∞2 | Finale B"
"Charli Rudinger","OUV","123.29","-","-","Course n∞2 | Finale B"
