"Manche de la Coupe de France National 3 Slalom Nord - 62170 Montreuil - Finale - 2019-03-31","Finale","2019-03-31","Nationale 3","165"
"Alexia Evrard","K1D","123.26","904.61","716.04","Finale B"
"Sandrine Arnal","K1D","124.41","646.54","731.93","Finale B"
"Maeva Firon","K1D","128.31","759.01","785.89","Finale B"
"Elodie Thomasset","K1D","130.44","1475.2","815.35","Finale B"
"Coralie Delmotte","K1D","131.38","922.75","828.34","Finale B"
"Estelle Brodin","K1D","134.05","698.25","865.27","Finale B"
"Catherine Boulan","K1D","137.66","749.04","915.21","Finale B"
"Delphine Brunet","K1D","139.09","998.51","934.98","Finale B"
"Eva Mainnemare","K1D","146.89","896.04","1042.87","Finale B"
"Ophelie Lailler","K1D","166.75","967.04","1317.56","Finale B"
"Bertrand Avril","K1H","86.37","337.84","361.09","Finale B"
"Robin Dheilly","K1H","89.18","433.2","405.01","Finale B"
"Antoine Huger","K1H","92.89","531.84","462.99","Finale B"
"Matteo Figueiredo Alves","K1H","93.35","531.15","470.18","Finale B"
"Philippe Piat","K1H","94.92","484.78","494.72","Finale B"
"Cosme Duboc","K1H","96.17","545.34","514.26","Finale B"
"Paul Pesant","K1H","96.81","530.02","524.26","Finale B"
"Leo Dos Santos","K1H","97.36","528.84","532.86","Finale B"
"Erwan Laloux","K1H","100.06","634.01","575.06","Finale B"
"Lucas Ferloni","K1H","100.35","710.04","579.59","Finale B"
"Fabian Loemie","K1H","102.06","732.05","606.32","Finale B"
"Timothee Clep","K1H","103.25","711.74","624.92","Finale B"
"Yann Castryck- -genereux","K1H","103.71","623.64","632.11","Finale B"
"Esteban Olivier","K1H","104.5","645.71","644.45","Finale B"
"Gerard Lafargue","K1H","105.02","540.83","652.58","Finale B"
"Philippe Valeri","K1H","105.36","563.82","657.89","Finale B"
"Jeanchristophe Laroque","K1H","105.45","606.35","659.3","Finale B"
"Thibaut Jumetz","K1H","105.49","721.25","659.93","Finale B"
"Erwan Masson","K1H","106.54","678.46","676.34","Finale B"
"Benjamin Marty Carpentier","K1H","107.11","765.25","685.25","Finale B"
"Louis Marescot","K1H","107.78","650.78","695.72","Finale B"
"Louis Marvillet","K1H","108.8","628.54","711.66","Finale B"
"Pierre Yves Tempier","K1H","112.37","700.8","767.46","Finale B"
"Clement Brault","K1H","114.7","719.19","803.88","Finale B"
"Garvan Boulben","K1H","114.9","814.36","807","Finale B"
"Sebastien Masseline","K1H","115.6","695.61","817.94","Finale B"
"Leo Tellier","K1H","115.74","756.17","820.13","Finale B"
"Axel Tempier","K1H","116","813.57","824.19","Finale B"
"Philippe Podvin","K1H","116.2","761.81","827.32","Finale B"
"Thomas Brunet","K1H","117.05","844.75","840.61","Finale B"
"Samuel Bonvalet","K1H","117.36","703.02","845.45","Finale B"
"Mathieu Benkaroun","K1H","119.57","699.7","879.99","Finale B"
"Sacha Borderie","K1H","120.15","768.17","889.06","Finale B"
"Arnaud Grignon","K1H","121.52","962.29","910.47","Finale B"
"Elie Gerault","K1H","129.54","892.21","1035.82","Finale B"
"Alexandre Mauger","K1H","133.48","852.8","1097.4","Finale B"
"Geoffroy Lauth","K1H","153.27","775.24","1406.71","Finale B"
"Thomas Alves","K1H","182.74","965.64","1867.32","Finale B"
