"Sélectif Régional Slalom (Double) - L Argentiere La Bessee - Course n°1 | Finale - 2018-09-15","Course n°1 | Finale","2018-09-15","Régional","116"
"Eva Silvester","K1D","203.79","1053.86","1582.71","Course n°1 | Finale B"
"Marguerite Mathey","K1D","324.3","3438.7","3080.74","Course n°1 | Finale B"
"Valentine Georgeon","K1DM","127.43","1220.55","633.5","Course n°1 | Finale B"
"Ameline Saunier","K1DM","134.27","785.73","718.52","Course n°1 | Finale B"
"Emmy Bernard","K1DM","134.7","917.05","723.88","Course n°1 | Finale B"
"Eloise Brisset","K1DM","145.71","911.04","860.73","Course n°1 | Finale B"
"Arthur Vernede","K1H","98.12","474.63","427.71","Course n°1 | Finale B"
"Laurent Echivard","K1H","99.13","431.4","441.9","Course n°1 | Finale B"
"Raphael Bonnard","K1H","100.44","498.13","460.3","Course n°1 | Finale B"
"Thomas Levert","K1H","100.67","564.67","463.53","Course n°1 | Finale B"
"Jeremy Rouet","K1H","102.24","521.97","485.59","Course n°1 | Finale B"
"Erwan Quellec","K1H","102.78","391.8","493.17","Course n°1 | Finale B"
"Rutger Hoedemaker","K1H","103.98","489.41","510.03","Course n°1 | Finale B"
"Pierre Escuret","K1H","106.53","523.53","545.85","Course n°1 | Finale B"
"Alexei Evlachev","K1H","106.89","472.05","550.9","Course n°1 | Finale B"
"Herve Vitali","K1H","107.69","452.37","562.14","Course n°1 | Finale B"
"Charlie Genovese","K1H","107.74","767.3","562.84","Course n°1 | Finale B"
"Arthur Sanchez","K1H","108.22","595.51","569.59","Course n°1 | Finale B"
"Jocelyn Locatelli","K1H","108.51","895.16","573.66","Course n°1 | Finale B"
"Denis Cote","K1H","109.95","514.18","593.89","Course n°1 | Finale B"
"Louis Payan","K1H","110.79","556.23","605.69","Course n°1 | Finale B"
"Dominique Polard","K1H","111.59","552.96","616.92","Course n°1 | Finale B"
"Jordan Agullo","K1H","113.72","523.17","646.84","Course n°1 | Finale B"
"Gilles Lovera","K1H","113.88","529.18","649.09","Course n°1 | Finale B"
"Laurent Brossat","K1H","115.1","601.36","666.23","Course n°1 | Finale B"
"Marc Roussel","K1H","127.33","1025.47","838.02","Course n°1 | Finale B"
"Fabien Poitevineau","K1H","148.26","2643.09","1132.02","Course n°1 | Finale B"
"Francisco Lafarga","K1H","211.8","1041.75","2024.55","Course n°1 | Finale B"
"Axel Gondard","K1H","216.65","703.31","2092.68","Course n°1 | Finale B"
"Basile Monzerian","K1HM","104.84","636.67","522.11","Course n°1 | Finale B"
"Mathis Borie","K1HM","111.75","792.91","619.17","Course n°1 | Finale B"
"Gaspard Gonseth","K1HM","111.87","702.29","620.86","Course n°1 | Finale B"
"Mathis Oliveira Pinto","K1HM","119.29","1100.8","725.08","Course n°1 | Finale B"
"Clement Raul","K1HM","122.13","761.16","764.98","Course n°1 | Finale B"
"Kenny Bellot","K1HM","128.83","2068.44","859.09","Course n°1 | Finale B"
"Antoine Raul","K1HM","133.63","1562.66","926.51","Course n°1 | Finale B"
"Anicet Morel","K1HM","135.72","1045.71","955.87","Course n°1 | Finale B"
"Tom Fioraso","K1HM","136.24","848.46","963.18","Course n°1 | Finale B"
