"Sélectif Régional de slalom - Saut Du Sabot  - Qualification - 2015-09-27","Qualification","2015-09-27","Régional","166"
"Maeva Bachelot","K1DM","153.68","-","534.79",""
"Emma Angladette","K1DM","154.52","-","543.18",""
"Eglantine Coustellier","K1DM","156.12","-","559.15",""
"Lucile Cans","K1DM","164.91","-","646.9",""
"Lea Pages","K1DM","182.72","-","824.69",""
"Lea Hubert","K1DM","203.33","-","1030.43",""
"Lyse Brichet","K1DM","246.06","-","1456.98",""
"Carla Voineau","K1DM","256.69","-","1563.09",""
"Margot Ousset","K1DM","422.47","-","-",""
"Tom Scianimanico","K1H","102.15","56.32","152.96",""
"Hugo Cailhol","K1H","102.22","84.37","153.75",""
"Damien Laborde","K1H","102.99","114.32","162.43",""
"Titouan Dupras","K1H","104.49","126.2","179.35",""
"Sebastien Nouvel","K1H","104.59","145.95","180.48",""
"Nicolas Caussanel","K1H","105.54","145.86","191.2",""
"Maxime Tilhet","K1H","105.71","149.38","193.12",""
"Paul Cornut-chauvinc","K1H","106.19","127.45","198.53",""
"Theo Lecomte","K1H","106.36","204.02","200.45",""
"Gregoire Guerin","K1H","106.59","168.82","203.04",""
"Vincent Ablin","K1H","106.9","168.29","206.54",""
"Theo Celjo","K1H","107.1","178.74","208.79",""
"Hugo Crepeau","K1H","107.12","205.93","209.02",""
"Hippolyte Cail","K1H","108.81","208.62","228.08",""
"Olivier Cail","K1H","109.31","258.79","233.72",""
"Pierre-louis Saussereau","K1H","110.6","264.73","248.28",""
"Otello Willmann Rosso","K1H","110.77","250.44","250.19",""
"Louis Midy","K1H","110.8","197.89","250.53",""
"Florent Iraundegui","K1H","110.86","261.72","251.21",""
"Nicolas Honzatko","K1H","112.31","272.49","267.56",""
"Quentin Clerc","K1H","112.57","271.79","270.5",""
"Tom Deconchy","K1H","112.91","208.88","274.33",""
"Hugo Mouffle","K1H","114.01","259.63","286.74",""
"Jean-francois Souville","K1H","114.94","276.08","297.23",""
"Jonathan Delagnes","K1H","115.04","126.99","298.36",""
"Flavien San Augustin","K1H","115.47","270.27","303.21",""
"Paul Pradalie","K1H","117.1","360.15","321.6",""
"Herve Clerc","K1H","117.22","365.02","322.95",""
"Matthieu Demarty","K1H","118.21","363.97","334.12",""
"Theau Le Loch","K1H","118.53","296.86","337.73",""
"Maxime Garcia","K1H","119.44","314.85","347.99",""
"Pierrealain Clerc","K1H","119.54","331.23","349.12",""
"Gregoire Pouille","K1H","120.73","298.05","362.54",""
"Ludovic Delahaye","K1H","121.46","-","370.78",""
"Francois Giondini","K1H","122.1","384.17","378",""
"Marc Cordier","K1H","122.49","328.45","382.4",""
"Vincent Ardonceau","K1H","123.34","370.04","391.99",""
"Natan Brule","K1H","123.52","465.98","394.02",""
"Luc Sarramea","K1H","123.57","349.75","394.58",""
"Theo Ducasse","K1H","124.44","393.38","404.39",""
"Bastien Daniel","K1H","124.84","391.9","408.91",""
"Clement Caillard","K1H","125.45","397.88","415.79",""
"Patrick Clerc","K1H","126.06","426.15","422.67",""
"Jose Pereira","K1H","126.93","418.16","432.48",""
"Eric Vidou","K1H","127.4","402.7","437.78",""
"Frederic Reus","K1H","128.2","425.32","446.81",""
"Guillaume Viguier","K1H","128.42","448.77","449.29",""
"Loic Thibaut","K1H","129.01","407.25","455.95",""
"Marc Cailhol","K1H","129.58","509.5","462.37",""
"Nicolas Saurat","K1H","129.94","486.63","466.44",""
"Samuel De Severac","K1H","130.85","599.45","476.7",""
"Nathan Pavot","K1H","132.41","470.75","494.3",""
"Kenae Brassier","K1H","136.39","451.67","539.19",""
"Lionel Aguilhon","K1H","136.56","477.08","541.11",""
"Elzear Felician","K1H","141.64","829.23","598.41",""
"Aven Gilham","K1H","143.1","606.43","614.88",""
"Gauthier Sanchou","K1H","148.49","1242.94","675.68",""
"Maxime Pourret","K1H","149.13","636.49","682.9",""
"Damien Caillard","K1H","151.81","539.12","713.14",""
"Nicolas Chassaing","K1H","164.83","-","860",""
"Theophile Prunetfoch","K1H","207.19","-","1337.84",""
"Gilles Tricard","K1H","Abs","-","-",""
"Ugo Rolland","K1H","Abs","-","-",""
"Camille Poirot","K1H","Abs","-","-",""
"Anatole Delassus","K1HM","115.14","-","299.49",""
"Tom Bouchardon","K1HM","117.38","-","-",""
"Leo Vuitton","K1HM","122.19","-","379.01",""
"Valentin Courtiade","K1HM","123.81","-","397.29",""
"Martin Jouves","K1HM","129.9","-","465.98",""
"Thibault Clerc","K1HM","133.48","-","506.37",""
"Tino Forgues","K1HM","133.87","-","510.77",""
"Arthur Cousty","K1HM","137.37","-","550.25",""
"Yanis Clerc","K1HM","137.73","-","554.31",""
"Elliot Perez","K1HM","138.61","-","564.24",""
"Felix Praderie","K1HM","138.92","-","567.73",""
"Antonin Maystre","K1HM","140.83","-","589.28",""
"Guilhem Viguier","K1HM","141.69","-","598.98",""
"Samuel Taillefer","K1HM","141.9","-","601.35",""
"Simeon Althabegoity","K1HM","147.07","-","659.67",""
"Marc Sarramea","K1HM","147.47","-","664.18",""
"Felix Sperandio","K1HM","151.29","-","707.27",""
"Renaud Clerc","K1HM","165.38","-","866.21",""
"Thomas Fernandez","K1HM","166.94","-","-",""
"Marius Dipaolantonio","K1HM","169.44","-","-",""
"Nino De Dianous","K1HM","173.45","-","957.24",""
"Jean Cougul","K1HM","174.81","-","972.58",""
"Pablo Chaminade","K1HM","177.37","-","-",""
"Esteban Illido","K1HM","179.5","-","-",""
"Abel Boidron","K1HM","180","-","1031.13",""
"Elian Giondini","K1HM","183.67","-","1072.52",""
"Hugo Lavedan","K1HM","183.75","-","1073.43",""
"Tom Gonzales","K1HM","201.88","-","1277.94",""
"Clement Sempe","K1HM","224.52","-","1533.32",""
"Baptiste San Nicolas","K1HM","Abs","-","-",""
