"Sélectif régional - Neuville sur Ain - 2010-10-03","Course 2","2010-10-03","Régional","148"
"Thomas Schmitt-Yann Rivallant","C2H","202.14","244.72","860.79",""
"Jules Marragou-Clement Gourmelon","C2H","212.12","-","950.51",""
"Jean Baptiste Thiel-Sylvain Ferry","C2H","256.66","-","1350.96",""
"Gireg Hamoniaux-Sebastien De Kerleau","C2H","Nt","-","-",""
"Matthieu Basset-Justine Traversa","C2M","160.73","-","390.52",""
"Elise Chabbey","K1D","117.55","113.18","72.22",""
"Nelly Tornare","K1D","123.73","87.67","126.31",""
"Clementine Geoffray","K1D","124.95","112.47","136.98",""
"Jenny Chevalier","K1D","125.05","135.57","137.86",""
"Mylene Ferry","K1D","125.75","141.14","143.98",""
"Lea Wetzel","K1D","127.21","212.81","156.76",""
"Alice Schmitt","K1D","130.63","-","186.7",""
"Julie Wassmer","K1D","132.17","205.14","200.18",""
"Raphaelle Hovine","K1D","133","156.33","207.44",""
"Louise Seban","K1D","134.82","298.22","223.37",""
"Carine Chapuis","K1D","137.92","180.07","250.5",""
"Anais Couturier","K1D","138.18","303.56","252.77",""
"Isaline Chabbey","K1D","143.75","-","301.52",""
"Emma Croisier","K1D","144.41","383.58","307.29",""
"Justine Traversa","K1D","147.54","335.32","334.69",""
"Phenicia Dupras","K1D","150.49","311.32","360.51",""
"Agnes Daille","K1D","153.4","-","385.97",""
"Isabelle Bosio","K1D","159.19","-","436.65",""
"Nathalie Chapuis","K1D","162.47","362.42","465.36",""
"Zoe Chinal","K1D","164.43","2125.91","482.51",""
"Leonie Gachon","K1D","168.69","1549.58","519.79",""
"Alice Rivoal","K1D","172.98","-","557.34",""
"Marion Gezequel","K1D","173.73","776.66","563.9",""
"Delphine Palmier","K1D","176.5","-","588.15",""
"Marie Bourgey","K1D","212.22","367.33","900.76",""
"Berengere Guerin","K1D","214.06","-","916.87",""
"Coline Vulliet","K1D","266.53","1491.65","1376.07",""
"Marion Chammah","K1D","Nt","-","-",""
"Lena Jouannic","K1D","Nt","-","-",""
"Dora Le Borgne","K1D","Nt","-","-",""
"Emeline Oudet","K1D","Nt","-","-",""
"Etienne Daille","K1H","106.82","6.67","99.85",""
"Tristan Bronsard","K1H","111.5","104.67","146.13",""
"Kevin Schultz","K1H","111.99","92.33","150.98",""
"Yann Gudefin","K1H","112.52","5","156.22",""
"Nicolas Abbal","K1H","114.19","53.33","172.73",""
"Remi Baudot","K1H","115.25","100.33","183.22",""
"Matthieu Basset","K1H","115.76","144.33","188.26",""
"Thibault Gibert","K1H","115.85","93.33","189.15",""
"Willy Hugedet","K1H","116.95","136.33","200.03",""
"Sylvain Viallon","K1H","117.03","178.41","200.82",""
"Pascal Ferry","K1H","117.12","115","201.71",""
"Thomas Janeriat","K1H","117.61","240.87","206.56",""
"Thomas Schmitt","K1H","117.65","162","206.95",""
"Jean Baptiste Thiel","K1H","117.66","183.53","207.05",""
"Gregory Lebourgeois","K1H","117.78","150.75","208.24",""
"Nicolas Detheve","K1H","118.68","186.45","217.14",""
"Olivier Hardonniere","K1H","119","185.04","220.3",""
"Benoit Dubath","K1H","119.46","165.07","224.85",""
"Simon Bonnet","K1H","121.14","208.06","241.47",""
"Titouan Dupras","K1H","122.06","245.63","250.56",""
"Julien Guillerault","K1H","122.36","262.23","253.53",""
"Cyril Gisbert","K1H","122.48","190.31","254.72",""
"Philippe Esnault","K1H","122.7","197.33","256.89",""
"Edouard Grosjean","K1H","123.09","171.77","260.75",""
"Frederic Morand","K1H","123.28","204.54","262.63",""
"Olivier Barriere","K1H","123.4","254.67","263.82",""
"Marc Janeriat","K1H","123.69","301.5","266.68",""
"Colas Geier","K1H","124.21","314.81","271.83",""
"Olivier Bourgey","K1H","124.79","218.83","277.56",""
"Antoine Beguer","K1H","125.82","249.79","287.75",""
"Xavier Tachet","K1H","126.67","-","296.16",""
"Jules Goutte-toquet","K1H","126.9","323.41","298.43",""
"Frederic Blanrue","K1H","127.13","231.95","300.71",""
"Maxime Bottex","K1H","127.33","348.14","302.68",""
"Jules Marragou","K1H","128.53","260","314.55",""
"Alexandre Montabonnet","K1H","129.95","268","328.59",""
"Sylvain Ferry","K1H","129.99","225","328.99",""
"Damien Ferraud","K1H","130.65","298.56","335.52",""
"Axel Kournwsky","K1H","130.8","361.25","337",""
"Pierre Alexandre Facon","K1H","132.97","355.36","358.46",""
"Adrien Picco","K1H","133.19","323.99","360.64",""
"Tom Jackson","K1H","134.1","299.64","369.64",""
"Dylan Bard","K1H","134.74","416.04","375.97",""
"Pedro Farias Barbas","K1H","135.91","-","387.54",""
"Nolan Miton","K1H","135.94","425.39","387.83",""
"Arthur Gentes","K1H","137.3","432.48","401.28",""
"Jonathan Courduries","K1H","138.34","430.14","411.57",""
"Thomas Denais","K1H","138.46","427.05","412.75",""
"Jimmy Peisey","K1H","140.49","436.16","432.83",""
"Mathieu Mulot","K1H","140.82","-","436.09",""
"Baptiste Podor","K1H","142.11","451.46","448.85",""
"Antoine Montabonnet","K1H","146.38","415.76","491.08",""
"Vincent Maire","K1H","149.09","432.01","517.88",""
"Elie Miton","K1H","149.64","646.38","523.32",""
"Yannick Grizaud","K1H","151","585.37","536.77",""
"Arturo Maeder","K1H","152.3","709.05","549.63",""
"Theophile Gaillard","K1H","175.87","667.8","782.73",""
"Clement Gourmelon","K1H","188.05","290.25","903.18",""
"Francois Lecuit","K1H","189.56","460.3","918.12",""
"Lucas Barriere","K1H","200.48","-","1026.11",""
"Jason Gantner","K1H","Nt","-","-",""
"Manuel Marconato","K1H","Nt","-","-",""
"Lilian Querry","K1H","Nt","-","-",""
"Xavier Monnet","K1H","Nt","-","-",""
"Antoni Zaki","K1H","Nt","-","-",""
"Pascal Hunault","K1H","Nt","-","-",""
"Baptiste Provost","K1H","Nt","-","-",""
"Robin Dupras","K1H","Nt","-","-",""
"Romain Musy","K1H","Nt","-","-",""
"Sebastien Lepaulard","K1H","Nt","-","-",""
"Vincent Gerdeaux","K1H","Nt","-","-",""
"Sebastien De Kerleau","K1H","Nt","-","-",""
"Jonathan Chapatte","K1H","Nt","-","-",""
"Davy Egraz","K1H","Nt","-","-",""
"Jimy Bercon","K1H","Nt","-","-",""
