"Sélectif Régional Slalom (Double) - Manches n°1 et n°2 de la Coupe Régionale Grand Est - 10000 Troyes - Course n°2 | Finale - 2020-09-20","Course n°2 | Finale","2020-09-20","Régional","261"
"Salim Jemai","C1H","128.16","508.84","600.8","Course n°2 | Finale B"
"Arnaud Caillet","C1H","128.16","428.68","600.8","Course n°2 | Finale B"
"Ludovic Kessler","C1H","131.77","637.92","644.48","Course n°2 | Finale B"
"Antoine Dusard","C1H","135.66","625.47","691.55","Course n°2 | Finale B"
"Adrien Dierstein","C1H","139.73","613.23","740.79","Course n°2 | Finale B"
"Boris Bonenfant","C1H","143.46","811.61","785.93","Course n°2 | Finale B"
"Clement Brault","C1H","143.87","699.49","790.89","Course n°2 | Finale B"
"Jacques Nardeau","C1H","148.02","688.91","841.1","Course n°2 | Finale B"
"Anthony Menissier","C1H","152.12","487.11","890.71","Course n°2 | Finale B"
"Hugo Hernoux","C1H","156.9","812.84","948.55","Course n°2 | Finale B"
"Mael Thierus","C1H","178.7","989.07","1212.32","Course n°2 | Finale B"
"Valentin Clement","C1H","197.74","2502.58","1442.71","Course n°2 | Finale B"
"Enzo Marchand","C1HM","152.68","932.91","897.49","Course n°2 | Finale B"
"Anas Renoux","C1HM","157.27","951.07","953.03","Course n°2 | Finale B"
"Mathis Colin","C1HM","158.39","863.86","966.58","Course n°2 | Finale B"
"Gabriel Bonsens","C1HM","180.79","1254.6","1237.61","Course n°2 | Finale B"
"Baptiste Albert","C1HM","190.05","1277.69","1349.66","Course n°2 | Finale B"
"GrÉgoire Fontan","C1HM","206.26","1165.92","1545.79","Course n°2 | Finale B"
"Etienne Ermel","C1HM","219.65","1621.49","1707.81","Course n°2 | Finale B"
"Thibaut Boudier-Maxime Paumier","C2H","159.78","1156.71","895.52","Course n°2 | Finale B"
"Antoine Schroetter-Simon Bouchot","C2H","225.89","1446.74","1659.08","Course n°2 | Finale B"
"Baptiste Podor-Alexis Sevrez","C2H","Abs","-","-","Course n°2 | Finale B"
"Kelly Capitaine","K1D","149.05","639.93","725.89","Course n°2 | Finale B"
"Delhia Petiot","K1D","151.15","674.09","749.5","Course n°2 | Finale B"
"Lynda Heroui","K1D","151.39","849.65","752.19","Course n°2 | Finale B"
"Carole Dolmaire","K1D","154.91","639.58","791.78","Course n°2 | Finale B"
"Charlotte Doucet","K1D","159.93","624.34","848.21","Course n°2 | Finale B"
"Florence Marchal","K1D","160.35","759.74","852.94","Course n°2 | Finale B"
"Katia Talbot","K1D","165.33","820.51","908.93","Course n°2 | Finale B"
"Coralie Delmotte","K1D","169.48","1517.45","955.58","Course n°2 | Finale B"
"Aurelie Fourez","K1D","180.41","1442.35","1078.47","Course n°2 | Finale B"
"Clementine Thierus","K1D","182.98","1544.5","1374.81","Course n°2 | Finale B"
"Leanne Lemal","K1D","246.45","2094.47","1820.97","Course n°2 | Finale B"
"Pauline Dufraine","K1D","278.72","1746.64","2183.79","Course n°2 | Finale B"
"Jade Dendele","K1DM","136.24","1097.67","581.86","Course n°2 | Finale B"
"Cathilya Talon","K1DM","142.93","874.41","657.08","Course n°2 | Finale B"
"Lou Ann Dabin","K1DM","180.2","1152.55","1076.11","Course n°2 | Finale B"
"Juliette Formet","K1DM","235.17","1267.27","1694.15","Course n°2 | Finale B"
"SÉlÈne Driget","K1DM","240.81","1068.53","1757.56","Course n°2 | Finale B"
"Fany Marck","K1DM","252.45","798.99","1888.43","Course n°2 | Finale B"
"Maxime Devis","K1H","102.38","346.35","350.81","Course n°2 | Finale B"
"Lucas Jamart","K1H","105.15","405.32","386","Course n°2 | Finale B"
"Louis Sibille","K1H","111.9","517.24","471.76","Course n°2 | Finale B"
"Hugo Hernoux","K1H","115.2","767.89","513.68","Course n°2 | Finale B"
"Samuel Tahaafe","K1H","117.18","402.87","538.84","Course n°2 | Finale B"
"Philippe Piat","K1H","122.33","795.83","604.27","Course n°2 | Finale B"
"Antoine Dusard","K1H","123.53","645.76","619.51","Course n°2 | Finale B"
"Loic Bourgeois","K1H","124.44","379.56","631.07","Course n°2 | Finale B"
"Theophile Vincent","K1H","125.99","604.49","650.77","Course n°2 | Finale B"
"Robin Giurlando","K1H","126.41","595.47","656.1","Course n°2 | Finale B"
"Christophe Billaud","K1H","126.91","563.67","662.45","Course n°2 | Finale B"
"Marc Perlade","K1H","127.78","737.09","673.51","Course n°2 | Finale B"
"Stephane Brice","K1H","128.69","680.55","685.07","Course n°2 | Finale B"
"Gerard Lafargue","K1H","131.09","575.14","715.56","Course n°2 | Finale B"
"Philippe Valeri","K1H","133.18","602.24","742.11","Course n°2 | Finale B"
"Emile Babel","K1H","134.29","886.77","756.22","Course n°2 | Finale B"
"Antoine Schroetter","K1H","134.42","698.95","757.87","Course n°2 | Finale B"
"Louis Descotes","K1H","136.19","847.29","780.36","Course n°2 | Finale B"
"Loic Merat","K1H","136.36","694.95","782.52","Course n°2 | Finale B"
"Pierre Yves Tempier","K1H","137.25","914.93","793.82","Course n°2 | Finale B"
"Mathieu Baudoin","K1H","137.3","1096.55","794.46","Course n°2 | Finale B"
"Juan Guerrero","K1H","137.33","705.68","794.84","Course n°2 | Finale B"
"Simon Bouchot","K1H","137.89","793.84","801.95","Course n°2 | Finale B"
"Alexandre Paumier","K1H","138.71","783.07","812.37","Course n°2 | Finale B"
"Eric Formet","K1H","139.02","913.98","816.31","Course n°2 | Finale B"
"Othis Dabin","K1H","143.04","980.43","867.38","Course n°2 | Finale B"
"Joshua Ravet","K1H","144.15","877.2","881.49","Course n°2 | Finale B"
"Mathieu Benkaroun","K1H","146.65","918.53","913.25","Course n°2 | Finale B"
"Theotime Plumet","K1H","149","885.95","943.1","Course n°2 | Finale B"
"Alain Brucher","K1H","151.93","901.73","980.33","Course n°2 | Finale B"
"Victor Cauet","K1H","153.3","1598.34","997.73","Course n°2 | Finale B"
"Kevin Charlot","K1H","155.09","1288.28","1020.48","Course n°2 | Finale B"
"Adrien Andre","K1H","155.17","1457.2","1021.49","Course n°2 | Finale B"
"Lukas Maraquin","K1H","155.88","1015.93","1030.51","Course n°2 | Finale B"
"Tom Accou","K1H","156.37","1069.35","1036.74","Course n°2 | Finale B"
"Axel Tempier","K1H","157.2","758.52","1047.28","Course n°2 | Finale B"
"Arnaud Geoffroy","K1H","161.28","1164.82","1099.12","Course n°2 | Finale B"
"Marc Sanchez","K1H","162.7","907.53","1117.16","Course n°2 | Finale B"
"Julien Prompt","K1H","164.29","1259.41","1137.36","Course n°2 | Finale B"
"Jorge Govea Martinez","K1H","166","1101.27","1159.09","Course n°2 | Finale B"
"Lilian Porson","K1H","167.5","1817.07","1178.14","Course n°2 | Finale B"
"Maxence Raymond","K1H","171.94","560.26","1234.55","Course n°2 | Finale B"
"Xavier Ehret","K1H","172.21","1301.51","1237.98","Course n°2 | Finale B"
"Barnabe Sennelier","K1H","172.64","897.05","1243.45","Course n°2 | Finale B"
"Mael Thierus","K1H","184.86","743.83","1398.7","Course n°2 | Finale B"
"Stephane Cassin","K1H","193.42","996.66","1507.45","Course n°2 | Finale B"
"Gaetan Cornu","K1H","195.38","2373.09","1532.35","Course n°2 | Finale B"
"Benoit Bullot","K1H","200.96","2067.23","1603.25","Course n°2 | Finale B"
"Thibault Chausson","K1H","203.63","1189.58","1637.17","Course n°2 | Finale B"
"Kylian Correia","K1H","227.9","1570.91","1945.51","Course n°2 | Finale B"
"Valentin Clement","K1H","231.38","1455.78","1989.73","Course n°2 | Finale B"
"Paul Gaillard","K1H","256.1","1059.08","2303.79","Course n°2 | Finale B"
"Yves Prigent","K1H","Abs","-","-","Course n°2 | Finale B"
"Julien Michelin","K1H","Abs","-","-","Course n°2 | Finale B"
"Paul Colin","K1H","Nt","-","-","Course n°2 | Finale B"
"Maxence Jambois Ruche","K1HM","133.85","994.97","750.63","Course n°2 | Finale B"
"Gaspard Vincent","K1HM","142.15","917.08","856.08","Course n°2 | Finale B"
"Alexandre Fallourd-marec","K1HM","143.44","1039.4","872.47","Course n°2 | Finale B"
"Jules Dolisy","K1HM","145.82","1057.21","902.7","Course n°2 | Finale B"
"Simon Sossi","K1HM","154.89","1039.78","1017.94","Course n°2 | Finale B"
"Guillaume Borowicz","K1HM","164.52","1842.07","1140.28","Course n°2 | Finale B"
"Victor-antoine Roussel","K1HM","171.52","1422.08","1229.22","Course n°2 | Finale B"
"Gennaro Capitano","K1HM","173.89","1498.33","1259.33","Course n°2 | Finale B"
"Liam Simon","K1HM","182.46","2243.57","1368.21","Course n°2 | Finale B"
"Lucien Schmidt","K1HM","202.87","1234.94","1627.51","Course n°2 | Finale B"
"Gatien Elghozzi","K1HM","611.57","7984.57","6819.97","Course n°2 | Finale B"
