"SÈlectif RÈgional Slalom (Double) - Toulouse - Course n∞1 | Qualification - 2018-03-17","Course n∞1 | Qualification","2018-03-17","RÈgional","230"
"Paul Pradalie","K1H","98.29","259.63","313.57",""
"Marceau Faget","K1H","99.45","330.3","328.57",""
"Mael Hervault","K1H","99.47","394.52","328.83",""
"Hugo Mouffle","K1H","99.5","282.65","329.22",""
"Quentin Clerc","K1H","99.54","266.51","329.73",""
"Tino Forgues","K1H","99.54","290.92","329.73",""
"Karl Bouthegourd","K1H","99.66","334.86","331.28",""
"Marc Sarramea","K1H","99.7","339.77","331.8",""
"Elliot Perez","K1H","99.97","297.09","335.29",""
"Cyprien Cail","K1H","100.14","376.25","337.49",""
"Clement Caillard","K1H","100.51","389.33","342.27",""
"Nicolas Saurat","K1H","101.84","288.21","359.46",""
"Jean Philippe Roche","K1H","101.86","314.14","359.72",""
"Samuel Taillefer","K1H","102.07","327.19","362.44",""
"Dimitri Thauvin","K1H","102.21","375.62","364.25",""
"Bertrand Bercon","K1H","102.38","315.16","366.45",""
"Maxime Charron","K1H","102.51","319.03","368.13",""
"Hugo Crespo","K1H","103.48","361.22","380.66",""
"Pablo Chaminade","K1H","103.51","361.09","381.05",""
"Theo Viens","K1H","103.83","-","385.19",""
"Paul Ballery","K1H","103.99","-","387.26",""
"Herve Clerc","K1H","104.51","326.6","393.98",""
"Nour Ait Kaddour","K1H","104.77","305.57","397.34",""
"Elian Giondini","K1H","105.73","350.11","409.75",""
"Louis Foissac","K1H","106.25","350.29","416.47",""
"Vincent Bocci","K1H","106.58","328.81","420.74",""
"Arthur Cousty","K1H","106.61","366.74","421.13",""
"Paul Gobert","K1H","106.7","434.63","422.29",""
"Frederic Reus","K1H","106.84","436.53","424.1",""
"Theo Ducasse","K1H","106.85","329.02","424.23",""
"Etienne Saint Picq","K1H","107.48","415.94","432.37",""
"Jules Besson","K1H","107.65","454.62","434.57",""
"Angus Cruickshank","K1H","108.5","397.09","445.56",""
"Marc Cordier","K1H","108.91","303.11","450.86",""
"Clement Riera","K1H","110.31","470.86","468.96",""
"Nathaniel Levy","K1H","110.47","364.18","471.02",""
"Romain Gresle","K1H","110.63","890.72","473.09",""
"Louis Bouchiat","K1H","110.92","490.68","476.84",""
"Laurence Scrimgeour","K1H","111.45","429","483.69",""
"Mael Bernes","K1H","112.95","374.05","503.08",""
"Guillaume Malmezac","K1H","113.67","512.04","512.39",""
"Felix Sperandio","K1H","113.88","426.93","515.1",""
"Fabien Paleau","K1H","115.16","315.43","531.65",""
"Nicolas Alran","K1H","115.3","-","533.46",""
"Matt Vidou","K1H","116.02","546.14","542.77",""
"Thomas Moret","K1H","116.35","498.45","547.03",""
"Simeon Althabegoity","K1H","116.97","496.98","555.05",""
"Marin Saint Macary","K1H","117.96","507.78","567.85",""
"Tom Zanfini","K1H","118.57","302.21","575.73",""
"Theo Dunie","K1H","118.85","527.35","579.35",""
"Quentin Escudero","K1H","118.97","588.35","580.9",""
"Remi Dolcin Tillant","K1H","120.66","643.06","602.75",""
"Renaud Clerc","K1H","121.54","525.5","614.12",""
"Lucas Dongarra","K1H","122.54","519.88","627.05",""
"Alex Baldoni","K1H","123.47","471.59","639.07",""
"Jean Dayraut","K1H","124.18","577.44","648.25",""
"Pierrick Bresson","K1H","124.27","495.65","649.41",""
"Abel Boidron","K1H","124.49","504.31","652.26",""
"Baptiste San Nicolas","K1H","124.99","483.71","658.72",""
"Julien Dubarry","K1H","125.38","772.6","663.76",""
"Arthur Crueghe","K1H","125.92","839.07","670.74",""
"Arthur Barreteau","K1H","126.96","585.14","684.19",""
"Bruno Lamothe","K1H","126.97","680.06","684.32",""
"Thibault Clerc","K1H","127.04","343.79","685.22",""
"Tristan Ruiz","K1H","127.75","624.03","694.4",""
"Benoit Pacteau","K1H","129.26","469.74","713.92",""
"Thomas Terr…","K1H","131.92","509.14","748.3",""
"Vincent Falchi","K1H","132.37","-","754.12",""
"Alexandre Weiler","K1H","133.47","1039.01","768.34",""
"Baptiste Moret","K1H","134.97","667.1","787.73",""
"Loan Jioux","K1H","135.19","885.35","790.57",""
"Felix Bedulho","K1H","135.6","1207.28","795.87",""
"Damien Caillard","K1H","143.36","703.43","896.19",""
"Daniel Lafitte","K1H","145.07","679.11","918.29",""
"Patrick Clerc","K1H","156.45","339.81","1065.4",""
"Mateo Destruel","K1H","158.81","933.4","1095.91",""
"Jules Maitre","K1H","160.16","1791.39","1113.36",""
"Fantin Delage-garez","K1H","164.96","396.36","1175.41",""
"Leo Larroque","K1H","168.62","-","1222.72",""
"Liam Caradec","K1H","193.37","559.43","1542.66",""
"Gabriel Felenc","K1H","198.06","609.35","1603.28",""
"Clement Serres","K1H","200.69","857.92","1637.28",""
"Martin Thermidor","K1H","214.29","905.44","1813.09",""
"Quentin Rabot","K1H","221.87","1339.31","1911.07",""
"Mat…o Million","K1H","246","877.04","2223",""
"Aurelien Blois","K1H","247.65","808.12","2244.32",""
"Angel Campillo","K1H","260.16","760.48","2406.04",""
"Tom Huertas","K1H","283.44","1183.86","2706.98",""
"Noe Villeneuve","K1H","Abs","-","-",""
"Sylvain Maurel","K1H","Abd","-","-",""
"Denis Barkat","K1H","Abs","-","-",""
"Romain Cadiot","K1H","Abs","-","-",""
"Bruno Giovannelli","K1H","Abs","-","-",""
"Thierry Raimbault","K1H","Abs","-","-",""
"Yannis Dast","K1H","Abs","-","-",""
"Antoine Laye","K1H","Abs","-","-",""
"Sam Traquet","K1H","Abs","-","-",""
"Hugo Cailhol","K1H","Abs","-","-",""
"Guillaume Pradalie","K1HM","117.73","547.27","564.87",""
"Maxime Blondeau","K1HM","117.76","530.11","565.26",""
"Antton Erdois","K1HM","119.07","482.77","582.19",""
"Edgar Paleaubrasseur","K1HM","119.15","491.69","583.23",""
"Matheo Nassieu","K1HM","126.1","1012.21","673.07",""
"Florian Malaval","K1HM","128.65","533.04","706.03",""
"Timeo Canonico","K1HM","135.52","634.24","794.84",""
"Emilien Courtiade","K1HM","156.74","331.25","1069.15",""
"Antonin Bretecher","K1HM","161.51","779.49","1130.81",""
"Clement Claret","K1HM","197.16","693.83","1591.65",""
"Miguel Irungaraylarronde","K1HM","223.2","1164.92","1928.26",""
"Lilian Dujourd'hui","K1HM","235.95","1229","2093.08",""
"Eyquem Martin Skutnik","K1HM","245.45","728.02","2215.89",""
"Quentin Arnaudin","K1HM","248.11","1319.6","2250.27",""
"Arthur Piqueras","K1HM","251.64","990.42","2295.9",""
"Arsene Labarthe","K1HM","255.81","839.15","2349.81",""
"Malo Maitrejean","K1HM","265.9","-","2480.24",""
"Thomas Dutetre","K1HM","495.65","1168.53","5450.18",""
"Bilal Robert Caldini","K1HM","Abs","-","-",""
"Lukas Estanguet-santamaria","K1HM","Abs","-","-",""
"Antoine Rouaud","K1HM","Abd","-","-",""
"Theo Bertauts","K1HM","Abd","-","-",""
"Martin Grzeskowiak","K1HM","Abd","-","-",""
"Wilfrid Pinto De Magalhaes","K1HM","Abd","-","-",""
"Basile Guillermin","K1HM","Abs","-","-",""
