"41ème Grand Prix - Pau - 2009-10-31","Course 1","2009-10-31","Régional","375"
"Fabien Lefevre","C1H","146.50","-","678",""
"Gireg Hamoniaux","C1H","150.81","30","725",""
"Alexandre Heugas","C1H","152.26","-","741",""
"Jean-yves Moustrou","C1H","156.23","-","785",""
"Cyril Duquet","C1H","Nt","-","-",""
"Etienne Daille","C1H","Nt","-","-",""
"Baptiste Delaplace","C1H","Nt","-","-",""
"Violaine Truche-Laetitia Thueux","C2D","149.57","-","447",""
"Hugo Biso-Pierre Picco","C2H","101.68","10","133",""
"Aymeric Maynadier-Sebastien Perilhou","C2H","103.10","30","147",""
"Loic Brunel-Medhi Deguil","C2H","103.49","52","151",""
"Antoine Giudicelli-Francois Giudicelli","C2H","108.51","154","204",""
"Mathieu Biazizzo-Leo Thomas","C2H","109.24","77","212",""
"Armand Rauturier-Nicolas Labat","C2H","109.72","-","217",""
"Eloi Seemann-Jeremy Wagner","C2H","111.39","169","234",""
"Boris Nedelec-Thibaud Couetil","C2H","112.04","173","241",""
"Alexandre Mathis-Pierre Melin","C2H","112.77","181","249",""
"Antoine Roux-Gurgen Brun","C2H","114.32","284","265",""
"Charly Chassigneux-Fabien Tournadre","C2H","115.39","227","277",""
"Nicolas Marcus-Sylvain Le Roux","C2H","115.43","335","277",""
"Benjamin Renia-Nathanael Renia","C2H","118.58","-","310",""
"Jimmy Besson-Ronan Goualc'h","C2H","118.80","-","313",""
"Frederic Descot-Yoan Dalla Longa","C2H","118.94","231","314",""
"Stephane Labouille-Jonathan Delagnes","C2H","126.59","340","394",""
"Nicolas Scianimanico-Guillaume Bernis","C2H","128.09","-","411",""
"Yves Prigent-Loic Kervella","C2H","131.04","-","442",""
"Nicolas Baudoin-Remi Parayre","C2H","132.07","-","452",""
"Paul Tallet Pinet-Jan Baudet","C2H","147.61","1344","616",""
"Sylvain Dandel-Thomas Dandel","C2H","173.43","301","888",""
"Yann Gudefin-Matthieu Basset","C2H","Nt","-","-",""
"Mathieu Fougere-Thomas Fougere","C2H","Nt","-","-",""
"Benjamin Reig-Cyril Boulet","C2H","Nt","-","-",""
"Fabien Lefevre-Denis Gargaud","C2H","Nt","-","-",""
"Claire Jacquet-Valentin Lang","C2M","120.24","-","242",""
"Pierre Moreau-Camille Salgues","C2M","141.82","474","453",""
"Celia Jodar-Ludovic Di Nisi","C2M","148.56","-","520",""
"Matthieu Basset-Lucie Boutonnet","C2M","148.87","-","523",""
"Marie-zelia Lafont","K1D","97.16","14","57",""
"Clotilde Miclo","K1D","97.78","30","64",""
"Laura Combot","K1D","98.48","38","71",""
"Caroline Loir","K1D","100.20","12","89",""
"Carole Bouzidi","K1D","100.34","27","90",""
"Nouria Newman","K1D","100.67","31","94",""
"Claire Jacquet","K1D","102.28","37","110",""
"Peggy Dickens","K1D","102.73","-","114",""
"Oriane Rebours","K1D","103.51","47","123",""
"Emilie Chamouleau","K1D","104.20","69","130",""
"Sarah Lyphout","K1D","104.21","140","130",""
"Annaelle Meheut","K1D","105.04","127","138",""
"Lucie Baudu","K1D","105.13","89","139",""
"Sarah Despres","K1D","105.28","52","140",""
"Estelle Hellard","K1D","105.79","109","146",""
"Laure Udari","K1D","106.11","77","149",""
"Berenice Kolenc","K1D","106.16","146","150",""
"Marianne Agulhon","K1D","106.62","-","155",""
"Lea Martin","K1D","110.41","60","194",""
"Elise Escourrou","K1D","110.50","78","195",""
"Cecile Tixier","K1D","110.53","168","195",""
"Laurence Pessoni","K1D","110.83","242","198",""
"Berangere Baudart","K1D","111.65","157","206",""
"Laetitia Thueux","K1D","111.74","214","207",""
"Jenny Chevalier","K1D","112.10","160","211",""
"Marlene Rio","K1D","112.33","247","213",""
"Alice Cailhol","K1D","112.56","194","215",""
"Violaine Truche","K1D","112.69","210","217",""
"Emeline Oudet","K1D","112.90","221","219",""
"Camille Grezard","K1D","114.06","214","230",""
"Camille Salgues","K1D","115.41","316","245",""
"Solene Graille","K1D","115.57","272","246",""
"Anais Coudrin","K1D","116.15","215","252",""
"Audrey Picco","K1D","117.32","213","264",""
"Marie Cassar","K1D","117.67","273","267",""
"Fanny Kerambrun","K1D","119.95","237","291",""
"Lucie Boutonnet","K1D","120.36","230","295",""
"Celia Jodar","K1D","121.99","230","312",""
"Alice Janecek","K1D","123.92","296","332",""
"Harmony Thery","K1D","124.10","250","334",""
"Manon Prioux","K1D","125.84","357","352",""
"Emma Jacob","K1D","126.68","370","360",""
"Armelle Canali","K1D","128.39","-","378",""
"Anouk Desbieys","K1D","129.39","415","388",""
"Zoe Guillerm","K1D","132.60","283","420",""
"Helena Heysch De La Borde","K1D","133.61","371","431",""
"Florence Mars","K1D","134.60","366","442",""
"Nina Daridon","K1D","136.06","-","456",""
"Claire Michelet","K1D","137.89","468","475",""
"Cindy Coat","K1D","138.77","-","484",""
"Marly Depiesse","K1D","140.17","-","499",""
"Maeva Salvador","K1D","141.90","517","516",""
"Marine Dumartin","K1D","142.01","-","517",""
"Athina Monemvasitis","K1D","147.28","-","571",""
"Lise Denat","K1D","147.52","-","573",""
"Anais Peyron","K1D","148.73","-","586",""
"Romane Axelle Lucasson","K1D","155.11","-","652",""
"Juliette Segura","K1D","157.95","-","681",""
"Charlotte Laffargue","K1D","172.43","-","829",""
"Marion Tixier","K1D","193.83","-","1049",""
"Emma Durrant","K1D","218.93","-","1305",""
"Melanie Yellouz","K1D","259.39","-","1720",""
"Marie Coussirat","K1D","330.96","-","2454",""
"Lucille Labernadie","K1D","334.06","-","2486",""
"Elodie Janotto","K1D","Nt","-","-",""
"Anneline Triomphe","K1D","Nt","-","-",""
"Fabien Lefevre","K1H","83.61","16","30",""
"Boris Neveu","K1H","85.38","3","50",""
"Thomas Rosset","K1H","85.66","28","54",""
"Emmanuel Walczak","K1H","85.80","36","55",""
"Thomas Bersinger","K1H","86.12","4","59",""
"Ludovic Di Nisi","K1H","86.38","22","62",""
"Sebastien Combot","K1H","86.44","4","63",""
"Pierre Bourliaud","K1H","86.77","9","67",""
"Julien Dekarczyk","K1H","86.85","15","68",""
"Samuel Hernanz","K1H","86.96","15","69",""
"Frederic Walczak","K1H","87.49","12","75",""
"Renaud Doby","K1H","87.73","11","77",""
"Hugo Cailhol","K1H","87.80","32","78",""
"Yann Gudefin","K1H","87.82","23","78",""
"Benjamin Buys","K1H","88.06","11","81",""
"Andy Pajani","K1H","88.27","32","84",""
"Bryan Seiler","K1H","88.84","88","91",""
"Quentin Burgi","K1H","89.25","59","95",""
"Julien Haberland","K1H","89.29","49","96",""
"Benjamin Renia","K1H","89.31","4","96",""
"Antoine Launay","K1H","89.69","78","101",""
"Nicolas Coudert","K1H","89.89","81","103",""
"Nicolas Abbal","K1H","90.08","75","105",""
"Yann Le Govic","K1H","90.39","61","108",""
"Mathieu Biazizzo","K1H","90.65","60","111",""
"Virgile Pigache-donnet","K1H","90.69","109","112",""
"Bastien Salame","K1H","90.92","152","114",""
"Nicolas Labat","K1H","91.15","27","117",""
"Benjamin Travostino","K1H","91.16","17","117",""
"Lucas Kelifaoui","K1H","91.30","78","119",""
"Alexis Caspar","K1H","91.48","33","121",""
"Bertrand Gutierrez","K1H","91.78","107","125",""
"Romain Lecrenais-perrel","K1H","91.87","152","126",""
"Tom Scianimanico","K1H","91.90","179","126",""
"Benoit Jouan","K1H","92.10","138","129",""
"Enrick Cunsolo","K1H","92.34","60","131",""
"Mathieu Haberland","K1H","92.52","99","134",""
"Fabien Tournadre","K1H","92.54","81","134",""
"Florian Berail","K1H","92.54","18","134",""
"Quentin De Fierville","K1H","92.67","119","135",""
"Nicolas Caussanel","K1H","92.96","199","138",""
"Michael Guyon","K1H","92.99","119","138",""
"Jonathan Delagnes","K1H","93.03","52","139",""
"Nathanael Renia","K1H","93.13","137","140",""
"Guillaume Picco","K1H","93.25","105","141",""
"Julien Billaut","K1H","93.37","17","143",""
"Nicolas Honzatko","K1H","93.52","-","145",""
"Alexandre Di Nisi","K1H","93.57","119","145",""
"Jeremy Lehning","K1H","93.59","114","145",""
"Guillaume Bernis","K1H","93.65","129","146",""
"Yoann Gottardo","K1H","93.96","-","150",""
"Louis-maxime Main","K1H","94.12","147","152",""
"Remi Baudot","K1H","94.14","116","152",""
"Thibault Gibert","K1H","94.14","112","152",""
"Adrien Roussel","K1H","94.46","226","156",""
"Quentin Lyphout","K1H","94.58","169","157",""
"Franck Delachair","K1H","94.66","133","158",""
"Franck Peyrical","K1H","95.18","129","164",""
"Thibault Dufour","K1H","95.22","203","165",""
"Stephane Labouille","K1H","95.42","132","167",""
"Colin Beziade","K1H","95.48","162","168",""
"Jean Baptiste Morera","K1H","95.60","133","168",""
"Yannick Besse","K1H","95.89","163","172",""
"Paul Aubert","K1H","95.96","120","173",""
"Sylvain Dandel","K1H","96.01","119","173",""
"Mael Othenin Girard","K1H","96.38","124","178",""
"Romain Chabrol","K1H","96.62","86","181",""
"Thomas Dandel","K1H","96.72","135","182",""
"Thomas Dauvet","K1H","96.89","184","184",""
"Yves Prigent","K1H","97.00","168","185",""
"Bertrand Gourrat","K1H","97.00","135","185",""
"Jean Messialle","K1H","97.32","183","189",""
"Nikolas Stanik","K1H","97.36","172","189",""
"Vincent Froger","K1H","97.49","149","191",""
"Tanguy Le Marec","K1H","97.56","185","192",""
"Jean-francois Souville","K1H","97.56","158","192",""
"Lionel Tinevez","K1H","97.66","158","193",""
"Florient Tagnon","K1H","97.98","144","197",""
"Antoine Roux","K1H","97.99","183","197",""
"Riwal Chardon","K1H","98.04","187","198",""
"Denis Gargaud","K1H","98.63","-","204",""
"Hugues Lesimple","K1H","98.69","173","204",""
"Julien Lenaour","K1H","98.95","241","207",""
"Lucas Ferraina","K1H","99.13","176","210",""
"Alexandre Ittel","K1H","99.41","172","213",""
"Gurgen Brun","K1H","99.52","161","214",""
"Jerome Trousson","K1H","99.74","182","217",""
"Guillaume Chainier","K1H","99.93","235","219",""
"Nicolas Baudoin","K1H","99.97","220","220",""
"Pierre Portais","K1H","100.15","209","222",""
"Fernando Denninger","K1H","100.22","192","223",""
"Frederic Descot","K1H","100.30","239","224",""
"Jean Yves Prigent","K1H","100.43","162","225",""
"Damien Launay","K1H","100.70","234","228",""
"James Duvernoy","K1H","101.04","263","231",""
"Nowan Bertin","K1H","101.08","209","232",""
"Laurent Starck","K1H","101.08","205","232",""
"Valentin Pahon","K1H","101.28","217","234",""
"Loic Kervella","K1H","101.28","175","234",""
"Matthieu Basset","K1H","101.63","165","239",""
"Valentin Lesseau","K1H","101.71","219","239",""
"Cedric Mace","K1H","101.77","-","240",""
"Damien Gaillard","K1H","101.78","169","240",""
"Anthony Themines","K1H","101.86","165","241",""
"Florian Balhuizen","K1H","102.13","243","245",""
"Pierre Labarelle","K1H","102.31","-","247",""
"Ewen Legrand","K1H","102.42","243","248",""
"Mael Rogard","K1H","102.47","278","249",""
"Florian Campagnole","K1H","102.57","378","250",""
"Philippe Niquet","K1H","102.76","218","252",""
"Bastien Dantin","K1H","102.83","-","253",""
"Felix Merzeau","K1H","102.89","209","254",""
"Herve Mars","K1H","103.13","314","256",""
"Matthias Besse","K1H","103.31","231","259",""
"Damien Caillon","K1H","103.48","210","260",""
"Thibault Le Henaff","K1H","103.53","240","260",""
"Jan Baudet","K1H","103.78","211","263",""
"Mathieu Pouchet","K1H","103.88","226","264",""
"Valentin Grollemund","K1H","103.95","-","265",""
"Marc Darribere","K1H","104.13","190","267",""
"Jean-philippe Rome","K1H","104.14","315","268",""
"Etienne Chauvin","K1H","104.51","266","272",""
"Maxime Le Henaff","K1H","104.53","263","272",""
"Pierrick Gaudin","K1H","104.82","226","276",""
"Clement Guiraud","K1H","104.94","290","277",""
"Remy Cassar","K1H","104.99","-","278",""
"Quentin Mignard","K1H","105.33","-","282",""
"Philippe Esnault","K1H","105.44","218","283",""
"Caryck Bouladjat","K1H","105.73","315","287",""
"Brice Desbieys","K1H","106.00","366","290",""
"Herve Clerc","K1H","107.12","-","302",""
"Pierrealain Clerc","K1H","107.16","254","303",""
"Edouard Grosjean","K1H","107.84","243","311",""
"Loic Pierre","K1H","108.01","737","313",""
"Gaetan Coat","K1H","108.51","320","319",""
"Tony Deshayes","K1H","109.08","295","325",""
"Manuel Legros","K1H","109.35","-","328",""
"Matthieu Duval","K1H","109.49","307","330",""
"Baptiste Soulat","K1H","111.51","382","353",""
"Nicolas Herr","K1H","111.71","314","355",""
"Joris Santoro","K1H","111.79","-","356",""
"Nicolas Scianimanico","K1H","111.87","231","357",""
"Aurelien Penicaud","K1H","111.88","416","357",""
"Antony Alves","K1H","112.61","-","366",""
"Nasser Belabdi","K1H","113.08","-","371",""
"Xavier Auneau","K1H","114.19","327","384",""
"Romain Foulon","K1H","114.26","398","385",""
"Thomas Wingerter","K1H","114.58","415","388",""
"Jolan Konig","K1H","115.03","385","394",""
"Guillaume Pitre","K1H","115.58","513","400",""
"Gregoire Olivier","K1H","115.65","467","401",""
"Benoit Sergent","K1H","117.44","384","422",""
"Nicolas Fayol","K1H","117.97","407","428",""
"Sylvain Thouvenot","K1H","119.10","642","441",""
"Maxime Lignereux","K1H","119.25","498","443",""
"Gabriel Prunet-foch","K1H","119.48","-","445",""
"Eric Vidou","K1H","119.86","-","450",""
"Luc Formet","K1H","121.00","400","463",""
"Louis Bouchiat","K1H","121.08","436","464",""
"Alexis Reigne","K1H","121.11","482","465",""
"Nicolas Neveu","K1H","121.41","484","468",""
"Roman Gastaud","K1H","122.12","-","476",""
"Marc Cailhol","K1H","123.06","394","487",""
"Marc Lalande","K1H","123.12","477","488",""
"Stann Savels","K1H","123.21","-","489",""
"Remy Gautier","K1H","124.88","-","508",""
"Komlangan Gassou","K1H","126.34","429","525",""
"Anthony Jonot","K1H","126.62","-","528",""
"Mathieu Marteau","K1H","127.62","-","539",""
"Olivier Ramos","K1H","128.54","870","550",""
"Pierre Berenguel","K1H","130.10","-","568",""
"Erwan Marchais","K1H","130.60","-","574",""
"Sylvain Bonneau","K1H","132.48","1526","596",""
"Camille Chaper","K1H","134.16","-","616",""
"Sebastien Mathieu","K1H","135.38","-","629",""
"Vincent Zago","K1H","136.26","-","640",""
"Damien Berger","K1H","137.04","702","649",""
"Jean Luc Pessoni","K1H","139.52","-","678",""
"Alexandre Charrier","K1H","140.05","-","684",""
"Christophe Paturey","K1H","141.32","-","698",""
"Jonathan Bourdier","K1H","141.34","715","698",""
"Vincent Gardere","K1H","143.65","-","725",""
"Patrick Parage","K1H","143.73","-","726",""
"Victor Pietrocola","K1H","144.72","-","738",""
"Maurice Pubert","K1H","148.12","773","778",""
"Jeremy Lepoutre","K1H","148.26","-","779",""
"Lauric Walle","K1H","153.24","-","837",""
"Yoan Bouchardon","K1H","158.27","-","895",""
"Sammy Billon","K1H","164.00","-","961",""
"Mallory Walle","K1H","165.90","-","983",""
"Dylan Tonnellier","K1H","182.97","-","1181",""
"Kevin Queheille","K1H","189.36","-","1255",""
"Kevin Lecomte","K1H","202.31","-","1405",""
"Robin Mougel","K1H","203.61","-","1420",""
"Jean-baptiste Tesson","K1H","Nt","-","-",""
"Jean Yves Courtiade","K1H","Nt","-","-",""
"Pascal Dongarra","K1H","Nt","-","-",""
"Maxime Krzyzyk","K1H","Nt","-","-",""
"Mathieu Charliac","K1H","Nt","-","-",""
"Emmanuel Triomphe","K1H","Nt","-","-",""
"Franck Guarderia","K1H","Nt","-","-",""
"Vivien Colober","K1H","Nt","-","-",""
