"Sélectif Régional de Slalom - Cigne - Finale - 2017-12-10","Finale","2017-12-10","Régional","115"
"Briac Charny","K1HM","126.16","735.9","639.89","Finale B"
"Mathias Vautier","K1HM","129.47","790.63","682.45","Finale B"
"Vincent Dorchat","K1HM","134.34","1036.54","745.08","Finale B"
"Axel Brin","K1HM","151.09","1170.73","960.48","Finale B"
"Steeve Protais","K1HM","151.18","939.86","961.63","Finale B"
"Nolann Maudet","K1HM","151.3","1188.21","963.18","Finale B"
"Charly Maherault","K1HM","155.63","818.18","1018.86","Finale B"
"Cyriaque Sorin","K1HM","168.31","1306.65","1181.92","Finale B"
"Martin Dubus","K1HM","229.06","1051.19","1963.14","Finale B"
"Brieuc Aubron","K1HM","281.93","2213.26","2643.02","Finale B"
"Elias Schieber","K1HM","283.2","974.67","2659.35","Finale B"
