"Manche 2 de la Coupe de France National 1 Slalom - 22300 Lannion - Qualification - 2022-03-06","22300 Lannion","Qualification","qualif","2022-03-06","Nationale 1","176"
"Athl�te","Cat�gorie","Score","Valeur","Points course","Finale A/B"
"Pol Oulhen","K1H","102.41","36.35","85.37",""
"Gino Benini","K1H","102.59","93.4","87.17",""
"Mathis Soudi","K1H","102.63","97.35","87.56",""
"Arthur Mizzi","K1H","103.28","74.07","94.05",""
"Thomas Bersinger","K1H","103.98","88.29","101.03",""
"Etienne Daille","K1H","104.14","71.21","102.62",""
"Lucas Latimier","K1H","104.31","221.88","104.32",""
"Tom Bouchardon","K1H","104.99","256.03","111.1",""
"Theo Reby","K1H","105.06","163.12","111.8",""
"Pierre Bourliaud","K1H","105.45","97.86","115.69",""
"Yohann Senechault","K1H","105.85","210.33","119.68",""
"Nicolas Baudoin","K1H","106.17","420.24","122.87",""
"Paul Gestin","K1H","106.4","187.02","125.16",""
"Lukas Estanguet-santamaria","K1H","106.41","170.02","125.26",""
"Gregoire Guerin","K1H","106.64","107.11","127.56",""
"Leo Vuitton","K1H","108.27","38.01","143.81",""
"Pierre Giudicelli","K1H","108.43","250.83","145.41",""
"Pierre Grapotte","K1H","108.73","147.9","148.4",""
"Ludovic Di Nisi","K1H","108.93","122.51","150.39",""
"Luc Sarramea","K1H","109.28","153.06","153.89",""
"Arnaud Verrons","K1H","109.94","248.73","160.47",""
"Oskar Hillion","K1H","110.59","192.19","166.95",""
"Alex Louveau","K1H","111.23","338.46","173.33",""
"Benjamin Dodane","K1H","112.06","196.33","181.61",""
"Hugo Monasse","K1H","113.09","219.1","191.88",""
"Mael Bernes","K1H","115.31","201.14","214.02",""
"William Desnos","K1H","118.86","170.69","249.43",""
"Clement Couchoud","K1H","119.48","240.64","255.61",""
"Elouan Debliquy","K1H","119.5","236.06","255.81",""
"Maxime Aubertin","K1H","120.38","226.73","264.59",""
"Lucas Augu","K1H","120.72","319.72","267.98",""
"Benoit Chantry","K1H","121.15","150.2","272.27",""
"Killian Flegeau","K1H","121.83","766.78","279.05",""
"Mael Hervault","K1H","122.44","134.43","285.13",""
"Gael Adisson","K1H","123.06","96.2","291.32",""
"Nathanael Pedron","K1H","124.98","282.36","310.46",""
"Matheo Lebaindre","K1H","126.67","130.99","327.32",""
"Joris Hello","K1H","153.13","215.53","591.21",""
"Alan Dollo","K1H","154.29","192.44","602.78",""
"Tom Babin","K1H","155.06","84.85","610.45",""
"Quentin Burgi","K1H","156.11","38.94","620.93",""
"Martin Cornu","K1H","156.15","198.06","621.33",""
"Tom Deconchy","K1H","156.41","251.23","623.92",""
"Maxence Davy","K1H","156.89","240.31","628.71",""
"Paul Cornut-chauvinc","K1H","160.3","118.03","662.71",""
"Theo Desvignes","K1H","161.91","190.47","678.77",""
"Cyprien Cail","K1H","162.69","106.54","686.55",""
"Romain Bruneau","K1H","163.79","216.51","697.52",""
"Emilien Courtiade","K1H","173.82","111.61","797.55",""
"Hugo Regnier","K1H","210.09","61.69","1159.28",""
