"Séletif régional slalom - Veigné - 2003-11-08","Course 1","2003-11-08","Régional","133"
"Montaine Roumet","K1D","293.95","-","764",""
"Duris Marion","K1D","294.63","-","768",""
"Delhia Petiot","K1D","308.45","474","854",""
"Linard Alice","K1D","349.49","-","1106",""
"Marine Joslin","K1D","353.87","-","1133",""
"Oriane Rebours","K1D","365.33","393","1204",""
"Julie Blank","K1D","381.27","407","1302",""
"Laura Lyphout","K1D","391.57","240","1365",""
"Belleney Deborah","K1D","457.74","858","1773",""
"Adeline Gerardin","K1D","465.51","-","1821",""
"Michelet Virginie","K1D","644.79","-","2925",""
"Fazzino Pauline","K1D","646.53","3241","2935",""
"Christophe Marechal","K1H","167.13","30","86",""
"Christophe Augu","K1H","168.19","38","92",""
"Benjamin Thouvignon","K1H","169.83","115","104",""
"Raphael Reveche","K1H","172.60","97","123",""
"Leproult Jonathan","K1H","175.16","113","140",""
"Herve Busson","K1H","180.87","177","179",""
"Yoann Gottardo","K1H","181.98","180","186",""
"Yoann Rebours","K1H","187.39","178","223",""
"Pascal Poitiers","K1H","187.78","194","226",""
"Remy Faucon","K1H","189.57","346","238",""
"Childeric Thoreau","K1H","189.59","252","238",""
"Jerome Talbot","K1H","193.97","281","268",""
"Paul Brier","K1H","194.04","-","268",""
"Courtille Arnaud","K1H","195.02","271","274",""
"Guillaume Fletcher","K1H","195.29","179","277",""
"Yoann Hautecloche","K1H","195.87","298","281",""
"Goulwen Chapelier","K1H","195.98","276","281",""
"Bonniol Quentin","K1H","196.02","-","281",""
"Ludovic Gloaguen","K1H","197.13","359","288",""
"Philippe Niquet","K1H","197.19","272","289",""
"Nicolas Arnoult","K1H","198.06","308","295",""
"Jean-francois Souville","K1H","198.47","251","298",""
"Dubost Antoine","K1H","198.87","322","300",""
"Roy Pascal","K1H","201.45","-","319",""
"Delahaie Emmanuel","K1H","201.81","323","321",""
"Fabien Tournadre","K1H","201.90","271","321",""
"Barbier Julien","K1H","202.90","311","328",""
"Fouquart Thierry","K1H","203.67","346","334",""
"Kevin Gouabault","K1H","203.72","306","334",""
"Jerome Dorizon","K1H","203.88","219","335",""
"Aubert Fabien","K1H","204.77","471","341",""
"Bastien Pailler","K1H","207.12","374","356",""
"Paul Storez","K1H","207.92","335","362",""
"Olivier Roussel","K1H","208.25","354","364",""
"Vincent Froger","K1H","209.71","-","375",""
"Calandre Guillaume","K1H","210.19","-","378",""
"Weitz Marc","K1H","211.21","422","384",""
"Bercon Aurelien","K1H","212.81","-","395",""
"Despont Tristan","K1H","213.82","457","401",""
"Timothee Venot","K1H","215.13","435","411",""
"Mouroux Jeff","K1H","215.41","415","412",""
"Morvan Antoine","K1H","216.76","438","422",""
"Guillard Jonathan","K1H","225.30","466","480",""
"Friquet Arnaud","K1H","226.20","450","485",""
"Arnoult G.","K1H","226.85","-","490",""
"Jean Christophe Boivin","K1H","228.70","55","503",""
"Cordonnier Raphael","K1H","230.49","108","515",""
"Chasseloup Christophe","K1H","232.82","259","531",""
"Jean-noel Avril","K1H","233.39","-","535",""
"Barbier Cyril","K1H","234.69","451","544",""
"Yaouanc Benjamin","K1H","237.61","-","563",""
"Faivre Boris","K1H","241.96","-","593",""
"Lemaire Guillaume","K1H","242.66","-","597",""
"Guillaume Scire","K1H","250.63","736","651",""
"Gaillot Christophe","K1H","253.22","-","668",""
"Julien Vetele","K1H","260.43","413","718",""
"Emmanuel Despont","K1H","264.36","888","745",""
"Rideray Vincent","K1H","265.52","-","752",""
"Durand Franck","K1H","265.88","-","755",""
"Bisson Frederic","K1H","276.72","590","828",""
"Dominique Odile","K1H","276.75","602","828",""
"Cressol Alexandre","K1H","278.39","-","840",""
"Arthur Feraud","K1H","282.65","-","869",""
"Micouraud Yohan","K1H","294.37","920","947",""
"Normand Aymeric","K1H","312.28","-","1069",""
"Gil Justin","K1H","313.32","-","1077",""
"Simon Bercon","K1H","316.22","449","1096",""
"Dechatre Aurelien","K1H","323.62","-","1145",""
"Demouy Grégoire","K1H","343.93","1495","1283",""
"Benedetto Guillaume","K1H","353.97","483","1351",""
"Sylvain Georges","K1H","440.82","-","1940",""
"Gourdin Nicolas","K1H","443.97","1136","1962",""
"Razanadrasamy Anthony","K1H","449.34","-","1998",""
"Ferdoel Guillaume","K1H","459.81","-","2068",""
"Manuel Moquet","K1H","463.17","-","2092",""
"Alsarraf Jerome","K1H","469.94","-","2137",""
"Bouche Alan","K1H","489.18","-","2267",""
"Baudeau Jolyan","K1H","499.44","-","2337",""
"Piechowiak Alban","K1H","521.52","-","2487",""
"Nigues Romain","K1H","534.08","-","2572",""
"Simon Philibert","K1H","558.54","-","2738",""
"Couture Laurent","K1H","597.19","-","3000",""
"Cornu Jeremy","K1H","611.31","-","3095",""
"Thomazic Gaetan","K1H","615.66","-","3124",""
"Gravouil Dan","K1H","671.15","-","3500",""
"Ausseur Mickaël","K1H","736.33","-","3942",""
"Berthomier Alexandre","K1H","739.56","-","3964",""
