"Championnat Régional d'Aquitaine - Sauveterre - 2010-06-27","Course 1","2010-06-27","Régional","119"
"Gregory Maurice","K1H","129.93","-","480",""
"Alexandre Jouve","K1H","130.42","-","486",""
"Jeremy Lepoutre","K1H","131.79","466","503",""
"Sebastien Roberge","K1H","134.79","414","539",""
"Alexandre Stoltz","K1H","135.68","-","549",""
"Olivier Ramos","K1H","136.64","477","561",""
"Jeanpaul Lalanne","K1H","137.13","-","567",""
"Lionel Aguilhon","K1H","137.29","956","569",""
"Jean Luc Pessoni","K1H","139.38","624","593",""
"Mathieu Claverie","K1H","139.53","614","595",""
"Daniel Lafitte","K1H","143.93","-","648",""
"Maurice Pubert","K1H","146.67","684","680",""
"Alexandre Katselis","K1H","154.79","-","777",""
"Robin Poucet","K1H","156.5","-","798",""
"Alain Nardou","K1H","174.28","-","1012",""
"Florian Lassalle","K1H","220.56","-","1565",""
"Anthony Mineo","K1H","243.99","-","1845",""
"Thomas Balauze","K1H","258.46","-","2018",""
"Antoine Trinquier","K1H","421.14","-","3965",""
"Komlangan Gassou","K1H","Nt","-","-",""
"Henri Fourcaud","K1H","Nt","-","-",""
"Julien Auneau","K1H","Nt","-","-",""
"Tony Deshayes","K1H","Nt","-","-",""
"Damien Mareau","K1H","Nt","-","-",""
"Benjamin Boniface","K1H","Nt","-","-",""
"Emilien Roso","K1H","Nt","-","-",""
"Benjamin Renia","K1H","Nt","-","-",""
"Nathanael Renia","K1H","Nt","-","-",""
"Ludovic Cofler","K1H","Nt","-","-",""
"Jean-baptiste Tesson","K1H","Nt","-","-",""
"Nathan Allegre","K1H","Nt","-","-",""
"Marius Bernier","K1H","Nt","-","-",""
"Quentin Gerard","K1H","Nt","-","-",""
