"Championnat Régional de Slalom - Mortagne Sur Sevre - Finale - 2018-01-14","Finale","2018-01-14","Régional","93"
"Olivier Brochard","K1H","135.65","543.91","558.25","Finale B"
"Tanguy Odot","K1H","135.93","465.82","561.39","Finale B"
"Edouard Anne","K1H","137.3","510.57","576.74","Finale B"
"Regis Navinel-dubois","K1H","139.99","480.93","606.88","Finale B"
"Nathan Gouraud","K1H","143.05","835.98","641.17","Finale B"
"Olivier Leboeuf","K1H","144.25","513.87","654.62","Finale B"
"Erwan Launay","K1H","144.8","592.65","660.78","Finale B"
"Noe Caillet","K1H","148.04","682.66","697.09","Finale B"
"Hubert Heurtel","K1H","153.92","606.1","762.98","Finale B"
"Pascal Brodiez","K1H","155.15","828.76","776.76","Finale B"
"Louis-felix Marchand","K1H","156.45","650.38","791.33","Finale B"
"Simon Murzeau","K1H","158.47","902.16","813.97","Finale B"
"Christian Le Parc","K1H","159.77","792.21","828.54","Finale B"
"Loic Augereau","K1H","163.45","762.44","869.77","Finale B"
"Benjamin Pagerie","K1H","165.54","692.07","893.19","Finale B"
"Bertrand Henot","K1H","172.39","844.28","969.95","Finale B"
"Mallory Brochard","K1H","174.89","781.31","997.97","Finale B"
"Axel Brin","K1H","182.23","1055.41","1080.22","Finale B"
"Charly Maherault","K1H","186.88","835.57","1132.33","Finale B"
"Damien Martin","K1H","203.81","700.21","1322.04","Finale B"
"Noa Taillandier","K1H","213.33","1014.46","1428.73","Finale B"
"Tudual Telbois","K1H","215.97","890.41","1458.31","Finale B"
"Cyriaque Sorin","K1H","231.88","1275.46","1636.6","Finale B"
"Killian Emery","K1H","390.58","1442.26","3414.98","Finale B"
"Mael Letort","K1H","410.62","-","3639.54","Finale B"
"Matis Illouz","K1H","845.73","1199.55","8515.35","Finale B"
"Steeve Protais","K1HM","191.84","914.38","1187.91","Finale B"
