"Championnat Régional - Vinon sur Verdon - Course 1 | Finale - 2014-11-15","Course 1 | Finale","2014-11-15","Régional","142"
"Paul Cornut-chauvinc","K1H","120.74","184.06","232.62","Course 1 | Finale A"
"Bertrand Bercon","K1H","124.16","245.47","267.82","Course 1 | Finale A"
"Pablo Guillem","K1H","124.72","322.71","273.59","Course 1 | Finale A"
"Alexis Cordier","K1H","126.11","249.48","287.89","Course 1 | Finale A"
"Ludovic Pinchon","K1H","126.42","-","291.08","Course 1 | Finale A"
"Gregoire Pouille","K1H","126.67","336.55","293.66","Course 1 | Finale A"
"Alexandre Pouille","K1H","126.77","278.69","294.69","Course 1 | Finale A"
"Thibault Gache","K1H","127.55","361.9","302.71","Course 1 | Finale A"
"Sebastien Riou","K1H","129.63","393.13","324.12","Course 1 | Finale A"
"Florent Lagorio","K1H","129.64","-","324.22","Course 1 | Finale A"
"Tom Deconchy","K1H","129.86","315.31","326.49","Course 1 | Finale A"
"Benoit Jacquot-bertrand","K1H","131.14","362.31","339.66","Course 1 | Finale A"
"Daniel Geay","K1H","132.17","315.59","350.26","Course 1 | Finale A"
"Mathieu Lions","K1H","132.33","339.12","351.91","Course 1 | Finale A"
"Jean Philippe Roche","K1H","133.66","345.17","365.6","Course 1 | Finale A"
"Hugo Andre","K1H","134.5","374.54","374.25","Course 1 | Finale A"
"Ronan Cordier","K1H","134.64","427.16","375.69","Course 1 | Finale A"
"Maxime Lignereux","K1H","135.88","287.52","388.45","Course 1 | Finale A"
"Eric Cazalis","K1H","136.36","-","393.39","Course 1 | Finale A"
"Mahe Dersoir","K1H","137.75","373.65","407.7","Course 1 | Finale A"
"Jean Baptiste Lismonde","K1H","138.41","429.4","414.49","Course 1 | Finale A"
"Frederic Reus","K1H","138.76","492.02","418.09","Course 1 | Finale A"
"Yannick Besse","K1H","139.37","339.47","424.37","Course 1 | Finale A"
"Ollivier Paumier","K1H","140.58","480.45","436.82","Course 1 | Finale A"
"Yann Tabone","K1H","145.5","547.46","487.46","Course 1 | Finale A"
"Kilian Torti","K1H","145.8","853.27","490.55","Course 1 | Finale A"
"Cyril Audoit","K1H","152.13","397.28","555.7","Course 1 | Finale A"
"Raphael Warot","K1H","194.73","574.64","994.16","Course 1 | Finale A"
"Mikael Clanchin","K1H","Des","-","-","Course 1 | Finale A"
"Henri Bergognon","K1HM","123.03","-","-","Course 1 | Finale A"
"Pierre Grapotte","K1HM","130.78","383.05","335.96","Course 1 | Finale A"
"Jules Silvin","K1HM","132.5","335.73","353.66","Course 1 | Finale A"
"Jules Cresp","K1HM","135.47","369.82","384.23","Course 1 | Finale A"
"Tom Benini","K1HM","137.01","414.6","400.08","Course 1 | Finale A"
"Valentin Parasme","K1HM","143.42","486.76","466.05","Course 1 | Finale A"
"Raphael Olla","K1HM","147.45","410.06","507.53","Course 1 | Finale A"
"Jeremie Palazy","K1HM","149.62","-","-","Course 1 | Finale A"
"Samuel Bonella","K1HM","152.22","328.7","556.63","Course 1 | Finale A"
"Thomas Courtois","K1HM","153.24","530.74","567.13","Course 1 | Finale A"
"Gawaine Chikh","K1HM","177.71","-","-","Course 1 | Finale A"
"Kawan Thomas","K1HM","925.9","346.06","8519.69","Course 1 | Finale A"
"Alexis Mercoirol","C1H","134.85","433.64","316.76","Course 1 | Finale B"
"Lucas Di Martino","C1H","138.26","533.87","350.18","Course 1 | Finale B"
"Frank Adisson","C1H","140.49","361.86","372.04","Course 1 | Finale B"
"Hugo Andre","C1H","150.85","406.57","473.6","Course 1 | Finale B"
"Cyril Audoit","C1H","159.15","515.77","554.95","Course 1 | Finale B"
"Pablo Guillem","C1H","205.15","-","1005.86","Course 1 | Finale B"
"Mathieu Lions","C1H","Nt","-","-","Course 1 | Finale B"
"Karl Berson","C1H","Abs","-","-","Course 1 | Finale B"
"Maxime Melmont","C1HM","Des","-","-","Course 1 | Finale B"
"Lorene Scalbert","K1D","162.73","498.46","477.12","Course 1 | Finale B"
"Stephanie Bourdin","K1D","166.53","517.32","511.73","Course 1 | Finale B"
"Christelle Channac","K1D","169.73","629.57","540.88","Course 1 | Finale B"
"Melanie Connes-lessard","K1D","170.67","603.09","549.43","Course 1 | Finale B"
"Juliette Rousset","K1D","179.78","555.46","632.41","Course 1 | Finale B"
"Helene Merlet","K1D","187.29","-","700.81","Course 1 | Finale B"
"Ines Delmotte","K1D","515.52","-","3690.45","Course 1 | Finale B"
"Camille Santa Cruz","K1DM","168.91","-","-","Course 1 | Finale B"
"Aliona Baudy","K1DM","196.88","796.92","788.17","Course 1 | Finale B"
"Camille Berson","K1DM","206.05","-","-","Course 1 | Finale B"
"Bryan Seiler","K1H","121.99","114.1","250.49","Course 1 | Finale B"
"Alexandre Lismonde","K1H","126.25","222.15","294.33","Course 1 | Finale B"
"Pierre Courtois","K1H","127.8","2047.05","310.29","Course 1 | Finale B"
"Fabien Leist","K1H","131.84","404.46","351.87","Course 1 | Finale B"
"Marc Delli Zuani","K1H","134.28","-","376.98","Course 1 | Finale B"
"Olivier Kremer","K1H","142.31","-","459.63","Course 1 | Finale B"
"Hugo Polard","K1H","143.46","679.02","471.47","Course 1 | Finale B"
"Sebastien Conil","K1H","144.3","-","480.11","Course 1 | Finale B"
"Franck Leroy","K1H","144.9","560.1","486.29","Course 1 | Finale B"
"Pioerre-calixte Gaydon-ohl","K1H","146.42","591.6","501.93","Course 1 | Finale B"
"Paul Roubaud","K1H","147.42","447.61","512.22","Course 1 | Finale B"
"Jean Marie Ballouard","K1H","147.66","-","514.69","Course 1 | Finale B"
"Valentin Augnacs","K1H","147.68","-","514.9","Course 1 | Finale B"
"Dominique Polard","K1H","147.76","681.57","515.72","Course 1 | Finale B"
"Baptiste Clerc","K1H","147.8","563.58","516.14","Course 1 | Finale B"
"Romain Gayral","K1H","151.57","491.34","554.94","Course 1 | Finale B"
"Paul Badache","K1H","154.59","719.58","586.02","Course 1 | Finale B"
"Gilles Lovera","K1H","155.29","-","593.23","Course 1 | Finale B"
"Ange Bernard","K1H","163.36","-","676.29","Course 1 | Finale B"
"Hugo Avril","K1H","167.06","817.49","714.37","Course 1 | Finale B"
"Philippe Bigard","K1H","171.2","-","756.98","Course 1 | Finale B"
"Anton Gille","K1H","173.18","949","777.36","Course 1 | Finale B"
"Alexandre Rozand","K1H","208.36","650.51","1139.45","Course 1 | Finale B"
"Morgan Hoarau","K1H","219.14","543.5","1250.4","Course 1 | Finale B"
"Valentin Rozand","K1H","Abs","-","-","Course 1 | Finale B"
"Lucien Goulet","K1H","Abs","-","-","Course 1 | Finale B"
"Yvannick Moisan","K1H","Abs","-","-","Course 1 | Finale B"
"Julien Nutte","K1H","Abs","-","-","Course 1 | Finale B"
"Sebastien Chilard","K1H","Abs","-","-","Course 1 | Finale B"
"Romain Berthon","K1H","Abs","-","-","Course 1 | Finale B"
"Lucas Ferro","K1H","Des","-","-","Course 1 | Finale B"
"Nayl Tazi-sidqui","K1HM","138.31","525.67","418.46","Course 1 | Finale B"
"Louis Scalbert","K1HM","144.79","-","485.16","Course 1 | Finale B"
"Gael Adisson","K1HM","146.89","-","-","Course 1 | Finale B"
"Luca Barone","K1HM","153.64","-","576.24","Course 1 | Finale B"
"Alexandre Goujon","K1HM","158.79","-","-","Course 1 | Finale B"
"Julian Guglielmo","K1HM","159.27","-","634.19","Course 1 | Finale B"
"Baptiste Marcellot","K1HM","162.26","-","-","Course 1 | Finale B"
"Nour Ait Kaddour","K1HM","165.49","-","-","Course 1 | Finale B"
"Maxime Melmont","K1HM","173.09","-","-","Course 1 | Finale B"
"Marceau Hugues","K1HM","176.01","-","806.49","Course 1 | Finale B"
"Aymeric Rivier","K1HM","198.89","-","-","Course 1 | Finale B"
"Baptiste Bounekir","K1HM","228.32","-","1344.88","Course 1 | Finale B"
"Charlie Genovese","K1HM","Abs","-","-","Course 1 | Finale B"
"Valentin Lacor","K1HM","Abs","-","-","Course 1 | Finale B"
"Loan Paumier","K1HM","Abs","-","-","Course 1 | Finale B"
