"Championnat de France N1 - Lathus Saint Rémy - 3ème Manche - 2009-03-21","3ème Manche","2009-03-21","Nationale 1","119"
"Vivien Colober","K1H","97.35","24","29",""
"Paul Brier","K1H","97.39","32","29",""
"Nicolas Veillard","K1H","97.83","32","31",""
"Yann Gudefin","K1H","97.94","31","32",""
"Emmanuel Walczak","K1H","98.08","63","33",""
"Julien Dekarczyk","K1H","98.39","27","34",""
"Yoann Hautecloche","K1H","98.45","65","35",""
"Ronan Lucas","K1H","98.67","45","36",""
"Ludovic Di Nisi","K1H","98.85","46","37",""
"Christophe Augu","K1H","98.9","42","37",""
"Andy Pajani","K1H","98.91","62","37",""
"Benjamin Travostino","K1H","99.18","31","39",""
"Aurelien Maynadier","K1H","99.25","30","39",""
"Jules Bevalot","K1H","99.6","50","41",""
"Louis Georges Lafont","K1H","99.81","47","42",""
"Hugo Cailhol","K1H","100.04","46","43",""
"Thomas Rosset","K1H","100.47","33","45",""
"Christophe Marechal","K1H","100.53","31","45",""
"Hugo Hager","K1H","100.64","24","46",""
"Louis Philippe Rigal","K1H","100.71","48","46",""
"Pierre Marie Roussel","K1H","100.99","60","48",""
"Cedric Bron","K1H","101.03","40","48",""
"Aurelien Leroy","K1H","101.04","58","48",""
"Jimy Bercon","K1H","101.21","56","49",""
"Johan De Mareuil","K1H","101.28","48","49",""
"Jeremy Cremonesi","K1H","101.48","64","51",""
"Goulwen Chapelier","K1H","102","61","53",""
"Yoan Minvielle","K1H","102.98","71","59",""
"Loris Minvielle","K1H","103.58","39","62",""
"Julien Arribe","K1H","103.81","67","63",""
"Jonathan Delagnes","K1H","103.96","60","64",""
"Julien Coudert","K1H","104.09","62","65",""
"Benoit Letellier","K1H","104.97","63","69",""
"Davy Egraz","K1H","105.06","71","70",""
"Alexis Caspar","K1H","105.15","51","70",""
"Arnaud Lapeze","K1H","Nt","-","-",""
