"Finale N3 Nord Est - Goumois - 2003-06-15","Course 1","2003-06-15","Nationale 3","159"
"Anne Fischer","K1D","249.96","478","474",""
"De Berchen Emilie","K1D","264.70","487","555",""
"Celia Jodar","K1D","270.27","571","586",""
"L'orphelin Lucille","K1D","271.39","505","591",""
"Lutz Olivia","K1D","285.31","594","668",""
"Defoix Angelique","K1D","289.55","433","692",""
"Jarrot Julie","K1D","320.88","475","865",""
"Falcetta Charlotte","K1D","325.69","681","891",""
"Djamila Mihoubi","K1D","335.74","573","946",""
"Emmanuelle Gigandet","K1D","343.91","582","992",""
"Pauline Pillion","K1D","446.75","659","1559",""
"Benoit Chantry","K1H","188.14","718","236",""
"Oswald Besch","K1H","189.66","278","245",""
"Quentin Bove","K1H","190.30","273","249",""
"Alexandre Guerinet","K1H","193.49","292","269",""
"Nicolas Leclerc","K1H","194.36","341","274",""
"Jerome Olhagaray","K1H","194.71","256","276",""
"Rumeau Martin","K1H","195.22","240","279",""
"Jules Bevalot","K1H","195.36","265","280",""
"Mathieu Bandelier","K1H","197.45","278","292",""
"Kudla Romain","K1H","198.13","279","297",""
"Arthur Georges","K1H","199.10","274","302",""
"Aurel Sebastien","K1H","201.03","319","314",""
"Jeremy Poux","K1H","201.95","258","320",""
"Dallazuana Anthony","K1H","202.37","320","322",""
"Thomas Michel","K1H","202.77","290","325",""
"Labouille Yannick","K1H","202.90","286","326",""
"Florent Tamburini","K1H","203.50","329","330",""
"Kevin Schultz","K1H","204.09","263","333",""
"Sebastien Serot","K1H","204.37","313","335",""
"Nicolas Pinot","K1H","204.98","334","339",""
"Olivier Mittler","K1H","205.10","295","340",""
"Quentin Vallee","K1H","205.34","368","340",""
"Ronan Lucas","K1H","205.35","350","340",""
"Falcetta Thomas","K1H","206.01","293","345",""
"Ladouce Romain","K1H","208.32","437","359",""
"Bastien Darcillon","K1H","208.68","414","361",""
"Debruyere Benjamin","K1H","209.03","357","363",""
"Ehlinger Robin","K1H","209.87","425","368",""
"Vieillard Alexis","K1H","209.96","370","369",""
"Leroy Anthony","K1H","209.99","441","369",""
"Stephane Ferrignio","K1H","210.06","334","369",""
"Chiche Martin","K1H","210.33","330","371",""
"Stephane Rousse","K1H","210.80","301","374",""
"Eric Marmet","K1H","211.62","463","379",""
"Revelle Yohann","K1H","212.92","345","387",""
"Nathan Barbier","K1H","213.15","427","388",""
"Patrick Gass","K1H","214.85","309","398",""
"Julien Daumont","K1H","215.30","354","401",""
"Hayot Sylvain","K1H","215.79","365","404",""
"Noble Aurelien","K1H","216.62","373","409",""
"Aubert Anthony","K1H","216.67","443","409",""
"Hetier Louis","K1H","218.71","497","422",""
"Lacour Jerome","K1H","218.80","307","422",""
"Jean Guyot","K1H","219.37","343","426",""
"Olivier Urbain","K1H","220.33","274","432",""
"Yves Moreno","K1H","221.01","432","436",""
"Pascal Garnier","K1H","221.39","388","438",""
"Thenon Gregori","K1H","221.46","411","438",""
"Nicolle Xavier","K1H","222.20","456","443",""
"Jeanpierre Patard","K1H","222.33","400","444",""
"Malderez Sebastien","K1H","222.80","384","446",""
"Savart Matthieu","K1H","223.58","382","451",""
"Stephane Sagnier","K1H","224.01","407","454",""
"Antoine Decambon","K1H","224.79","495","458",""
"Alliaume Antoine","K1H","225.61","463","464",""
"Di Majo Romain","K1H","225.97","566","465",""
"Faivre-Pierret Nicolas","K1H","226.15","507","467",""
"Emmanuel Colajanni","K1H","226.45","435","469",""
"Renoux Franck","K1H","226.88","539","471",""
"Soulon Florian","K1H","227.54","487","475",""
"William Boutet","K1H","227.54","418","475",""
"Dameron Antoine","K1H","227.71","452","476",""
"Philippe Valeri","K1H","228.54","354","482",""
"Viratelle Vincent","K1H","229.11","407","484",""
"Beghoura Yoni","K1H","229.28","472","486",""
"Yann Le Guedard","K1H","230.88","348","495",""
"Patrick Thevenin","K1H","231.20","412","497",""
"Ringeisen Gautier","K1H","231.91","411","502",""
"Maignan Adrien","K1H","232.01","507","503",""
"Biton Jonas","K1H","232.15","482","503",""
"Fievez Guillaume","K1H","232.33","460","504",""
"Douillot Nicolas","K1H","232.38","422","504",""
"Lemaire Alexandre","K1H","232.86","523","508",""
"Poix Stanislas","K1H","234.82","569","520",""
"Senechal Alexis","K1H","238.13","502","540",""
"Jaillot Nicolas","K1H","238.22","533","540",""
"Romain Viry","K1H","239.41","537","547",""
"Knibbe Vivien","K1H","239.87","494","551",""
"Drosseau Simon","K1H","240.11","465","551",""
"Thomas Rollot","K1H","240.12","497","551",""
"Laurent Guyot","K1H","240.71","573","555",""
"Granger Terence","K1H","240.82","630","556",""
"Tachet Xavier","K1H","242.83","623","568",""
"Sassatelli Nicolas","K1H","243.13","752","570",""
"Loic Monbel","K1H","243.63","482","573",""
"Hubschwerlin Pierre","K1H","243.77","516","574",""
"Mehdi Amini","K1H","243.94","290","575",""
"Pierson Cyril","K1H","253.76","290","635",""
"Eric Louis","K1H","254.05","599","637",""
"Hamann Damien","K1H","259.93","552","672",""
"Richard Carpentier","K1H","262.06","700","685",""
"Miler Thomas","K1H","268.05","519","721",""
"Romain Buchot","K1H","269.84","551","732",""
"Johann Beldame","K1H","277.48","534","779",""
"Ciemniewski Olivier","K1H","279.36","480","790",""
"Saillard Julien","K1H","285.89","643","829",""
"Eddy Cassard","K1H","286.88","454","836",""
"Nicolas Mangeolle","K1H","295.34","394","887",""
"Collinet Matthieu","K1H","303.64","462","937",""
"Courtier Jeremy","K1H","310.66","622","980",""
"Sergent Sylvain","K1H","311.89","392","987",""
"Serra Thibault","K1H","314.34","602","1002",""
"Pollet Manu","K1H","317.86","579","1023",""
"Meunier Logan","K1H","320.80","662","1041",""
"Pascal Sallot","K1H","321.14","656","1043",""
"Averlant Etienne","K1H","327.35","574","1081",""
"Gilles Lucas","K1H","332.81","511","1114",""
"Decaux Louis","K1H","344.14","592","1183",""
"Piermay Vincent","K1H","349.64","574","1216",""
"Bigeon Thibault","K1H","350.54","626","1222",""
"Carisey Pierre","K1H","367.30","703","1324",""
"Duparcq Romain","K1H","472.82","651","1964",""
