"Championnat des Côtes d'Armor - Pont Querra - Qualification - 2016-01-17","Qualification","2016-01-17","Régional","123"
"Erwann Le Jeune","K1H","116.8","447.79","390.71",""
"Aurelien Le Duc","K1H","121.46","530.27","445.7",""
"Valentino Le Guesclou","K1H","121.85","501.15","450.3",""
"Lilian Bald","K1H","124.58","490.21","482.52",""
"Come Le Gal","K1H","124.6","529.38","482.75",""
"Nathan Chaumier","K1H","127.32","-","514.85",""
"Thomas Floch","K1H","129.47","533.03","540.22",""
"Thibaud Le Berre","K1H","129.71","472.01","543.05",""
"Hugo Robert","K1H","135.04","637.48","605.94",""
"Malo Querre","K1H","136.92","621.21","628.13",""
"Mathias Dubois","K1H","156.12","-","854.68",""
"Brice Derrien","K1H","170.95","449.48","1029.68",""
"Liam Esteffe","K1H","190.68","-","1262.49",""
"Emmanuel L'anton","K1H","Nt","-","-",""
"Hugo Philippe","K1H","Nt","-","-",""
"Alain Droniou","K1H","Nt","-","-",""
"Ewen Berrest","K1HM","121.36","-","444.52",""
"Simon Rolland","K1HM","124.22","-","478.27",""
"Gurvan Huet","K1HM","128.53","-","529.13",""
"Yannis Houze","K1HM","130.25","-","549.42",""
"Louis Brocard","K1HM","130.65","-","554.14",""
"Elouan Le Fournis","K1HM","133.05","-","582.46",""
"Daneric Ollivier","K1HM","133.5","-","587.77",""
"Thomas Ollivo","K1HM","136.07","-","618.1",""
"Odran Reis","K1HM","137.89","-","639.57",""
"Mael Monjaret","K1HM","139.03","-","653.02",""
"Kireg Le Pape","K1HM","139.33","-","656.56",""
"Gwenole Noyalet","K1HM","139.62","-","659.99",""
"Luck Thomas","K1HM","143.95","-","711.08",""
"Cesar Le Berder","K1HM","149.05","-","771.26",""
"Noe Dubois","K1HM","158.35","-","881",""
"Yaniss Marelle","K1HM","164.12","-","949.08",""
"Anthony Guyomard","K1HM","170.58","-","1025.31",""
"Pierre Le Gallo","K1HM","190.58","-","1261.31",""
"Enzo Lemaitre","K1HM","197.61","-","1344.26",""
"Baptiste Bernard","K1HM","207.11","-","1456.36",""
