"Sélectif régional - Sablé Sur Sarthe - 2007-04-29","Course 2","2007-04-29","Régional","199"
"Simon Bercon","K1H","201.25","227","249",""
"Damien Caillon","K1H","201.53","243","252",""
"Bertrand Avril","K1H","201.56","214","252",""
"Julien Fougeron","K1H","201.75","259","253",""
"Yoann Rebours","K1H","202.50","205","258",""
"Ludovic Gloaguen","K1H","203.22","202","263",""
"Bercon Mathieu","K1H","203.51","-","265",""
"Sebastien Kerneis","K1H","203.78","294","266",""
"Erwan Beyou","K1H","204.53","248","272",""
"Etienne Legeay","K1H","204.66","269","273",""
"Baptiste Granger","K1H","204.67","213","273",""
"Brieuc Cadic","K1H","205.31","156","277",""
"Alexandre Plouzeau","K1H","205.68","288","280",""
"Jeremy Bretteville","K1H","206.72","322","287",""
"Antoine Decambon","K1H","206.75","-","287",""
"Tristan Bronsard","K1H","207.06","287","289",""
"Erwan Desbordes","K1H","208.49","282","298",""
"Jacques Despierres","K1H","208.65","281","299",""
"Alexandre Thomasseau","K1H","208.97","334","301",""
"Planchais Martial","K1H","209.06","297","302",""
"Simon Vaillant","K1H","209.31","293","304",""
"Loic Froissard","K1H","209.69","251","307",""
"Frederi Mahieu","K1H","209.82","298","307",""
"Maxime Cousin","K1H","210.36","332","310",""
"Benoit Jouan","K1H","210.69","318","313",""
"Manuel Moquet","K1H","210.71","336","314",""
"Stephane Broute","K1H","210.90","-","315",""
"Ludovic Garnier","K1H","212.18","352","323",""
"Pierre-yves Lebreton","K1H","212.50","266","325",""
"Bastien Darcillon","K1H","212.56","246","326",""
"Philippe Rocher","K1H","213.10","301","329",""
"Teddy Poulard","K1H","214.06","384","335",""
"Simon Even","K1H","214.09","276","336",""
"Antoine Godet","K1H","215.38","352","344",""
"Gireg Hamoniaux","K1H","215.76","388","347",""
"Tangui Quemeneur","K1H","217.53","363","359",""
"Flavien Odile","K1H","218.27","331","363",""
"Romain Lemaire","K1H","218.60","379","365",""
"Mehdi Rouich","K1H","219.53","389","372",""
"Nicolas Pinot","K1H","220.06","328","376",""
"Le Bescaut Jean","K1H","222.19","314","390",""
"Jean Thomas Genet","K1H","222.25","438","390",""
"Thomas Drouart","K1H","225.22","485","410",""
"Julien Bourdet","K1H","228.38","479","432",""
"William Basset","K1H","229.84","407","441",""
"Boivin Olivier","K1H","230.09","-","443",""
"Victor Azam","K1H","230.25","514","444",""
"Colombert Yann","K1H","232.17","477","457",""
"Denis Parizia","K1H","232.69","460","460",""
"Cheron Valentin","K1H","234.27","449","471",""
"Erwan Le Guevel","K1H","234.91","437","475",""
"Simon Deboysson","K1H","235.50","468","479",""
"Nedelec Boris","K1H","237.40","588","491",""
"Mathieu Eyrolle","K1H","237.72","370","494",""
"Goulwen Chapelier","K1H","237.75","108","494",""
"Christian Belouin","K1H","238.22","-","497",""
"Baptiste Piveteau","K1H","238.96","564","502",""
"Ronan Lucas","K1H","240.16","97","510",""
"Dominique Odile","K1H","240.81","559","514",""
"Gael Prodeau","K1H","242.47","602","525",""
"Sylvain Le Roux","K1H","242.81","492","528",""
"Florian Ordonneau","K1H","243.06","158","530",""
"Pierrick Meheust","K1H","243.87","425","535",""
"Julian Picard","K1H","247.29","897","558",""
"Bauge Quentin","K1H","249.60","741","574",""
"Ronan Dhabit","K1H","253.66","533","601",""
"Louis Guillot","K1H","254.53","602","606",""
"Thibaud Couetil","K1H","255.58","626","613",""
"Jan Baudet","K1H","256.54","868","620",""
"Florian Loiseau","K1H","260.29","906","645",""
"Henry Théophile","K1H","260.93","565","649",""
"Alexandre Pluchon","K1H","261.04","711","650",""
"Wilfried Harduin","K1H","263.04","765","663",""
"Maxime Dubuisson","K1H","264.33","773","672",""
"Pierre Bontoux","K1H","264.94","323","676",""
"Bizot Antoine","K1H","268.46","260","700",""
"Gerard Folle","K1H","273.19","693","731",""
"Nicolas Leconte","K1H","274.50","1142","739",""
"Le Discot Quentin","K1H","278.75","767","768",""
"Pierre Mikolajczak","K1H","287.81","371","829",""
"Thibaut Mechling","K1H","296.65","-","888",""
"Roberge Sebastien","K1H","299.60","374","908",""
"Regnier Augustin","K1H","305.43","497","946",""
"Jamyson Claquin","K1H","329.10","1772","1105",""
"Loeiz Descheres","K1H","355.81","809","1283",""
"Cosnard Clotaire","K1H","554.81","-","2613",""
