"Championnat Interrégional Slalom Nord (N3) - Beaurainville - Qualification - Manche 1 - 2018-06-09","Qualification - Manche 1","2018-06-09","Nationale 3","168"
"Jason Leroy","K1H","178.74","719.1","1460.97",""
"Thibaut Jumetz","K1H","179.46","724.94","1470.78",""
"Alain Brucher","K1H","184.31","820.64","1536.83",""
"Eric Bernard","K1H","190.57","740.6","1622.09",""
"Erwan Laloux","K1H","334.52","783.09","3582.66",""
"Alexandre Mauger","K1H","Abs","-","-",""
"Nicolas Villaume","K1H","Abs","-","-",""
"Leo Degraeve","K1H","Abs","-","-",""
"Noe Vannier","K1H","Dsq","-","-",""
"Samuel Gornet","K1H","Des","-","-",""
"Thomas Leblond","K1H","Abs","-","-",""
