"Nationale 3 - Lavancia - 2013-03-16","Course 1","2013-03-16","Nationale 3","167"
"Ophelia Lopes Marques","K1D","219.45","201.23","1236.31",""
"Carla Menigoz","K1D","261.15","-","1626.64",""
"Anne-lise Moisan-ehrwein","K1D","295.63","-","1949.39",""
"Erwan Cadio","K1H","100.51","144.7","245.28",""
"Christophe Dalla-zuana","K1H","103.29","155","274.68",""
"Christophe Harding","K1H","103.7","194.59","279.02",""
"Gregoire Guerin","K1H","104.7","-","289.59",""
"Sebastien Nouvel","K1H","105.57","250","298.79",""
"Julien Signarbieux","K1H","105.64","166.47","299.54",""
"Jean Philippe Winiarski","K1H","105.71","143.11","300.27",""
"Emilien Kempf","K1H","106.26","162.08","306.1",""
"Lilian Querry","K1H","107.02","229.57","314.14",""
"Florent Rambaud","K1H","107.43","172.53","318.47",""
"Corentin Talancieux","K1H","107.61","167.02","320.37",""
"Cedric Mace","K1H","107.84","225.97","322.81",""
"Adrien Maire","K1H","107.88","214.37","323.22",""
"Julien Beltrami","K1H","108.08","149.86","325.35",""
"Paul Cornut-chauvinc","K1H","108.36","257.2","328.3",""
"Olivier Hardonniere","K1H","108.81","149.89","333.07",""
"Damien Burteaux","K1H","109.4","171.69","339.31",""
"Jeremy Boisgibault","K1H","109.46","201.6","339.94",""
"Pascal Hunault","K1H","109.49","247.88","340.26",""
"Axel Kournwsky","K1H","109.49","159.88","340.26",""
"Arthur Favennec","K1H","109.62","217.77","341.63",""
"William Gettliffe","K1H","109.96","133.11","345.23",""
"Vincent Rat","K1H","110.88","181.37","354.96",""
"Thomas Denais","K1H","110.99","186.01","356.13",""
"Hugo Simon","K1H","111.1","-","357.29",""
"Yann Becker","K1H","111.32","256.38","359.62",""
"Louis Savart","K1H","111.35","168.35","359.93",""
"Hippolyte Brunier","K1H","111.87","162.68","365.43",""
"Lucas Galmiche","K1H","112.08","227.81","367.66",""
"Florian Jarousse","K1H","113.01","-","377.49",""
"Christophe Billaud","K1H","113.82","151.19","386.06",""
"Erwan Rouch","K1H","113.95","283.47","387.43",""
"Charles Vallet","K1H","114.08","-","388.81",""
"Mathieu Monier","K1H","114.85","351.09","396.95",""
"Jordan Bard","K1H","115.4","327.22","402.77",""
"Romaric Baron","K1H","115.42","273.42","402.98",""
"Olivier Urbain","K1H","115.59","159.29","404.78",""
"Philippe Devillers","K1H","115.83","209.26","407.32",""
"Alexandre Marin","K1H","115.94","-","408.49",""
"Thomas Stutzmann","K1H","116.11","193.22","410.28",""
"Marc Jegou","K1H","116.22","192.59","411.44",""
"Luis Brisson","K1H","116.93","419.58","418.95",""
"Mathias Guillot","K1H","117.46","289.42","424.56",""
"Pascal Philip","K1H","117.49","282.74","424.88",""
"Loic Bertoia","K1H","117.57","-","425.72",""
"Corentin Dalmais","K1H","118.29","415.4","433.34",""
"Tristan Ribault","K1H","118.3","-","433.44",""
"Vincent Herrenberger","K1H","118.37","299.37","434.19",""
"Benoit Lecoester","K1H","119.13","365.84","442.23",""
"Xavier Rat","K1H","119.44","226.4","445.5",""
"Yannick Grizaud","K1H","119.68","241.41","448.04",""
"Sylvain Bonnet","K1H","119.73","-","448.57",""
"Thibaut Gaudet","K1H","119.99","410.58","451.33",""
"Maxence Long","K1H","120.21","-","453.65",""
"Louis Masson","K1H","120.68","313.79","458.62",""
"Benoit Renaudier","K1H","120.86","339.51","460.53",""
"Louis Burignat","K1H","121.01","343.39","462.11",""
"Alexis Chauville","K1H","121.36","265.18","465.81",""
"Lucas Barriere","K1H","121.87","323.06","471.21",""
"Valentin Serrurier","K1H","121.89","-","471.42",""
"Patrick Gass","K1H","122.06","232.05","473.21",""
"Dylan Bard","K1H","123.13","320.33","484.54",""
"Philippe Lelieur","K1H","123.74","286.46","490.98",""
"Quentin Madureira","K1H","123.79","316.75","491.51",""
"Cyril Gagneret","K1H","124.22","431.33","496.06",""
"Vincent Morabito","K1H","124.22","-","496.06",""
"Hugo Lelieur","K1H","124.44","394.83","498.39",""
"Esteban Le Coz","K1H","124.53","322.76","499.34",""
"Vincent Cedolini","K1H","126.58","348.9","521.02",""
"Loic Burlet","K1H","126.78","488.8","523.14",""
"Victorien Lombard","K1H","128.38","356.24","540.07",""
"Maxime Pierre","K1H","128.8","470.03","544.5",""
"Jules Marchal","K1H","128.84","-","544.93",""
"Lucas Latimier","K1H","129.31","-","549.9",""
"Anthony Claveyroles","K1H","131.67","495.62","574.87",""
"Maxime Parigot","K1H","134.54","354.76","605.22",""
"Nicolas Abel","K1H","134.7","360.98","606.92",""
"Mathieu Septier","K1H","141.35","567.99","677.26",""
"Marc Le Morvan","K1H","142.35","388.4","687.83",""
"Enrique Billet","K1H","142.71","595.11","691.64",""
"Timothee Redarce","K1H","147.24","-","739.56",""
"Anselm Arnaud","K1H","148.57","441","753.62",""
"Claude Breuzard","K1H","151.66","470.51","786.3",""
"Jimmy Ly","K1H","153.15","-","802.06",""
"Nicolas Mangeolle","K1H","155.17","129.93","823.43",""
"Yanis Delacour","K1H","156.86","-","841.31",""
"Guillaume Jardin","K1H","162.47","186.26","900.65",""
"Theophile Gaillard","K1H","163.53","292.69","911.86",""
"Tomy Ly","K1H","196.87","-","1264.51",""
"Florent Bernard","K1H","214.53","278.56","1451.3",""
"Romain Delachenal","K1H","219.01","156.74","1498.69",""
"Marco Rodrigues","K1H","Nt","-","-",""
"Romain Gauthron","K1H","Nt","-","-",""
"Keryann Brest","K1H","Nt","-","-",""
"Mathieu Chossat","K1H","Nt","-","-",""
"Pierre Francois","K1H","Nt","-","-",""
"Sebastien Lepaulard","K1H","Nt","-","-",""
