"Sélectif Régional de Slalom - 16000 Angouleme - Finale - 2019-11-24","Finale","2019-11-24","Régional","214"
"Christian Boob-Frederic Boob","C2H","127.23","386.15","403.25","Finale A"
"Adrien Roux-Guillaume Lopes","C2H","147.92","748.99","628.87","Finale A"
"Hugo Pellissier-Antonin Normandin","C2HM","181.57","1004.5","995.8","Finale A"
"Simon Francois-Jules Mauget","C2HM","207.58","1516.33","1279.42","Finale A"
"Frederic Boob-Frederique Merle","C2M","134.14","791.04","356.7","Finale A"
"Cerise Babin-Clement Brotier","C2M","135.9","431.65","374.3","Finale A"
"Sophie Delage-Christian Boob","C2M","168.45","716.92","699.66","Finale A"
"Alice Bureau-Gaspard Trichard","C2M","176.62","746.49","781.32","Finale A"
"Celine Mercier-Boris Le Jolly","C2M","242","1094.1","1434.86","Finale A"
"Gabrielle Chenu-Jules Rathier","C2MM","186.47","744.3","879.79","Finale A"
"Violaine Vennin","K1D","116.74","307.57","255.07","Finale A"
"Perrine Joubert","K1D","117.76","233.29","265.89","Finale A"
"Cerise Babin","K1D","118.78","309.13","276.72","Finale A"
"Frederique Merle","K1D","122.19","299.92","312.92","Finale A"
"Juliette Derouineau","K1D","125.85","401.64","351.77","Finale A"
"Louise Turgis","K1D","130.78","603.12","404.11","Finale A"
"Laurine Meslong","K1D","130.92","418.92","405.58","Finale A"
"Alice Bureau","K1D","132.07","428.48","417.79","Finale A"
"Zoe Waeles","K1D","136.83","351.89","468.32","Finale A"
"Ana Thoraux","K1D","137.03","551.03","470.44","Finale A"
"Oceane Sedrue","K1DM","128.02","410.5","374.8","Finale A"
"Noeline Pierre","K1DM","130.69","420.4","403.15","Finale A"
"Gabrielle Chenu","K1DM","142.21","491.22","525.44","Finale A"
"Manon Joubert","K1DM","150.71","548.14","615.66","Finale A"
"Tom Babin","K1H","96.42","99.22","172.42","Finale A"
"Theo Desvignes","K1H","96.48","88","173.14","Finale A"
"Pierre Giudicelli","K1H","96.62","75.03","174.82","Finale A"
"Sam Traquet","K1H","97.19","161.11","181.66","Finale A"
"Arnaud Verrons","K1H","100.52","153.31","221.6","Finale A"
"Fantin Delage-garez","K1H","102.61","250.94","246.67","Finale A"
"Dylan Sourbe","K1H","102.92","234.96","250.39","Finale A"
"Christophe Marechal","K1H","103.02","199.16","251.59","Finale A"
"Xavier Jourdain","K1H","103.69","207.09","259.63","Finale A"
"Titouan Conseil","K1H","104.04","271.11","263.83","Finale A"
"Adrien Pardoux","K1H","105.05","264.28","275.94","Finale A"
"Henri Chenu","K1H","105.36","840.29","279.66","Finale A"
"Yanis Rainaud","K1H","105.57","207.93","282.18","Finale A"
"Dylan Renneteau","K1H","106.24","860.19","290.21","Finale A"
"Thibault Dufour","K1H","108.26","292.22","314.44","Finale A"
"Marc Brossard","K1H","108.69","300.46","319.6","Finale A"
"Arthur Caillaud-gault","K1H","110.22","404.82","337.95","Finale A"
"Louis Rathier","K1H","110.56","397.12","342.03","Finale A"
"Arthur Huet","K1H","111.12","372.6","348.75","Finale A"
"Owen Merpillat","K1H","111.43","354.98","352.47","Finale A"
"Edouard Patry","K1H","112.27","403.3","362.54","Finale A"
"Antoine Grillier","K1H","112.72","343.23","367.94","Finale A"
"Tom Delens","K1H","112.97","349.32","370.94","Finale A"
"Stephane Borde","K1H","114.16","403.42","385.21","Finale A"
"Adrien Ricaud","K1H","115.27","430.03","398.53","Finale A"
"Aurele Neveu","K1H","115.33","439.28","399.25","Finale A"
"Antonin Beyneix","K1H","116.05","405.69","407.88","Finale A"
"Simon Tourtois","K1H","116.96","332.46","418.8","Finale A"
"MattÉo Rainaud","K1H","117.24","399.56","422.16","Finale A"
"Clement Riera","K1H","117.26","394.87","422.4","Finale A"
"Adrien Roux","K1H","118.35","472.28","435.47","Finale A"
"Emile Verdier","K1H","118.87","546.75","441.71","Finale A"
"Hugues Lesimple","K1H","118.94","398.38","442.55","Finale A"
"Jerome Trousson","K1H","119.03","353.02","443.63","Finale A"
"Mathieu Cheze","K1H","120.04","489.16","455.74","Finale A"
"Sebastien Chauvet","K1H","121.82","545.08","477.1","Finale A"
"Nicolas Cappy","K1H","121.93","482.4","478.42","Finale A"
"Tom Charles","K1H","122.17","530.89","481.29","Finale A"
"Gaspard Trichard","K1H","122.83","542.45","489.21","Finale A"
"Clement Brotier","K1H","123.2","443.27","493.65","Finale A"
"Benjamin Georges","K1H","123.54","458.2","497.73","Finale A"
"Theo Jeanlouis","K1H","123.7","422.36","499.65","Finale A"
"Pierre-yves Lebreton","K1H","124.44","390.94","508.52","Finale A"
"Romain Bouby","K1H","125.52","503.52","521.48","Finale A"
"Leo Guillaumin","K1H","127.05","566.6","539.83","Finale A"
"Lucas Deleplancque","K1H","129.16","647.47","565.14","Finale A"
"Mael Verheyde","K1H","131.94","514.4","598.48","Finale A"
"Sami Rocher","K1H","151.44","144.78","832.39","Finale A"
"Quentin Robert","K1H","154.97","350.24","874.73","Finale A"
"Gurgen Brun","K1H","196.57","110.48","1373.72","Finale A"
"Clement Gillaizeau","K1H","213.08","682.21","1571.75","Finale A"
"Alexis Dorey","K1H","252.5","232.02","2044.59","Finale A"
"Hicham Domti","K1HM","119.35","539.84","447.47","Finale A"
"Benjamin Roy","K1HM","127.48","398.82","544.99","Finale A"
"Hugo Pellissier","K1HM","131.79","518.55","596.69","Finale A"
"Jules Rathier","K1HM","181.81","630.1","1196.67","Finale A"
"Alice Bureau","C1D","151.89","684.67","539.13","Finale B"
"Lynn Giordano Bobee","C1DM","159.9","2453.03","619.2","Finale B"
"Gabrielle Chenu","C1DM","176.73","636.51","787.43","Finale B"
"Clara Brard","C1DM","189.24","863.47","912.47","Finale B"
"Babette Ingenluyff","C1DM","196.35","1078.28","983.54","Finale B"
"Maxime Blondeau","C1H","123.44","814.2","431.02","Finale B"
"Thibault Dufour","C1H","132.05","508.43","529.38","Finale B"
"Simon Tourtois","C1H","132.38","888.19","533.15","Finale B"
"Marc Brossard","C1H","132.43","530.83","533.72","Finale B"
"Tom Delens","C1H","133.18","567.36","542.29","Finale B"
"Fabrice Lacoudre","C1H","135.23","678.82","565.7","Finale B"
"Baptiste Vinet","C1H","146.29","710.3","692.05","Finale B"
"Nicolas Cappy","C1H","146.87","632.85","698.68","Finale B"
"Raphael Wiche","C1H","148.01","707.46","711.7","Finale B"
"Jerome Muller","C1H","163.11","825.79","884.2","Finale B"
"Owen Merpillat","C1H","168.89","866","950.23","Finale B"
"Arthur Aymon","C1H","178.89","1134.16","1064.46","Finale B"
"Noe Joseph","C1H","197.57","2362.51","1277.86","Finale B"
"Boris Le Jolly","C1H","226.56","1013.54","1609.03","Finale B"
"Amaury Sokolik","C1HM","134.45","730.94","556.8","Finale B"
"Hicham Domti","C1HM","142.87","717.01","652.99","Finale B"
"Hugo Pellissier","C1HM","151.89","643.79","756.02","Finale B"
"Paul Brochard","C1HM","155.37","722.32","795.78","Finale B"
"Theo Haulbert","C1HM","155.71","799.8","799.66","Finale B"
"Nolann Lacoudre","C1HM","158.01","752.63","825.94","Finale B"
"Geraud Gallais","C1HM","160.35","919.09","852.67","Finale B"
"Nathan Gibaud","C1HM","167.34","1595.34","932.52","Finale B"
"Raphael Balsera","C1HM","201.8","1196.48","1326.18","Finale B"
"Matteo Mileto","C1HM","228.53","1221.45","1631.55","Finale B"
"Antonin Normandin","C1HM","257.06","1336.32","1957.46","Finale B"
"Jules Rathier","C1HM","Abd","-","-","Finale B"
"Fanny Valeau","K1D","157.21","627.68","689.66","Finale B"
"Louise Gannac","K1D","168.35","983.44","807.9","Finale B"
"Julie Charpentier","K1D","190.85","1047.57","1046.75","Finale B"
"Jeanne Peyrouny","K1D","226.37","1361.3","1423.78","Finale B"
"Celine Mercier","K1D","250.68","796.73","1681.84","Finale B"
"Eliette Labrue","K1D","266.05","1207.36","1844.98","Finale B"
"Celine Duprat","K1D","305.77","2391.2","2266.62","Finale B"
"Melody Gireaud","K1DM","138.7","647.66","493.17","Finale B"
"Clara Brard","K1DM","148.12","569.19","593.17","Finale B"
"Lynn Giordano Bobee","K1DM","149.36","1630.42","606.33","Finale B"
"Babette Ingenluyff","K1DM","159.03","662.86","708.98","Finale B"
"Natalia Fernandes Gomes","K1DM","264.66","2054.16","1830.23","Finale B"
"Alice Galiegue","K1DM","295.4","1697.71","2156.54","Finale B"
"Maxime Blondeau","K1H","105.27","320.16","283.58","Finale B"
"Felix Floriot","K1H","123.62","724.26","503.69","Finale B"
"Adrien Baty","K1H","127.38","606.05","548.79","Finale B"
"Loris Ladame","K1H","128.2","745.25","558.62","Finale B"
"Nicolas Boulesteix","K1H","129.09","608.43","569.3","Finale B"
"Guillaume Lopes","K1H","130.1","600.44","581.41","Finale B"
"Philippe Albessard","K1H","130.37","831.92","584.65","Finale B"
"Baptiste Vinet","K1H","132.09","931.2","605.28","Finale B"
"Jerome Muller","K1H","133","748.45","616.2","Finale B"
"Antoine Bougette","K1H","133.04","757.47","616.68","Finale B"
"Christophe Joubert","K1H","133.64","666.69","623.88","Finale B"
"Maxime Bouvet","K1H","134.53","601.5","634.55","Finale B"
"Boris Le Jolly","K1H","135.01","669.22","640.31","Finale B"
"Philippe Bigard","K1H","135.96","709.43","651.7","Finale B"
"Baptiste Mondin","K1H","137.66","787.35","672.1","Finale B"
"Claude Flouret","K1H","139.28","632.33","691.53","Finale B"
"Julien Moreau","K1H","139.89","683.74","698.84","Finale B"
"Bastien Guiard","K1H","140.95","1544.35","711.56","Finale B"
"Baptiste Le Gal-dutheil","K1H","144.03","817.61","748.5","Finale B"
"Clement Turgis","K1H","145.57","884.88","766.98","Finale B"
"Arthur Aymon","K1H","146.3","846.07","775.73","Finale B"
"Lucas Bizy","K1H","146.9","655.61","782.93","Finale B"
"Titouan Legardinier","K1H","148.17","937.9","798.16","Finale B"
"Jean-marie Farges","K1H","149.55","1089.26","814.72","Finale B"
"Zeph Scamps","K1H","152.1","186.8","845.3","Finale B"
"Natan Bignaud","K1H","152.79","833.83","853.58","Finale B"
"Pascal Bastier","K1H","157.56","1705.06","910.79","Finale B"
"Dominique Gireaud","K1H","167.22","987.69","1026.67","Finale B"
"Noe Joseph","K1H","170.39","1217.5","1064.69","Finale B"
"Tristan Gueguen","K1H","184.92","930.7","1238.98","Finale B"
"Jules Zanivan","K1H","190.75","2627.09","1308.91","Finale B"
"Titouan Besse-querbouet","K1H","200.81","712.01","1429.58","Finale B"
"Thierry Le Bonniec","K1H","294.16","958.85","2549.3","Finale B"
"Niels Comte","K1HM","110.57","370.69","347.15","Finale B"
"Nolann Lacoudre","K1HM","117.87","556.47","434.72","Finale B"
"Geraud Gallais","K1HM","129.01","726.35","568.34","Finale B"
"Malo Girardie","K1HM","135.34","623.54","644.27","Finale B"
"Axel Plumereau","K1HM","136.94","604.45","663.46","Finale B"
"Paul Brochard","K1HM","140.33","818.02","704.12","Finale B"
"Simon Francois","K1HM","144.59","708.77","755.22","Finale B"
"Antoine Carrere","K1HM","144.72","1226.69","756.78","Finale B"
"Antonin Pham Dang","K1HM","145.98","1148.41","771.89","Finale B"
"Axel Navarri","K1HM","148.92","1951.82","807.16","Finale B"
"Timothee Borde","K1HM","149.02","1942.29","808.36","Finale B"
"Matthias Labrue","K1HM","149.33","729.63","812.08","Finale B"
"Mathis Gomez","K1HM","151.18","776.57","834.27","Finale B"
"Loris Bruneau-niquet","K1HM","151.31","1419.34","835.83","Finale B"
"Antonin Normandin","K1HM","155.53","930.19","886.44","Finale B"
"Nathan Gibaud","K1HM","185.25","1056.21","1242.93","Finale B"
"Theo Haulbert","K1HM","186.56","870.48","1258.65","Finale B"
"Anthony Labbe","K1HM","196.44","2754.01","1377.16","Finale B"
"Johan Massavie","K1HM","221.52","1089.19","1677.99","Finale B"
"Theo Gobin Pascaud","K1HM","225.1","3356.24","1720.93","Finale B"
"Baptiste Goujon","K1HM","264.68","2163.19","2195.69","Finale B"
"Marius Larenaudie-danton","K1HM","Abs","-","-","Finale B"
