"Nationale 3 - Lochrist - Parc Eau Vive - 2012-04-08","Course 3","2012-04-08","Nationale 3","281"
"Jerome Blanchet","C1H","119.43","367.7","341.63",""
"Julien Caillarec","C1H","123.03","397.05","382.66",""
"Awen Le Paih","C1H","123.96","346.2","393.27",""
"Victor Desclos-le Peley","C1H","123.97","452.16","393.38",""
"Theo Renaud","C1H","125.67","484.1","412.76",""
"Clement Dubois","C1H","125.92","522.01","415.61",""
"Sebastian Lidstrom","C1H","127.74","420.45","436.35",""
"Adrien Loiseau","C1H","128.43","595.19","444.22",""
"Yannick Courtay","C1H","128.61","416.27","446.27",""
"Jerome Georges","C1H","129.8","423.88","459.83",""
"Nathan Chaumier","C1H","132.57","404.27","491.41",""
"Hugo Guilleray","C1H","134.69","439.3","515.57",""
"Valentin Feroc","C1H","135.97","460.8","530.16",""
"Lorin Dumont","C1H","173.47","306.14","957.62",""
"Corentin Le Vaillant","C1H","Nt","-","-",""
"Vincent Dubois","C1H","Nt","-","-",""
"Raphael Licoine-mercy","C1H","Nt","-","-",""
"Antoine Mazeau","C1H","Nt","-","-",""
"Maxime Beaulieu","C1H","Nt","-","-",""
"Francois Madec","C1H","Nt","-","-",""
"Vincent Froger","C1H","Nt","-","-",""
"Romain Lecrenais-perrel-Lucas Hives - Sorin","C2H","101.19","133.51","81.29",""
"Julien Rocaboy-Melaine Pichard","C2H","105.37","221.03","126.77",""
"Florian Joly-Cedric Joly","C2H","106.11","195.97","134.82",""
"Malo Poles-Baptiste Le Poncin","C2H","109.76","178.26","174.54",""
"Alan Dollo-Leo Le Druillennec","C2H","110.03","264.47","177.47",""
"Dimitri Etienne-Francois Gillot","C2H","111.09","210.15","189.01",""
"Melenn Aubry-Louis Raguenes","C2H","112.34","208.86","202.61",""
"Yoann Bizot-Manuel Moquet","C2H","113.73","272.65","217.74",""
"Thibault Marchand-Louison Turmeau","C2H","115.91","275.57","241.46",""
"Romain Guyomard-Solen Le Bourles","C2H","117.94","291.93","263.54",""
"Nicolas Rouleaud-Alexandre Dupas","C2H","119.16","353.61","276.81",""
"Tom Hibberd-Gijs Zoetbrood","C2H","119.55","353.98","281.06",""
"Thomas Calvary-Yves Broudic","C2H","121.32","416.06","300.32",""
"Basile Desclos-Victor Desclos-le Peley","C2H","123.36","396.98","322.51",""
"Nicolas Pelle-Antonin Leray","C2H","133.49","465.71","432.74",""
"Matthieu Chauvel-Gaetan Hamelin","C2H","165.9","302.18","785.37",""
"Vincent Dubois-Alexis Pernelle","C2H","Nt","-","-",""
"Erwan Perron-Jean Pierre Bourhis","C2H","Nt","-","-",""
"Nicolas Coudert-Aurelie Le Fee","C2M","122.37","253.75","221.47",""
"Damien Caillon-Celia Jodar","C2M","127.65","322.89","275.03",""
"Sabrina Hoellard-Lionel Donias","C2M","128.42","309.7","282.84",""
"Justine Lorin-Lucas Marchais","C2M","184.4","354.81","850.63",""
"Etienne Chauvin-Helene Chauvin","C2M","203.46","421.6","1043.96",""
"Laura Nicolas","K1D","110.24","203.3","147.92",""
"Amelie Perier","K1D","110.65","194.66","152.26",""
"Heloise Geffray","K1D","111.92","189.92","165.71",""
"Clothilde Rocher","K1D","113.52","199.85","182.66",""
"Celia Jodar","K1D","113.54","183.91","182.87",""
"Suzy Merand","K1D","114.91","217.34","197.38",""
"Solene Kerneis","K1D","115.24","234.76","200.87",""
"Sarah Desnos","K1D","116.23","240.28","211.36",""
"Lisa Marechal","K1D","116.99","192.23","219.41",""
"Anais Coudrin","K1D","119.01","301.96","240.81",""
"Oriane Pottier","K1D","119.48","220.84","245.79",""
"Anais L'hotelier","K1D","120.91","261.7","260.93",""
"Pauline Richard","K1D","125.3","302.02","307.43",""
"Adele Renard","K1D","128.63","334.31","342.7",""
"Maiwenn Le Floc'h","K1D","130.18","323.26","359.12",""
"Charlene Conchon","K1D","134.84","459.44","408.47",""
"Deborah Larsonneur","K1D","136.48","459.38","425.84",""
"Anais Pignet","K1D","136.65","426.78","427.64",""
"Lou Galliot","K1D","143.01","441.62","495.01",""
"Alexandra Barguillet","K1D","145.02","421.23","516.29",""
"Aenor Wahl","K1D","148.78","202.43","556.12",""
"Elise Turowsky","K1D","159.45","594.27","669.13",""
"Angelique Chasseriault","K1D","179.41","699.68","880.54",""
"Aurelie Le Fee","K1D","182.7","324.36","915.38",""
"Adeline Lesourd","K1D","238.97","775.96","1511.37",""
"Morgane Guillemot","K1D","253.49","351.45","1665.16",""
"Meghan Gonzalez","K1D","Nt","-","-",""
"Marie Landais","K1D","Nt","-","-",""
"Theo Quenouillere","K1H","92.49","130.33","87.27",""
"Pol Euzenes","K1H","92.84","99.08","91.46",""
"Pol Oulhen","K1H","93.69","111.8","101.63",""
"Simon Le Friec","K1H","94.53","84.15","111.68",""
"Francois Gillot","K1H","94.69","132.95","113.6",""
"Thomas Le Berre","K1H","94.9","184.24","116.11",""
"Thibault Marchand","K1H","94.98","115.29","117.07",""
"Maxime Beaulieu","K1H","95.79","148.13","126.76",""
"Alexis Pernelle","K1H","96.06","155.62","129.99",""
"Jacques Despierres","K1H","96.15","148.59","131.07",""
"Manuel Moquet","K1H","96.31","168.61","132.99",""
"Sami Rocher","K1H","96.39","207.72","133.94",""
"Guillaume Blin","K1H","96.59","165.24","136.34",""
"Hugo Le Goff","K1H","96.89","175.29","139.93",""
"Malo Le Paih","K1H","97.2","210.88","143.64",""
"Simon Seuru","K1H","97.4","200.73","146.03",""
"Clement Cierocki","K1H","97.46","166.93","146.75",""
"Hugo Maher","K1H","97.68","140.57","149.38",""
"Pierre Yves Tanguy","K1H","97.91","167.68","152.14",""
"Lorin Dumont","K1H","97.97","182.51","152.85",""
"Pierre Audouin","K1H","98.01","158.99","153.33",""
"Pascal Marrec","K1H","98.35","210.37","157.4",""
"Aurelien Ballandras","K1H","98.57","133.19","160.04",""
"Luc Hellard","K1H","98.63","147.83","160.75",""
"Nicolas Rouleaud","K1H","98.91","154.43","164.1",""
"Kilian Blot","K1H","98.98","151.39","164.94",""
"Dimitri Etienne","K1H","99.02","132.02","165.42",""
"Pierre-yves Lebreton","K1H","99.03","178.03","165.54",""
"Alexis Moriceau","K1H","99.14","222.54","166.86",""
"Alan Dollo","K1H","99.16","152.77","167.1",""
"Romain Gaillard","K1H","99.25","181.3","168.17",""
"Valentin Cesbron","K1H","99.35","174.61","169.37",""
"Ludovic Gaignon","K1H","99.39","221.42","169.85",""
"Damien Kerangoarec","K1H","99.52","187.79","171.41",""
"Etienne Chauvin","K1H","99.53","196.67","171.52",""
"Damien Fontaine","K1H","99.59","147.23","172.24",""
"Martin Belliot","K1H","99.67","204.98","173.2",""
"Gaetan Drouin","K1H","99.82","192.11","175",""
"Jean Yves Prigent","K1H","99.91","173.97","176.07",""
"Vincent Dubois","K1H","100.05","175.88","177.75",""
"Stephane Gallerne","K1H","100.3","221.55","180.74",""
"Emmanuel Cosse","K1H","100.37","194.9","181.58",""
"Antonin Dalaine","K1H","100.6","203.6","184.33",""
"Valentin Le Moignic","K1H","100.71","232.98","185.65",""
"Cedric Forgit","K1H","100.84","192.42","187.2",""
"Maxime Texier","K1H","100.86","178.05","187.44",""
"Stann Savels","K1H","101","161.63","189.12",""
"Nicolas Marcus","K1H","101.33","220.54","193.07",""
"Alexandre Bordas","K1H","101.34","193.76","193.19",""
"Yoann Le Guyader","K1H","101.35","165.36","193.31",""
"Julien Caillarec","K1H","101.59","241.27","196.18",""
"Jordan Rocdunos","K1H","101.69","194.07","197.38",""
"Louis Raguenes","K1H","101.8","261.51","198.69",""
"Damien Caillon","K1H","101.85","198.46","199.29",""
"Gwenael Marquer","K1H","101.85","193.52","199.29",""
"Damien Souville","K1H","101.86","184.59","199.41",""
"Stephane Debliquy","K1H","101.87","230.21","199.53",""
"Maxime Lignereux","K1H","102.1","265.44","202.28",""
"Valentin Blondel","K1H","102.11","185.73","202.4",""
"Clement Dubois","K1H","102.26","200.24","204.2",""
"Denis Guilmard","K1H","102.3","153.56","204.68",""
"Morgan Le Friec","K1H","102.38","237.96","205.64",""
"Mathieu Delorme","K1H","102.42","243.07","206.11",""
"Leo Le Druillennec","K1H","102.49","215.44","206.95",""
"Yoann Turowsky","K1H","102.54","164.23","207.55",""
"Arthur Chaumet","K1H","102.75","243.83","210.06",""
"Jules Nicot","K1H","102.8","281.95","210.66",""
"Paul Gestin","K1H","102.96","244.76","212.58",""
"Antoine Jonin","K1H","103.02","235.34","213.29",""
"Nicolas Le Belleguic","K1H","103.18","249.25","215.21",""
"Hugo Guilleray","K1H","103.55","258.38","219.64",""
"Hoel Carnot","K1H","103.57","252.97","219.88",""
"Ugo Rimbert","K1H","103.71","275.71","221.55",""
"Pol Hamon","K1H","103.88","255","223.59",""
"Jeremy Jestin","K1H","104.02","296.31","225.26",""
"Kevin Sponem","K1H","104.27","264.22","228.26",""
"Cyril Combreau","K1H","104.45","285.53","230.41",""
"Mathieu L 'hostis","K1H","104.97","270.09","236.63",""
"Nicolas Mignon","K1H","105.17","233.95","239.03",""
"Jordan Maubert","K1H","105.2","339.24","239.39",""
"Brendan Croizer","K1H","105.63","352.31","244.53",""
"Patrick Jegou","K1H","105.76","255.29","246.09",""
"Guillaume Payet","K1H","105.92","229.49","248",""
"Francois Faguet","K1H","106.21","258.22","251.47",""
"Clement Le Moal","K1H","106.33","168","252.91",""
"Florian Vinet","K1H","106.41","315.45","253.87",""
"Remi Vinet","K1H","106.56","279.32","255.66",""
"Adrien Verite","K1H","106.68","248.98","257.1",""
"Theo Renaud","K1H","106.71","333.17","257.46",""
"William Simon","K1H","106.91","265.67","259.85",""
"Cyril Launay","K1H","107.17","317.1","262.96",""
"Thomas De Boysson","K1H","107.19","256.91","263.2",""
"Timothee Le Mort","K1H","107.21","259.49","263.44",""
"Benoit Ricard","K1H","107.35","331.88","265.12",""
"Quentin Chauvin","K1H","107.38","265.34","265.48",""
"Pierre Viollette","K1H","107.41","335.61","265.84",""
"Tom Hibberd","K1H","107.43","282.97","266.08",""
"Lucas Marchais","K1H","107.58","264.46","267.87",""
"Corentin Moriniaux","K1H","107.6","252.8","268.11",""
"Ludovic Le Cointre","K1H","107.64","275.78","268.59",""
"Nicolas Foulon","K1H","108.15","316.72","274.69",""
"Melenn Aubry","K1H","108.57","299.78","279.72",""
"Manuel Savels","K1H","108.77","300.84","282.11",""
"Alexis Brouard","K1H","109.65","310.66","292.65",""
"Gijs Zoetbrood","K1H","110.04","272.74","297.31",""
"Vincent Salmon","K1H","110.58","-","303.78",""
"Nicolas Pelle","K1H","110.77","254.59","306.05",""
"Bastien Petit","K1H","110.81","415.85","306.53",""
"Guillaume Chasseriault","K1H","110.86","333.79","307.13",""
"Eadwin Famechon","K1H","111","330.32","308.8",""
"David Ravache","K1H","111.57","328.63","315.63",""
"Jerome Blanchet","K1H","112.21","347.49","323.29",""
"Awen Le Paih","K1H","112.3","425.83","324.36",""
"Tom Le Goff","K1H","112.7","368.25","329.15",""
"Jules Reix","K1H","112.75","409.32","329.75",""
"Jerome Georges","K1H","113.29","373.7","336.21",""
"Nathan Chaumier","K1H","113.29","309.49","336.21",""
"Maxime Barrault","K1H","113.46","330.43","338.25",""
"Thibault Lefebvre","K1H","113.48","347.47","338.49",""
"Anthony Drouhin","K1H","113.5","365.18","338.72",""
"Melaine Colin","K1H","113.75","310.59","341.72",""
"Christophe Gergaud","K1H","114.06","302.21","345.43",""
"Vincent Pelgrin","K1H","114.15","350.39","346.5",""
"Jerome Saliou","K1H","114.58","396.33","351.65",""
"Andy Barat","K1H","114.95","261.84","356.08",""
"Daniel Bregazzi","K1H","115.13","411.34","358.23",""
"Jules Chaumet","K1H","115.2","313.72","359.07",""
"Theo Lecomte","K1H","115.44","360.53","361.94",""
"Quentin Brillaut","K1H","115.49","396.74","362.54",""
"Guillaume De Fierville","K1H","116.24","340.36","371.52",""
"Christophe Mitchell","K1H","116.6","337.89","375.83",""
"Axel Delage","K1H","116.73","395.53","377.38",""
"Jordan Tinevez","K1H","116.74","397.13","377.5",""
"Aymeric Poirier","K1H","116.86","466.11","378.94",""
"Adrien Loiseau","K1H","116.89","443.86","379.3",""
"Aurelien Peron","K1H","117.15","424.57","382.41",""
"Antoine Fourgeaud","K1H","117.36","338.11","384.92",""
"Augustin Thomas","K1H","117.39","423.97","385.28",""
"Dylan Sourisseau","K1H","117.95","605.65","391.98",""
"Pierre Texier","K1H","118.94","403.79","403.83",""
"Antonin Leray","K1H","119.63","396.92","412.09",""
"Olivier Brillaut","K1H","120.6","411.86","423.7",""
"Pierrick Meheust","K1H","120.95","409.97","427.89",""
"Lucas Godevin","K1H","121.32","369.33","432.32",""
"Kevin Lelievre - Le Ruyet","K1H","121.75","435.88","437.46",""
"Richard Fradin","K1H","122.18","431.56","442.61",""
"Pierreyves Hellard","K1H","122.78","571.06","449.79",""
"Yannick Faguet","K1H","126.8","392.37","497.91",""
"Gerard Lemonnier","K1H","127.57","476.24","507.12",""
"Romain Bideau","K1H","130.63","400.28","543.75",""
"Mael Courtete","K1H","135.75","521.11","605.02",""
"Louis Guillot","K1H","137.24","331.12","622.86",""
"Maxime Foucault","K1H","145.02","106.72","715.97",""
"Simon Guetta","K1H","153.87","263.1","821.89",""
"Ludovic Couture","K1H","167.51","327.83","985.14",""
"Alexander Lidstrom","K1H","169.73","395.46","1011.71",""
"Sylvain Le Dantec","K1H","169.96","429.47","1014.47",""
"Nathan Dalaine","K1H","171.3","466.94","1030.5",""
"Nathan Flageul","K1H","176.3","410.98","1090.35",""
"Christian Belouin","K1H","Nt","-","-",""
"Alain Le Moel","K1H","Nt","-","-",""
"Jules Grolleau","K1H","Nt","-","-",""
"Kevin Chalopin","K1H","Nt","-","-",""
"Thomas Le Lons","K1H","Nt","-","-",""
"Francois Xavier Robinet","K1H","Nt","-","-",""
"Xavier Le Gallic","K1H","Nt","-","-",""
"Alain Droniou","K1H","Nt","-","-",""
"Francois Madec","K1H","Nt","-","-",""
