"Sélectif Régional de Slalom - Sablé-sur-sarthe - Bras De La Marbrerie - Finale - 2017-02-05","Finale","2017-02-05","Régional","207"
"Timothee Le Mort","K1H","104.58","264.73","340.54","Finale A"
"Vincent Laclide","K1H","104.78","342.83","343.01","Finale A"
"Arthur Lagleyze","K1H","106.64","286.77","366.04","Finale A"
"Stephane Odot","K1H","107.14","328.93","372.23","Finale A"
"Francois Poirier","K1H","107.71","377.63","379.28","Finale A"
"Gregory Metayer","K1H","107.96","312.08","382.38","Finale A"
"Quentin Mannier","K1H","108.26","406.33","386.09","Finale A"
"Thomas Ukalovic","K1H","108.81","423.07","392.9","Finale A"
"Jules Heurtin","K1H","109.23","304.98","398.1","Finale A"
"Florian Torche","K1H","110.08","361.2","408.62","Finale A"
"Gaetan Robin","K1H","110.14","355.93","409.36","Finale A"
"Elias Blais","K1H","110.76","458.67","417.04","Finale A"
"Louison Laumondais","K1H","110.91","384.78","418.89","Finale A"
"Jean Aussant","K1H","111.74","360.31","429.17","Finale A"
"Quentin Angot","K1H","113.75","352.41","454.05","Finale A"
"Thibaud Chevalier","K1H","113.91","334.25","456.03","Finale A"
"GaËtan De Greef","K1H","115.07","449.71","470.39","Finale A"
"Loic Froissard","K1H","115.71","428.01","478.31","Finale A"
"Yohan Dupont","K1H","117.17","428.94","496.38","Finale A"
"Romain Bruneau","K1H","117.56","434.89","501.21","Finale A"
"Clement Hamel","K1H","118.77","495.86","516.19","Finale A"
"Enzo Le Cadre","K1H","121.26","523.13","547.01","Finale A"
"Christophe Gergaud","K1H","121.92","462.89","555.18","Finale A"
"Olivier Leboeuf","K1H","121.97","-","555.8","Finale A"
"Younes Kismi","K1H","180.95","484.06","1285.89","Finale A"
"Armand Fougere","K1HM","114.81","474.7","467.17","Finale A"
"Theo Douady","K1HM","118.48","467.39","512.6","Finale A"
"Fabien Bonvalet","K1HM","120.86","522.68","542.06","Finale A"
"Hubert Heurtel","K1HM","123.37","577.78","573.13","Finale A"
"Max Derame","K1HM","124.5","507.22","587.12","Finale A"
"Teo Durand","K1HM","126.08","641.05","606.68","Finale A"
"Victor Lagleyze","K1HM","127.52","661.83","624.5","Finale A"
"Mathis Odot","K1HM","133.97","-","704.34","Finale A"
"Mathias Vautier","K1HM","139.33","-","770.69","Finale A"
"Loan Guyomarch","K1HM","146.24","785.55","856.23","Finale A"
"Kilian Berlu","K1HM","147.45","865.89","871.21","Finale A"
"Romain Margerie","K1HM","174.09","888.8","1200.97","Finale A"
"Olivier Leboeuf","C1H","126.34","495.27","540.43","Finale B"
"Tanguy Odot","C1H","131.17","599.31","597.37","Finale B"
"Quentin Angot","C1H","131.28","524","598.67","Finale B"
"Bertrand Avril","C1H","133.92","635.33","629.79","Finale B"
"Regis Navinel-dubois","C1H","138.06","724.03","678.59","Finale B"
"GaËtan De Greef","C1H","141.12","818.35","714.67","Finale B"
"Mattis Orchilles","C1H","141.42","763.38","718.21","Finale B"
"Pascal Brodiez","C1H","142.41","-","729.88","Finale B"
"Clement Hamel","C1H","150.53","-","825.6","Finale B"
"Axel Kottelanne","C1H","164.77","806.88","993.48","Finale B"
"Jeanfrancis Battesti","C1H","172.72","616.8","1087.2","Finale B"
"Dante Bourlet De La Vallee","C1H","177.26","-","1140.72","Finale B"
"Lucas Auregan","C1H","204.43","-","1461.03","Finale B"
"Benjamin Pagerie","C1H","366.68","-","3373.81","Finale B"
"Donatien Lamoureux","C1H","Abd","-","-","Finale B"
"Vincent TouzÉ-bourguin","C1H","Abd","-","-","Finale B"
"Jean-jacques Perroteau","C1H","Abd","-","-","Finale B"
"Herve Busson-Christophe Gergaud","C2H","142.77","505.77","657.61","Finale B"
"Alexis Carpentey-Samuel Vallienne","C2H","144.4","-","675.96","Finale B"
"Bertrand Avril-Samuel Bonvalet","C2H","149.24","-","730.42","Finale B"
"Jeanfrancis Battesti-Pascal Brodiez","C2H","155.01","-","795.35","Finale B"
"Younes Kismi-Guillaume Caron","C2H","163.17","-","887.17","Finale B"
"Dante Bourlet De La Vallee-Elie Gerault","C2H","188.41","-","1171.21","Finale B"
"Samuel Bonvalet-Marie Claude Lamoureux","C2M","181.49","-","923.14","Finale B"
"Benjamin Georgin-Albertine Binard","C2M","216.25","-","1281.7","Finale B"
"Gabrielle Kugler-Maxence Galy","C2M","287.69","1113.16","2018.64","Finale B"
"Thibault Marchand-Lea Turmeau","C2M","Abs","-","-","Finale B"
"Cecile Chiron","K1D","135.18","772.26","531.81","Finale B"
"Garance Dalaine","K1D","135.91","558.6","539.81","Finale B"
"Anais Robineau","K1D","167.38","660.41","884.55","Finale B"
"Zoe Marchand","K1D","186.3","621.15","1091.8","Finale B"
"Caroline Froissard","K1D","186.58","810.36","1094.87","Finale B"
"Albertine Binard","K1D","193.77","1084.43","1173.64","Finale B"
"Melanie Brunet","K1D","239.41","986.07","1673.59","Finale B"
"Julie Dupas","K1DM","165.12","1192.16","859.79","Finale B"
"Valentine Jussy","K1DM","175.33","1460.59","971.63","Finale B"
"Oceane Pierre","K1DM","349.69","-","2881.65","Finale B"
"Herve Busson","K1H","99.26","221.53","279.68","Finale B"
"Denis Guilmard","K1H","100.16","253.8","290.83","Finale B"
"Matheo Coquel","K1H","112.31","498.87","441.22","Finale B"
"Carmin Douillard","K1H","120.22","-","539.14","Finale B"
"Cohe Le Cadre","K1H","120.7","602.86","545.08","Finale B"
"Antoine Repussard","K1H","121.21","532.31","551.39","Finale B"
"David Ravache","K1H","121.38","490.46","553.5","Finale B"
"Alexandre Fafin","K1H","122.03","689.31","561.54","Finale B"
"Florent Menard","K1H","123.04","510.99","574.05","Finale B"
"Olivier Brochard","K1H","123.73","509.08","582.59","Finale B"
"Alexis Carpentey","K1H","123.84","555.31","583.95","Finale B"
"Alexis Bizon","K1H","124.71","520.17","594.72","Finale B"
"Gaston Guilmard","K1H","126.16","479.29","612.67","Finale B"
"Tanguy Odot","K1H","126.17","508.94","612.79","Finale B"
"Emilien Picard","K1H","126.27","-","614.03","Finale B"
"Romain Brouard","K1H","130.08","767.6","661.19","Finale B"
"Louis Gane","K1H","130.28","686.23","663.67","Finale B"
"Thomas Roy","K1H","130.68","616.55","668.62","Finale B"
"Antonin Leray","K1H","130.93","-","671.71","Finale B"
"Damien Martin","K1H","131.14","-","674.31","Finale B"
"Ludovic Garnier","K1H","131.23","-","675.43","Finale B"
"Regis Navinel-dubois","K1H","131.78","504.22","682.23","Finale B"
"Kevin Mousserion","K1H","132.31","737.32","688.79","Finale B"
"Simon Diogo","K1H","132.36","554.47","689.41","Finale B"
"Yoann Chipeau","K1H","132.64","622.81","692.88","Finale B"
"Martin Colomb","K1H","133.48","657.14","703.28","Finale B"
"Lucas Auregan","K1H","134.68","695.96","718.13","Finale B"
"Luca Edet","K1H","135.4","-","727.04","Finale B"
"Maxence Galy","K1H","139.43","703.65","776.93","Finale B"
"Christian Belouin","K1H","140.18","677.85","786.21","Finale B"
"Axel Kottelanne","K1H","143.39","770.44","825.95","Finale B"
"Benjamin Georgin","K1H","144.88","704.51","844.39","Finale B"
"Dante Bourlet De La Vallee","K1H","145.86","712.89","856.52","Finale B"
"LÉon Raffin","K1H","146.42","-","863.46","Finale B"
"Benjamin Pagerie","K1H","150.71","1095.93","916.56","Finale B"
"Hugo Barbotin","K1H","151.17","1124.44","922.25","Finale B"
"Sonny Boucher","K1H","156.81","1525.22","992.07","Finale B"
"Elie Gerault","K1H","158.77","829.98","1016.33","Finale B"
"Tudual Telbois","K1H","159.91","1001.37","1030.44","Finale B"
"Tom Armand","K1H","169.05","893.26","1143.58","Finale B"
"Nicolas Villaume","K1H","209.35","975.59","1642.44","Finale B"
"Thomas Gossieaux","K1H","209.86","800.33","1648.75","Finale B"
"Jason Noblecourt","K1H","215.78","-","1722.03","Finale B"
"Mathys Leboulanger","K1H","234.23","-","1950.41","Finale B"
"Jean Chudzik","K1H","292.69","-","2674.06","Finale B"
"Franck Fougere","K1H","Abs","-","-","Finale B"
"Alexandre Thomas","K1HM","140.89","797.23","795","Finale B"
"Selyan Bourgognon","K1HM","140.98","-","796.12","Finale B"
"Bastien Mailly","K1HM","142.38","765.84","813.45","Finale B"
"Mallory Brochard","K1HM","148.32","934.55","886.97","Finale B"
"Mael Segaud","K1HM","149.08","-","896.38","Finale B"
"Tom Marchand","K1HM","151.09","-","921.26","Finale B"
"Titouan Aussant","K1HM","155.84","759.25","980.06","Finale B"
"Noa Taillandier","K1HM","159.91","-","1030.44","Finale B"
"Matis Illouz","K1HM","213.36","-","1692.07","Finale B"
