"Championnat Régional de Slalom - Hermes - Finale - 2015-04-26","Finale","2015-04-26","Régional","109"
"Louis Savart","K1H","100.21","302.45","339.1","Finale A"
"Francois Durand","K1H","100.66","262.94","344.88","Finale A"
"Maxime Poupart","K1H","101.44","326.21","354.9","Finale A"
"Axel Guilleret","K1H","102.06","329.48","362.86","Finale A"
"Clement Carbonnel","K1H","102.08","-","363.12","Finale A"
"Kevin Rancon","K1H","103.11","356.45","376.35","Finale A"
"Raphael Grehan","K1H","105.97","450.62","413.08","Finale A"
"Nicolas Castagnetti","K1H","106.76","433.66","423.23","Finale A"
"Issam Chakir","K1H","107.19","381.86","428.75","Finale A"
"Martin Jaze","K1H","107.84","-","437.1","Finale A"
"Hugo Pidoux","K1H","107.86","442.34","437.35","Finale A"
"Anthony Codemo","K1H","109.87","401.89","463.17","Finale A"
"Fabien De Almeida","K1H","111.18","444.26","479.99","Finale A"
"Clement Sannier","K1H","112.81","408.69","500.93","Finale A"
"Arnaud Mercier","K1H","115.07","451.03","529.95","Finale A"
"Alexandre Hubaut","K1H","117.52","500.21","561.42","Finale A"
"Alexis Pierlot","K1H","121.42","499.12","611.51","Finale A"
"Maxime Pilard","K1H","174.18","493.85","1289.11","Finale A"
"Margaux Barbier","C1D","166.77","-","841.97","Finale B"
"Angeline Dheilly","C1D","167.96","-","854.71","Finale B"
"Louise Chauvary","C1D","185.81","-","1045.75","Finale B"
"Perrine Venot","C1D","250.37","-","1736.71","Finale B"
"Maxime Poupart","C1H","123.33","568.6","565.61","Finale B"
"Eric Lamour","C1H","125.68","547.5","594.35","Finale B"
"Victor Hennin","C1H","128.98","-","634.72","Finale B"
"Quentin Arnoult","C1H","130.7","594.09","655.76","Finale B"
"Mael GÖzcu","C1H","132.81","-","681.57","Finale B"
"Louis Debureaux","C1H","133.59","-","691.11","Finale B"
"Nicolas Castagnetti","C1H","133.67","743.32","692.09","Finale B"
"Alexis Agent","C1H","133.95","-","695.5","Finale B"
"Matthieu Lhopiteau","C1H","135.67","-","716.55","Finale B"
"Clement Sannier","C1H","136.69","-","729.03","Finale B"
"Bernard Luquet","C1H","144.05","-","819.04","Finale B"
"Mickael Dubois","C1H","154.58","718.26","947.85","Finale B"
"Theo Galet","C1H","178.32","672.77","1238.23","Finale B"
"Fabrice Roussel","C1H","507.83","-","5268.66","Finale B"
"Anna Marvillet","K1D","141.31","879.19","663.17","Finale B"
"Margaux Barbier","K1D","142.92","1064.67","681.47","Finale B"
"Margo Pidoux","K1D","145.12","-","706.47","Finale B"
"Angel Bepoix","K1D","149.04","1654.07","751.03","Finale B"
"Perrine Venot","K1D","151.19","895.82","775.45","Finale B"
"Mickaella Legrand","K1D","197.07","-","1296.91","Finale B"
"Robin Dheilly","K1H","109.22","-","459.82","Finale B"
"Arthur Dupont","K1H","113.02","438.89","508.62","Finale B"
"Theo Galet","K1H","114.62","-","529.17","Finale B"
"Nicolas Lalliot","K1H","116.67","558.78","555.5","Finale B"
"Victor Hennin","K1H","120.12","-","599.81","Finale B"
"Quentin Arnoult","K1H","120.5","551.67","604.69","Finale B"
"Baptiste Duboc","K1H","120.79","592.84","608.42","Finale B"
"Remi Blaud","K1H","123.14","581.69","638.6","Finale B"
"Maxime Kints","K1H","123.24","-","639.88","Finale B"
"Vladimir Krsmanovic","K1H","123.44","819.03","642.45","Finale B"
"Eric Bernard","K1H","125.04","-","663","Finale B"
"Alexis Agent","K1H","125.5","759.13","668.91","Finale B"
"Elie Scaglia Mennesson","K1H","126.48","793.41","681.49","Finale B"
"Mickael Dubois","K1H","127.84","564.95","698.96","Finale B"
"Mael GÖzcu","K1H","131.42","-","744.94","Finale B"
"Marc Antoine Gorez","K1H","134.97","2052.25","790.53","Finale B"
"Philippe Criels","K1H","144.83","-","917.17","Finale B"
"Valentin Dormay","K1H","145.94","-","931.42","Finale B"
"Pierre Tardif","K1H","147.01","-","945.16","Finale B"
"Roman Vivier","K1H","147.85","1347.02","955.95","Finale B"
"Jeremy Chantereau","K1H","164","1017.82","1163.37","Finale B"
"Yann Dhieux","K1H","171.47","1022.83","1259.31","Finale B"
"Christophe Flores","K1H","191.35","-","1514.63","Finale B"
"Louis Debureaux","K1H","Abs","-","-","Finale B"
"Vincent Charlet","K1H","Abs","-","-","Finale B"
