"Championnat Interrégional Slalom Sud-Ouest (finale N3) - Bassin Adison Forgues - Demi-finale - 2016-06-05","Demi-finale","2016-06-05","Nationale 3","101"
"CÉcilia Bourgeois","K1D","129.13","376.36","537.32",""
"Emmanuelle Monguillet","K1D","129.61","460.04","542.84",""
"Axelle Degremont","K1D","134.25","427.52","596.16",""
"Laurence Pessoni","K1D","136.2","393.29","618.57",""
"Helene Courtel","K1D","143.83","636.11","706.26",""
"Jocelyne Roupioz","K1D","158.62","509.91","876.23",""
"Emma Pardoux","K1D","162.62","520.81","922.19",""
"Agathe Gewiss","K1D","171.07","400.74","1019.3",""
"Carla Lacroix","K1D","175.46","376.84","1069.76",""
"Lea Baldoni","K1D","188","426.78","1213.88",""
"Maxence Merpillat","K1H","94.92","282.45","285.98",""
"Paul Pradalie","K1H","94.98","296.94","286.76",""
"Nathan Hossin","K1H","95.26","232.02","290.4",""
"Dylan Sourbe","K1H","95.78","245.72","297.15",""
"Thibault Lefebvre","K1H","95.9","321.18","298.71",""
"Jeanmichel Bibes","K1H","96.02","306.71","300.27",""
"Leo Vuitton","K1H","97.14","322.35","314.81",""
"Zeph Scamps","K1H","98.17","272.85","328.19",""
"Tom Bouchardon","K1H","98.35","320.21","330.53",""
"Gaetan Coat","K1H","98.59","281.56","333.64",""
"Herve Clerc","K1H","98.85","336.9","337.02",""
"Thomas Riviere","K1H","99.09","376.36","340.14",""
"Florentin Saumon","K1H","99.3","286.93","342.86",""
"Denis Delaleux","K1H","99.34","275.19","343.38",""
"Valentin Berland","K1H","99.55","330.95","346.11",""
"Guillaume Fletcher","K1H","99.84","316.79","349.88",""
"Yannick Besse","K1H","100.36","347.91","356.63",""
"Sebastien Mouyen Bie","K1H","100.4","310.11","357.15",""
"Alexis Dorey","K1H","100.45","284.46","357.8",""
"Theau Le Loch","K1H","100.79","301.65","362.21",""
"Nicolas Saurat","K1H","100.81","349.49","362.47",""
"Valentin Courtiade","K1H","100.89","287.68","363.51",""
"Pierre Campagne","K1H","100.96","277.96","364.42",""
"Dimitri Thauvin","K1H","101.02","315.77","365.2",""
"Matheo Gillaizeau","K1H","101.34","329.46","369.36",""
"Louis Foissac","K1H","101.56","348.98","372.21",""
"Pierrealain Clerc","K1H","101.68","297.12","373.77",""
"Maxime Garcia","K1H","103.02","303.06","391.17",""
"Sebastien Martel","K1H","103.81","336.62","401.43",""
"Jean Christophe Erdois","K1H","104.02","337.28","404.16",""
"Antoine Laye","K1H","105.97","310.01","429.48",""
"Natan Brule","K1H","106.39","298.29","434.94",""
"Sam Traquet","K1H","110.96","404.39","494.28",""
"Paul Luquet","K1H","124.66","361.19","672.2",""
"Vincent Menager","K1H","149.06","296.44","989.06",""
"Guillaume Affortit","K1H","154.94","347.62","1065.42",""
"Arthur Cousty","K1H","155.97","373.68","1078.79",""
"Vincent Garcia","K1H","160.88","320.12","1142.56",""
"Flavien San Augustin","K1H","161.44","227.8","1149.83",""
"Jeremie Palazy","K1H","165.23","310.67","1199.05",""
