"Sélectif N3 Est - Dijon - 2010-03-21","Course 1","2010-03-21","Nationale 3","189"
"Pierre Baudoin","K1H","111.11","386","342",""
"Patrick Gass","K1H","111.22","298","343",""
"Jules Goutte-toquet","K1H","111.28","442","344",""
"William Gettliffe","K1H","111.29","332","344",""
"Quentin Robert","K1H","111.43","427","346",""
"Therence Bernard","K1H","111.79","320","350",""
"Morgan Merel","K1H","111.89","387","351",""
"Guillaume Dietrich","K1H","111.91","427","351",""
"Tom Jackson","K1H","111.96","299","352",""
"Colas Geier","K1H","112.05","324","353",""
"Jean-baptiste Wolff","K1H","112.31","459","356",""
"Adrien Kaiser","K1H","112.35","393","357",""
"Mickael Alves","K1H","112.36","586","357",""
"Arnaud Pellizzoni","K1H","112.49","378","358",""
"Damien Siegfried","K1H","112.96","417","364",""
"Julian Othenin-girard","K1H","113.43","373","370",""
"Maxime Battaini","K1H","113.44","443","370",""
"Patrick Thevenin","K1H","113.72","447","373",""
"Florian Baumann","K1H","113.77","432","374",""
"Riyad Khelil","K1H","113.79","522","374",""
"Gauthier Ruspini","K1H","113.91","440","376",""
"Maxime Bronner","K1H","113.95","449","376",""
"Guillaume Armbruster","K1H","113.97","412","377",""
"Antoine Leroy","K1H","114.06","523","378",""
"Yann Burgod-derrier","K1H","114.17","479","379",""
"Thibaut Gaudet","K1H","114.45","628","382",""
"Vincent Canova","K1H","114.76","460","386",""
"David Pierson","K1H","115.37","327","395",""
"Vivien Tirole","K1H","115.46","343","396",""
"Maxime Le Morvan","K1H","116.74","389","411",""
"Francois Emin","K1H","117.11","555","416",""
"Marco Rodrigues","K1H","117.15","478","416",""
"Lucas Saudon","K1H","117.89","555","425",""
"Loic Joly","K1H","117.93","694","426",""
"Robin Malenfer","K1H","118.42","578","432",""
"Dylan Bard","K1H","118.50","577","433",""
"Valentin Maire","K1H","119.96","585","451",""
"Claude Breuzard","K1H","120.04","496","452",""
"Anthony Oudot","K1H","120.09","470","452",""
"Gabin Repellin","K1H","120.35","531","455",""
"Arthur Grizard","K1H","120.54","416","458",""
"Arthur Gentes","K1H","121.25","587","466",""
"Benoit Mercier","K1H","123.00","546","489",""
"Jonathan Courduries","K1H","123.11","613","490",""
"Jeremy Peltier","K1H","125.35","692","518",""
"Alexandre Lambert","K1H","125.62","712","521",""
"Romain Genestier","K1H","127.13","606","539",""
"Vincent Maire","K1H","127.29","627","541",""
"Alexandre Allemang","K1H","127.48","585","544",""
"Arthur Hitier","K1H","130.81","699","585",""
"Paul-andre Montemont","K1H","134.70","666","633",""
"Emilien Senneret","K1H","137.91","638","673",""
"Loic Richard","K1H","Nt","-","-",""
"Jason Bauge","K1H","Nt","-","-",""
"Guillaume Angonin","K1H","Nt","-","-",""
"Jean Guyot","K1H","Nt","-","-",""
