"Sélection slalom N3 Nord Est - SELESTAT - Sélestat - 2006-05-27","Course 1","2006-05-27","Nationale 3","155"
"Romain Hager","K1H","238.15","392","378",""
"Kevine Cliquet","K1H","238.29","259","379",""
"Remi Thomas","K1H","238.55","253","381",""
"Stephane Ferrignio","K1H","239.26","364","385",""
"Yann Le Guedard","K1H","239.61","382","387",""
"Jerome Laflotte","K1H","239.98","421","389",""
"Leclerc Jerome","K1H","240.57","336","392",""
"Gabriel Schnetz","K1H","240.65","514","392",""
"Nikolas Stanik","K1H","241.00","462","394",""
"Courtier Jeremy","K1H","241.86","358","399",""
"Soulon Florian","K1H","242.80","475","405",""
"Rety Simon","K1H","243.94","357","411",""
"Sylvain Ferry","K1H","244.29","408","413",""
"Pradeau Xavier","K1H","244.75","371","415",""
"Lutinier Ugo","K1H","244.89","473","416",""
"Romain Musy","K1H","245.34","478","419",""
"Laurent Wolf","K1H","245.69","375","421",""
"Arthur Veber","K1H","246.64","364","427",""
"Boutter Victor","K1H","246.73","431","427",""
"Dougoud Adrien","K1H","247.62","401","432",""
"Remi Baudot","K1H","248.15","382","435",""
"Dorian Perrin-mazier","K1H","248.52","479","437",""
"Damien Burteaux","K1H","249.36","302","442",""
"Michel Nicolas","K1H","250.66","491","450",""
"Noel Jeremie","K1H","251.58","522","455",""
"Wendling Valentin","K1H","251.85","385","456",""
"Gael Wassmer","K1H","251.85","670","456",""
"Gautier Boudat","K1H","255.44","532","477",""
"Jeanpierre Patard","K1H","256.76","390","484",""
"Clement Mangeolle","K1H","256.82","524","484",""
"Roman Duprey","K1H","258.04","434","491",""
"Jules Argentini","K1H","259.98","731","502",""
"Laurent Guyot","K1H","260.35","370","504",""
"Havet Jean-Yves","K1H","260.77","345","507",""
"Thomas Bouquet","K1H","261.02","485","508",""
"Matthieu Walfard","K1H","261.44","392","511",""
"Sidney Malgras","K1H","261.83","546","513",""
"Laithier Francois","K1H","263.11","587","521",""
"Wendling Jean-Mathieu","K1H","263.93","1328","524",""
"Mathieu Biazizzo","K1H","263.94","242","525",""
"Yann Tosser  Roussey","K1H","264.98","505","531",""
"Corentin Metral","K1H","265.45","638","534",""
"Dupriez Julien","K1H","266.07","-","537",""
"Anthony Deschamps","K1H","266.68","481","541",""
"Romey Marcantoine","K1H","266.98","677","543",""
"Gonthier Lucas","K1H","268.90","539","553",""
"Frederic Caillet","K1H","270.99","459","565",""
"Pierre Berberat","K1H","271.95","734","570",""
"Eric Louis","K1H","274.01","627","582",""
"Cheval Kevin","K1H","274.13","680","583",""
"Andre Kempf","K1H","283.14","640","634",""
"Antoine Lhermite","K1H","284.30","395","641",""
"Morel Luc","K1H","289.34","531","670",""
"Dalex Karl","K1H","293.36","270","692",""
"Florian Balhuizen","K1H","294.30","490","698",""
"Alexandre Lambert","K1H","297.96","717","719",""
"Thevenin Johann","K1H","300.39","461","732",""
"Kornalewski Remi","K1H","306.83","704","769",""
"Anthony Jouannic","K1H","313.78","783","809",""
"Scarano Yoann","K1H","324.88","682","872",""
"Dubois Mortimer","K1H","332.30","568","914",""
"Gerard Cartier","K1H","351.13","699","1021",""
