"Sélectif Régional - Fontaine de Vaucluse - 2013-01-27","Course 1","2013-01-27","Régional","137"
"Marine Izac","K1D","316.72","432.16","2340.97",""
"Leonie Gachon","K1D","Nt","-","-",""
"Caroline Incardona","K1D","Nt","-","-",""
"Marlene Rio","K1D","Nt","-","-",""
"Oulaya Rais","K1D","Nt","-","-",""
"Thomas Schmitt","K1H","91.46","34.89","100.82",""
"Quentin Burgi","K1H","92.29","3.11","110.67",""
"Mathieu Douillet","K1H","96.61","73.84","161.92",""
"Virgile Pigache-donnet","K1H","98.22","66.62","181.01",""
"Paul Jean","K1H","98.71","128.87","186.84",""
"Pascal Ferry","K1H","98.74","90.75","187.18",""
"Fabien Tournadre","K1H","98.93","54.52","189.45",""
"Boris Chenal","K1H","99.06","48.68","190.99",""
"Alexis Caspar","K1H","99.48","54.63","195.97",""
"Yohann Biglia","K1H","99.72","-","198.82",""
"Titouan Dupras","K1H","100.38","95.07","206.65",""
"Quentin De Fierville","K1H","100.55","55.02","208.66",""
"Nikolas Stanik","K1H","100.71","80.29","210.56",""
"Matthieu Le Gall","K1H","101.18","-","216.14",""
"Leo Bernard","K1H","103.03","120.47","238.09",""
"Aubry Bertin","K1H","104.93","84.54","260.62",""
"Dimitri Durannot","K1H","105.66","169.71","269.29",""
"Maxime Le Morvan","K1H","105.69","118.91","269.64",""
"Valentin Bigonet","K1H","105.85","119.19","271.54",""
"Axel Kournwsky","K1H","106.42","159.88","278.3",""
"William Gettliffe","K1H","106.56","133.11","279.96",""
"Hippolyte Brunier","K1H","107.36","162.68","289.45",""
"Sebastien Riou","K1H","107.43","243.55","290.29",""
"Alexandre Pouille","K1H","107.64","151.97","292.78",""
"Jeremy Wagner","K1H","108.28","79.12","300.37",""
"Ronan Cordier","K1H","108.29","230.7","300.48",""
"Adrien Maire","K1H","108.92","-","307.96",""
"Sebastien Nouvel","K1H","109.99","-","320.65",""
"Daniel Geay","K1H","109.99","209.29","320.65",""
"Yannis Brousset","K1H","110.07","222.98","321.61",""
"Corentin Talancieux","K1H","110.12","171.96","322.2",""
"Cedric Castel","K1H","112.61","299.02","351.74",""
"Alain Ferry","K1H","112.97","187.29","356.01",""
"Guillaume Affortit","K1H","115.36","203.07","384.36",""
"Paul Cornut-chauvinc","K1H","115.51","-","386.15",""
"Julien Nutte","K1H","117.15","277.14","405.6",""
"Pierre Moreau","K1H","117.6","-","410.94",""
"Jonathan De Coninck","K1H","117.78","259.16","413.07",""
"Pablo Guillem","K1H","118.77","-","424.82",""
"Mathieu Monier","K1H","118.89","426.26","426.24",""
"Teo Deconchy","K1H","119.91","293.01","438.35",""
"Stephane Marcellot","K1H","121.96","385.39","462.66",""
"Etienne Klatt","K1H","123.47","-","480.58",""
"Benjamin Wagner","K1H","123.94","-","486.15",""
"Olivier Kremer","K1H","126.03","-","510.95",""
"Corentin Dalmais","K1H","126.22","-","513.2",""
"Samuel Itkine","K1H","127.6","-","529.57",""
"Maxime Lenne","K1H","129.46","-","551.65",""
"Titouan Reymond-ghidini","K1H","130.96","-","569.44",""
"Anselm Arnaud","K1H","132.72","450.42","590.32",""
"Luis Brisson","K1H","136.09","419.58","630.29",""
"Marc Cailhol","K1H","136.18","359.31","631.36",""
"Marc Le Morvan","K1H","136.45","388.4","634.57",""
"Adam Wronski","K1H","137.62","-","648.45",""
"Fabien Leist","K1H","138.11","775.98","654.26",""
"Cyril Gagneret","K1H","145.22","-","738.61",""
"Lucas Maurin","K1H","149.16","-","785.36",""
"Cyril Audoit","K1H","150.57","508.17","802.09",""
"Morgan Hoarau","K1H","152.22","482.5","821.66",""
"Valentin Mannent","K1H","156.31","520.11","870.18",""
"Lucas Di Martino","K1H","160.76","-","922.97",""
"Tristan Levrien","K1H","160.89","157.19","924.52",""
"Leo Fournier","K1H","161.1","158.42","927.01",""
"Marc Scognamiglio","K1H","168.48","364.81","1014.57",""
"Mathieu Lions","K1H","171.09","245.08","1045.53",""
"Baptiste Tappero","K1H","176.92","156.04","1114.7",""
"Arnaud Deletraz","K1H","178.6","421.04","1134.63",""
"Vincent Cedolini","K1H","181.85","355.81","1173.18",""
"Alexandre Rozand","K1H","187.43","-","1239.39",""
"Herve Valentin","K1H","198","-","1364.78",""
"Luc Ciappara","K1H","215.44","-","1571.68",""
"Jordan Grillet","K1H","219.91","-","1624.71",""
"Thomas Maeckelberghe","K1H","250.68","-","1989.77",""
"Robin Plancade","K1H","266.63","-","2178.99",""
"Jean-baptiste Rebeuf","K1H","284.45","-","2390.4",""
"Bryan Seiler","K1H","296.26","32.51","2530.51",""
"Valentin Rozand","K1H","303.26","-","2613.56",""
"Jean Magnique","K1H","667.86","-","6939.07",""
"Alexandre Nesonson","K1H","Nt","-","-",""
"Maxence Amata","K1H","Nt","-","-",""
"Ayoub Roger","K1H","Nt","-","-",""
"Vincent Garcia","K1H","Nt","-","-",""
