"Compétition Régionale de Slalom - St Clet - Finale - 2015-03-29","Finale","2015-03-29","Régional","105"
"Emmanuel L'anton","C1H","195.16","678.67","1283.99","Finale B"
"Titouan Morel","C1H","Abs","-","-","Finale B"
"Charlene Le Gac","K1D","122.1","374.63","345.97","Finale B"
"Emma Jacob","K1D","123.08","339.82","356.42","Finale B"
"Enora Bronsard","K1D","123.8","439.72","364.11","Finale B"
"Justine Geffroy","K1D","127.98","746.58","408.7","Finale B"
"Nolwenn Le Mehaute","K1D","130.53","457.35","435.9","Finale B"
"Deborah Larsonneur","K1D","139.92","464.16","536.07","Finale B"
"Eloise Bonniec","K1D","161.77","-","769.16","Finale B"
"Clement Le Collinet","K1H","108.89","280.35","356.06","Finale B"
"Yann Le Bourser","K1H","116.24","363.92","444.66","Finale B"
"Brieg Le Paih","K1H","118.49","532.1","471.78","Finale B"
"Theo Rose","K1H","118.67","480.38","473.95","Finale B"
"Valentin Crenn","K1H","119.11","484.95","479.26","Finale B"
"Gwenael Coadou","K1H","120.69","462.78","498.3","Finale B"
"Samuel Piton","K1H","121.51","-","508.19","Finale B"
"Deverig Cardiec","K1H","122.62","1224.27","521.57","Finale B"
"Jean Christophe Olivo","K1H","123.81","499.92","535.91","Finale B"
"Aurelien Deniel","K1H","124.2","-","540.61","Finale B"
"Jordan Daniel","K1H","124.38","430.21","542.78","Finale B"
"Jerome Saliou","K1H","126.06","512.06","563.04","Finale B"
"Gautier Abiven","K1H","126.22","530.17","564.97","Finale B"
"Emmanuel L'anton","K1H","126.4","-","567.14","Finale B"
"Guillaume Le Paih","K1H","126.61","676.47","569.67","Finale B"
"Sylvain Premel","K1H","126.84","575.86","572.44","Finale B"
"Pierreyves Hellard","K1H","128.17","633.58","588.47","Finale B"
"Peterson Mevel","K1H","129.13","-","600.04","Finale B"
"Thomas Floch","K1H","136.35","704.39","687.08","Finale B"
"Malo Querre","K1H","138.69","-","715.29","Finale B"
"Julien Buors","K1H","142.21","1032.43","757.72","Finale B"
"Baptiste Loy","K1H","144.15","-","781.11","Finale B"
"Valery Morel","K1H","147.92","-","826.55","Finale B"
"Titouan Morel","K1H","203.56","-","1497.27","Finale B"
"Hugo Robert","K1HM","135.83","-","-","Finale B"
"Thomas Ollivo","K1HM","137.84","-","-","Finale B"
"Charly Goasdoue","K1HM","146.1","-","-","Finale B"
"Mael Monjaret","K1HM","151.31","-","-","Finale B"
"Lucas Henry","K1HM","163.02","-","-","Finale B"
"Luck Thomas","K1HM","163.19","-","-","Finale B"
