"Nationale 3 - Ploufragan - St Brieuc - 2013-03-17","Course 3","2013-03-17","Nationale 3","271"
"Raphael Licoine-mercy","C1H","185.65","295.16","1064.85",""
"Pierre Hellard","C1H","191.76","-","1124.81",""
"Vincent Acou","C1H","193.73","550.42","1144.15",""
"Cyril Launay","C1H","441.91","585.06","3579.89",""
"Gwenael Coadou","C1H","Nt","-","-",""
"Nicolas Rouleaud","C1H","Nt","-","-",""
"Antoine Fourgeaud","C1H","Nt","-","-",""
"Yannick Courtay","C1H","Nt","-","-",""
"Simon Seuru","C1H","Nt","-","-",""
"Vincent Dubois","C1H","Nt","-","-",""
"Lionel Donias","C1H","Nt","-","-",""
"Camille Prigent-Margaux Henry","C2D","137.49","390.34","376.28",""
"Celia Jodar-Berenice Kolenc","C2D","141.95","386.22","413.04",""
"Jason Brothier-Louis-maxime Main","C2H","111.83","180.7","290.46",""
"Louison Turmeau-Thibaut Perroteau","C2H","112.14","245.37","293.36",""
"Jonas Turmeau-Gael Prodeau","C2H","112.41","161.36","295.89",""
"Basile Desclos-Victor Desclos-le Peley","C2H","115.99","266.11","329.43",""
"Matthieu Chauvel-Gaetan Hamelin","C2H","121.96","264.97","385.36",""
"Pierre Le Gall-Maxime Barrault","C2H","136.81","456.86","524.48",""
"Ronan Gouzien-Paul Gestin","C2H","145.53","385.03","606.17",""
"Nino Louineau-Wilfried Truffy","C2H","152.71","693.83","673.43",""
"Leri Muller-Ludovic Le Cointre","C2H","153.69","612.63","682.61",""
"Adrien Verite-Corentin Moriniaux","C2H","176.51","390.56","896.4",""
"Lorin Dumont-Nicolas Le Belleguic","C2H","176.68","287.25","897.98",""
"Valentin Marteil-Paul Cazee","C2H","Nt","-","-",""
"Pierre Hellard-Malo Quemeneur","C2H","Nt","-","-",""
"Nicolas Rouleaud-Alexandre Dupas","C2H","Nt","-","-",""
"Melenn Aubry-Estelle Hellard","C2M","122.19","177.51","309.9",""
"Marie-francoise Prigent-Jeanmichel Regnier","C2M","139.58","332.85","461.77",""
"Vincent Dubois-Adele Renard","C2M","142.14","395.22","484.14",""
"Nicolas Coudert-Aurelie Le Fee","C2M","143.4","213.66","495.13",""
"Leri Muller-Anais Pignet","C2M","162.65","542.71","663.25",""
"Emeric Bertrand-Deborah Larsonneur","C2M","177.13","203.76","789.7",""
"Pauline Richard-Benoit Ricard","C2M","192.14","544.82","920.79",""
"Camille Grasland-Nathan Leretrif","C2M","197.54","-","967.95",""
"Marine Leveque","K1D","107.83","131.25","226.16",""
"Rozenn Le Page","K1D","112.81","-","271.58",""
"Lea Turmeau","K1D","117.46","210.2","313.98",""
"Pauline Richard","K1D","119.29","219.19","330.67",""
"Sylviane Quemerais","K1D","120.27","209.39","339.62",""
"Adele Renard","K1D","121.74","236.34","353.02",""
"Fanny Kerambrun","K1D","124.22","244.64","375.63",""
"Anais L'hotelier","K1D","126.99","215.94","400.9",""
"Emma Jacob","K1D","127.68","243.9","407.19",""
"Lea Grison","K1D","129.25","298.59","421.51",""
"Oceane Mechinaud","K1D","135.75","-","480.78",""
"Sophie Allaneau","K1D","140.74","469.86","526.3",""
"Deborah Larsonneur","K1D","150.41","404.69","614.47",""
"Clemence Cavey","K1D","160.18","403.43","703.57",""
"Coline Belkheir","K1D","164.15","848.27","739.77",""
"Enora Bronsard","K1D","172.73","448.05","818.02",""
"Margaux Bouchet","K1D","185.71","456.94","936.4",""
"Camille Grasland","K1D","207.21","919.18","1132.47",""
"Christine Le Gall","K1D","210.11","636.91","1158.91",""
"Anais Pignet","K1D","Nt","-","-",""
"Veronique Vourch","K1D","Nt","-","-",""
"Maiwenn Le Floc'h","K1D","Nt","-","-",""
"Jeanne Henry","K1D","Nt","-","-",""
"Emmanuelle Cossic","K1D","Nt","-","-",""
"Malo Quemeneur","K1H","95.02","147.46","221.99",""
"Melaine Pichard","K1H","97.78","125.93","250.44",""
"Pierre Hellard","K1H","98.77","182.87","260.64",""
"Benoit Jouan","K1H","98.92","137.72","262.19",""
"Jeanmichel Regnier","K1H","99.23","141.23","265.38",""
"Adrien Picco","K1H","100.09","153.88","274.24",""
"Andy Barat","K1H","100.13","161.98","274.65",""
"Gaetan Drouin","K1H","100.36","149.25","277.02",""
"Regis Cabel","K1H","100.61","161.84","279.6",""
"Quentin Chauvin","K1H","100.64","154.96","279.9",""
"Olivier Nonnet","K1H","100.78","131.21","281.35",""
"Remi Vinet","K1H","101.62","165.72","290",""
"Manuel Savels","K1H","101.62","153.24","290",""
"Malo Le Paih","K1H","101.73","137.24","291.14",""
"Ugo Rimbert","K1H","101.85","188.9","292.38",""
"Maxime Lignereux","K1H","101.91","155.95","292.99",""
"Hugues Moret","K1H","101.94","148.46","293.31",""
"Clement Le Moal","K1H","102.26","149.1","296.6",""
"Arthur Huet","K1H","102.89","162.35","303.09",""
"Romain Gaillard","K1H","103.11","168.36","305.36",""
"Clement Cierocki","K1H","103.22","129.74","306.5",""
"Johann Loiseau","K1H","103.49","237.62","309.28",""
"Corentin Moriniaux","K1H","103.61","167.41","310.51",""
"Jordan Rocdunos","K1H","103.68","164.9","311.24",""
"Nicolas Carduner","K1H","103.84","180.95","312.88",""
"Emmanuel Cosse","K1H","103.87","161.26","313.2",""
"Jacques Precigout","K1H","103.89","193.51","313.4",""
"Etienne Chauvin","K1H","104.08","151.87","315.36",""
"Gwenael Marquer","K1H","104.23","155.71","316.9",""
"Hugo Guilleray","K1H","104.29","173.86","317.52",""
"Francois Madec","K1H","104.66","139.37","321.34",""
"Alain Droniou","K1H","104.89","213.65","323.7",""
"Pierre Yves Tanguy","K1H","104.93","146.18","324.11",""
"Julien Dosse","K1H","105.04","148.04","325.25",""
"Adrien Verite","K1H","105.19","177.51","326.79",""
"Alexandre Bordas","K1H","105.47","190.2","329.68",""
"Mathieu Delorme","K1H","105.54","200.58","330.4",""
"Paul Gestin","K1H","105.91","186.61","334.22",""
"Melenn Aubry","K1H","105.92","200.99","334.32",""
"Simon Seuru","K1H","105.98","134.14","334.93",""
"Xavier Le Gallic","K1H","106.3","194.87","338.24",""
"Theo Lecomte","K1H","106.48","222.33","340.08",""
"Morgan Le Friec","K1H","106.72","164.17","342.56",""
"Manuel Coquelin","K1H","106.79","133.09","343.29",""
"Ronan Nedelec","K1H","106.88","203.27","344.22",""
"William Simon","K1H","107.56","242.36","351.22",""
"Stephane Debliquy","K1H","107.62","172.08","351.83",""
"Lucas Soudi","K1H","107.83","247.3","354",""
"Nicolas Marcus","K1H","107.88","168.41","354.52",""
"Cyril Combreau","K1H","108.23","185.23","358.13",""
"Valentin Blondel","K1H","108.27","185.56","358.54",""
"Jean Yves Prigent","K1H","108.36","177.26","359.46",""
"Arthur Chaumet","K1H","108.46","188.59","360.49",""
"Maxence Briand","K1H","108.73","-","363.28",""
"Melaine Colin","K1H","108.93","231.24","365.34",""
"Patrick Jegou","K1H","109.62","227.13","372.45",""
"Martin Belliot","K1H","109.62","151.78","372.45",""
"Theo Desvignes","K1H","109.64","304.41","372.65",""
"Cedric Forgit","K1H","109.68","200.74","373.06",""
"Arthur Traquet","K1H","109.88","270.88","375.13",""
"Eadwin Famechon","K1H","109.98","229.38","376.16",""
"Vincent Acou","K1H","110.16","246.04","378.01",""
"Hoel Carnot","K1H","110.3","199.84","379.46",""
"Anthony Drouhin","K1H","110.47","259.84","381.21",""
"Matheo Lebaindre","K1H","110.88","420.74","385.43",""
"Nicolas Foulon","K1H","111.42","222.44","390.99",""
"Maxime Barrault","K1H","111.49","251.78","391.72",""
"Francois Faguet","K1H","112.14","180.57","398.42",""
"Guillaume De Fierville","K1H","112.82","257.61","405.43",""
"Antoine Delcourt","K1H","112.99","280.12","407.18",""
"Francois Poirier","K1H","113.02","-","407.49",""
"Theo Renaud","K1H","113.17","251.54","409.03",""
"Julien Caillarec","K1H","113.38","194.24","411.2",""
"Florian Plault","K1H","113.6","325.65","413.46",""
"Ludovic Le Cointre","K1H","113.71","242.53","414.6",""
"Thibault Gautherot","K1H","113.78","339.14","415.32",""
"Alexandre Buchet","K1H","113.9","301.55","416.55",""
"Tom Le Goff","K1H","114.25","247.17","420.16",""
"Quentin Brillaut","K1H","114.26","285.2","420.27",""
"Cyril Launay","K1H","114.51","261.63","422.84",""
"Augustin Thomas","K1H","114.66","344.94","424.39",""
"Quentin Le Duc","K1H","114.81","363.96","425.93",""
"Yann Le Bourser","K1H","115.14","-","429.33",""
"Nicolas Le Belleguic","K1H","115.23","213.93","430.26",""
"Sylvain Le Dantec","K1H","116.16","289.84","439.84",""
"Nicolas Pelle","K1H","116.17","199.12","439.94",""
"Lorin Dumont","K1H","116.29","143.64","441.19",""
"David Julou","K1H","116.75","294.96","445.92",""
"Alexis Belkheir","K1H","116.98","222.25","448.3",""
"Flavien Portier","K1H","118.1","283.25","459.83",""
"Louis Guillot","K1H","118.49","328.25","463.85",""
"Martin Grezard","K1H","119","299.98","469.11",""
"Philippe Rocher","K1H","119.34","268.29","472.61",""
"Loic Froissard","K1H","121.25","250.4","492.3",""
"Lucas Godevin","K1H","121.46","346.51","494.46",""
"Antonin Leray","K1H","121.56","304.27","495.49",""
"Jean Terasas","K1H","121.9","424.05","498.99",""
"Brice Guintard","K1H","122.51","-","505.28",""
"Pierre Texier","K1H","122.65","310.84","506.72",""
"Jerome Saliou","K1H","122.8","327.83","508.27",""
"Dylan Sourbe","K1H","122.82","639.45","508.48",""
"Samuel Flament","K1H","123.39","374.43","514.35",""
"Thomas Le Gall","K1H","123.97","588.88","520.33",""
"Daniel Bregazzi","K1H","126.42","390.08","545.57",""
"Yannick Faguet","K1H","126.45","409","545.88",""
"Yves Bourhis","K1H","126.61","-","547.53",""
"Jean Christophe Olivo","K1H","126.62","406.48","547.63",""
"Theo Bellour","K1H","127.27","550.67","554.34",""
"Pierre Branger","K1H","128.6","-","568.03",""
"Nathan De Saint Just","K1H","131.92","740.29","602.26",""
"Christian Belouin","K1H","132.04","426.2","603.49",""
"Nathan Leretrif","K1H","132.65","597.75","609.77",""
"Wilfried Truffy","K1H","133.16","627.3","615.03",""
"Gwenael Coadou","K1H","142.88","-","715.2",""
"Thierry Dugue","K1H","145.2","601.09","739.11",""
"Luc Le Diouron","K1H","145.24","503.22","739.52",""
"Valentin Rault","K1H","146.9","-","756.62",""
"Thierry Le Bonniec","K1H","148.59","600.67","774.03",""
"Samuel Breton","K1H","153","-","819.48",""
"Timothee Le Mort","K1H","153.37","163.07","823.3",""
"Kevin Sponem","K1H","159.24","229.88","883.79",""
"Adrien Loiseau","K1H","159.76","250.37","889.15",""
"Valentin Le Moignic","K1H","160.24","169.3","894.1",""
"Jules Reix","K1H","160.88","247.55","900.69",""
"Victor Morisset","K1H","161.15","179.93","903.47",""
"Ludovic Gaignon","K1H","162.6","176.43","918.41",""
"Aymeric Poirier","K1H","166.72","351.95","960.87",""
"Awen Le Paih","K1H","171.51","334.54","1010.23",""
"Pierreyves Hellard","K1H","190.28","440.6","1203.66",""
"Valentin Clero","K1H","198.98","523.5","1293.32",""
"Benoit Ricard","K1H","216.3","227.35","1471.79",""
"Benoit Lefebvre","K1H","Nt","-","-",""
"Pierre Guilchet","K1H","Nt","-","-",""
"Simon Lucas","K1H","Nt","-","-",""
"Paul Cazee","K1H","Nt","-","-",""
"Thomas Le Roux","K1H","Nt","-","-",""
"Ronan Dhabit","K1H","Nt","-","-",""
"Leo Vatant","K1H","Nt","-","-",""
"Christian Le Parc","K1H","Nt","-","-",""
"Quentin Gaule","K1H","Nt","-","-",""
"Thomas Rocher","K1H","Nt","-","-",""
"Kevin Lelievre - Le Ruyet","K1H","Nt","-","-",""
"Jeremy Lecollinet","K1H","Nt","-","-",""
"Quentin Desouche","K1H","Nt","-","-",""
"Leri Muller","K1H","Nt","-","-",""
"Antoine Fourgeaud","K1H","Nt","-","-",""
"Jules Chaumet","K1H","Nt","-","-",""
"Kevin Chalopin","K1H","Nt","-","-",""
"Nathan Chaumier","K1H","Nt","-","-",""
"Corentin Douady","K1H","Nt","-","-",""
"Pol Hamon","K1H","Nt","-","-",""
"Maxence Auvray","K1H","Nt","-","-",""
"Florian Lepretre","K1H","Nt","-","-",""
"Paul-antoine Henry","K1H","Nt","-","-",""
