"Nationale 3 - Orthez - 2013-06-16","Course 2","2013-06-16","Nationale 3","106"
"Clement Rio","K1H","105.91","241.11","342.88",""
"Antoine Dumaye","K1H","106.31","215.42","347.36",""
"Romain Delpui","K1H","107.35","274.55","359.01",""
"Flavien San Augustin","K1H","107.64","282.07","362.25",""
"Mathieu Dutendas","K1H","107.96","280.56","365.84",""
"Leo Fournier","K1H","108.04","143.07","366.73",""
"Louis Midy","K1H","108.89","264.41","376.25",""
"Jacques Roisin","K1H","109.18","256.77","379.5",""
"Paul Commenges","K1H","109.45","262.22","382.52",""
"Christophe Prigent","K1H","110.56","196.6","394.95",""
"Antoine Marigil","K1H","110.82","292.43","397.87",""
"Mathieu Serret","K1H","111.46","241.97","405.03",""
"Komlangan Gassou","K1H","111.52","279.75","405.7",""
"Pierre Dehaudt","K1H","111.63","277.17","406.94",""
"Jonas Mignard","K1H","111.88","295.72","409.73",""
"Mathieu Lions","K1H","111.92","242.71","410.18",""
"Clement Brumont","K1H","111.93","240.82","410.29",""
"Jean Bernard Lacave","K1H","112.93","340.84","421.49",""
"Pablo Guillem","K1H","115.64","271.48","451.85",""
"Marc Lalande","K1H","115.66","290.91","452.06",""
"Vincent Laulhe","K1H","116.26","335.06","458.78",""
"Mathieu Marteau","K1H","116.67","319.05","463.37",""
"Pioerre-calixte Gaydon-ohl","K1H","118.56","509.62","484.54",""
"Pierre Campagne","K1H","119.8","482.28","498.43",""
"Simon Frealle","K1H","120.43","484.8","505.49",""
"Morgan Hoarau","K1H","121.9","459.05","521.94",""
"Julien Delaleux","K1H","122.11","465.33","524.3",""
"Hippolyte Cail","K1H","122.63","480.21","530.12",""
"Nasser Belabdi","K1H","122.86","347.35","532.69",""
"Matthieu Demarty","K1H","130.96","386.28","623.41",""
"Cyril Audoit","K1H","131.97","492.35","634.71",""
"Jean Luc Pessoni","K1H","135.18","452.82","670.67",""
"Paul Luquet","K1H","142.18","945.01","749.05",""
"Maurice Pubert","K1H","149.93","592.85","835.85",""
"Sylvain Gaude","K1H","151.74","193.33","856.11",""
"Theo Ducasse","K1H","153.29","686.15","873.47",""
"Maxence Bruand","K1H","155.49","414.96","898.11",""
"Micael Rodriguez Alves Lato","K1H","163.37","374.56","986.36",""
"Paul Roubaud","K1H","175.3","462.13","1119.96",""
"Gabriel Chapoulie","K1H","179.75","424.88","1169.79",""
"Arthur Gaudron","K1H","183.97","238.54","1217.05",""
"Robin Dumas","K1H","Nt","-","-",""
"Eric Gonzalez","K1H","Nt","-","-",""
"Aurelien Dupreuilh","K1H","Nt","-","-",""
"Jeremy Bretteville","K1H","Nt","-","-",""
"Jerome Muller","K1H","Nt","-","-",""
"Lucas Lavit","K1H","Nt","-","-",""
"Guillaume Fletcher","K1H","Nt","-","-",""
"Nicolas Neveu","K1H","Nt","-","-",""
"Jeremy Lepoutre","K1H","Nt","-","-",""
"Gilles Tricard","K1H","Nt","-","-",""
"Bertrand Gourrat","K1H","Nt","-","-",""
"Guillaume Itou","K1H","Nt","-","-",""
"Pablo Cabeza  Macuso","K1H","Nt","-","-",""
"Clement Sempastous","K1H","Nt","-","-",""
"Ancelin Gourjault","K1H","Nt","-","-",""
"Julien Money","K1H","Nt","-","-",""
"Elie Miquel","K1H","Nt","-","-",""
