"Sélectif Régional - Plemet - le Pont Querra - Finale - 2014-10-12","Finale","2014-10-12","Régional","228"
"Cedric Jegouzo","K1H","104.98","150.6","226.05","Finale A"
"Quentin Le Duc","K1H","106.15","273.59","239.21","Finale A"
"Nicolas Bernardy","K1H","106.42","248.95","242.25","Finale A"
"Morgan Le Friec","K1H","106.54","217.19","243.6","Finale A"
"Manuel Savels","K1H","106.88","206.08","247.43","Finale A"
"Pierre Hellard","K1H","107.13","138.15","250.24","Finale A"
"Alexis Pernelle","K1H","107.2","150.66","251.03","Finale A"
"Nicolas Mignon","K1H","107.62","301.8","255.75","Finale A"
"Malo Le Paih","K1H","107.69","198.39","256.54","Finale A"
"Remi Vinet","K1H","108","214.38","260.03","Finale A"
"Alan Mahe","K1H","109.11","294.97","272.52","Finale A"
"Anthony Drouhin","K1H","109.5","305.29","276.91","Finale A"
"Fabien Le Nechet","K1H","109.72","139.92","279.39","Finale A"
"Clement Le Collinet","K1H","111.05","382.49","294.35","Finale A"
"Lionel Tinevez","K1H","111.28","218.36","296.94","Finale A"
"Simon Le Friec","K1H","111.45","229.11","298.85","Finale A"
"Matheo Lebaindre","K1H","111.49","231.83","299.3","Finale A"
"Maxence Barouh","K1H","112.39","-","309.43","Finale A"
"Simon Seuru","K1H","112.75","260.32","313.48","Finale A"
"Lorin Dumont","K1H","112.99","267.67","316.18","Finale A"
"Gwenael Marquer","K1H","113.25","263.87","319.11","Finale A"
"Youn Aubry","K1H","113.7","312.33","324.17","Finale A"
"Yoann Le Guyader","K1H","114.48","293.47","332.95","Finale A"
"Hugo Guilleray","K1H","115.64","310.12","346","Finale A"
"Eadwin Famechon","K1H","117.74","291.16","369.63","Finale A"
"Quentin Lejeune","K1H","118.16","-","374.36","Finale A"
"Dorian Ollivier","K1H","118.55","351.93","378.75","Finale A"
"Quentin Robert","K1H","118.86","314.89","382.24","Finale A"
"Samuel Lhegu","K1H","147.69","76.69","706.66","Finale A"
"Nathan Flageul","K1H","154.8","287.11","786.66","Finale A"
"Nicolas Mevel","K1H","159.21","228.76","836.29","Finale A"
"Johann Loiseau","K1H","159.77","205.68","842.59","Finale A"
"Guillaume Blin","K1H","163.92","266.35","889.29","Finale A"
"Axel Meheust","K1H","211.44","330.82","1424.02","Finale A"
"Malo Legrand","K1HM","114.64","-","334.75","Finale A"
"Hugo Regnier","K1HM","119.38","-","388.09","Finale A"
"Quentin Le Floch","K1HM","125.85","-","-","Finale A"
"Steven Henry","K1HM","125.88","-","-","Finale A"
"Arthur Mizzi","K1HM","126.54","-","468.66","Finale A"
"Theo Rose","K1HM","126.62","-","469.56","Finale A"
"Hugo Philippe","K1HM","126.94","-","473.16","Finale A"
"Brieuc Richard","K1HM","127.67","-","481.37","Finale A"
"Romain Barreau","K1HM","128.2","-","487.34","Finale A"
"Erwann Le Jeune","K1HM","130.12","-","508.94","Finale A"
"Lilian Bald","K1HM","130.7","-","515.47","Finale A"
"Valentin Crenn","K1HM","132.14","-","531.67","Finale A"
"Jonas Flament","K1HM","132.65","-","-","Finale A"
"Gautier Abiven","K1HM","133.1","-","542.48","Finale A"
"Clothilde Le Louarn","C1D","151.45","-","469.92","Finale B"
"Agathe Chaumet","C1D","151.56","-","470.96","Finale B"
"Christine Le Gall","C1D","160.76","-","557.23","Finale B"
"Sarah Desnos","C1D","163.71","-","584.89","Finale B"
"Deborah Larsonneur","C1D","170.63","699.52","649.79","Finale B"
"Justine Geffroy","C1D","Nt","-","-","Finale B"
"Melaine Pichard","C1H","123.92","-","377.77","Finale B"
"Hugo Robin","C1H","124.39","379.64","382.81","Finale B"
"Yvan Nicolas","C1H","125.95","-","399.52","Finale B"
"Pierre Hellard","C1H","126.73","367.22","407.89","Finale B"
"Cedric Collet","C1H","127.09","-","411.75","Finale B"
"Jean Malo Bailleul","C1H","127.18","431.2","412.71","Finale B"
"Johann Loiseau","C1H","128","458.56","421.5","Finale B"
"Axel Meheust","C1H","128.05","-","422.03","Finale B"
"Malo Le Paih","C1H","129.71","440.7","439.82","Finale B"
"Patrick Jegou","C1H","130.57","478.25","449.04","Finale B"
"Matheo Lebaindre","C1H","131.47","349.36","458.69","Finale B"
"Nicolas Bernardy","C1H","131.52","360.21","459.22","Finale B"
"Alan Mahe","C1H","132.32","453.37","467.8","Finale B"
"Valentin Feroc","C1H","136.76","424.35","515.38","Finale B"
"Youn Aubry","C1H","138.01","-","528.77","Finale B"
"Emmanuel L'anton","C1H","150.77","724.05","665.52","Finale B"
"Thomas Salch","C1H","201.2","-","1205.98","Finale B"
"Simon Seuru","C1H","Nt","-","-","Finale B"
"Hugo Regnier","C1HM","137.39","-","522.14","Finale B"
"Hugo Philippe","C1HM","150.23","-","659.73","Finale B"
"Jonas Flament","C1HM","155.55","-","-","Finale B"
"Hugo Robert","C1HM","189.46","-","-","Finale B"
"Nathan Flageul-Sami Rocher","C2H","129.8","451.96","377.56","Finale B"
"Jean Malo Bailleul-Malo Legrand","C2H","137.89","-","460.32","Finale B"
"Alan Olivo-Mathis Daniel","C2H","143.89","-","521.7","Finale B"
"Simon Seuru-Ludovic Le Cointre","C2H","145.69","-","540.11","Finale B"
"Quentin Le Duc-Jeremy Lecollinet","C2H","148.67","-","570.6","Finale B"
"Morgan Le Friec-Manuel Savels","C2H","Nt","-","-","Finale B"
"Gwenc'hlan Kernaonet-Thomas Floch","C2HM","158.56","-","671.76","Finale B"
"Mael Crespel-Nathanael Pedron","C2HM","169.06","-","779.18","Finale B"
"Arthur Soudier-Odran Reis","C2HM","172.33","-","-","Finale B"
"Lucie Bercon","K1D","131.43","400.4","358.54","Finale B"
"Christine Le Gall","K1D","133.9","398.89","383.14","Finale B"
"Emma Jacob","K1D","137.15","-","415.5","Finale B"
"Camille Grasland","K1D","138.54","491.96","429.34","Finale B"
"Anais Pignet","K1D","138.9","497.9","432.92","Finale B"
"Enora Bronsard","K1D","141.19","420.87","455.73","Finale B"
"Deborah Larsonneur","K1D","141.71","478.06","460.91","Finale B"
"Nolwenn Le Mehaute","K1D","143.7","485.79","480.72","Finale B"
"Aurore Collet","K1D","146.76","-","511.2","Finale B"
"Justine Geffroy","K1D","147.22","-","515.78","Finale B"
"Anais Tinevez","K1D","151.63","526.61","559.7","Finale B"
"Marion Grangeon","K1DM","131.05","-","354.75","Finale B"
"Charlene Le Gac","K1DM","132.17","-","365.91","Finale B"
"Eva Maher","K1DM","147.93","-","-","Finale B"
"Jeremy Lecollinet","K1H","106.23","230","245.11","Finale B"
"Jules Chaumet","K1H","113.18","352.82","323.32","Finale B"
"Theo Lecomte","K1H","114.59","242.49","339.19","Finale B"
"Stephane Gallerne","K1H","115.18","352.36","345.83","Finale B"
"Yves Bourhis","K1H","115.18","300.57","345.83","Finale B"
"Clement Olivier","K1H","115.89","-","353.82","Finale B"
"Guillaume De Fierville","K1H","116.06","299.45","355.73","Finale B"
"Yann Le Bourser","K1H","116.3","361.24","358.43","Finale B"
"Ludovic Le Cointre","K1H","116.91","336.66","365.29","Finale B"
"Patrick Jegou","K1H","119.77","327.11","397.48","Finale B"
"Jean Yves Prigent","K1H","120.73","337.72","408.28","Finale B"
"Thomas Launay","K1H","122.05","296.88","423.13","Finale B"
"Jordan Daniel","K1H","122.05","539.12","423.13","Finale B"
"Luc Le Diouron","K1H","122.96","451.19","433.37","Finale B"
"Aymeric Poirier","K1H","123.17","400","435.74","Finale B"
"Hugo Robin","K1H","123.2","-","436.07","Finale B"
"Mathis Daniel","K1H","123.67","501.22","441.36","Finale B"
"Nicolas Le Belleguic","K1H","123.7","306.31","441.7","Finale B"
"Paul Cazee","K1H","124.58","449.51","451.6","Finale B"
"Marc-antoine Nannette","K1H","124.76","425.56","453.63","Finale B"
"William Simon","K1H","124.92","381.42","455.43","Finale B"
"Nathan Leretrif","K1H","125.99","441.26","467.47","Finale B"
"Alan Olivo","K1H","126.36","415.02","471.63","Finale B"
"Leo Tasset","K1H","126.55","379.67","473.77","Finale B"
"Valentin Rault","K1H","127.04","441.49","479.28","Finale B"
"Jean Christophe Olivo","K1H","127.23","513.06","481.42","Finale B"
"Gwenael Coadou","K1H","128.21","535.84","492.45","Finale B"
"Maxance Mongermont","K1H","128.55","548.28","496.28","Finale B"
"Valentin Le Paih","K1H","129.37","564.99","505.5","Finale B"
"Samuel Flament","K1H","129.44","432.76","506.29","Finale B"
"Florian Lohezic","K1H","131.37","-","528.01","Finale B"
"Sylvain Premel","K1H","131.62","673.78","530.82","Finale B"
"Samuel Le Dean","K1H","132.48","632.08","540.5","Finale B"
"Jerome Saliou","K1H","133.38","455.63","550.63","Finale B"
"Thibaud Le Berre","K1H","133.58","632.6","552.88","Finale B"
"Christian Le Parc","K1H","133.82","654.98","555.58","Finale B"
"Leo Paillat","K1H","135.55","595.36","575.05","Finale B"
"Mickael Beldame","K1H","135.83","-","578.2","Finale B"
"Olivier Faguet","K1H","136.61","-","586.97","Finale B"
"Antonin Collobert","K1H","136.83","-","589.45","Finale B"
"Maxence Guiziou","K1H","137.36","-","595.41","Finale B"
"Pierreyves Hellard","K1H","139.6","643.79","620.62","Finale B"
"Aubin Davaic","K1H","139.75","948","622.31","Finale B"
"Alexis Malard","K1H","186.93","-","1153.22","Finale B"
"Nathanael Pedron","K1HM","132.85","-","544.66","Finale B"
"Gwenc'hlan Kernaonet","K1HM","134.74","-","565.93","Finale B"
"Arthur Soudier","K1HM","136.47","-","-","Finale B"
"Charles Temple","K1HM","139.06","-","614.54","Finale B"
"Mael Crespel","K1HM","139.14","-","615.44","Finale B"
"Aurelien Le Duc","K1HM","140.18","-","-","Finale B"
"Come Le Gal","K1HM","142.92","-","-","Finale B"
"Martin Le Morvan","K1HM","143.82","-","-","Finale B"
"Hugo Robert","K1HM","145.64","-","-","Finale B"
"Nicolas Maurel","K1HM","147.71","-","711.88","Finale B"
"Thomas Floch","K1HM","148.74","-","723.47","Finale B"
"Julien Buors","K1HM","151.5","-","754.53","Finale B"
"Malo Querre","K1HM","157.36","-","820.47","Finale B"
