"Sélectif Régional de Slalom - Amou - Finale - 2018-02-11","Finale","2018-02-11","Régional","219"
"Nahia Oteiza","K1DM","145.53","354.46","491.06","Finale A"
"Chloe Bonnet","K1DM","163.94","891.42","679.15","Finale A"
"Adele Rambaldi","K1DM","175.74","885.94","799.7","Finale A"
"Anatole Delassus","K1H","95.2","94.2","103.3","Finale A"
"Etienne Daille","K1H","95.51","44.07","106.87","Finale A"
"Benjamin Renia","K1H","95.81","40.7","110.34","Finale A"
"Sami Rocher","K1H","96.53","80.3","118.65","Finale A"
"Guillaume Graille","K1H","97.25","57.56","126.96","Finale A"
"Arnaud Verrons","K1H","100.54","230.4","164.95","Finale A"
"Mathieu Doby","K1H","102.76","62.97","190.57","Finale A"
"Tom Bouchardon","K1H","104.04","219.4","205.35","Finale A"
"Luc Sarramea","K1H","104.31","214.71","208.47","Finale A"
"Valentin Courtiade","K1H","105.76","181.65","225.21","Finale A"
"Jeremie Palazy","K1H","107.18","184.65","241.6","Finale A"
"Tino Forgues","K1H","108.01","293.92","251.19","Finale A"
"Esteban Illido","K1H","108.12","360.71","252.46","Finale A"
"Pierre Campagne","K1H","108.49","302.17","256.73","Finale A"
"Antoine Laye","K1H","108.51","258.6","256.96","Finale A"
"Olivier Cail","K1H","108.63","205.44","258.34","Finale A"
"Gael Adisson","K1H","109.03","211.3","262.96","Finale A"
"Jonathan Delagnes","K1H","110.58","227.05","280.86","Finale A"
"Florent Iraundegui","K1H","110.76","278.2","282.93","Finale A"
"Elliot Perez","K1H","111.34","308.07","289.63","Finale A"
"Cedric Landreau","K1H","111.38","347.27","290.09","Finale A"
"Quentin Clerc","K1H","111.62","251.21","292.86","Finale A"
"Samuel Taillefer","K1H","111.81","327.19","295.06","Finale A"
"Elian Giondini","K1H","112.09","359.7","298.29","Finale A"
"Fabien Paleau","K1H","113.32","315.43","312.49","Finale A"
"Paul Commenges","K1H","114.22","280.17","322.88","Finale A"
"Gedeon Cothias-faure","K1H","114.55","403.07","326.69","Finale A"
"Adrien Mesmoudi","K1H","114.57","287.76","326.92","Finale A"
"Tomy Dandonneau","K1H","114.81","380.63","329.69","Finale A"
"Pascal Dongarra","K1H","115.13","360.91","333.38","Finale A"
"Florian Giraud","K1H","115.89","386.51","342.16","Finale A"
"Hugo Mouffle","K1H","116.7","282.65","351.51","Finale A"
"Loris Shayam Affre","K1H","116.77","387.33","352.32","Finale A"
"Angus Cruickshank","K1H","116.85","408.03","353.24","Finale A"
"Mael Bernes","K1H","117","374.05","354.97","Finale A"
"Jules Besson","K1H","118.07","460.06","367.33","Finale A"
"Cyprien Cail","K1H","118.93","376.25","377.25","Finale A"
"NaËl Rajoub","K1H","119.4","311.27","382.68","Finale A"
"Jeremy Rouchereau","K1H","119.66","440.96","385.68","Finale A"
"Theo Ducasse","K1H","120.3","329.02","393.07","Finale A"
"Jonathan Suc","K1H","120.68","422.11","397.46","Finale A"
"Baptiste Delemotte","K1H","122.15","454.17","414.43","Finale A"
"Herve Clerc","K1H","122.73","326.6","421.13","Finale A"
"Denis Vintrou","K1H","124.22","527.57","438.33","Finale A"
"Paul Gobert","K1H","127.25","434.63","473.31","Finale A"
"Guillaume Malmezac","K1H","128.64","512.04","489.36","Finale A"
"Marc Cordier","K1H","131.69","303.11","524.57","Finale A"
"Abel Boidron","K1H","132.32","504.31","531.84","Finale A"
"Edgar Prigent","K1H","144.84","69.08","676.38","Finale A"
"Pierre-louis Saussereau","K1H","149.01","162.6","724.52","Finale A"
"Fantin Delage-garez","K1H","168.35","396.36","947.8","Finale A"
"Olivier Cain","K1H","170","298.93","966.85","Finale A"
"Hippolyte Cail","K1H","205.85","185.34","1380.73","Finale A"
"Marc Sarramea","K1H","212.74","339.77","1460.28","Finale A"
"Emilien Courtiade","K1HM","111.9","364.1","296.09","Finale A"
"Lukas Estanguet-santamaria","K1HM","121.28","633.03","404.39","Finale A"
"Yon Dandonneau","K1HM","122.74","417.5","421.24","Finale A"
"Florian Malaval","K1HM","129.48","567.04","499.05","Finale A"
"Edgar Paleaubrasseur","K1HM","131.16","464.93","518.45","Finale A"
"KÉziah Lecomte","K1HM","135.97","664.41","573.98","Finale A"
"Emeric Nieser","K1HM","138.37","1085","601.69","Finale A"
"Guillaume Pradalie","K1HM","138.65","550.68","604.92","Finale A"
"CÉcilia Bourgeois","C1D","137.45","410.45","331.6","Finale B"
"Laurine Salesse","C1D","137.79","379.33","334.86","Finale B"
"Youlia Estanguet","C1D","145.12","513.83","405.38","Finale B"
"Elorri Erdois","C1D","146.95","391.19","422.98","Finale B"
"Lea Baldoni","C1D","147.43","460.46","427.6","Finale B"
"Solene Lafitte","C1D","149.01","481.72","442.81","Finale B"
"Alexia Cazala","C1D","192.96","824.2","865.64","Finale B"
"HÉlÈne Gassie","C1D","227.77","1349.69","1200.53","Finale B"
"Olivier Cain","C1H","128.1","469.96","417.7","Finale B"
"Paul Gobert","C1H","131.71","621.32","457.39","Finale B"
"Alex Baldoni","C1H","132.98","538.82","471.36","Finale B"
"Adrien Mesmoudi","C1H","135.82","491.73","502.57","Finale B"
"Fantin Delage-garez","C1H","141.14","622.03","561.07","Finale B"
"Tristan Ruiz","C1H","145.86","975.54","612.97","Finale B"
"Tonin Desmet","C1H","147.42","581.65","630.12","Finale B"
"Clement Serres","C1H","149.49","1209.32","652.88","Finale B"
"Quentin Escudero","C1H","154.88","691.38","712.15","Finale B"
"Thomas Bisetto","C1H","154.94","670.58","712.81","Finale B"
"Loic Leymonerie","C1H","162.21","691.66","792.74","Finale B"
"Julien Coric","C1H","193.29","698.46","1134.47","Finale B"
"Matt Vidou-Baptiste Delemotte","C2H","162.59","1280.45","715.66","Finale B"
"Julien Coric-Noa Lorand","C2H","175.05","815.56","846.43","Finale B"
"Benjamin Martinet-Compton Cruickshank","C2H","Des","-","-","Finale B"
"Laurence Pessoni","K1D","131.88","408.6","356.6","Finale B"
"Laetitia Thueux","K1D","132.3","359.37","360.9","Finale B"
"CÉcilia Bourgeois","K1D","132.72","348.48","365.18","Finale B"
"Solene Lafitte","K1D","135.97","406.97","398.38","Finale B"
"Youlia Estanguet","K1D","136.18","408.61","400.53","Finale B"
"Amelie Leclercq","K1D","139.31","480.76","432.51","Finale B"
"Elorri Erdois","K1D","139.63","334.21","435.78","Finale B"
"Agathe Benoit","K1D","140.2","489.56","441.61","Finale B"
"Camille Santa Cruz","K1D","146.47","379.99","505.66","Finale B"
"Lea Pages","K1D","147.77","591.31","518.95","Finale B"
"Pauline Rouilhet","K1D","148.94","537.45","530.89","Finale B"
"Aurore Poirot","K1D","152.96","539.94","571.97","Finale B"
"Oceane Mora","K1D","156.24","727.85","605.47","Finale B"
"Celia Roulleau","K1D","159.08","605.25","634.5","Finale B"
"Selma Janami-ragu","K1D","166.71","1024.83","712.45","Finale B"
"Perrine Dujourd'hui","K1D","167.23","858.43","717.76","Finale B"
"Felix Praderie","K1H","106.87","297.77","243.02","Finale B"
"Maxime Charron","K1H","109.27","344.14","270.73","Finale B"
"Pablo Chaminade","K1H","112.68","361.09","310.1","Finale B"
"Nicolas Saurat","K1H","115.53","288.21","343","Finale B"
"Baptiste San Nicolas","K1H","121.54","496.06","412.39","Finale B"
"Antonin Beyneix","K1H","122.19","531.6","419.89","Finale B"
"Leo Dujourd'hui","K1H","122.93","515.59","428.43","Finale B"
"Julien Dubarry","K1H","125.96","970.86","463.41","Finale B"
"Etienne Saint Picq","K1H","125.98","415.94","463.65","Finale B"
"Lucas Mauer","K1H","126.17","546.34","465.84","Finale B"
"Tonin Desmet","K1H","126.92","542.73","474.5","Finale B"
"Matt Vidou","K1H","127.12","546.25","476.81","Finale B"
"Antoine Bouby","K1H","129.22","513.22","501.05","Finale B"
"Simeon Althabegoity","K1H","131.11","518.32","522.87","Finale B"
"Julien Doumecq","K1H","131.46","610.5","526.91","Finale B"
"Theo Dunie","K1H","131.96","525.57","532.68","Finale B"
"Nicolas Neveu","K1H","132.37","513.4","537.42","Finale B"
"Compton Cruickshank","K1H","132.94","611.76","544","Finale B"
"Quentin Escudero","K1H","133.62","640.54","551.85","Finale B"
"Romain Cadiot","K1H","133.83","667.43","554.27","Finale B"
"Baptiste Mondin","K1H","133.97","615.41","555.89","Finale B"
"Tristan Ruiz","K1H","133.98","624.03","556","Finale B"
"Noa Lorand","K1H","134.83","669.8","565.82","Finale B"
"Thomas TerrÉ","K1H","135.66","509.14","575.4","Finale B"
"Marin Saint Macary","K1H","135.94","511.65","578.63","Finale B"
"Loic Leymonerie","K1H","135.98","642.35","579.09","Finale B"
"Alex Baldoni","K1H","137.88","471.59","601.03","Finale B"
"Jean Bernard Lacave","K1H","138.05","499.17","602.99","Finale B"
"Bruno Oteiza","K1H","139.09","661.73","615","Finale B"
"Thomas Bisetto","K1H","140.8","497.45","634.74","Finale B"
"Renaud Clerc","K1H","142.69","525.5","656.56","Finale B"
"Clement Sempe","K1H","144.08","626.28","672.61","Finale B"
"Daniel Lafitte","K1H","144.26","679.11","674.69","Finale B"
"Lucas Dongarra","K1H","145.27","519.88","686.35","Finale B"
"Bastien Darmayan","K1H","145.56","796.61","689.69","Finale B"
"Angel Campillo","K1H","147.83","884.17","715.9","Finale B"
"Charly Peiro","K1H","147.84","587.86","716.02","Finale B"
"Jean Luc Pessoni","K1H","148.18","783.78","719.94","Finale B"
"Leo Metro","K1H","148.4","1648.51","722.48","Finale B"
"Mateo Destruel","K1H","150.11","997.13","742.22","Finale B"
"Aurelien Blois","K1H","150.95","883.76","751.92","Finale B"
"Matthieu Desbons","K1H","152.14","742.54","765.66","Finale B"
"Clement Serres","K1H","153.06","924.65","776.28","Finale B"
"Bertrand Gourrat","K1H","158.14","204.64","834.93","Finale B"
"Franck Vanhoutteghem","K1H","160.69","707.53","864.37","Finale B"
"Julien Ducroq","K1H","169.25","1013.57","963.19","Finale B"
"Jean Francois Mervant","K1H","174.47","894.41","1023.45","Finale B"
"Eric Vidou","K1H","174.49","415.96","1023.69","Finale B"
"Guillaume Malere","K1H","175.76","1499.03","1038.35","Finale B"
"Nicolas Peyroux","K1H","177.14","1029.47","1054.28","Finale B"
"Sylvain Maurel","K1H","197.92","894.08","1294.18","Finale B"
"Manolo Colin","K1H","212.89","767.72","1467.01","Finale B"
"Liam Jacquot","K1H","230.61","1433.31","1671.58","Finale B"
"Matheo Nassieu","K1HM","141.42","1351.03","641.9","Finale B"
"Eyquem Martin Skutnik","K1HM","152.54","685.76","770.28","Finale B"
"Arsene Labarthe","K1HM","160.19","879.07","858.59","Finale B"
"Thomas Dutetre","K1HM","181.6","1231.3","1105.77","Finale B"
"Lilian Dujourd'hui","K1HM","187","1289.89","1168.11","Finale B"
"Quentin Arnaudin","K1HM","208.48","1223.11","1416.09","Finale B"
"Miguel Irungaraylarronde","K1HM","221.08","768.27","1561.56","Finale B"
"Amil Kourdoughli","K1HM","226.58","865.44","1625.06","Finale B"
