"Manche de la Coupe de France Nationale 1 slalom - Foix - Finale - 2015-06-06","Finale","2015-06-06","Nationale 1","111"
"William Desnos","K1H","343.16","87.4","2245.04","Finale A"
"Margaux Henry","C1D","137.07","157.1","178.89","Finale B"
"Annaelle Meheut","C1D","144.31","108.35","233.47","Finale B"
"Azenor Philip","C1D","154.29","220.1","308.71","Finale B"
"Anne-lise Moisan-ehrwein","C1D","156.3","201.51","323.87","Finale B"
"Fanchon Janssen","C1D","212.71","210.01","749.14","Finale B"
"Tom Maffeis","C1H","111.55","150.53","106.63","Finale B"
"Thibault Blaise","C1H","112.13","59.06","111.63","Finale B"
"Thomas Rosset","C1H","112.45","139.81","114.39","Finale B"
"Jean Pierre Bourhis","C1H","113.32","97.16","121.89","Finale B"
"Antoine Roux","C1H","114.52","144.89","132.23","Finale B"
"Jean Freri","C1H","114.84","117.41","134.98","Finale B"
"Alexandre Paulais","C1H","115.03","157.62","136.61","Finale B"
"Corentin Oulhen","C1H","116.88","151.59","152.55","Finale B"
"Yann Rivallant","C1H","119.12","140.31","171.86","Finale B"
"Julian Othenin-girard","C1H","119.71","192.05","176.94","Finale B"
"Gael Le Noc","C1H","120.63","161.06","184.87","Finale B"
"Lucas Vancon","C1H","122.88","144.77","204.26","Finale B"
"Thibaut Perroteau","C1H","128.62","179.25","253.71","Finale B"
"Simon Le Friec","C1H","169.98","57.39","610.07","Finale B"
"Maria Ferekidi","K1D","119.54","127.81","102.56","Finale B"
"Romane Prigent","K1D","122.56","120.68","126.73","Finale B"
"Margaux Henry","K1D","122.79","95.14","128.58","Finale B"
"Lea Turmeau","K1D","126.79","121.66","160.61","Finale B"
"Caroline Loir","K1D","128.01","87.92","170.37","Finale B"
"Lea Gaigeot","K1D","128.15","133.78","171.49","Finale B"
"Lucie Prioux","K1D","172.34","90.98","525.28","Finale B"
"Annaelle Meheut","K1D","180.43","145.66","590.05","Finale B"
"Martin Daviet","K1H","101.69","67.77","65.49","Finale B"
"Louison Turmeau","K1H","101.81","84.43","66.57","Finale B"
"Samuel Lhegu","K1H","102.52","91.17","73","Finale B"
"Thomas Schmitt","K1H","103.49","57.02","81.77","Finale B"
"Renaud Doby","K1H","104.1","25.85","87.29","Finale B"
"Jonas Turmeau","K1H","104.2","67.33","88.19","Finale B"
"Sami Rocher","K1H","106.32","91.1","107.37","Finale B"
"Bertrand Gutierrez","K1H","106.34","89.87","107.56","Finale B"
"Enrick Cunsolo","K1H","106.51","66.16","109.09","Finale B"
"Alexandre Lucas","K1H","107.4","130.46","117.14","Finale B"
"Damien Laborde","K1H","107.92","114.32","121.85","Finale B"
"Jonathan Chapatte","K1H","108.21","116.44","124.47","Finale B"
"Ewen Legrand","K1H","109.32","98.56","134.51","Finale B"
"Christophe Marechal","K1H","109.5","88.95","136.14","Finale B"
"Nicolas Feuillard","K1H","109.52","128.66","136.32","Finale B"
"Jonathan Delagnes","K1H","110.03","114.76","140.94","Finale B"
"Alexandre Dherbilly","K1H","112.27","96.32","161.2","Finale B"
"James Duvernoy","K1H","113.16","86.81","169.25","Finale B"
"Gael Prodeau","K1H","114.26","84.66","179.21","Finale B"
"Guillaume Graille","K1H","156.27","107.03","559.27","Finale B"
"Thibault Marchand","K1H","158.04","105.09","575.28","Finale B"
"Andy Pajani","K1H","162.44","95.54","615.09","Finale B"
"Louis Philippe Rigal","K1H","164.01","128.42","629.29","Finale B"
"Nicolas Baudoin","K1H","259.76","81.73","1495.53","Finale B"
"Goulwen Chapelier","K1H","Abs","-","-","Finale B"
