"Sélectif N2 - Nancy - 2004-05-01","Course 1","2004-05-01","Nationale 2","136"
"Louis Philippe Rigal","K1H","255.46","157","177",""
"Benoit Fer","K1H","255.80","167","179",""
"Andy Pajani","K1H","256.73","198","183",""
"Pascal Ferry","K1H","256.91","198","184",""
"Medjeberg Jeremy","K1H","257.06","180","184",""
"Kudla Romain","K1H","257.82","207","187",""
"Guillaume Bandelier","K1H","257.92","253","188",""
"Mehdi Amini","K1H","258.30","142","189",""
"Antoine Dufrene","K1H","259.69","247","195",""
"Frederic Tinchant","K1H","259.72","213","195",""
"Rumeau Martin","K1H","259.77","218","195",""
"Boris Lutinier","K1H","261.24","212","201",""
"David Beyer","K1H","261.30","197","201",""
"Hugo Hager","K1H","262.48","196","206",""
"Philippe Daumont","K1H","263.84","177","212",""
"Domingo Benoit","K1H","263.97","192","213",""
"Jules Bevalot","K1H","264.15","203","213",""
"Mikael Maupin","K1H","265.50","184","219",""
"Alexandre Guerinet","K1H","265.67","244","220",""
"Dupont Eric","K1H","266.75","219","224",""
"Julien Antide","K1H","267.06","186","226",""
"Franck Dessaint","K1H","268.23","224","230",""
"Labouille Yannick","K1H","268.54","234","232",""
"Pierson Cyril","K1H","268.56","243","232",""
"Soete Arnaud","K1H","268.57","269","232",""
"Olivier Hardonniere","K1H","269.42","176","235",""
"Lebourgeois Alexis","K1H","271.63","207","244",""
"Laroque Jeanchristophe","K1H","272.43","215","248",""
"Fabien Hantz","K1H","273.82","195","253",""
"Jeremy Vibert","K1H","278.43","244","272",""
"Sebastien Serot","K1H","278.46","262","272",""
"Alain Ferry","K1H","278.58","236","273",""
"Piermay Mathieu","K1H","284.56","224","298",""
"Demange Marc","K1H","289.39","267","318",""
"Di Lauro Maxime","K1H","300.23","119","363",""
"Arthur Georges","K1H","313.71","228","418",""
"Beltrami Denis","K1H","315.44","229","425",""
"Nicolas Ciemniewski","K1H","316.85","153","431",""
"Yann Gudefin","K1H","329.86","184","485",""
"De Berchen Sebastien","K1H","365.32","151","631",""
"Julien Beltrami","K1H","371.36","156","656",""
