"Sélectif Régional de Slalom - Le Bourget du Lac - Course n°1 | Qualification - 2019-09-28","Course n°1 | Qualification","2019-09-28","Régional","135"
"Thomas Schmitt-Yann Rivallant","C2H","115.06","-","438.34",""
"Guillaume Carbon-Maxime Vallin","C2H","122.8","-","530.93",""
"Titouan Sourieau-Jules Sourieau","C2H","133.58","669.99","659.89",""
"Tom Ollinet-Jonathan Himpens","C2H","164.59","1555.45","1030.87",""
"Gaspard Gonseth-Ugo Zanellato","C2H","Abs","-","-",""
"Nil Georgel-Anneline Triomphe","C2M","125.02","409.65","432.85",""
"Maxime Bottex-Solene Grenier","C2M","126.08","-","444.49",""
"Stephane Abadie-Barbara Gibert","C2M","136.65","-","560.39",""
"Mathieu Monier-Chloe Faverjon","C2M","137.95","432.87","574.65",""
"Ilona Martin -laemle-Hugo Martin -laemle","C2M","142.29","-","622.24",""
"Tiphanie Borlet-Matthieu Le Gall","C2M","143.4","-","634.42",""
"Iana Gonseth-Joao Normand","C2MM","136.86","578.06","562.7",""
"Zelie Ferraris-Anton Coux","C2MM","141.79","1646.86","616.76",""
"Anneline Triomphe","K1D","97.88","169.81","201.73",""
"Kesia Georgel","K1D","99.81","387.97","224.2",""
"Ilona Martin -laemle","K1D","99.95","183.87","225.83",""
"Solene Grenier","K1D","107.66","214.97","315.62",""
"Marie Helye","K1D","116.17","-","414.72",""
"Barbara Gibert","K1D","116.22","503.89","415.31",""
"Chloe Faverjon","K1D","117.97","422.29","435.68",""
"Fanny Mino-vercellio","K1D","119.08","-","448.62",""
"Tiphanie Borlet","K1D","124.19","-","508.13",""
"Emma Miton","K1D","126.26","431.95","532.23",""
"Juliette Piot","K1D","131.99","-","598.95",""
"Jade Isner","K1D","143.27","-","730.32",""
"Marguerite Mathey","K1D","148.25","1380.18","788.32",""
"Christel Pellicier","K1D","148.64","1810.07","792.86",""
"Marion Pasquali","K1D","Abs","-","-",""
"Louane Chenal","K1D","Abs","-","-",""
"Marie Borlet","K1D","Abs","-","-",""
"Alexia De Matteis","K1D","Abs","-","-",""
"Zelie Ferraris","K1DM","110.41","373.12","347.65",""
"Iana Gonseth","K1DM","113.66","403.93","385.49",""
"Maya Georgel","K1DM","123.37","598.29","498.57",""
"Leonie Reichert","K1DM","135.38","1771.9","638.43",""
"Secil Onur","K1DM","148.76","-","794.25",""
"Lena Saber","K1DM","165.56","-","989.89",""
"Lyna Zeghida","K1DM","179.98","-","1157.82",""
"Elise Houot","K1DM","Abs","-","-",""
"Maxime Bottex","K1H","81.96","88.19","140.41",""
"Nathanael Pedron","K1H","83.65","200.14","162.65",""
"Loic Bertoia","K1H","85.08","88.43","181.47",""
"Jules Silvin","K1H","93.08","196.63","286.74",""
"Davy Egraz","K1H","94.13","297.11","300.56",""
"Mathieu Monier","K1H","94.35","193.67","303.46",""
"Titouan Sourieau","K1H","96.18","470.03","327.54",""
"Teo Bouvier","K1H","96.67","341.7","333.99",""
"Thomas Schmitt","K1H","99.4","106.46","369.91",""
"Axel Clement","K1H","100.66","343.78","386.49",""
"Jean Philippe Roche","K1H","101.2","317.32","393.6",""
"Gaspard Gonseth","K1H","101.51","549.55","397.68",""
"Emmanuel Triomphe","K1H","102.18","438.04","406.5",""
"Hugo Martin -laemle","K1H","102.22","326.97","407.02",""
"Nicolas Detheve","K1H","103.07","348.97","418.21",""
"Jules Sourieau","K1H","103.94","557.87","429.66",""
"Olivier Hardonniere","K1H","105.42","378.4","449.13",""
"Damien Chamblay","K1H","107.28","487.86","473.61",""
"Julien Signarbieux","K1H","107.76","336.49","479.92",""
"Sebastien Lepaulard","K1H","108.24","377.11","486.24",""
"Gabin Chenal","K1H","110.18","376.86","511.77",""
"Cedric Mace","K1H","110.93","348.13","521.64",""
"Florent Vallier","K1H","112.81","507.29","546.38",""
"Stephane Abadie","K1H","113.74","-","558.62",""
"Sebastien Chapatte","K1H","114.2","472.65","564.67",""
"Maxence Violy","K1H","114.31","809.14","566.12",""
"Frederic Brissaud","K1H","114.43","-","567.7",""
"Boris Lutinier","K1H","116.49","-","594.81",""
"Simon Lescaut","K1H","116.53","-","595.33",""
"Enki Georgel","K1H","116.53","-","595.33",""
"Anael Audouin","K1H","118.46","-","620.73",""
"Tom Ollinet","K1H","119.53","600.77","634.81",""
"Clement Innocenti","K1H","122.72","737.84","676.79",""
"Tom Kuntzinger","K1H","130.76","1017.95","782.59",""
"GaÊl Bonnot","K1H","135.8","931.3","848.91",""
"Sebastien Cottrant","K1H","140.53","-","911.16",""
"Jonathan Chapatte","K1H","142.85","252.77","941.69",""
"Isaac Pinneau","K1H","172.02","672.62","1325.55",""
"Ugo Zanellato","K1H","Abs","-","-",""
"Alexei Evlachev","K1H","Abs","-","-",""
"Marc Roussel","K1H","Abs","-","-",""
"Felix Balas","K1H","Abs","-","-",""
"Yann Houot","K1H","Abs","-","-",""
"Matthieu Fontanez","K1H","Abs","-","-",""
"Ianis Triomphe","K1HM","99.68","452.73","373.6",""
"Joao Normand","K1HM","105.56","508.55","450.97",""
"Luca Chapatte","K1HM","107","494.15","469.92",""
"Anton Coux","K1HM","111.05","627.72","523.22",""
"Jules Raoul","K1HM","116.79","865.26","598.75",""
"Loris Allamachere","K1HM","118.23","734.89","617.7",""
"Victorien Pittion","K1HM","123.04","832.55","681",""
"Elie Sutra","K1HM","123.07","581.6","681.4",""
"Victor Eduardo Carneiro Gomes","K1HM","127.69","-","742.19",""
"Gustave Gonseth","K1HM","130.57","780.17","780.09",""
"Livio Richard","K1HM","130.83","-","783.51",""
"Titouan Carbon","K1HM","140.82","-","914.98",""
"Theo Traore","K1HM","175.41","1008.05","1370.16",""
