"SÈlectif RÈgional de Slalom - Beaurainville et Montreuil - Course n∞2 | Qualification - 2017-09-17","Course n∞2 | Qualification","2017-09-17","RÈgional","219"
"Loœc Pottier","C1H","110.67","481.75","483.81",""
"Robin Dheilly","C1H","111.06","508.93","488.86",""
"Pierrick Gosselin","C1H","111.58","-","495.61",""
"Louis Marescot","C1H","114.37","499.57","531.77",""
"Nicolas Feuillard","C1H","115.58","395.28","547.45",""
"Quentin Angot","C1H","116.81","525.66","563.4",""
"Xavier Jourdain","C1H","119.84","268.95","602.66",""
"Benoit Guernic","C1H","126.67","-","691.19",""
"Isidore Dubuisson","C1H","126.78","560.22","692.62",""
"Guillaume Maillot","C1H","126.85","-","693.53",""
"Simon Philibert","C1H","126.94","829.54","694.69",""
"Thibaut Evrard","C1H","127.62","817.13","703.51",""
"Estephe Decarsin","C1H","130.58","753.7","741.87",""
"Jacques Nardeau","C1H","133.1","570.94","774.54",""
"Donatien Lamoureux","C1H","146","738","941.74",""
"Camille Fleuret","C1H","Nt","-","-",""
"Mewen Debliquy","C1HM","112.69","461.42","510",""
"Titouan Castryck","C1HM","113.8","511.78","524.38",""
"Fabien Bonvalet","C1HM","114.17","559.56","529.17",""
"Mathis Piepho","C1HM","119.77","525.95","601.76",""
"Paul Lecomte","C1HM","141.83","931.99","887.68",""
"Matheo Dupont","C1HM","142.95","-","902.21",""
"Florian Jumetz","C1HM","145.01","-","928.91",""
"Mathis Pomares","C1HM","164.87","-","1186.32",""
"Pierre Carpentier","C1HM","173.69","-","1300.64",""
"Erwan Masson","C1HM","175.78","1410.65","1327.73",""
"Victor Benech","C1HM","207.99","-","1745.22",""
"Catherine Boulan-Nathalie Guelton","C2D","195.64","756.28","1097.49",""
"Lisa Bou…-Charline Dole","C2D","223.27","-","1386.74",""
"Thibaud Vielliard-Nicolas Ducrocq","C2H","103.41","-","328.79",""
"Eloi Seemann-Quentin Mannier","C2H","108.17","322.67","387.68",""
"Hugo Regnier-Arthur Mizzi","C2H","111.99","323.91","434.94",""
"Michael Philibert-Gaspard Perrio","C2H","114.91","-","471.07",""
"Thomas Martinet-Lucas Walbreq","C2H","122.95","561.02","570.54",""
"Theo Moalic-Marceau Decarsin","C2H","124.34","491.62","587.73",""
"Simon Dubosc-Quentin Angot","C2H","131.63","404.05","677.94",""
"Hugo Baillet-Thibaut Evrard","C2H","152","889.68","929.96",""
"Alberic Carpentier-Lucien Louchez","C2H","158.47","998.14","1010.01",""
"Lucas Jacob-Benoit Guernic","C2H","177.73","433.2","1248.29",""
"Simon Philibert-Loœc Pottier","C2H","182.29","-","1304.71",""
"Tom Armand-Thomas Gossieaux","C2H","241.14","1685.9","2032.81",""
"Mikael Maupin-Vincent Hannedouche","C2H","Nt","-","-",""
"Fabien Bonvalet-Mathis Pomares","C2HM","156.25","794.46","982.53",""
"Thibaud Vielliard-Tiphaine Duboc","C2M","112.72","-","327.76",""
"Catherine Boulan-Xavier Jourdain","C2M","127.2","442.27","491.98",""
"Bertrand Avril-Chloe Gatuingt","C2M","132.51","356.76","552.2",""
"Emilie Delahaye-Nicolas Feuillard","C2M","146.54","438.27","711.32",""
"Marion Matura-Antoine Martin","C2M","156.9","-","828.81",""
"Nicolas Bernardy-Anais Bernardy","C2M","Nt","-","-",""
"Anais Bernardy","K1D","96.03","143.54","205.94",""
"Fanchon Janssen","K1D","104.25","119.34","304.94",""
"Tiphaine Duboc","K1D","105.17","154.62","316.02",""
"Emilie Delahaye","K1D","105.21","255.27","316.5",""
"Alice Azam","K1D","106.39","213.16","330.71",""
"Chloe Gatuingt","K1D","117.47","327.92","464.16",""
"Lison Gautrelet","K1D","119.99","438.85","494.51",""
"Emma Leroux","K1D","120.79","420.82","504.14",""
"Mathilde Guillot-le Goff","K1D","121.74","403.77","515.59",""
"Melina Letellier","K1D","123.03","468.18","531.12",""
"Mylene Despres","K1D","133.26","516.24","654.32",""
"Catherine Boulan","K1D","138.83","550.6","721.4",""
"Lisa Bou…","K1D","148.94","724.08","843.17",""
"Marion Matura","K1D","162.2","654.48","1002.88",""
"Marie Claude Lamoureux","K1D","Nt","-","-",""
"Eloise Riviere","K1D","Nt","-","-",""
"Gabrielle Kugler","K1D","Nt","-","-",""
"Manon Le Lay","K1D","Nt","-","-",""
"Camille Castryck","K1DM","115.44","402.32","439.7",""
"Clara Delahaye","K1DM","115.79","407.2","443.92",""
"Romane Regnier","K1DM","116.64","399.32","454.16",""
"Margaux Fabijan","K1DM","123.39","397.34","535.46",""
"Elise Vegnaduzzo","K1DM","134.71","-","671.78",""
"Wissal Mouinet","K1DM","Nt","-","-",""
"Hugo Regnier","K1H","82.59","155.51","173.38",""
"Vincent Delahaye","K1H","82.74","111.74","175.42",""
"Matheo Lebaindre","K1H","84.37","152.41","197.6",""
"David Mingasson","K1H","85.4","169.74","211.62",""
"Xavier Jourdain","K1H","86.05","161.68","220.47",""
"Yvan Leblond","K1H","89.52","274.58","267.69",""
"Nicolas Bernardy","K1H","90.11","142","275.72",""
"Yohann Senechault","K1H","90.39","269.87","279.53",""
"Lucas Jacob","K1H","90.71","199.03","283.89",""
"Loan Queffelec","K1H","91.47","240.34","294.23",""
"Romain Huguenin","K1H","91.68","285.46","297.09",""
"Noe Perreau","K1H","91.86","240.42","299.54",""
"Thibaud Vielliard","K1H","91.94","257.68","300.63",""
"Frederic Castryck","K1H","92.29","297.58","305.39",""
"Jeanmichel Regnier","K1H","93.25","300.18","318.46",""
"Thibaud Collaert","K1H","94.43","318.1","334.52",""
"Bertrand Avril","K1H","94.55","272.05","336.15",""
"Louis Debureaux","K1H","94.66","311.88","337.65",""
"Melvin Queudeville","K1H","94.86","386.98","340.37",""
"Julien Antide","K1H","96.48","232.16","362.41",""
"Loœc Pottier","K1H","96.57","300.06","363.64",""
"Jeremy Huguenin","K1H","96.88","358.94","367.86",""
"Jeremie Hepner","K1H","99.19","392.76","399.3",""
"Pierrick Gosselin","K1H","99.28","-","400.52",""
"Nicolas Ducrocq","K1H","99.79","350.85","407.46",""
"Theo Loury","K1H","100.04","315.9","410.86",""
"Quentin Angot","K1H","100.22","350.15","413.31",""
"Gawaine Chikh","K1H","100.54","288.45","417.67",""
"Thomas Martinet","K1H","100.92","377.59","422.84",""
"Marceau Decarsin","K1H","101.99","383.95","437.4",""
"Robin Dheilly","K1H","102.52","409.49","444.62",""
"Teddy Poulard","K1H","102.63","393.26","446.11",""
"Theo Moalic","K1H","102.8","411.17","448.43",""
"Simon Philibert","K1H","102.91","392.6","449.92",""
"Simon Dubosc","K1H","102.98","241.16","450.88",""
"Clement Font-boinel","K1H","103.55","355.56","458.63",""
"Edouard Gracias","K1H","103.97","399.49","464.35",""
"Gaspard Perrio","K1H","104.02","388.28","465.03",""
"Michael Philibert","K1H","104.64","426.73","473.47",""
"Baptiste Duboc","K1H","105.88","486.7","490.34",""
"Aubin Davaic","K1H","106.31","497.94","496.2",""
"Benoit Guernic","K1H","106.48","356.37","498.51",""
"Maxime Poupart","K1H","106.68","417.95","501.23",""
"Hugo Baillet","K1H","106.73","513.31","501.91",""
"Paul Cascarino","K1H","107.86","526.52","517.29",""
"Stephane Debliquy","K1H","107.92","371.88","518.11",""
"Thibaut Evrard","K1H","108.31","531.49","523.41",""
"Estephe Decarsin","K1H","108.49","450.03","525.86",""
"Louis Bouclier","K1H","108.52","441.87","526.27",""
"Dante Bourlet De La Vallee","K1H","110.82","579.42","557.57",""
"Lucas Walbreq","K1H","111.33","510.93","564.51",""
"Hugo Pidoux","K1H","114","377.02","600.85",""
"Alberic Carpentier","K1H","114.44","529.68","606.84",""
"Philippe Valeri","K1H","114.77","545.65","611.33",""
"Louis Vanbersel","K1H","117.15","593.57","643.72",""
"Gaetan Laperle","K1H","119.48","683.03","675.43",""
"Tom Armand","K1H","119.8","732.91","679.79",""
"Maxence Galy","K1H","119.86","599.59","680.6",""
"Lucien Louchez","K1H","120.78","642.19","693.12",""
"Johann Sacleux","K1H","121.63","582.88","704.69",""
"Isidore Dubuisson","K1H","123.34","385.81","727.96",""
"Alain Regnier","K1H","125.64","943","759.27",""
"Thomas Gossieaux","K1H","128.5","682.55","798.19",""
"Philippe Podvin","K1H","128.79","666.3","802.14",""
"Cedre Mercier","K1H","128.86","788.86","803.09",""
"Jean Chevassus-clement","K1H","130.24","-","821.87",""
"Florian Gosselin","K1H","136.98","230.53","913.6",""
"Nicolas Feuillard","K1H","137.15","183.44","915.91",""
"Fabien De Almeida","K1H","143.71","277.31","1005.19",""
"Arnaud Grignon","K1H","146.91","-","1048.74",""
"Timothee Le Mort","K1H","150.55","268.65","1098.28",""
"Guillaume Maillot","K1H","155.39","314.06","1164.15",""
"Quentin Mannier","K1H","157.8","321.34","1196.95",""
"Thibaut Jumetz","K1H","180.64","892.85","1507.79",""
"Arthur Mizzi","K1H","183.81","197.65","1550.93",""
"Nicolas Bracquart","K1H","Nt","-","-",""
"Donatien Lamoureux","K1H","Nt","-","-",""
"Nicolas Lalliot","K1H","Nt","-","-",""
"Theo Delarue","K1H","Nt","-","-",""
"Mathieu Voreaux","K1H","Nt","-","-",""
"Remi Blaud","K1H","Nt","-","-",""
"Samuel Lhegu","K1H","Nt","-","-",""
"Titouan Castryck","K1HM","100.46","378.98","416.58",""
"Mewen Debliquy","K1HM","101.06","436.9","424.75",""
"Mathis Piepho","K1HM","107.2","503.71","508.31",""
"Helwann Rachdi","K1HM","110.37","602.04","551.45",""
"Fabien Bonvalet","K1HM","111.65","503.66","568.87",""
"Nathan Huguenin","K1HM","115.6","596.52","622.63",""
"Matheo Dupont","K1HM","118.8","748.03","666.18",""
"Florian Jumetz","K1HM","118.9","673.52","667.54",""
"Paul Pesant","K1HM","119.26","-","672.44",""
"Cosme Duboc","K1HM","125.41","-","756.14",""
"Paul Lecomte","K1HM","125.61","684.38","758.86",""
"Hugo Tellier","K1HM","129.24","862.68","808.26",""
"Mathis Andrieu","K1HM","129.34","775.31","809.62",""
"Rayan Serrakh","K1HM","129.45","815.87","811.12",""
"Matteo Figueiredo Alves","K1HM","133.02","702.93","859.7",""
"Samy Serrakh","K1HM","135.42","666.95","892.37",""
"Mathis Pomares","K1HM","135.96","902.59","899.72",""
"Fares Chennahi","K1HM","138.36","765.74","932.38",""
"Lucas Bellaize","K1HM","149.61","2676.36","1085.48",""
"Romain Jego","K1HM","170.98","1013.71","1376.32",""
"Erwan Masson","K1HM","194.16","859.77","1691.78",""
"Matisse Anfray","K1HM","Nt","-","-",""
"Pierre-yunus Ciceksiz","K1HM","Nt","-","-",""
"Mathias Lenfant","K1HM","Nt","-","-",""
