"SELECTIF REGIONAL - Picquigny - 2002-12-01","Course 1","2002-12-01","Régional","185"
"De Berchen Emilie","K1D","271.04","738","643",""
"Pauline Pillion","K1D","281.34","-","705",""
"Heckmann Steffi","K1D","286.40","806","735",""
"Dardanne Sophie","K1D","291.69","1547","767",""
"Dos Santos Eva","K1D","303.65","-","839",""
"Cloe Hun","K1D","313.74","-","901",""
"Castelli Melissa","K1D","316.27","-","916",""
"Rodot Delphine","K1D","323.01","-","956",""
"Lobreau Marie","K1D","324.98","-","968",""
"Clementine Vuillermot-panthou","K1D","329.46","1251","996",""
"Cheviyer Sophie","K1D","337.63","-","1045",""
"Kehr Eugenie","K1D","364.00","-","1204",""
"Berndt Virginie","K1D","376.69","-","1279",""
"Di Lauro Maxime","K1H","182.38","186","219",""
"Menager Vincent","K1H","182.82","176","222",""
"Xavier Jourdain","K1H","183.43","141","226",""
"Philippe Daumont","K1H","184.53","203","233",""
"Ciaran Heurteau","K1H","185.71","230","240",""
"Romain Bove","K1H","186.19","201","243",""
"Coiffe Florion","K1H","187.46","213","253",""
"Ragot Laurent","K1H","187.64","145","254",""
"Franck Dessaint","K1H","189.13","238","264",""
"Florian Perenchio","K1H","189.46","287","266",""
"Di Lauro Alexandre","K1H","190.74","-","274",""
"De Berchen Sebastien","K1H","191.20","224","277",""
"Moratelli Loic","K1H","191.65","284","280",""
"Gall Philippe","K1H","192.42","234","285",""
"Christophe Gosselin","K1H","192.88","218","288",""
"Yves Debailleul","K1H","193.38","261","291",""
"Vincent Reiter","K1H","194.43","233","298",""
"Sarazin Emmanuel","K1H","194.60","217","299",""
"Dalla-Zuana Christophe","K1H","194.77","218","300",""
"Sebastien Racault","K1H","196.11","225","310",""
"Cedric Mace","K1H","196.12","208","310",""
"Jeansebastien Simonklein","K1H","196.47","368","312",""
"Quentin Bove","K1H","196.77","346","314",""
"Kudla Romain","K1H","197.82","295","321",""
"Florian Gosselin","K1H","197.85","236","321",""
"Laroque Jeanchristophe","K1H","198.35","274","324",""
"Julien Darees","K1H","198.36","252","324",""
"Perrin Alexandre","K1H","199.10","-","329",""
"Olivier Urbain","K1H","200.44","272","338",""
"Mathieu Bandelier","K1H","200.73","-","340",""
"Arthur Georges","K1H","201.40","295","344",""
"Oswald Besch","K1H","202.96","322","355",""
"Aurel Sebastien","K1H","204.59","336","366",""
"Malderez Sebastien","K1H","207.47","409","385",""
"Debruyere Benjamin","K1H","207.63","366","386",""
"Soete Arnaud","K1H","213.54","226","425",""
"Bastien Darcillon","K1H","214.96","407","434",""
"Savart Matthieu","K1H","216.21","421","442",""
"Lacour Jerome","K1H","220.01","305","468",""
"Viratelle Vincent","K1H","220.55","427","472",""
"William Boutet","K1H","221.12","-","475",""
"Julien Daumont","K1H","221.17","392","476",""
"Boulanger Stephane","K1H","221.27","-","476",""
"Ronan Lucas","K1H","221.84","391","480",""
"Pierre Baux","K1H","222.88","-","487",""
"Stephane Sagnier","K1H","224.23","393","496",""
"Collinet Matthieu","K1H","224.80","489","500",""
"Ringeisen Gautier","K1H","224.92","-","501",""
"Quiriconi Sebastien","K1H","225.77","-","507",""
"Vieillard Alexis","K1H","226.79","360","513",""
"Alliaume Antoine","K1H","227.81","483","520",""
"Drosseau Simon","K1H","228.56","497","525",""
"Micek Mickael","K1H","228.58","-","525",""
"Benard Fabien","K1H","231.56","543","544",""
"Ladouce Romain","K1H","232.66","671","552",""
"Alban Planchais","K1H","232.91","451","554",""
"Benjamin Defrocourt","K1H","235.53","617","571",""
"Yves Moreno","K1H","235.63","536","572",""
"Jacquot Jean-Eloi","K1H","236.65","-","578",""
"Champagne Stepane","K1H","237.93","-","587",""
"Tellier Emeric","K1H","238.06","-","587",""
"Decaux Louis","K1H","238.11","1008","588",""
"Di Majo Romain","K1H","238.67","721","591",""
"Piermay Vincent","K1H","240.13","-","602",""
"Antoine Decambon","K1H","243.77","547","625",""
"Oesterle Olivier","K1H","246.79","-","645",""
"Dominique Odile","K1H","247.41","1056","650",""
"Loic Monbel","K1H","247.84","543","653",""
"Pascal Sannier","K1H","248.32","-","656",""
"Michel Baptiste","K1H","249.44","623","663",""
"Harlaut Antoine","K1H","250.41","-","670",""
"Gosset Willy","K1H","252.46","-","683",""
"Tachet Xavier","K1H","252.96","957","686",""
"Duparcq Romain","K1H","253.11","699","687",""
"Fagnere Anthony","K1H","253.33","-","689",""
"Le Fer Ronan","K1H","255.25","-","702",""
"Casseleux Damien","K1H","257.50","-","717",""
"Peduzzi Thibaud","K1H","257.79","897","719",""
"Bouletier Julien","K1H","258.11","-","721",""
"Bigeon Thibault","K1H","259.04","699","727",""
"Granger Terence","K1H","259.84","824","732",""
"Boisdanghien Clement","K1H","263.20","-","755",""
"Lacaille Maxime","K1H","265.33","-","769",""
"Levasseur Nicolas","K1H","265.80","431","772",""
"Mickael Faure","K1H","266.29","-","775",""
"Barnavon Guillaume","K1H","266.34","1150","775",""
"Richard Carpentier","K1H","269.07","941","793",""
"Ospitalier Vincent","K1H","269.47","613","796",""
"Quinion Jerome","K1H","270.82","-","805",""
"Grinner Fabien","K1H","271.49","-","810",""
"Steglia Sylvain","K1H","272.36","-","815",""
"Coupin Olivier","K1H","273.48","-","822",""
"Sassatelli Nicolas","K1H","273.61","1291","823",""
"Hamel Pierre","K1H","276.91","1245","846",""
"Lepine Sylvain","K1H","278.93","-","859",""
"Yvain Julien","K1H","279.27","-","861",""
"Barnavon Nicolas","K1H","280.82","1432","871",""
"Guillaume Carpentier","K1H","289.84","-","931",""
"Renoux Franck","K1H","297.38","-","981",""
"Wable Francois","K1H","301.52","-","1009",""
"Kientz Tom","K1H","306.14","-","1039",""
"Vermersch Philippe","K1H","316.44","-","1108",""
"Guizelin Maxime","K1H","325.96","-","1170",""
"Nicolas Franck","K1H","326.14","-","1172",""
"Morel Jérome","K1H","330.02","-","1198",""
"Carisey Pierre","K1H","334.16","1578","1225",""
"Tao Thierry","K1H","391.24","-","1603",""
"Taillebrest Quentin","K1H","400.88","-","1667",""
"Gaetan Kieffert","K1H","415.18","-","1762",""
"Mellado Mickael","K1H","477.39","-","2175",""
