"SELECTIF N2 - RABODANGES - La Pierre Plate-Orne-Rabodanges - 2007-03-18","Course 1","2007-03-18","Nationale 2","154"
"Oriane Rebours","K1D","317.56","157","181",""
"Sarah Despres","K1D","318.96","157","186",""
"Andrea De Azevedo","K1D","320.97","162","193",""
"Julie Paoletti","K1D","323.24","271","201",""
"Laura Fauste","K1D","325.30","182","208",""
"Flora Bove","K1D","329.65","219","223",""
"Melina Letellier","K1D","340.39","210","261",""
"Laetitia Odermatt","K1D","346.02","287","280",""
"Harmony Thery","K1D","346.19","161","280",""
"Laura Lyphout","K1D","347.05","173","284",""
"Stephanie Le Mercier","K1D","347.76","233","285",""
"Rocher Laura","K1D","358.46","328","323",""
"Lucie Saucet","K1D","360.37","256","329",""
"Gaelle Tosser-roussey","K1D","388.65","235","428",""
"Annabelle Garnier","K1D","391.93","212","439",""
"Montaine Roumet","K1D","416.43","300","523",""
"Tifenn Van Delft","K1D","421.69","232","541",""
"Fiora Bourges","K1D","425.97","287","556",""
"Thomas Masuy","K1H","256.65","90","86",""
"Xavier Jourdain","K1H","256.73","95","86",""
"Benoit Letellier","K1H","257.07","106","87",""
"Laurent Le Touze","K1H","257.10","98","87",""
"Adrien Ferec","K1H","258.11","89","92",""
"Vincent Gourmel","K1H","259.66","114","97",""
"Goulwen Chapelier","K1H","260.05","127","99",""
"Erwan Cadio","K1H","260.21","99","100",""
"Vincent Reiter","K1H","260.75","137","102",""
"Ludovic Di Nisi","K1H","261.08","103","103",""
"Olivier Machiels","K1H","261.67","132","106",""
"Ronan Lucas","K1H","261.95","100","106",""
"Oswald Besch","K1H","262.01","93","106",""
"Pierre Marie Roussel","K1H","262.14","94","107",""
"Alexis Caspar","K1H","262.46","147","108",""
"Lionel Tinevez","K1H","263.53","132","113",""
"Julien Coudert","K1H","263.66","108","113",""
"Louis Philippe Rigal","K1H","263.83","71","114",""
"Maubourguet Mathias","K1H","264.47","163","117",""
"Sullivan Porcher","K1H","265.04","94","118",""
"Jerome Olhagaray","K1H","265.34","126","120",""
"Jean Charles Creusot Walter","K1H","266.02","137","122",""
"Melaine Pichard","K1H","267.22","140","128",""
"Benjamin Thiboust","K1H","267.38","134","128",""
"Frederic Leclerc","K1H","268.11","171","130",""
"Herve Busson","K1H","268.47","100","132",""
"Romain Guyomard","K1H","269.32","135","136",""
"Fabien Le Nechet","K1H","269.33","150","136",""
"Venceslas Viseur","K1H","269.82","74","138",""
"Mathieu Biazizzo","K1H","269.93","183","138",""
"Philippe Daumont","K1H","270.15","155","139",""
"Julien Daumont","K1H","270.74","131","141",""
"Valentin Brindeau","K1H","270.80","172","141",""
"Riwal Le Berre","K1H","270.97","-","142",""
"Anthony Thuillier","K1H","271.53","157","144",""
"Romain Bove","K1H","271.87","134","145",""
"Julien Haberland","K1H","272.01","178","146",""
"Richard Davy","K1H","272.21","163","147",""
"Julien Dosse","K1H","272.21","125","147",""
"Fabien Tournadre","K1H","272.42","132","148",""
"Lucas Kelifaoui","K1H","273.70","138","152",""
"Beaudoin Fabien","K1H","274.39","174","155",""
"Jeremy Cremonesi","K1H","274.44","137","155",""
"Nicolas Rebours","K1H","274.78","192","157",""
"Thibaud Delaunay","K1H","275.61","82","160",""
"Brieuc Cadic","K1H","275.62","153","160",""
"Benjamin Thouvignon","K1H","275.67","107","161",""
"Florian Ordonneau","K1H","276.17","165","162",""
"Romain Richard","K1H","276.52","205","163",""
"Kevin Gouabault","K1H","276.85","149","165",""
"Kendaor Le Huitou","K1H","277.38","215","167",""
"Romain Fraisse","K1H","277.86","182","169",""
"Joris Rocher","K1H","278.29","171","171",""
"Julien Riffaud","K1H","278.45","184","171",""
"Alain Droniou","K1H","278.54","202","172",""
"Kevin Burgi","K1H","278.67","156","172",""
"Le Berte Maxime","K1H","278.72","171","172",""
"Mehdi Amini","K1H","279.18","134","174",""
"Berthe Christophe","K1H","279.18","147","174",""
"Boris Pernelle","K1H","279.41","185","175",""
"Florent Tamburini","K1H","280.81","207","181",""
"Nicolas Durand","K1H","281.18","-","182",""
"Anthony Cadoret","K1H","281.91","190","184",""
"Nicolas Veillard","K1H","282.49","93","187",""
"Quentin Burgi","K1H","283.56","238","191",""
"Beghoura Yoni","K1H","285.06","223","197",""
"Paul Storez","K1H","285.21","254","197",""
"Julien Bley","K1H","286.74","186","204",""
"Childeric Thoreau","K1H","287.21","146","206",""
"Gwenael Marquer","K1H","287.38","199","206",""
"Patrick Jegou","K1H","288.36","216","210",""
"David Riffaud","K1H","288.76","109","211",""
"Franck Dessaint","K1H","289.29","211","214",""
"Ricci Miege Raphael","K1H","289.95","171","216",""
"Boris Sacre","K1H","291.78","218","223",""
"Didier Niel","K1H","292.18","203","225",""
"Emmanuel Cosse","K1H","292.94","218","228",""
"Florian Perenchio","K1H","293.95","188","232",""
"Gilles Flores","K1H","297.04","217","244",""
"Herve Launay","K1H","300.96","156","259",""
"Philippe Niquet","K1H","302.70","226","266",""
"Manuel Coquelin","K1H","304.49","200","273",""
"Ludovic Gloaguen","K1H","307.08","183","283",""
"Regis Cabel","K1H","308.90","233","290",""
"Le Garrec Julien","K1H","309.79","240","294",""
"Sarazin Emmanuel","K1H","319.93","116","333",""
"Emile Devaux","K1H","320.13","152","334",""
"Nicolas Mangeolle","K1H","329.49","227","371",""
"Loic Monbel","K1H","332.12","175","381",""
"Solen Le Bourles","K1H","342.34","186","421",""
"Pierre Baux","K1H","355.30","168","472",""
"Anthony Mottais","K1H","593.34","195","1402",""
