"Sélectif Régional de slalom Evrunes - Gazeau Evrunes - Finale - 2016-01-10","Finale","2016-01-10","Régional","103"
"Benjamin Reuche","K1H","113.44","-","293.47","Finale A"
"Florian Busson","K1H","114.51","307.49","305.31","Finale A"
"Denis Guilmard","K1H","115.8","229.43","319.59","Finale A"
"Alex Louveau","K1H","115.87","296.08","320.37","Finale A"
"Aurelien Ballandras","K1H","116.24","286.54","324.46","Finale A"
"Pierre Huan","K1H","116.28","371.15","324.91","Finale A"
"Stephane Odot","K1H","118.41","276.58","348.48","Finale A"
"Thibaud Chevalier","K1H","118.85","304.4","353.35","Finale A"
"Francois Poirier","K1H","119.98","-","365.86","Finale A"
"Loann Le Guyader","K1H","123.18","299.51","401.28","Finale A"
"Pierre-louis Vergnault","K1H","123.83","-","408.47","Finale A"
"Gregory Metayer","K1H","123.99","350.43","410.24","Finale A"
"Vincent Laclide","K1H","124.11","371.46","411.57","Finale A"
"Tom Suteau","K1H","125.44","410.53","426.29","Finale A"
"Romain Branjauneau","K1H","130.59","302.78","483.3","Finale A"
"Christophe Gergaud","K1H","130.94","391.54","487.17","Finale A"
"Louison Laumondais","K1H","132.55","403.12","504.99","Finale A"
"Samuel Vallienne","K1H","137","507.15","554.25","Finale A"
"Olivier Brochard","K1H","139.54","449.34","582.36","Finale A"
"Thibault Marchand","K1H","161.94","85.7","830.3","Finale A"
"Pierre Audouin","K1H","164.4","203.11","857.53","Finale A"
"Romain Bruneau","K1HM","134.7","-","528.79","Finale A"
"Guillaume Caron","K1HM","147.36","-","668.92","Finale A"
"Louis-felix Marchand","K1HM","154.23","-","744.96","Finale A"
"Younes Kismi","K1HM","158.18","-","788.68","Finale A"
"GaËtan De Greef","K1HM","159.33","-","801.41","Finale A"
"Max Derame","K1HM","257.24","-","1885.15","Finale A"
"Samuel Vallienne","C1H","151.54","621.23","640.32","Finale B"
"Olivier Leboeuf","C1H","162.49","491.72","755.74","Finale B"
"Lucas Godevin","C1H","179.41","-","934.11","Finale B"
"Killian Perrier","C1H","221.65","-","1379.39","Finale B"
"Luc Boisnard","C1H","229.12","630.46","1458.14","Finale B"
"Romain Branjauneau","C1H","235.81","826.19","1528.66","Finale B"
"Pauline Guenery","K1D","220.33","530.25","1201.04","Finale B"
"Orane Avry","K1D","Abd","-","-","Finale B"
"Zoe Renaud","K1D","Abd","-","-","Finale B"
"Samuel Lhegu","K1H","105.01","85.18","205.16","Finale B"
"Pierre Bourdet","K1H","120.81","289.88","380.05","Finale B"
"Erwan Desbordes","K1H","126.5","355.44","443.03","Finale B"
"Matheo Coquel","K1H","130.15","468.45","483.43","Finale B"
"Gaetan Robin","K1H","130.53","411.04","487.63","Finale B"
"Alexis Bizon","K1H","135.99","614.28","548.07","Finale B"
"Thibault Maniere","K1H","136.59","567.22","554.71","Finale B"
"Simon Diogo","K1H","138.52","-","576.07","Finale B"
"Yohann Taillandier","K1H","142.22","-","617.03","Finale B"
"Martin Colomb","K1H","142.38","-","618.8","Finale B"
"Clement Collardez","K1H","144.71","547.51","644.59","Finale B"
"Loic Augereau","K1H","160.38","671.96","818.04","Finale B"
"Vincent Rival","K1H","188.1","496.79","1124.86","Finale B"
"Lois Moreau","K1H","200.16","616.26","1258.35","Finale B"
"Yohan Dupont","K1H","201.64","589.37","1274.73","Finale B"
"Regis Navinel-dubois","K1H","203.07","549.52","1290.56","Finale B"
"Christian Le Parc","K1H","220.14","650.5","1479.5","Finale B"
"Theo Anton  Heteau","K1H","238.6","475.87","1683.83","Finale B"
"Francis Mariette","K1H","242.11","-","1722.68","Finale B"
"Killian Perrier","K1H","251.13","588.37","1822.52","Finale B"
"Arthur Millet","K1H","256.24","583.96","1879.08","Finale B"
"Jean-christophe Dubois","K1H","270.96","753.38","2042.02","Finale B"
"Gerard Lemonnier","K1H","311.98","636.51","2496.05","Finale B"
"Antoine Decroix","K1H","402.42","1287.2","3497.11","Finale B"
"Simon Murzeau","K1H","501.24","-","4590.92","Finale B"
"Tudual Telbois","K1H","501.39","1738.03","4592.58","Finale B"
"TimothÉ Leclerc","K1H","631.71","-","6035.06","Finale B"
"Corentin Val","K1H","Abd","-","-","Finale B"
"Raphael Gomez","K1H","Abd","-","-","Finale B"
"Louis Gane","K1H","Abs","-","-","Finale B"
"Hubert Heurtel","K1HM","206.2","-","1325.2","Finale B"
"Armand Fougere","K1HM","233.34","-","1625.61","Finale B"
"Tanguy Odot","K1HM","284.68","-","2193.88","Finale B"
