"Coupe de Lorraine Slalom - Epinal - 2006-10-01","Course 1","2006-10-01","Régional","214"
"Urbain Olivier- Godinat Philippe","C2H","262.37","438","411",""
"Haberland Julien- Balhuizen Florian","C2H","278.56","-","502",""
"Bazin Patryce- Noel Jeremie","C2H","283.93","-","531",""
"Haberland Mathieu- Burgi Quentin","C2H","292.17","-","0",""
"Lang Paul- Bourgeois Loic","C2H","314.00","-","701",""
"Alexandre Mathis-Pierre Melin","C2H","354.52","-","929",""
"Christine Poix-Emmanuel Del Rey","C2M","258.93","-","391",""
"Saguet Emilie- Bley Julien","C2M","315.20","-","708",""
"Marie Gaspard","K1D","209.16","22","79",""
"Carole Pocard","K1D","210.46","48","87",""
"Anneline Triomphe","K1D","210.66","50","88",""
"Lea Martin","K1D","224.60","185","164",""
"Claire Jacquet","K1D","225.28","55","168",""
"Anne Fischer","K1D","225.62","177","169",""
"Andrea De Azevedo","K1D","228.72","185","187",""
"Laura Fauste","K1D","231.33","181","201",""
"Sarah Michel","K1D","242.18","225","260",""
"Gaelle Tosser-roussey","K1D","242.73","-","264",""
"Emilie Saguet","K1D","244.00","285","270",""
"Anne Traband","K1D","247.07","292","288",""
"Andrea Gratwohl","K1D","248.50","-","295",""
"Sylvaine Louis","K1D","249.35","321","300",""
"Florianne Gautier","K1D","252.18","384","315",""
"Anais Dieterling","K1D","254.19","283","326",""
"Marion Fischer","K1D","259.81","619","357",""
"Lisa Elasri","K1D","261.71","-","368",""
"Rosalie Kempf","K1D","264.38","328","382",""
"Elodie Delavelle","K1D","264.69","389","384",""
"Sophie Balmossiere","K1D","265.91","435","391",""
"Cecile Meichel","K1D","266.89","-","396",""
"Maud Thisse","K1D","269.00","404","407",""
"Sabrina Boespflug","K1D","269.75","-","412",""
"Sophie Louis","K1D","270.47","355","415",""
"Cassandre Sucker","K1D","271.09","394","419",""
"Jeanne L'orphelin","K1D","272.00","625","424",""
"Blanche Legin","K1D","273.13","496","430",""
"Stephanie Ansot","K1D","274.90","340","440",""
"Christelle Gilg","K1D","279.60","469","465",""
"Burgart Valerie","K1D","279.82","-","466",""
"Wey Marie Linh","K1D","280.17","325","469",""
"Giroux Marilyn","K1D","281.52","-","476",""
"Alice Schmitt","K1D","284.42","-","492",""
"Julie Mourot","K1D","287.62","392","509",""
"Djamila Mihoubi","K1D","288.32","-","514",""
"Tralbaut Flor","K1D","291.19","374","529",""
"Kieffer Maite","K1D","300.34","410","579",""
"Marlene Dumoulin","K1D","305.62","481","608",""
"Lea Bechereau","K1D","334.48","-","766",""
"Carole Dolmaire","K1D","342.20","581","809",""
"Lauranne Bechereau","K1D","350.10","1295","851",""
"Sarah Rothenbuhler","K1D","364.58","544","931",""
"Amalia Mazzilli","K1D","371.59","-","970",""
"Justine Viry","K1D","379.04","-","1010",""
"Wojcik Marina","K1D","401.17","628","1132",""
"Metje Aude","K1D","410.13","-","1180",""
"Bergdoll Clemence","K1D","424.70","692","1260",""
"Moussu Gabrielle","K1D","446.03","-","1378",""
"Balmossiere Pauline","K1D","514.75","-","1754",""
"Di Guisto Solene","K1D","814.13","-","3395",""
"Frederic Walczak","K1H","179.98","18","48",""
"Julien Arribe","K1H","185.45","50","82",""
"Yann Gudefin","K1H","186.75","90","89",""
"Johan De Mareuil","K1H","188.30","46","99",""
"Emmanuel Walczak","K1H","188.74","148","102",""
"Andy Pajani","K1H","189.79","112","109",""
"Lambert Guillaume","K1H","191.66","46","120",""
"Nicolas Labat","K1H","193.43","49","131",""
"Renaud Doby","K1H","194.58","19","139",""
"Douillet Guilhem","K1H","195.29","152","143",""
"Julien Haberland","K1H","196.46","201","150",""
"Childeric Thoreau","K1H","199.83","144","170",""
"Jerome Olhagaray","K1H","200.30","132","174",""
"Mathieu Biazizzo","K1H","201.11","194","179",""
"Alexis Caspar","K1H","201.40","188","180",""
"Ricci Miege Raphael","K1H","202.49","168","187",""
"Mehdi Amini","K1H","203.70","144","195",""
"Arthur Georges","K1H","204.53","170","200",""
"Dupont Eric","K1H","205.44","220","205",""
"Nicolas Ciemniewski","K1H","205.65","176","207",""
"Romain Viry","K1H","206.12","250","210",""
"Jean Charles Creusot Walter","K1H","206.22","122","210",""
"Julien Bley","K1H","206.30","185","211",""
"Remi Thomas","K1H","207.29","235","216",""
"Ragot Laurent","K1H","208.90","-","227",""
"Sylvain Herrbach","K1H","209.09","173","228",""
"Jeremy Poux","K1H","209.48","196","231",""
"Nicolas Mangeolle","K1H","210.32","244","236",""
"Bajolet Julien","K1H","210.77","231","238",""
"Bertrand Gutierrez","K1H","210.97","232","239",""
"Thomas Michel","K1H","211.34","271","242",""
"Christophe Billaud","K1H","211.99","235","246",""
"Stefan Stanik","K1H","212.21","248","247",""
"Guillaume Carpentier","K1H","212.46","281","249",""
"Von Schulthess Craig","K1H","213.05","267","253",""
"Olivier Bourgey","K1H","213.12","256","253",""
"Sebastien Thevenin","K1H","213.29","255","254",""
"Nicolas Burgi","K1H","213.68","308","257",""
"Michel Ragot","K1H","214.21","-","260",""
"Damien Burteaux","K1H","216.57","281","275",""
"Mathieu Haberland","K1H","216.64","227","275",""
"Billel Khenchouche","K1H","216.76","237","276",""
"Paul Aubert","K1H","217.08","-","278",""
"Quentin Burgi","K1H","217.82","-","282",""
"Olivier Urbain","K1H","217.85","242","282",""
"Martin Dougoud","K1H","218.08","314","283",""
"Beghoura Yoni","K1H","218.16","252","284",""
"Maxime Faivre","K1H","219.07","218","290",""
"Jeremy Lehning","K1H","219.88","-","295",""
"Fabien Fritsch","K1H","221.22","337","303",""
"Clement Martin","K1H","221.33","307","304",""
"Mael Othenin Girard","K1H","221.99","-","307",""
"Patrick Gass","K1H","222.82","290","313",""
"Emmanuel Triomphe","K1H","224.25","336","322",""
"Thibaut Chariot","K1H","224.86","328","326",""
"Sidney Malgras","K1H","226.43","420","336",""
"Stephane Rousse","K1H","227.05","321","339",""
"Eddy Cassard","K1H","227.16","317","340",""
"Pierre Rat","K1H","228.02","-","345",""
"Yann Tosser  Roussey","K1H","229.26","409","352",""
"Patrick Thevenin","K1H","229.69","428","356",""
"Florient Tagnon","K1H","230.57","365","361",""
"Xavier Rat","K1H","231.80","299","369",""
"Philippe Godinat","K1H","232.19","376","371",""
"Olivier Mittler","K1H","234.30","340","384",""
"Vincent Bajolot","K1H","235.17","275","390",""
"Lang Valentin","K1H","236.10","-","395",""
"Florian Balhuizen","K1H","237.16","439","402",""
"Nikolas Stanik","K1H","239.41","373","416",""
"Arthur Veber","K1H","241.35","393","428",""
"Yanis Burdet","K1H","241.81","395","430",""
"Romain Chane","K1H","241.85","470","431",""
"Leo Capelle","K1H","242.20","-","434",""
"Aurelien Desgrez","K1H","242.73","423","437",""
"Roman Duprey","K1H","244.26","454","446",""
"Gautier Boudat","K1H","247.02","475","463",""
"Pierre Cassin","K1H","247.34","-","465",""
"Bontemps Romain","K1H","251.23","-","490",""
"Clement Mangeolle","K1H","255.67","501","517",""
"Jules Argentini","K1H","258.98","505","537",""
"Louison Tanet","K1H","260.45","294","547",""
"Florent Tamburini","K1H","261.27","218","551",""
"Anthony Beaudoing","K1H","262.47","-","559",""
"Leo Thomas","K1H","269.18","-","600",""
"Risser Arthur","K1H","270.02","-","606",""
"Cheval Kevin","K1H","272.11","638","618",""
"Burner Gaetan","K1H","273.63","-","628",""
"Andre Kempf","K1H","281.79","611","678",""
"Brouillot Mathieu","K1H","284.15","-","692",""
"Youcef Bahlat","K1H","285.31","345","700",""
"Grandin Berenger","K1H","290.99","-","735",""
"Thiery Mathieu","K1H","293.73","-","753",""
"Maxime Lambert","K1H","296.77","-","771",""
"Jerome Laflotte","K1H","303.89","386","815",""
"David Pierson","K1H","308.42","905","843",""
"Oueslati Pierre-Yves","K1H","309.39","-","849",""
"Won Schultess Marc","K1H","316.01","-","890",""
"Jonathan Matern","K1H","327.30","782","960",""
"Nathan Barbier","K1H","327.88","235","963",""
"Benjamin Maubert","K1H","343.18","625","1059",""
"Michel Ternynck","K1H","362.40","1551","1177",""
"Yann Maignant","K1H","375.64","-","1259",""
"Genin Guillaume","K1H","425.08","-","1565",""
"Hatton Julien","K1H","721.83","-","3403",""
