"Sélectif régional - La Varenne - 2003-12-07","Course 1","2003-12-07","Régional","135"
"Kevin Gouabault","K1H","221.13","292","312",""
"Bertrand Avril","K1H","221.17","313","312",""
"Remy Faucon","K1H","222.56","267","321",""
"Loic Froissard","K1H","222.94","247","323",""
"Charlot Thibaut","K1H","223.25","206","326",""
"Bonniol Quentin","K1H","223.40","-","327",""
"Richard Davy","K1H","223.95","302","330",""
"Chaise Thomas","K1H","224.15","277","331",""
"Jeansebastien Simonklein","K1H","225.06","324","337",""
"Remy Guerinet","K1H","226.88","-","348",""
"Landa Thomas","K1H","229.31","320","364",""
"Pierre Emanuel Marchand","K1H","230.75","348","373",""
"Yves Moreno","K1H","231.32","318","376",""
"Julien Richard","K1H","231.33","-","376",""
"Philippe Rocher","K1H","232.28","344","383",""
"Maignan Adrien","K1H","233.45","389","389",""
"Fournier Valentin","K1H","233.51","377","390",""
"Didier Niel","K1H","234.39","408","396",""
"Dubu Alain","K1H","234.46","370","396",""
"Vanneste Matthieu","K1H","234.57","424","397",""
"Cressol Alexandre","K1H","235.25","583","402",""
"Renoux Franck","K1H","235.87","448","405",""
"Simon Joudou","K1H","237.41","473","415",""
"Houdard Josselin","K1H","239.92","542","431",""
"Jean-luc Mottais","K1H","240.15","396","432",""
"Barroche Christopher","K1H","242.01","-","444",""
"Chesneau Brian","K1H","242.78","510","449",""
"Simon Bercon","K1H","243.39","449","453",""
"Vincent Richard","K1H","243.57","417","454",""
"Leyoudec Florent","K1H","245.09","831","463",""
"Rideray Vincent","K1H","246.92","617","476",""
"Robillard Sebastien","K1H","247.34","-","478",""
"Olivier Cornu","K1H","247.40","489","478",""
"Arthur Feraud","K1H","247.45","662","479",""
"Benard Fabien","K1H","247.87","465","481",""
"Benjamin Thiboust","K1H","249.14","-","489",""
"Eon Tom","K1H","249.32","-","490",""
"Demars Thomas","K1H","250.45","494","498",""
"Planchais Martial","K1H","250.73","-","499",""
"Manuel Moquet","K1H","251.20","1052","502",""
"Aubert Fabien","K1H","252.03","420","508",""
"Houssemaine Julien","K1H","252.15","680","508",""
"Quillet Maxime","K1H","252.60","702","511",""
"Edouard Anne","K1H","253.55","695","517",""
"Chemineau Frederic","K1H","254.01","459","520",""
"Anthony Thuillier","K1H","254.89","554","526",""
"Benjamin Dolbecq","K1H","256.66","716","537",""
"Ludovic Garnier","K1H","258.29","535","547",""
"Guillaume Scire","K1H","259.33","650","554",""
"Launay Emmanuel","K1H","261.77","-","570",""
"Despre Philippe","K1H","264.71","648","587",""
"Matthieu Lesenechal","K1H","265.43","771","592",""
"Dupe Maxime","K1H","266.40","-","599",""
"Roussin Michel","K1H","266.71","770","601",""
"Quentin Charles","K1H","267.27","-","604",""
"Simon Bonnet","K1H","267.35","-","604",""
"Marguerite Francois","K1H","270.42","858","624",""
"Joris Rocher","K1H","271.72","-","632",""
"Denis Dimitri","K1H","271.80","-","633",""
"Morin Thomas","K1H","272.31","987","636",""
"Alexandre Mathias","K1H","272.90","-","640",""
"Ygouf Alexis","K1H","273.04","-","641",""
"Cornu Jeremy","K1H","274.74","-","651",""
"Moriceau Christian","K1H","276.55","-","662",""
"Dugast Jeanfrancois","K1H","278.34","570","675",""
"Jeanne Vincent","K1H","279.35","722","680",""
"Bourgain Olivier","K1H","281.35","-","694",""
"Hautreux Fabien","K1H","283.40","-","706",""
"Anthony Mottais","K1H","283.65","1260","708",""
"Lebar Johnny","K1H","292.15","573","762",""
"Langlin Romain","K1H","298.75","-","804",""
"Eon Jean-Francois","K1H","301.41","-","820",""
"Leroy Julien","K1H","313.65","-","898",""
"Gana Mathias","K1H","314.97","1268","907",""
"Billois Francois","K1H","333.91","-","1026",""
"Leray Simon","K1H","356.57","-","1170",""
"Gerault Freddy","K1H","471.26","-","1897",""
