"Championnat de France des Clubs - Epinal - Course individuelle | Qualification - 2014-10-04","Course individuelle | Qualification","2014-10-04","Championnats de France","227"
"Bertrand Bercon","C1H","132.17","-","-",""
"Jacques Nardeau","C1H","136.44","-","-",""
"Maxence Grandadam","C1H","137.9","-","-",""
"Alain Ferry","C1H","264.19","-","-",""
"Gauthier Klauss-Matthieu Peche","C2H","104.97","-","-",""
"Quentin Burgi-Pierre Marie Roussel","C2H","110.75","-","-",""
"Mathieu Biazizzo-Antoine Runet","C2H","116.75","-","-",""
"Yoan Del Rey-Arthur Grandemange","C2H","117.82","-","-",""
"Emilien Kempf-Silvere Desongins","C2H","118.03","-","-",""
"Thomas Koechlin-Louison Tanet","C2H","118.25","-","-",""
"Janos Peterlin-Christophe Marechal","C2H","118.44","-","-",""
"Nicolas Scianimanico-Jean Freri","C2H","119.52","-","-",""
"Frederic Momot-Jean Philippe Winiarski","C2H","120.05","-","-",""
"Edgar Prigent-Guillaume Graille","C2H","120.84","-","-",""
"Antoine Gaillard-Sebastien Nouvel","C2H","121.04","-","-",""
"Xavier Sucker-Frederic Walczak","C2H","122.96","-","-",""
"Christophe Augu-Nathan Rene Corail","C2H","123.03","-","-",""
"Axel Kournwsky-Adrien Maire","C2H","123.98","-","-",""
"Paul Brier-Henri Despont","C2H","125.27","-","-",""
"Alexis Collin-Alexandre Mathis","C2H","125.66","-","-",""
"Jeancharles Reby-Gregory Ganthier","C2H","127.49","-","-",""
"Bertrand Bercon-Antonin Elne","C2H","128.08","-","-",""
"Benoit Le Mazurier-Mathurin Madore","C2H","129.24","-","-",""
"Claude Menissier-Gerard Menissier","C2H","129.26","-","-",""
"Alexandre Di Nisi-Ludovic Di Nisi","C2H","129.52","-","-",""
"Dimitri Marino-Theo Desvignes","C2H","130.01","-","-",""
"Aubry Bertin-Thomas Schmitt","C2H","131.15","-","-",""
"Erwan Marchais-Quentin Mignard","C2H","131.37","-","-",""
"Dimitri Etienne-Tristan Bronsard","C2H","132.43","-","-",""
"Vincent Morabito-Yohan Wantz","C2H","135.14","-","-",""
"Florian Perenchio-Tristan Lejot","C2H","136.11","-","-",""
"Vincent Ablin-Etienne Nardeau","C2H","136.32","-","-",""
"Anthony Drouhin-Nicolas Bernardy","C2H","136.91","-","-",""
"Antoine Launay-Cyril Launay","C2H","137.12","-","-",""
"Awen Le Paih-Malo Le Paih","C2H","137.99","-","-",""
"Pierre Audouin-Alexis Pernelle","C2H","138.09","-","-",""
"Charlie Barbier-Maxence Grandadam","C2H","138.42","-","-",""
"Johann Loiseau-Hugo Robin","C2H","142.85","-","-",""
"Yann Le Bourser-Keliann Le Breton","C2H","146.89","-","-",""
"Louis Savart-Lucas Ferraina","C2H","151.39","-","-",""
"Alice Bomboy-Fanny Mino-vercellio","C2H","185.14","-","-",""
"Vincent Herrenberger-Florian Herrenberger","C2H","184.84","-","-",""
"Louis Burignat-Leonie Gachon","C2H","234.74","-","-",""
"Matthieu Peche-Angelique Guilcher","C2M","118.26","-","-",""
"Charlotte Abba-Gauthier Klauss","C2M","118.93","-","-",""
"Tiphaine Drouin-Kilian Foulon","C2M","122.77","-","-",""
"Christophe Marechal-Laurine Naveau","C2M","122.83","-","-",""
"Christophe Augu-Claire Landrin","C2M","125.02","-","-",""
"Caroline Loir-Loic Brunel","C2M","125.57","-","-",""
"Marc Biazizzo-Anne-lise Moisan-ehrwein","C2M","126.41","-","-",""
"Carole Bouzidi-Mathieu Desnos","C2M","133.19","-","-",""
"Sarah Michel-Thibaut Chariot","C2M","134.41","-","-",""
"Athenais Reby-Alexandre Mathis","C2M","135.4","-","-",""
"Damien Launay-Justine Lorin","C2M","135.81","-","-",""
"Pauline Guiet-Tom Scianimanico","C2M","135.88","-","-",""
"Boris Chenal-Hind Jamili","C2M","136.4","-","-",""
"Sarah Despres-Medhi Deguil","C2M","139.35","-","-",""
"Jimy Bercon-Claudia Journaux","C2M","139.49","-","-",""
"Axelle Armanini-Valentin Serrurier","C2M","141.97","-","-",""
"Benoit Chantry-Camille Nardeau","C2M","142.73","-","-",""
"Laura Ligeon-Lea Wetzel","C2M","146.14","-","-",""
"Adele Renard-Samuel Lhegu","C2M","147.21","-","-",""
"Alexis Caspar-Sylvaine Louis","C2M","147.55","-","-",""
"Antonin Dreit-Jade Robin","C2M","150.59","-","-",""
"Zelie Wendling-Vincent Morabito","C2M","151.4","-","-",""
"Coline Bertin-Sebastien Nouvel","C2M","152.35","-","-",""
"Laurene Cougnet-Matthieu Walfard","C2M","152.98","-","-",""
"Yann Le Bourser-Zoe Huet","C2M","153.93","-","-",""
"Tristan Lejot-Lucie Cecile","C2M","154.18","-","-",""
"Marie-francoise Prigent-Johann Loiseau","C2M","154.19","-","-",""
"Laurine Grandadam-Anthony Ulrich","C2M","154.42","-","-",""
"Marjorie Boulogne-Enrick Cunsolo","C2M","154.99","-","-",""
"Julien Tous-Sarah Monod","C2M","156.93","-","-",""
"Pierre Giudicelli-Amelie Perier","C2M","157.62","-","-",""
"Awen Le Paih-Enora Bronsard","C2M","163.67","-","-",""
"Alain Ferry-Mylene Ferry","C2M","163.82","-","-",""
"Aurelie Le Fee-Dimitri Etienne","C2M","169.33","-","-",""
"Alexandre Diemert-Kaulyne Catteau","C2M","181.19","-","-",""
"Jacques Nardeau-Sandrine Arnal","C2M","199.23","-","-",""
"Hugo Le Goff-Fanny Valeau","C2M","199.94","-","-",""
"Caroline Scherer-Anthony Giurlando","C2M","Abd","-","-",""
"Pauline Guiet","K1D","107.67","-","-",""
"Camille Prigent","K1D","107.7","-","-",""
"Carole Bouzidi","K1D","109.54","-","-",""
"Elise Pierron","K1D","111.43","-","-",""
"Julia Cuchi Vila","K1D","111.6","-","-",""
"Josepha Longa","K1D","112.66","-","-",""
"Lea Wetzel","K1D","113.67","-","-",""
"Fanchon Janssen","K1D","113.85","-","-",""
"Claire Jacquet","K1D","114.56","-","-",""
"Angelique Guilcher","K1D","114.61","-","-",""
"Joey Bercon","K1D","114.71","-","-",""
"Sarah Despres","K1D","115.07","-","-",""
"Florianne Gautier","K1D","118.84","-","-",""
"Axelle Armanini","K1D","119.83","-","-",""
"Emilie Chamouleau","K1D","120.1","-","-",""
"Marie Gaspard","K1D","120.76","-","-",""
"Alice Bomboy","K1D","120.77","-","-",""
"Alicia Gallot","K1D","121.05","-","-",""
"Anne Traband","K1D","121.32","-","-",""
"Fanny Mino-vercellio","K1D","121.39","-","-",""
"Suzon Broute","K1D","123.13","-","-",""
"Manon Durand","K1D","123.62","-","-",""
"Zoe Huet","K1D","124.93","-","-",""
"Tiphaine Drouin","K1D","125.37","-","-",""
"Eva Dauvergne","K1D","125.75","-","-",""
"Lucie Cecile","K1D","127.76","-","-",""
"Amelie Perier","K1D","128.01","-","-",""
"Sarah Michel","K1D","128.13","-","-",""
"Ilhame Siraj","K1D","128.87","-","-",""
"Elodie Le Nechet","K1D","130.08","-","-",""
"Leonie Gachon","K1D","134","-","-",""
"Adele Renard","K1D","138.31","-","-",""
"Margaux Bandel","K1D","138.64","-","-",""
"Zelie Wendling","K1D","143.29","-","-",""
"Laurene Cougnet","K1D","146.78","-","-",""
"Aurelie Le Fee","K1D","155.29","-","-",""
"Deborah Bouchenot","K1D","159.15","-","-",""
"Natacha Giraud","K1D","204.56","-","-",""
"Fanny Valeau","K1D","Des","-","-",""
"Janos Peterlin","K1H","90.91","-","-",""
"Thomas Bersinger","K1H","91.13","-","-",""
"Mathieu Biazizzo","K1H","91.92","-","-",""
"Mathieu Desnos","K1H","93.79","-","-",""
"Ludovic Di Nisi","K1H","93.89","-","-",""
"Martin Daviet","K1H","94.12","-","-",""
"Paul Brier","K1H","94.46","-","-",""
"Benjamin Buys","K1H","94.63","-","-",""
"Frederic Walczak","K1H","95.15","-","-",""
"Quentin Burgi","K1H","96.48","-","-",""
"Boris Chenal","K1H","96.74","-","-",""
"Emmanuel Walczak","K1H","96.76","-","-",""
"Clement Travert","K1H","97.98","-","-",""
"Mathieu Doby","K1H","98.78","-","-",""
"Jimy Bercon","K1H","99.2","-","-",""
"Pierre Marie Roussel","K1H","99.59","-","-",""
"Damien Launay","K1H","99.73","-","-",""
"Bertrand Gutierrez","K1H","99.96","-","-",""
"Yves Prigent","K1H","100.02","-","-",""
"Enrick Cunsolo","K1H","100.14","-","-",""
"Yann Le Govic","K1H","100.28","-","-",""
"Thomas Schmitt","K1H","100.76","-","-",""
"Tom Scianimanico","K1H","100.99","-","-",""
"Vincent Ablin","K1H","101.15","-","-",""
"Benoit Chantry","K1H","101.17","-","-",""
"Samuel Lhegu","K1H","101.68","-","-",""
"Jerome Olhagaray","K1H","101.93","-","-",""
"Tristan Bronsard","K1H","102.9","-","-",""
"Florient Tagnon","K1H","103.1","-","-",""
"Damien Ganthier","K1H","103.47","-","-",""
"Alexis Pernelle","K1H","105.09","-","-",""
"Lucas Ferraina","K1H","105.18","-","-",""
"Silvere Desongins","K1H","105.44","-","-",""
"Nicolas Coudert","K1H","107.57","-","-",""
"Aubry Bertin","K1H","110.06","-","-",""
"Julien Tous","K1H","113.24","-","-",""
"Louis Burignat","K1H","121.18","-","-",""
"Mathurin Madore","K1H","148.12","-","-",""
"Antoine Launay","K1H","Dsq","-","-",""
