"Sélectif Régional & Chpt Départemental Slalom 35(Ille et Vilaine) - Bassin De La Harelle (si Bon Niveau D'eau); Replis Sur Bassin Devant Club à Montfort sur meu Si Niveau D'eau Bas  - Qualification - 2016-01-17","Qualification","2016-01-17","Régional","130"
"Louis Beaumois","K1H","124.64","-","595.78",""
"Mael Crespel","K1H","125.01","-","600.36",""
"Antoine Barbier","K1H","127.77","-","634.57",""
"Ewen Ferey","K1H","133.75","822","708.68",""
"Fabiano Roma","K1H","133.95","866.24","711.15",""
"Cyriac Rolland","K1H","134.53","-","718.34",""
"Celestin Ballevre","K1H","137.53","-","755.52",""
"Matthieu Aguelon","K1H","138.65","-","769.4",""
"Max Lekeux","K1H","142.72","-","819.84",""
"Baptiste Rolland","K1H","143","-","823.31",""
"Valentin Soullard","K1H","170.97","463.31","1169.94",""
"Thomas Salch","K1H","177.03","506.86","1245.04",""
"Christian Le Parc","K1H","Abs","-","-",""
"Roman Busnel","K1H","Abs","-","-",""
"Titouan Floc'h","K1H","Abs","-","-",""
"Timothee Le Mort","K1H","Abs","-","-",""
"Martin Dubois","K1HM","115.04","-","476.81",""
"Clement Dubois","K1HM","115.13","-","477.92",""
"Alexandre Bourliaud","K1HM","122.22","-","565.79",""
"Glen Le Meur","K1HM","122.54","-","569.75",""
"Rafael Lerusse","K1HM","124.43","-","593.18",""
"Julien Mizzi","K1HM","127.53","-","631.59",""
"Adrien Pierre","K1HM","127.65","-","633.08",""
"Mewen Debliquy","K1HM","129.32","-","653.78",""
"Elouan Pennors","K1HM","135.31","-","728.01",""
"Antoine Aubert","K1HM","135.82","-","734.33",""
"Corentin Beaumois","K1HM","136.98","-","748.71",""
"Tom Lallican","K1HM","140","-","786.13",""
"Ewen L'hereec","K1HM","146.16","-","862.47",""
"Nathan Bruneau","K1HM","153.5","-","953.43",""
"Matheo Morin","K1HM","156.77","-","993.96",""
"Logan Toubel","K1HM","170.47","-","1163.74",""
"Alexandre Lejeune","K1HM","185.64","-","1351.74",""
"Eliott Reine","K1HM","Abs","-","-",""
"Romain Oger","K1HM","Abs","-","-",""
"Anatole Fernier","K1HM","Abs","-","-",""
