"Sélectif Régional - Picquigny - 2013-04-21","Course 3","2013-04-21","Régional","125"
"Benjamin Alexandre","K1H","137.5","-","681.05",""
"Yann Castryck- -genereux","K1H","140.34","527.05","716.13",""
"Kilian Henique","K1H","146.26","-","789.24",""
"Isidore Dubuisson","K1H","148.45","964.68","816.28",""
"Vincent Demarquet","K1H","148.61","513.57","818.26",""
"Raphael Berwick","K1H","175.71","-","1152.92",""
"Andreas Pintaux","K1H","206.41","832.23","1532.04",""
"Alexis Loiseau","K1H","219.62","-","1695.17",""
"Mickael Ouin","K1H","230.07","865.56","1824.22",""
"Paul Beteille","K1H","234.17","591.85","1874.86",""
"Gaetan Laperle","K1H","239.79","-","1944.26",""
"Axel Godard","K1H","247.41","-","2038.36",""
"Teddy Lagrue","K1H","281.64","-","2461.07",""
"Pierre Carton","K1H","294.12","-","2615.19",""
"Quentin Lenice","K1H","413.05","-","4083.88",""
"Elliot Gest","K1H","Nt","-","-",""
"Guillaume Caerels","K1H","Nt","-","-",""
"Francis Boitel","K1H","Nt","-","-",""
"Remi Blaud","K1H","Nt","-","-",""
"Francois Durand","K1H","Nt","-","-",""
"Matthieu Walfard","K1H","Nt","-","-",""
