"1ère Manche de la Coupe de France Nationale 1 Slalom - Cesson-Sévigné - Qualification - 2017-02-25","Qualification","2017-02-25","Nationale 1","152"
"Benoit Guillaume","K1H","87.72","40.26","28.44",""
"Etienne Daille","K1H","89.36","38.31","44.61",""
"Mathurin Madore","K1H","89.93","83.22","50.23",""
"Mathys Huvelin","K1H","90.79","93.1","58.71",""
"Mathieu Desnos","K1H","91.34","46.94","64.14",""
"Pierre Bourliaud","K1H","91.65","30.67","67.19",""
"Yves Prigent","K1H","92.59","55.78","76.47",""
"Pol Oulhen","K1H","92.62","44.89","76.76",""
"Lukas Werro","K1H","93.09","96.36","81.4",""
"Sebastien Combot","K1H","93.99","14.87","90.27",""
"Thomas Bersinger","K1H","95.12","35.72","101.42",""
"Goulwen Chapelier","K1H","95.81","80.22","108.22",""
"Tom Scianimanico","K1H","96.02","75.15","110.29",""
"Benjamin Jacon","K1H","96.07","92.15","110.79",""
"Guillaume Graille","K1H","96.32","80.97","113.25",""
"Janos Peterlin","K1H","96.49","67.1","114.93",""
"Alan Dollo","K1H","96.77","105.55","117.69",""
"Mathis Soudi","K1H","96.81","128.67","118.08",""
"Edgar Prigent","K1H","97.12","81.07","121.14",""
"Ludovic Di Nisi","K1H","97.19","61.46","121.83",""
"Kendaor Le Huitou","K1H","97.45","98.74","124.39",""
"Malo Quemeneur","K1H","97.46","54.49","124.49",""
"Thomas Rosset","K1H","97.65","52.78","126.37",""
"Nicolas Abbal","K1H","98.28","60.39","132.58",""
"Thomas Schmitt","K1H","98.32","77.78","132.97",""
"Lucas Latimier","K1H","99.13","139.36","140.96",""
"Enrick Cunsolo","K1H","99.95","78.06","149.05",""
"Loic Bertoia","K1H","100.33","109.5","152.8",""
"Maxime Bottex","K1H","100.58","112.51","155.26",""
"Manuel Munsch","K1H","100.83","110.83","157.73",""
"Paul Cornut-chauvinc","K1H","100.83","103.29","157.73",""
"William Desnos","K1H","101.33","92.89","162.66",""
"Yann Le Govic","K1H","101.64","91.51","165.72",""
"Pierre Giudicelli","K1H","101.71","110.68","166.41",""
"Clement Travert","K1H","102.11","50.61","170.35",""
"Vivien Colober","K1H","102.14","37.46","170.65",""
"Quentin Bove","K1H","102.34","101.5","172.62",""
"Vincent Delahaye","K1H","102.8","160.23","177.16",""
"Titouan Dupras","K1H","103.31","113.84","182.19",""
"Nicolas Bernardy","K1H","103.71","158.94","186.13",""
"Fabien Le Nechet","K1H","103.86","125.46","187.61",""
"Hugo Crepeau","K1H","103.97","161.91","188.7",""
"Sami Rocher","K1H","104.4","94.43","192.94",""
"Isaac Dufrene","K1H","104.43","179.33","193.23",""
"Renaud Doby","K1H","104.79","95.3","196.78",""
"Robin Pottelette","K1H","105.75","164.19","206.25",""
"Arnaud Lapeze","K1H","105.85","130.41","207.24",""
"Maxime Tilhet","K1H","105.9","121.22","207.73",""
"Jonas Turmeau","K1H","114.71","102.09","294.61",""
"Gurgen Brun","K1H","149.53","80.1","638.01",""
"Thibault Marchand","K1H","158.42","85.34","725.69",""
"Louison Turmeau","K1H","160.02","95.64","741.46",""
"Julien Pajaud","K1H","160.29","146.56","744.13",""
"Nicolas Baudoin","K1H","210.95","113.24","1243.74",""
"Martin Dougoud","K1H","Abs","-","-",""
