"Slalom Régional - Bassin de Rimaison - 2011-04-03","Course 1","2011-04-03","Régional","149"
"Aubry Bertin","K1H","111.96","288.19","325.63",""
"Alexis Pernelle","K1H","112.12","278.82","327.46",""
"Xavier Le Gallic","K1H","113.75","313.43","346.12",""
"Nathan Chaumier","K1H","114.28","369.38","352.19",""
"Mathieu L 'hostis","K1H","114.57","402.09","355.51",""
"Malo Le Paih","K1H","114.59","432.34","355.74",""
"Nicolas Le Belleguic","K1H","115.1","344.94","361.58",""
"Hugo Guilleray","K1H","115.6","328.52","367.3",""
"Paul-antoine Henry","K1H","115.88","358.77","370.51",""
"Jean Coadalan","K1H","116.13","407.5","373.37",""
"Christophe Mitchell","K1H","116.38","327.23","376.23",""
"Lorin Dumont","K1H","116.4","302.14","376.46",""
"Melaine Colin","K1H","116.79","372.48","380.93",""
"Maxime Lignereux","K1H","116.96","356.45","382.87",""
"Logan Nannette","K1H","117.04","-","383.79",""
"Valentin Le Moignic","K1H","118.28","400.95","397.99",""
"Camille Le Merrer","K1H","119.73","-","414.59",""
"Leo Le Druillennec","K1H","120.17","438.59","419.63",""
"Melenn Aubry","K1H","120.9","327.97","427.98",""
"Ugo Rimbert","K1H","124.51","403.66","469.31",""
"Jules Grolleau","K1H","124.77","549.47","472.29",""
"Fabien Le Bourser","K1H","125.17","-","476.87",""
"Arthur Chaumet","K1H","125.86","425.62","484.77",""
"William Simon","K1H","126.04","610.77","486.83",""
"Louis Guillot","K1H","126.08","-","487.29",""
"Guillaume Cazee","K1H","127.49","-","503.43",""
"Gwendal Pariscoat","K1H","130.48","325.41","537.67",""
"Nicolas Foulon","K1H","130.98","442.65","543.39",""
"Kevin Lelievre - Le Ruyet","K1H","132.59","539.81","561.82",""
"Pierre Texier","K1H","138.31","696.75","627.31",""
"Jordan Daniel","K1H","143.74","655.21","689.48",""
"Jerome Saliou","K1H","150","562.82","761.16",""
"Romain Bideau","K1H","170.9","644.7","1000.44",""
"Pierre Le Buzit","K1H","174.32","1229.22","1039.6",""
"Morgan Le Tallec","K1H","177.18","521.7","1072.35",""
"Jordan Tinevez","K1H","193.49","661.26","1259.08",""
"Simon Guetta","K1H","217.46","702.3","1533.52",""
"Aurelien Peron","K1H","250.96","-","1917.07",""
"Gurvan Meignen","K1H","256.86","-","1984.62",""
"Kevin Hellegouarch","K1H","267.28","-","2103.92",""
"Thibaut Abalea","K1H","283.35","-","2287.91",""
"Thomas Le Berre","K1H","Nt","-","-",""
"Loic Kervella","K1H","Nt","-","-",""
"Valentin Brindeau","K1H","Nt","-","-",""
