"Sélectif Régional - Champs sur Marne - 2009-09-27","Course 2","2009-09-27","Régional","315"
"Julien Cukierman","C1H","108.62","388","463",""
"Adrien Goetink","C1H","109.08","-","470",""
"Samuel Bonvalet","C1H","109.60","511","477",""
"Valentin Casse","C1H","110.15","-","485",""
"Romain Postaire","C1H","110.47","-","489",""
"Germain Carre","C1H","111.05","470","498",""
"Christophe Gosselin","C1H","112.01","-","512",""
"Stephane Hascoet","C1H","112.59","-","519",""
"Thomas Vuillermot","C1H","120.27","-","629",""
"Thibault Dhennin","C1H","121.12","514","642",""
"Vianney Tillier","C1H","124.34","-","687",""
"Frederic Henry","C1H","124.81","896","694",""
"Thomas Postaire","C1H","134.11","-","827",""
"Steve Bruniquel","C1H","140.72","-","922",""
"Pierre Lecorre","C1H","141.60","-","935",""
"Romain Lemaire","C1H","Nt","-","-",""
"Jean Marc Lejot","C1H","Nt","-","-",""
"Antoine Decambon","C1H","Nt","-","-",""
"Marion Gallois-Fiora Bourges","C2D","133.03","-","508",""
"Mathieu Fougere-Thomas Fougere","C2H","84.54","20","64",""
"Ronan Lucas-Oswald Besch","C2H","96.63","-","229",""
"Charly Chassigneux-Fabien Tournadre","C2H","97.37","-","239",""
"Claude Menissier-Gerard Menissier","C2H","97.56","216","242",""
"Alexandre Lismonde-Jean Baptiste Lismonde","C2H","99.18","233","264",""
"Clement Beauge-Dylan Lacaussade","C2H","100.10","312","276",""
"Germain Carre-Quentin Moreaux","C2H","103.30","-","320",""
"Frederic Momot-Matthieu Walfard","C2H","104.25","-","332",""
"Thibault Bigeon-Antoine Decambon","C2H","105.23","-","346",""
"Damien Jacques-Teddy Poulard","C2H","106.67","-","366",""
"Sylvain Dandel-Thomas Dandel","C2H","107.06","-","372",""
"Quentin Bove-Guillaume Burger","C2H","107.73","-","381",""
"Bastien Darcillon-Fabien Allemandou","C2H","110.02","-","412",""
"Benjamin Soroka-Edouard Gracias","C2H","114.53","-","474",""
"Florian Souchaire-Guillaume Cochut","C2H","115.26","-","484",""
"Philippe Daumont-Jacques Nardeau","C2H","116.13","-","495",""
"Nicolas Dupres-Samuel Bonvalet","C2H","116.60","-","502",""
"Etienne Nardeau-Etienne Carpentier","C2H","119.56","-","542",""
"Louis Blasselle-Corentin Robin","C2H","121.23","583","564",""
"Olivier Lebreton-Benoit Fanoi","C2H","122.96","-","588",""
"Paul Tallet Pinet-Jan Baudet","C2H","125.77","-","627",""
"Martin Sacleux-Eric Lamour","C2H","128.04","-","657",""
"Stephane Hascoet-Quentin Urban","C2H","148.29","-","934",""
"Sebastien Paigneau-Clement Gangnon","C2H","166.96","-","1189",""
"Nicolas Guerin-Arman Karimi","C2H","173.10","-","1272",""
"Denis Parizia-Ilyas Zhiri","C2H","192.30","-","1534",""
"Jean-michel Senechault-Olivier Gesbert","C2H","Nt","-","-",""
"Jeremy Cremonesi-Thomas Monvoisin","C2H","Nt","-","-",""
"Caroline Bourry-Yann Gudefin","C2M","106.40","442","264",""
"Quentin Bove-Emmanuelle Delrue","C2M","110.58","250","317",""
"Anne Sophie Le Bailly-Emile Devaux","C2M","114.54","457","367",""
"Teddy Poulard-Alize Bachelot","C2M","116.73","398","395",""
"Venceslas Viseur-Sophie Machiels","C2M","116.89","-","397",""
"Vincent Reiter-Marine Leenknecht","C2M","122.48","-","468",""
"Mathieu Douillet-Justine Sautre","C2M","127.46","-","532",""
"Francois Vuillermot-Celine Garcia","C2M","149.59","-","813",""
"Tom Barthelemy-Camille Nardeau","C2M","153.61","-","864",""
"Thibault Dhennin-Delphine Dhennin","C2M","158.44","1217","926",""
"Caroline Bourry","K1D","88.53","55","86",""
"Flora Bove","K1D","89.10","114","94",""
"Emilie Hernandez-brossard","K1D","94.12","150","160",""
"Marion Gallois","K1D","95.80","184","182",""
"Camille Grezard","K1D","96.57","238","194",""
"Raphaelle Hovine","K1D","96.98","171","198",""
"Sophie Machiels","K1D","97.74","211","208",""
"Clara Dos Santos","K1D","98.03","205","213",""
"Fiora Bourges","K1D","98.86","149","224",""
"Celia Jodar","K1D","100.73","259","248",""
"Lea Feuillard","K1D","101.10","246","253",""
"Charlotte Lubineau","K1D","101.13","259","254",""
"Marlene Dumoulin","K1D","102.03","352","265",""
"Stephanie Bender","K1D","104.83","383","303",""
"Alize Bachelot","K1D","105.15","263","307",""
"Chloe Gatuingt","K1D","105.97","291","318",""
"Laurence Carrecabe","K1D","106.08","393","319",""
"Justine Sautre","K1D","106.57","583","326",""
"Camille Godron","K1D","107.04","-","332",""
"Marianne Herault","K1D","108.74","400","355",""
"Gaelle Delaborde","K1D","108.83","297","356",""
"Lucie Bornier","K1D","109.35","579","363",""
"Emmanuelle Delrue","K1D","110.94","466","384",""
"Celine Roulot","K1D","111.35","435","390",""
"Justine Cougnet","K1D","111.37","386","390",""
"Sandra Carisey","K1D","111.68","497","394",""
"Claire Souchaire","K1D","111.91","-","397",""
"Lea Tobo","K1D","112.37","-","403",""
"Claire Chantry","K1D","116.66","605","460",""
"Clothilde Charbeaux","K1D","117.81","520","476",""
"Justine Traversa","K1D","117.90","761","477",""
"Maryse Viseur","K1D","120.89","509","516",""
"Celine Garcia","K1D","121.05","-","518",""
"Agathe Villien","K1D","122.49","-","537",""
"Suzon Bachmann","K1D","123.08","708","545",""
"Elise Rousseau","K1D","123.21","-","547",""
"Pauline Brideron","K1D","125.31","600","574",""
"Cecile Letang","K1D","130.80","-","648",""
"Camille Castellarnau","K1D","148.92","-","889",""
"Camille Nardeau","K1D","Nt","-","-",""
"Constance Cavazzi","K1D","Nt","-","-",""
"Oswald Besch","K1H","75.70","28","47",""
"Quentin Bove","K1H","77.14","22","68",""
"Ronan Lucas","K1H","77.99","32","80",""
"Yann Gudefin","K1H","78.08","23","83",""
"Emile Devaux","K1H","78.62","69","90",""
"Fabien Tournadre","K1H","79.62","81","105",""
"Vincent Reiter","K1H","79.69","63","106",""
"Benoit Chantry","K1H","80.01","-","111",""
"Jeremy Cremonesi","K1H","80.14","41","113",""
"Nicolas Abbal","K1H","81.85","75","139",""
"Louis Philippe Rigal","K1H","82.19","39","144",""
"Loic Monbel","K1H","82.31","112","145",""
"Bastien Damiens","K1H","82.38","-","146",""
"Sylvain Dandel","K1H","82.83","122","153",""
"Samuel Lhegu","K1H","82.90","66","154",""
"Romain Bove","K1H","83.25","159","160",""
"Julien Daumont","K1H","83.81","127","168",""
"Romain Faurie","K1H","84.32","147","176",""
"Florian Perenchio","K1H","84.45","201","178",""
"Evence Granger","K1H","84.60","-","180",""
"Nicolas Feuillard","K1H","84.86","139","185",""
"Ludovic Lino","K1H","84.89","178","185",""
"Simon Deboysson","K1H","85.41","157","192",""
"Philippe Daumont","K1H","85.41","169","192",""
"Nizar Samlal","K1H","85.69","181","197",""
"Michel Gombert","K1H","86.07","153","202",""
"Geoffroy Schwentzel","K1H","86.40","221","207",""
"Gaetan Kieffert","K1H","86.77","227","213",""
"Olivier Urbain","K1H","87.09","223","217",""
"Didier Niel","K1H","87.45","163","223",""
"Julien Fougeron","K1H","87.87","202","229",""
"Etienne Carpentier","K1H","87.94","214","230",""
"Matthieu Walfard","K1H","87.97","211","230",""
"Victor Paulais","K1H","88.04","211","232",""
"Mathieu Monvoisin","K1H","88.13","257","233",""
"Romain Lemaire","K1H","88.35","255","236",""
"Paul Bornier","K1H","88.39","317","237",""
"Guillaume Le Floch Decorchemont","K1H","88.46","-","238",""
"Mathieu Douillet","K1H","88.51","251","238",""
"Yves Debailleul","K1H","88.62","163","241",""
"Guillaume Arnaud","K1H","89.03","210","246",""
"Venceslas Viseur","K1H","89.27","174","251",""
"Emmanuel Moreau","K1H","89.28","183","251",""
"Valentin Casse","K1H","89.31","187","251",""
"Quentin Vallee","K1H","89.36","200","252",""
"Romaric Baron","K1H","89.72","281","257",""
"Quentin Moreaux","K1H","89.95","154","261",""
"Denis Parizia","K1H","89.96","238","261",""
"Jeansebastien Simonklein","K1H","90.07","222","262",""
"Christophe Gosselin","K1H","90.11","248","263",""
"Jeremy Bretteville","K1H","90.16","253","264",""
"Remi Baudot","K1H","90.27","121","265",""
"Matthieu Basset","K1H","90.29","167","265",""
"Thomas Dandel","K1H","90.68","151","272",""
"Tristan Lejot","K1H","91.25","220","280",""
"Guillaume Doutreix","K1H","91.41","219","282",""
"Alban Planchais","K1H","91.43","288","283",""
"Antoine Decambon","K1H","91.58","391","285",""
"Vincent Nicolosi","K1H","92.33","326","297",""
"Damien Jacques","K1H","92.68","287","301",""
"Vianney Tillier","K1H","92.84","301","303",""
"Lancelot Meillier","K1H","92.89","317","304",""
"Jan Baudet","K1H","92.96","222","306",""
"Philippe Valeri","K1H","92.97","286","306",""
"Gerard Lafargue","K1H","93.81","321","318",""
"Eric Lamour","K1H","93.88","216","319",""
"William Ozanne","K1H","94.00","385","321",""
"Maxime Cousin","K1H","94.05","314","322",""
"Florian Souchaire","K1H","94.28","366","326",""
"Germain Carre","K1H","94.39","248","327",""
"Joel Ramillon","K1H","94.39","370","327",""
"Guillaume Cochut","K1H","94.68","268","331",""
"Guillaume Burger","K1H","94.76","-","332",""
"Adrien Goetink","K1H","95.05","-","337",""
"Guilherme Goncalves Maghin","K1H","95.08","293","337",""
"Romain Postaire","K1H","95.41","447","342",""
"Thibault Dhennin","K1H","95.61","323","346",""
"Bastien Darcillon","K1H","95.63","425","346",""
"Maxime Boisgontier","K1H","96.47","292","358",""
"Sami Fossat","K1H","96.50","311","359",""
"Yoann Nurit","K1H","96.64","413","360",""
"Alexandre Lismonde","K1H","96.65","-","362",""
"Edouard Gracias","K1H","96.73","-","363",""
"Raphael Vignaux","K1H","96.76","-","363",""
"Luc Wojtasiak","K1H","96.83","271","364",""
"Jonathan Froissard","K1H","97.07","-","367",""
"Stephane Helle","K1H","97.13","382","368",""
"Jeremy Marchand","K1H","97.22","-","369",""
"Cedric Meynier","K1H","97.73","-","377",""
"Martin Sacleux","K1H","97.92","-","381",""
"Gaspard Gindt","K1H","98.03","356","382",""
"Jeanchristophe Laroque","K1H","98.14","-","384",""
"Thomas Van Craenenbroeck","K1H","98.30","557","386",""
"Thomas Viratelle","K1H","98.45","366","388",""
"Nicolas Delaunoy","K1H","98.96","-","396",""
"Arnaud Gallois","K1H","99.05","-","397",""
"Pierre Lecorre","K1H","99.38","615","402",""
"Nicolas Leconte","K1H","100.29","444","415",""
"Olivier Ranucci","K1H","100.41","571","418",""
"Loic Ozeray","K1H","101.22","-","430",""
"Loic Andre","K1H","101.42","329","432",""
"Mickael Lefuel","K1H","101.51","509","434",""
"Stephane Hascoet","K1H","101.68","-","437",""
"Tom Barthelemy","K1H","101.85","354","439",""
"Thomas Letellier","K1H","102.55","395","450",""
"Sergepatrick Viseur","K1H","103.42","504","462",""
"Alexandre Marteau","K1H","103.80","-","468",""
"Simon Clerc","K1H","103.98","-","471",""
"Gael David","K1H","104.06","-","472",""
"Gilles Lucas","K1H","104.38","444","477",""
"Jean-loup Bachmann","K1H","104.58","352","480",""
"Quentin Prevot","K1H","104.59","-","480",""
"Clement Sannier","K1H","104.66","-","481",""
"Samuel Bonvalet","K1H","104.67","453","481",""
"Hugo Chianale","K1H","105.00","631","486",""
"Geoffrey Labelle","K1H","106.41","-","507",""
"Remi Lengagne","K1H","107.68","-","526",""
"Quentin Urban","K1H","108.19","-","534",""
"Loic Durand","K1H","108.40","584","537",""
"Johann Sacleux","K1H","108.71","616","542",""
"Francois Vuillermot","K1H","109.67","-","556",""
"Christophe Dufresne","K1H","109.79","556","559",""
"Remy Daumont","K1H","110.23","454","565",""
"Denis Martin","K1H","110.63","524","571",""
"Pierre Dampeyrou","K1H","111.04","-","577",""
"Francois Dupont","K1H","111.52","574","584",""
"Claude Breuzard","K1H","111.65","512","587",""
"Jean Marc Lejot","K1H","112.20","646","594",""
"Thomas Postaire","K1H","113.69","-","617",""
"Elie Mahfouz","K1H","115.18","479","639",""
"Alexandre Baron","K1H","115.35","855","642",""
"Marc Laurent","K1H","116.40","763","657",""
"Vinny Cornet","K1H","116.44","-","658",""
"Steve Bruniquel","K1H","116.45","-","658",""
"Adrien Barlier","K1H","118.01","674","682",""
"Lucas Bandin","K1H","118.76","-","693",""
"Clement Gallois","K1H","119.05","-","698",""
"Thibault Mas-cerda","K1H","120.48","-","719",""
"Batiste Duwatez","K1H","124.21","-","775",""
"Barnabe Sennelier","K1H","133.02","-","907",""
"Nathan Bouam","K1H","134.07","-","923",""
"Nicolas Guerin","K1H","142.39","-","1048",""
"Anthony Gillot","K1H","150.89","768","1176",""
"Arman Karimi","K1H","161.48","-","1335",""
"Nicolas Verger","K1H","170.38","-","1468",""
"Stephane Postal","K1H","Nt","-","-",""
"Jose Santos","K1H","Nt","-","-",""
"Loic Gobert","K1H","Nt","-","-",""
"Christopher Deschamps-colonual","K1H","Nt","-","-",""
"Mehdi Nedjma","K1H","Nt","-","-",""
"Thomas Monvoisin","K1H","Nt","-","-",""
"Gaetan Leroux","K1H","Nt","-","-",""
