"Championnat de France C sur J sur S - L'Argentière la Bessée - Demi finale - 2013-07-12","Demi finale","2013-07-12","Championnats de France","201"
"Corentin Oulhen","C1H","105.53","102.21","109.63",""
"Thomas Rosset","C1H","106.06","56.04","113.47",""
"Yann Rivallant","C1H","106.48","67.53","116.52",""
"Lucas Roisin","C1H","107.08","87.31","120.87",""
"Antoine Gaillard","C1H","107.92","166.17","126.97",""
"Nathan Hossin","C1H","110.22","139.32","143.66",""
"Charles Dampeyrou","C1H","112.41","135.2","159.55",""
"Nathan Rene Corail","C1H","117.38","194.14","195.61",""
"Guillaume Graille","C1H","118.52","230.59","203.89",""
"Louis Vandeville","C1H","121.01","201.05","221.96",""
"Jules Chaumet","C1H","121.3","173.09","224.06",""
"Quentin Chauvin","C1H","130.52","207.13","290.97",""
"Florian Joly","C1H","155.41","91.41","471.58",""
"Faysal Ali Zazou","C1H","170.38","219.72","580.2",""
"Florianne Gautier-Anne Traband","C2D","152.9","169.7","275.84",""
"Coralie Yebenes-Marion Delorme","C2D","183.93","231.66","464.98",""
"Axelle Armanini-Alicia Gallot","C2D","227.31","382.68","729.4",""
"Celia Jodar-Berenice Kolenc","C2D","235.66","362.16","780.29",""
"Amelie Perier-Manon Sacre","C2D","325.59","342.05","1328.45",""
"Celia Mifsud-Marine Constant-haldric","C2D","428.18","365.77","1953.77",""
"Nicolas Peschier-Pierre Labarelle","C2H","95.61","12.88","6.11",""
"Gauthier Klauss-Matthieu Peche","C2H","97.14","14.82","16.71",""
"Hugo Biso-Pierre Picco","C2H","99.03","21.25","29.8",""
"Jimy Bercon-Marc Biazizzo","C2H","103.52","34.99","60.89",""
"Edern Le Ruyet-Pierre Antoine Tillard","C2H","103.62","50.75","61.59",""
"Yves Prigent-Loic Kervella","C2H","105.66","39.58","75.72",""
"Hugo Cailhol-Nicolas Scianimanico","C2H","106.05","44.18","78.42",""
"Jeremy Cremonesi-Mathieu Voyemant","C2H","108.38","62.45","94.56",""
"Baptiste Delaplace-Renaud Doby","C2H","108.46","53.6","95.12",""
"Thomas Schmitt-Yann Rivallant","C2H","111.67","76.79","117.34",""
"Antoine Gaillard-Antonin Elne","C2H","114.69","138.63","138.27",""
"Malo Poles-Baptiste Le Poncin","C2H","115.18","120.86","141.66",""
"Emeric Vibert-Valentin Vibert","C2H","115.75","140.98","145.6",""
"Dimitri Etienne-Francois Gillot","C2H","121.55","160.25","185.78",""
"Alan Dollo-Leo Le Druillennec","C2H","125.68","160.43","214.4",""
"Kilian Foulon-Alexandre Paulais","C2H","126.72","49.79","221.59",""
"Clement Rio-Lucas Roisin","C2H","126.75","231.85","221.8",""
"Vincent Morabito-Yohan Wantz","C2H","145.88","315.61","354.31",""
"Edgar Prigent-David Pordoy","C2H","148.32","314.97","371.21",""
"Pierre Hellard-Malo Quemeneur","C2H","156.57","236.27","428.35",""
"Julian Othenin-girard-Anice Benhacine","C2H","172.38","134.72","537.85",""
"Valentin Serrurier-Hugo Simon","C2H","313.89","366.99","1518.03",""
"Medhi Deguil-Betty Merand","C2M","121.31","128.91","127.16",""
"Caroline Bourry-Renaud Doby","C2M","134.78","170.73","214.12",""
"Emilie Chamouleau-Christophe Marechal","C2M","135.04","128.27","215.81",""
"Jonas Le Morvan-Claire Landrin","C2M","136.38","132.05","224.45",""
"Claire Haab-Pierre Marie Roussel","C2M","138.96","165.87","241.12",""
"Martin Braud-Sarah Lyphout","C2M","176.97","165.13","486.55",""
"Celia Jodar-Cedric Forgit","C2M","187.69","166.38","555.76",""
"Benoit Chantry-Stephanie Bender","C2M","288.21","184.42","1204.82",""
"Pauline Guiet","K1D","99.65","15.79","15.77",""
"Caroline Loir","K1D","101.12","6.33","25.68",""
"Emilie Fer","K1D","101.25","9.45","26.56",""
"Laura Combot","K1D","101.59","39.46","28.85",""
"Nouria Newman","K1D","103.4","11.97","41.05",""
"Camille Prigent","K1D","103.46","43.65","41.45",""
"Estelle Hellard","K1D","104.48","21.34","48.33",""
"Estelle Mangin","K1D","105.8","12.94","57.24",""
"Maria Ferekidi","K1D","105.84","48.61","57.5",""
"Melanie Ragaru","K1D","106.17","44.95","59.73",""
"Berenice Kolenc","K1D","106.29","57.42","60.54",""
"Josepha Longa","K1D","108.36","27.7","74.5",""
"Clementine Geoffray","K1D","108.46","28.1","75.17",""
"Margaux Henry","K1D","108.81","59.12","77.53",""
"Lea Gaigeot","K1D","109.57","67.79","82.65",""
"Pauline Gentilhomme","K1D","112.77","66.24","104.24",""
"Elise Pierron","K1D","112.8","40.79","104.44",""
"Claire Gaigeot","K1D","114.28","73.82","114.42",""
"Marine Leveque","K1D","115.25","82.39","120.96",""
"Joana Palermo","K1D","116.4","66.48","128.71",""
"Lucie Baudu","K1D","116.49","27.02","129.31",""
"Anne-sophie Biazizzo","K1D","117.88","84.38","138.69",""
"Manon Caveribere","K1D","117.96","108.54","139.23",""
"Heloise Geffray","K1D","118.96","124.38","145.97",""
"Joey Bercon","K1D","119.43","106.13","149.13",""
"Mana Thomas","K1D","122.39","139.11","169.1",""
"Candice Brondel","K1D","124.82","162.86","185.48",""
"Melanie Bordier","K1D","125.93","116.93","192.97",""
"Marine Schmitt","K1D","126.01","130.2","193.5",""
"Lise Denat","K1D","132.11","121.04","234.64",""
"Carole Bouzidi","K1D","157.69","3.91","407.12",""
"Flora Huvelin","K1D","163.08","50.92","443.45",""
"Phenicia Dupras","K1D","177.21","160.98","538.72",""
"Marjorie Delassus","K1D","178.94","157.83","550.39",""
"Oceane Vienet","K1D","217.43","90.34","809.91",""
"Mathieu Doby","K1H","87.34","14.08","9.32",""
"Mathieu Biazizzo","K1H","87.38","5.65","9.62",""
"Benoit Peschier","K1H","88.12","4.61","15.27",""
"Hugo Cailhol","K1H","89.41","13.93","25.1",""
"Renaud Doby","K1H","89.92","17.19","28.98",""
"Benoit Guillaume","K1H","89.93","7.78","29.05",""
"Vivien Colober","K1H","90.06","8.46","30.05",""
"Ludovic Di Nisi","K1H","90.19","8.63","31.03",""
"Benjamin Travostino","K1H","90.66","7.9","34.62",""
"Jimy Bercon","K1H","90.74","12.4","35.23",""
"Remi Baudot","K1H","90.83","50.1","35.91",""
"Frederic Walczak","K1H","91.02","18.84","37.36",""
"Bastien Damiens","K1H","91.08","10.57","37.82",""
"Antoine Launay","K1H","91.21","8.22","38.81",""
"Tom Scianimanico","K1H","91.37","22.21","40.03",""
"Pierre Bourliaud","K1H","91.4","8.1","40.25",""
"Yves Prigent","K1H","91.59","28.07","41.7",""
"Benjamin Buys","K1H","91.95","13.55","44.45",""
"Quentin Bove","K1H","91.98","28.51","44.68",""
"Kevin Schultz","K1H","92.38","27.64","47.73",""
"Quentin Mignard","K1H","92.45","34.59","48.26",""
"Martin Dougoud","K1H","92.48","25","48.48",""
"Mathieu Desnos","K1H","92.53","26.3","48.86",""
"Yann Le Govic","K1H","92.54","25.86","48.95",""
"Ewen Legrand","K1H","92.86","25.83","51.38",""
"Thomas Rosset","K1H","92.96","10.05","52.14",""
"Quentin Burgi","K1H","93.22","5.53","54.13",""
"Thomas Schmitt","K1H","93.59","32.89","56.94",""
"Alexandre Dherbilly","K1H","93.91","32.93","59.38",""
"Christophe Marechal","K1H","94.27","36.55","62.13",""
"Jonathan Delagnes","K1H","94.33","34.01","62.58",""
"Enrick Cunsolo","K1H","94.58","14.4","64.48",""
"Benoit Chantry","K1H","95.11","43.55","68.53",""
"Aubry Bertin","K1H","95.43","63.62","70.96",""
"Pol Oulhen","K1H","95.78","48.45","73.63",""
"Andy Pajani","K1H","96.31","41.08","77.66",""
"James Duvernoy","K1H","96.76","58.51","81.09",""
"Boris Chenal","K1H","97.08","40.25","83.54",""
"Vincent Bocci","K1H","97.22","81.87","84.61",""
"Antonin Elne","K1H","97.67","72.07","88.03",""
"Cedric Jegouzo","K1H","97.73","61.9","88.49",""
"Louison Turmeau","K1H","98.05","39.92","90.92",""
"Mathys Huvelin","K1H","98.08","39.64","91.16",""
"Clement Travert","K1H","98.38","58.12","93.44",""
"Stann Savels","K1H","98.71","67.13","95.96",""
"Mathurin Madore","K1H","99.31","53.11","100.52",""
"Maxime Tilhet","K1H","99.99","73.18","105.71",""
"Guillaume Graille","K1H","100.52","73.8","109.74",""
"Manuel Savels","K1H","101.02","102.26","113.55",""
"Fabien Lanao","K1H","101.21","112.95","115",""
"Thibault Marchand","K1H","101.34","62.51","115.99",""
"Emmanuel Walczak","K1H","101.73","27.1","118.97",""
"Edgar Prigent","K1H","101.87","138.61","120.03",""
"Gaetan Drouin","K1H","102.16","133.56","122.24",""
"Malo Quemeneur","K1H","102.54","89.67","125.13",""
"Sami Rocher","K1H","103.09","56.74","129.32",""
"Adrien Maire","K1H","103.76","142.37","134.43",""
"Antoine Gaillard","K1H","103.86","86.9","135.2",""
"Jules Guilbaud","K1H","105.25","135.8","145.78",""
"Leo Fournier","K1H","105.43","132.97","147.15",""
"Goulwen Chapelier","K1H","105.76","24.78","149.67",""
"Remi Vinet","K1H","106.81","131.32","157.67",""
"Sebastien Nouvel","K1H","107.78","161.58","165.06",""
"Morgan Le Friec","K1H","109.4","131.49","177.41",""
"Alexandre Pouille","K1H","109.44","150.8","177.71",""
"Pierre Hellard","K1H","119.45","125.32","253.98",""
"Anthony Poux","K1H","120.92","196.6","265.18",""
"Gurgen Brun","K1H","151.4","55.31","497.41",""
"Pol Euzenes","K1H","154.7","59.95","522.56",""
"Arthur Favennec","K1H","160.73","157.01","568.5",""
