"Championnats de France N1 - Foix - 4ème Manche - 2005-04-10","4ème Manche","2005-04-10","Nationale 1","107"
"Thome Celine","K1D","274.48","57","75",""
"Carole Bouzidi","K1D","278.33","50","84",""
"Julie Labarelle","K1D","281.22","95","90",""
"Caroline Bourry","K1D","285.50","107","101",""
"Chevrier Cecile","K1D","289.59","111","110",""
"Nelly Tornare","K1D","292.02","36","116",""
"Bomboy Alice","K1D","296.08","70","126",""
"Carole Pocard","K1D","328.10","103","201",""
"Laura Combot","K1D","336.48","109","221",""
"Claire Landrin","K1D","367.79","83","295",""
"Ophelie Delaplace","K1D","376.42","55","315",""
"Dejours Nelly","K1D","379.25","126","322",""
"Bardet Annelise","K1D","381.34","13","327",""
"Aline Tornare","K1D","413.07","34","402",""
"Elisa Venet","K1D","413.36","83","403",""
"Julien Billaut","K1H","218.00","12","8",""
"Boris Neveu","K1H","222.51","20","20",""
"Pierre Bourliaud","K1H","225.58","19","28",""
"Mathieu Doby","K1H","226.30","11","30",""
"Christophe Marechal","K1H","227.96","23","34",""
"Aurelien Maynadier","K1H","228.43","32","36",""
"Julien Dekarczyk","K1H","229.13","23","38",""
"Loris Minvielle","K1H","229.95","24","40",""
"Sebastien Halilou","K1H","230.35","33","41",""
"Benoit Peschier","K1H","231.19","20","43",""
"Renaud Doby","K1H","231.27","58","44",""
"Benjamin Boukpeti","K1H","231.61","25","44",""
"Arnaud Lapeze","K1H","231.80","43","45",""
"Baillon Nicolas","K1H","231.92","31","45",""
"Pierre Devaux","K1H","232.49","11","47",""
"Michael Guyon","K1H","232.95","46","48",""
"Julien Arribe","K1H","233.02","48","48",""
"Bernis Camille","K1H","234.31","34","52",""
"Samuel Hernanz","K1H","234.39","41","52",""
"Raphael Reveche","K1H","235.19","33","54",""
"Davy Egraz","K1H","235.68","54","55",""
"Florian Berail","K1H","235.76","66","55",""
"Yoan Minvielle","K1H","236.43","49","57",""
"Venceslas Viseur","K1H","236.62","43","57",""
"Jean Christophe Boivin","K1H","236.86","40","59",""
"Julien Tous","K1H","238.29","47","62",""
"Benoit Molinier","K1H","238.68","72","63",""
"Johan De Mareuil","K1H","239.03","70","64",""
"Roger Jeremie","K1H","239.18","62","64",""
"Sebastien Combot","K1H","239.29","61","65",""
"Bazin Patryce","K1H","239.54","96","65",""
"Cheutin Jean-Yves","K1H","240.88","50","69",""
"Lambert Guillaume","K1H","241.74","61","71",""
"Damien Laborde","K1H","242.87","45","75",""
"Benoit Rouffet","K1H","243.34","57","76",""
"Patrice Fischer","K1H","243.45","52","76",""
"Guillaume Picco","K1H","245.34","62","81",""
"Leproult Jonathan","K1H","246.46","67","84",""
"Brogniart Arnaud","K1H","246.54","69","84",""
"Thomas Jean Pascal","K1H","250.03","64","94",""
"Ciaran Heurteau","K1H","250.81","75","95",""
"Thibaud Delaunay","K1H","251.57","58","98",""
"Fabien Lefevre","K1H","266.45","16","137",""
"Matthieu Le Gall","K1H","279.32","36","172",""
"Christophe Augu","K1H","282.50","33","180",""
"Frederic Walczak","K1H","283.80","25","184",""
"Damien Boudet","K1H","285.07","45","187",""
"Benoit Lepage","K1H","291.81","48","205",""
"Pallud Renaud","K1H","342.63","28","341",""
"Jean Charles Creusot Walter","K1H","389.94","66","468",""
