"Sélectif Régional de slalom - Sev Vinon Sur Verdon - Course n°2 | Finale - 2015-11-15","Course n°2 | Finale","2015-11-15","Régional","152"
"Jean Philippe Roche","K1H","109.84","284.97","383.29","Course n°2 | Finale A"
"Yoann Mourier","K1H","110.38","418.21","389.98","Course n°2 | Finale A"
"Sebastien Routhier","K1H","110.87","306.3","396.06","Course n°2 | Finale A"
"Cyril Audoit","K1H","111.84","363.76","408.09","Course n°2 | Finale A"
"Gregoire Pouille","K1H","111.99","284.55","409.95","Course n°2 | Finale A"
"Alexandre Pouille","K1H","113","241.3","422.47","Course n°2 | Finale A"
"Thomas Courtois","K1H","113.9","441.6","433.63","Course n°2 | Finale A"
"Nayl Tazi-sidqui","K1H","113.94","387.38","434.13","Course n°2 | Finale A"
"Matteo Licoine","K1H","114.23","360.42","437.72","Course n°2 | Finale A"
"Louis Scalbert","K1H","115.86","470.16","457.93","Course n°2 | Finale A"
"Sebastien Riou","K1H","117.46","422.71","477.77","Course n°2 | Finale A"
"Raphael Olla","K1H","118.76","296.06","493.89","Course n°2 | Finale A"
"Yann Tabone","K1H","120.53","402.86","515.83","Course n°2 | Finale A"
"Marc Delli Zuani","K1H","121.42","396.07","526.87","Course n°2 | Finale A"
"Paul Gaillard","K1H","166.15","380.45","1081.48","Course n°2 | Finale A"
"Valentin Berland","K1H","168.19","392.05","1106.77","Course n°2 | Finale A"
"Florent Cossou","K1H","Abs","-","-","Course n°2 | Finale A"
"Gael Adisson","K1HM","110.56","333.08","392.22","Course n°2 | Finale A"
"Adrien Fischer","K1HM","110.79","355.48","395.07","Course n°2 | Finale A"
"Alexandre Goujon","K1HM","114.2","428.16","437.35","Course n°2 | Finale A"
"Nino Chailan","K1HM","116.12","563.51","461.16","Course n°2 | Finale A"
"Raphael Massot","K1HM","122.74","-","-","Course n°2 | Finale A"
"Guilhem Viguier","K1HM","124.48","556.12","564.81","Course n°2 | Finale A"
"Antonin Dustou","K1HM","124.61","722.77","566.42","Course n°2 | Finale A"
"Maxime Melmont","K1HM","125.11","462.15","572.62","Course n°2 | Finale A"
"Kilian Cottet","K1HM","125.87","-","-","Course n°2 | Finale A"
"Maxime Kabir","K1HM","130.66","602.62","641.44","Course n°2 | Finale A"
"Maxence Jehan","K1HM","232.52","-","-","Course n°2 | Finale A"
"Alexis Mercoirol","C1H","117.13","429.41","409.52","Course n°2 | Finale B"
"Thomas Thieblemont","C1H","121.58","418.74","462.06","Course n°2 | Finale B"
"Lucas Di Martino","C1H","123.43","385.04","483.91","Course n°2 | Finale B"
"Kawan Thomas","C1H","129.84","471.63","559.61","Course n°2 | Finale B"
"Mikael Clanchin","C1H","141.5","-","697.3","Course n°2 | Finale B"
"Quentin Laplace","C1H","169.78","-","1031.24","Course n°2 | Finale B"
"Yann Tabone-Anton Gille","C2H","151.02","-","728.65","Course n°2 | Finale B"
"Lucie Adisson","K1D","126.82","382","417.92","Course n°2 | Finale B"
"Laurine Grandadam","K1D","128.41","452.44","435.37","Course n°2 | Finale B"
"Emma Miton","K1D","135.75","716.1","515.91","Course n°2 | Finale B"
"Helene Merlet","K1D","136.69","444.9","526.23","Course n°2 | Finale B"
"Lorene Scalbert","K1D","141.41","430.79","578.02","Course n°2 | Finale B"
"Annie Ughetto","K1D","144.42","559.94","611.04","Course n°2 | Finale B"
"Lison Soullier","K1D","145.86","1036.4","626.85","Course n°2 | Finale B"
"Lou Lombard","K1D","145.93","503.63","627.62","Course n°2 | Finale B"
"Aliona Baudy","K1D","153.14","687.15","706.72","Course n°2 | Finale B"
"Camille Berson","K1DM","135","554.98","507.68","Course n°2 | Finale B"
"Maeva Bachelot","K1DM","137.17","470.02","531.49","Course n°2 | Finale B"
"Camille Santa Cruz","K1DM","139.19","494.18","553.66","Course n°2 | Finale B"
"Elke Saragas","K1DM","153.76","795.95","713.53","Course n°2 | Finale B"
"Clara Jannic","K1DM","155.27","1385.72","730.09","Course n°2 | Finale B"
"Adrien Tappero","K1H","111","454.44","402.67","Course n°2 | Finale B"
"Paul Roubaud","K1H","113.38","421","432.18","Course n°2 | Finale B"
"Luca Barone","K1H","113.91","550.77","438.75","Course n°2 | Finale B"
"Valentin Bonnot","K1H","116.94","456.83","476.32","Course n°2 | Finale B"
"Romain Gayral","K1H","117.72","474.1","485.99","Course n°2 | Finale B"
"Valentin Parasme","K1H","117.89","547.57","488.1","Course n°2 | Finale B"
"Frederic Reus","K1H","120.08","440.65","515.26","Course n°2 | Finale B"
"Paul Badache","K1H","121.93","571.93","538.19","Course n°2 | Finale B"
"Alexandre Rozand","K1H","122.01","-","539.19","Course n°2 | Finale B"
"Anton Gille","K1H","123.04","554.02","551.96","Course n°2 | Finale B"
"Gilles Lovera","K1H","123.53","427.09","558.03","Course n°2 | Finale B"
"Ollivier Paumier","K1H","123.6","546.05","558.9","Course n°2 | Finale B"
"Bernard Delorme","K1H","123.72","-","560.39","Course n°2 | Finale B"
"Olivier Kremer","K1H","123.81","-","561.5","Course n°2 | Finale B"
"Stephane Marcellot","K1H","124.97","424.49","575.89","Course n°2 | Finale B"
"Dominique Polard","K1H","125.41","548.41","581.34","Course n°2 | Finale B"
"Hugo Avril","K1H","126.33","565.55","592.75","Course n°2 | Finale B"
"Marc Scognamiglio","K1H","127.39","462.89","605.89","Course n°2 | Finale B"
"Kilian Torti","K1H","127.54","494.4","607.75","Course n°2 | Finale B"
"Valentin Affortit","K1H","128.58","494.57","620.65","Course n°2 | Finale B"
"Gregoire Michel","K1H","128.97","576.28","625.48","Course n°2 | Finale B"
"Philippe Bigard","K1H","131.4","599.49","655.61","Course n°2 | Finale B"
"RomÉo Bex","K1H","132.31","702.3","666.9","Course n°2 | Finale B"
"Vincent Pitarch","K1H","133.56","-","682.39","Course n°2 | Finale B"
"Gael Villar","K1H","134.95","636.42","699.63","Course n°2 | Finale B"
"Alexandre Florent","K1H","138.66","1579.74","745.63","Course n°2 | Finale B"
"Quentin Laplace","K1H","150.01","685.06","886.36","Course n°2 | Finale B"
"Fabien Leist","K1H","160.14","376.93","1011.96","Course n°2 | Finale B"
"Pierre Courtois","K1H","174.08","609.96","1184.8","Course n°2 | Finale B"
"Romain Berthon","K1H","183.63","638.44","1303.21","Course n°2 | Finale B"
"Bastien Cothenet","K1H","194.58","2421.21","1438.98","Course n°2 | Finale B"
"Nil Coudouy","K1H","230.65","-","1886.22","Course n°2 | Finale B"
"Alexis Mercoirol","K1H","Abs","-","-","Course n°2 | Finale B"
"Enzo Briffa","K1H","Abd","-","-","Course n°2 | Finale B"
"Loic Bertoia","K1H","Abd","-","-","Course n°2 | Finale B"
"Simon Louchard","K1HM","123.35","735.45","555.8","Course n°2 | Finale B"
"Tao Semeria","K1HM","126.86","-","599.32","Course n°2 | Finale B"
"Enzo Guillarme","K1HM","132.04","959.7","663.55","Course n°2 | Finale B"
"Aymeric Rivier","K1HM","134.16","675.97","689.83","Course n°2 | Finale B"
"Erwann Buthod","K1HM","137.25","-","-","Course n°2 | Finale B"
"Simon Del Negro","K1HM","137.42","1292.19","730.25","Course n°2 | Finale B"
"Erwan Quellec","K1HM","140.15","-","764.1","Course n°2 | Finale B"
"Baptiste Marcellot","K1HM","141.28","-","778.11","Course n°2 | Finale B"
"Allan Stievenard","K1HM","143.18","-","-","Course n°2 | Finale B"
"Joachim Saussol","K1HM","155.1","-","949.47","Course n°2 | Finale B"
"Sylvain Arnaud","K1HM","238.68","-","-","Course n°2 | Finale B"
"Charlie Genovese","K1HM","Abs","-","-","Course n°2 | Finale B"
